PWSID,Approximate Address
AL0001793,Not Found
AL0001548,Not Found
AL0001551,Not Found
AL0000520,Not Found
AL0001218,Not Found
AL0001035,Not Found
AL0000051,Not Found
AL0000780,Not Found
AL0001722,Not Found
AL0000307,Not Found
AL0000565,Not Found
AL0000828,Not Found
AL0001098,Not Found
AL0000723,Not Found
AL0000250,Not Found
AL0000543,Not Found
AL0001730,Not Found
AL0000033,Not Found
AL0001744,Not Found
AL0001677,Not Found
AL0000503,Not Found
AL0001533,Not Found
AL0000515,Not Found
AL0000618,Not Found
AL0000284,Not Found
AL0001774,Not Found
AL0000771,Not Found
AL0000633,Not Found
AL0001161,Not Found
AL0000556,Not Found
AL0001727,Not Found
AL0001546,Not Found
AL0000531,Not Found
AL0000143,Not Found
AL0000303,Not Found
AL0001407,Not Found
AL0001737,Not Found
AL0000557,Not Found
AL0000605,Not Found
AL0001413,Not Found
AL0000609,Not Found
