PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Longitude,Latitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
AL0000438,MIDLAND CITY WATER DEPARTMENT,"36350, Midland City, Alabama",36350,Alabama,Region 4,Community water system,2880,MIDLAND CITY,Dale,9,2,29,-85.495567,31.312617,-85.495567,31.312617,-85.677567,-85.313567,31.130617,31.494617
AL0001306,MITCHELL WATER SYSTEM INC,"35407, Tuscaloosa, Alabama",35407,Alabama,Region 4,Community water system,9000,TUSCALOOSA,Tuscaloosa,9,1,29,-87.495272,33.168841,-87.495272,33.168841,-87.500272,-87.490272,33.163841,33.173841
AL0001006,MT. VERNON (TOWN OF),"36560, Mount Vernon, Alabama",36560,Alabama,Region 4,Community water system,2475,,Mobile,6,30,32,-88.010062,31.089341,-88.010062,31.089341,-88.186062,-87.834062,30.913341,31.265341
AL0000131,CALHOUN COUNTY WATER & FIRE PR AUTHORITY,"36250, Alexandria, Alabama",36250,Alabama,Region 4,Community water system,30756,ALEXANDRIA,Calhoun,44,23,31,-85.897464,33.760476,-85.897464,33.760476,-85.965464,-85.829464,33.692476,33.828476
AL0000852,LOWNDESBORO WATER AUTHORITY,"36752, Burkville, Alabama",36752,Alabama,Region 4,Community water system,840,LOWNDESBORO,Lowndes,10,5,28,-86.536306,32.257399,-86.536306,32.257399,-86.818306,-86.254306,31.975399,32.539399
AL0001411,HALEYVILLE WATER WORKS & SEWER BOARD,"35565, Haleyville, Alabama",35565,Alabama,Region 4,Community water system,11949,HALEYVILLE,Winston,8,0,29,-87.618221,34.226623,-87.618221,34.226623,-87.812221,-87.424221,34.032623,34.420623
AL0000949,SWEARENGIN WATER SYSTEM,"35747, Grant, Alabama",35747,Alabama,Region 4,Community water system,2142,GRANT,Marshall,9,4,22,-86.255534,34.521977,-86.255534,34.521977,-86.467534,-86.043534,34.309977,34.733977
AL0000463,DALLAS COUNTY WATER & SEWER AUTHORITY,"36702, Selma, Alabama",36702,Alabama,Region 4,Community water system,5292,SELMA,Dallas,9,3,35,-87.022232,32.41179,-87.022232,32.41179,-87.027232,-87.017232,32.40679,32.41679
AL0000482,NORTH DALLAS WATER AUTHORITY,"36701, Valley Grande, Alabama",36701,Alabama,Region 4,Community water system,8316,SELMA,Dallas,20,2,42,-87.028199,32.41012,-87.028199,32.41012,-87.414199,-86.642199,32.02412,32.79612
AL0001229,"WATER WORKS, INC.","35022, Bessemer, Alabama",35022,Alabama,Region 4,Community water system,534,TALLADEGA,Talladega,4,16,30,-86.984052,33.374625,-86.984052,33.374625,-87.133052,-86.835052,33.225625,33.523625
AL0001258,SYLACAUGA UTILITIES BOARD,"301 N Elm Ave, Sylacauga, Alabama, 35150",35150,Alabama,Region 4,Community water system,22611,SYLACAUGA,Talladega,37,31,50,-86.257941,33.171714,-86.257941,33.171714,-86.267941,-86.247941,33.161714,33.181714
AL0000622,GENEVA WATER WORKS,"36340, Geneva, Alabama",36340,Alabama,Region 4,Community water system,5850,GENEVA,Geneva,30,5,33,-85.870947,31.037721,-85.870947,31.037721,-85.996947,-85.744947,30.911721,31.163721
AL0000993,KUSHLA WATER DISTRICT,"36613, Mobile, Alabama",36613,Alabama,Region 4,Community water system,5136,EIGHT MILE,Mobile,17,4,24,-88.13109,30.767393,-88.13109,30.767393,-88.25909,-88.00309,30.639393,30.895393
AL0001139,HURTSBORO WATER & SEWER BOARD,"36860, Hurtsboro, Alabama",36860,Alabama,Region 4,Community water system,1251,HURTSBORO,Russell,8,4,28,-85.416742,32.279889,-85.416742,32.279889,-85.594742,-85.238742,32.101889,32.457889
AL0001783,BLOUNT COUNTY WATER,"18 Arena Dr, Cleveland, Alabama, 35049",35049,Alabama,Region 4,Community water system,17139,CLEVELAND,Blount,29,63,20,-86.587887,33.982644,-86.587887,33.982644,-86.597887,-86.577887,33.972644,33.992644
AL0000794,WEST LAUDERDALE CO WATER & FPA,"35633, Florence, Alabama",35633,Alabama,Region 4,Community water system,14244,FLORENCE,Lauderdale,18,3,30,-87.683361,34.846566,-87.683361,34.846566,-87.955361,-87.411361,34.574566,35.118566
AL0000023,NORTH BALDWIN UTILITIES,"36507, Bay Minette, Alabama",36507,Alabama,Region 4,Community water system,15795,BAY MINETTE,Baldwin,34,44,36,-87.776211,30.882697,-87.776211,30.882697,-88.032211,-87.520211,30.626697,31.138697
AL0000885,MADISON WATER WORKS & SEWER,"35758, Triana, Alabama",35758,Alabama,Region 4,Community water system,39051,MADISON,Madison,31,6,42,-86.753396,34.687871,-86.753396,34.687871,-86.826396,-86.680396,34.614871,34.760871
AL0000295,ELBA WATER WORKS,"36323, Elba, Alabama",36323,Alabama,Region 4,Community water system,6042,ELBA,Coffee,19,1,30,-86.071229,31.414323,-86.071229,31.414323,-86.266229,-85.876229,31.219323,31.609323
AL0001285,RAY COMMUNITY WATER & FIRE PRO AUTHORITY,"35010, Alexander City, Alabama",35010,Alabama,Region 4,Community water system,1296,ALEXANDER CITY,Coosa,5,7,26,-85.949656,32.943136,-85.949656,32.943136,-86.196656,-85.702656,32.696136,33.190136
AL0001791,EVERGREEN ESTATES,"36111, Montgomery, Alabama",36111,Alabama,Region 4,Community water system,1884,MONTGOMERY,Montgomery,2,4,10,-86.285493,32.331536,-86.285493,32.331536,-86.334493,-86.236493,32.282536,32.380536
AL0001393,PINE HILL WATER DEPARTMENT,"50 Dunn St, Pine Hill, Alabama, 36769",36769,Alabama,Region 4,Community water system,2475,PINE HILL,Wilcox,5,1,46,-87.586947,31.980363,-87.586947,31.980363,-87.596947,-87.576947,31.970363,31.990363
AL0001172,WILTON WATER WORKS,"35187, Wilton, Alabama",35187,Alabama,Region 4,Community water system,2862,WILTON,Shelby,10,22,43,-86.884258,33.075557,-86.884258,33.075557,-86.889258,-86.879258,33.070557,33.080557
AL0001092,WEST MORGAN-EAST LAWRENCE WATER AUTHORIT,"35609, Decatur, Alabama",35609,Alabama,Region 4,Community water system,26130,DECATUR,Morgan,15,1,26,-86.979801,34.6074,-86.979801,34.6074,-86.984801,-86.974801,34.6024,34.6124
AL0000504,PONDEROSA BIBLE CAMP,"35984, Mentone, Alabama",35984,Alabama,Region 4,Transient non-community system,65,MENTONE,DeKalb,7,24,25,-85.586953,34.576609,-85.586953,34.576609,-85.778953,-85.394953,34.384609,34.768609
AL0000860,FRANKLIN WATER SYSTEM,"1660 Al Highway 49, Franklin, Alabama, 36083",36083,Alabama,Region 4,Community water system,150,TUSKEGEE,Macon,3,10,23,-85.805724,32.466262,-85.805724,32.466262,-85.815724,-85.795724,32.456262,32.476262
AL0001086,HARTSELLE UTILITY BOARD,"35640, Hartselle, Alabama",35640,Alabama,Region 4,Community water system,20418,HARTSELLE,Morgan,13,20,44,-86.93497,34.443635,-86.93497,34.443635,-87.09697,-86.77297,34.281635,34.605635
AL0000066,SOUTHPORT CAMPGROUNDS,"36547, Gulf Shores, Alabama",36547,Alabama,Region 4,Transient non-community system,60,ELBERTA,Baldwin,4,11,19,-87.690221,30.27411,-87.690221,30.27411,-87.695221,-87.685221,30.26911,30.27911
AL0001070,MONTGOMERY WATER WORKS,"36102, Montgomery, Alabama",36102,Alabama,Region 4,Community water system,240840,MONTGOMERY,Montgomery,93,23,62,-86.312532,32.37464,-86.312532,32.37464,-86.317532,-86.307532,32.36964,32.37964
AL0001422,NORTHEAST ALABAMA WATER SYSTEM,"35968, Fort Payne, Alabama",35968,Alabama,Region 4,Community water system,37500,FORT PAYNE,DeKalb,57,66,32,-85.757573,34.440719,-85.757573,34.440719,-85.925573,-85.589573,34.272719,34.608719
AL0000441,OZARK UTILITIES BOARD,"36361, Ozark, Alabama",36361,Alabama,Region 4,Community water system,19200,OZARK,Dale,26,23,104,-85.646401,31.455853,-85.646401,31.455853,-85.651401,-85.641401,31.450853,31.460853
AL0000921,BRILLIANT WATER WORKS,"35548, Brilliant, Alabama",35548,Alabama,Region 4,Community water system,1605,BRILLIANT,Marion,8,0,48,-87.758081,34.025072,-87.758081,34.025072,-87.913081,-87.603081,33.870072,34.180072
AL0000626,MALVERN WATER DEPARTMENT,"36349, Malvern, Alabama",36349,Alabama,Region 4,Community water system,1680,MALVERN,Geneva,9,1,22,-85.556587,31.162095,-85.556587,31.162095,-85.564587,-85.548587,31.154095,31.170095
AL0000298,"JACK WATER SYSTEM, INC","36346, Jack, Alabama",36346,Alabama,Region 4,Community water system,1305,JACK,Coffee,5,7,38,-85.933737,31.551476,-85.933737,31.551476,-86.023737,-85.843737,31.461476,31.641476
AL0000439,NEWTON WATER WORKS BOARD,"36352, Newton, Alabama",36352,Alabama,Region 4,Community water system,2190,NEWTON,Dale,7,3,30,-85.572289,31.233195,-85.572289,31.233195,-85.713289,-85.431289,31.092195,31.374195
AL0000076,"WHITE HOUSE WATER SYSTEM, INC.","36507, Bay Minette, Alabama",36507,Alabama,Region 4,Community water system,5163,BAY MINETTE,Baldwin,3,5,24,-87.776211,30.882697,-87.776211,30.882697,-88.032211,-87.520211,30.626697,31.138697
AL0000384,SANFORD WATER SYSTEM,"36420, Carolina, Alabama",36420,Alabama,Region 4,Community water system,501,ANDALUSIA,Covington,3,4,20,-86.477427,31.308451,-86.477427,31.308451,-86.889427,-86.065427,30.896451,31.720451
AL0000408,JOHNSONS CROSSING WATER SYSTEM,"35056, Cullman, Alabama",35056,Alabama,Region 4,Community water system,2943,CULLMAN,Cullman,3,4,25,-86.847829,34.170341,-86.847829,34.170341,-86.852829,-86.842829,34.165341,34.175341
AL0001781,"TATE & LYLE SUCRALOSE, INC. WATER SYSTEM","36553, McIntosh, Alabama",36553,Alabama,Region 4,Non-Transient non-community system,80,MCINTOSH,Washington,6,8,13,-87.999706,31.249815,-87.999706,31.249815,-88.222706,-87.776706,31.026815,31.472815
AL0000311,CHEROKEE WATER & GAS DEPARTMENT,"35616, Cherokee, Alabama",35616,Alabama,Region 4,Community water system,2250,CHEROKEE,Colbert,4,15,40,-87.968255,34.759596,-87.968255,34.759596,-88.211255,-87.725255,34.516596,35.002596
