PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Longitude,Latitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
AZ0415373,PRICKLEY PEAR RV PARK,"85325, Bouse, Arizona",85325,Arizona,Region 9,Transient non-community system,162,BOUSE,La Paz,5,11,11,-114.00699,33.931207,-114.00699,33.931207,-114.01299,-114.00099,33.925207,33.937207
AZ0407120,PIMA UTILITIES,"85248, Sun Lakes, Arizona",85248,Arizona,Region 9,Community water system,20000,CHANDLER,Maricopa,15,111,18,-111.853121,33.254421,-111.853121,33.254421,-111.920121,-111.786121,33.187421,33.321421
AZ0409024,PORTER MOUNTAIN DWID,"85929, Lakeside, Arizona",85929,Arizona,Region 9,Community water system,378,LAKESIDE,Navajo,7,138,17,-110.015791,34.186642,-110.015791,34.186642,-110.182791,-109.848791,34.019642,34.353642
AZ0409031,TAYLOR TOWN OF,"85939, Taylor, Arizona",85939,Arizona,Region 9,Community water system,3060,TAYLOR,Navajo,18,127,18,-110.090911,34.463961,-110.090911,34.463961,-110.213911,-109.967911,34.340961,34.586961
AZ0413106,COTTONWOOD MUNICIPAL WATER VV6,"86326, Cottonwood, Arizona",86326,Arizona,Region 9,Community water system,3668,COTTONWOOD,Yavapai,18,471,14,-112.013951,34.739666,-112.013951,34.739666,-112.227951,-111.799951,34.525666,34.953666
AZ0411708,ARIZONIAN TRAVEL TRAILER,"85119, Apache Jct, Arizona",85119,Arizona,Region 9,Community water system,300,APACHE JUNCTION,Pinal,8,26,16,-111.534621,33.395455,-111.534621,33.395455,-111.666621,-111.402621,33.263455,33.527455
AZ0402049,CLEAR SPRINGS UTILITY WELL 6,"85754, Tucson, Arizona",85754,Arizona,Region 9,Community water system,54,PEARCE,Cochise,7,55,12,-111.004171,32.234501,-111.004171,32.234501,-111.009171,-110.999171,32.229501,32.239501
AZ0413025,COTTONWOOD MUNICIPAL WATER CW1,"86326, Cottonwood, Arizona",86326,Arizona,Region 9,Community water system,11265,COTTONWOOD,Yavapai,33,173,13,-112.013951,34.739666,-112.013951,34.739666,-112.227951,-111.799951,34.525666,34.953666
AZ0413105,COTTONWOOD MUNICIPAL WATER VV3,"86326, Cottonwood, Arizona",86326,Arizona,Region 9,Community water system,1689,COTTONWOOD,Yavapai,11,221,13,-112.013951,34.739666,-112.013951,34.739666,-112.227951,-111.799951,34.525666,34.953666
AZ0411017,FLORENCE WATER CO,"85132, Florence, Arizona",85132,Arizona,Region 9,Community water system,13733,FLORENCE,Pinal,16,209,16,-111.470506,33.067706,-111.470506,33.067706,-112.081506,-110.859506,32.456706,33.678706
AZ0410178,MIRABELL WATER CO,"85754, Tucson, Arizona",85754,Arizona,Region 9,Community water system,130,TUCSON,Pima,6,103,17,-111.004171,32.234501,-111.004171,32.234501,-111.009171,-110.999171,32.229501,32.239501
AZ0402006,BOWIE WID,"85605, Bowie, Arizona",85605,Arizona,Region 9,Community water system,650,BOWIE,Cochise,7,50,16,-109.486255,32.328149,-109.486255,32.328149,-109.733255,-109.239255,32.081149,32.575149
AZ0402011,SOUTHERN SUNRISE WC COCHISE HORSESHOE,"85635, Sierra Vista, Arizona",85635,Arizona,Region 9,Community water system,1985,SIERRA VISTA,Cochise,19,220,26,-110.289671,31.56077,-110.289671,31.56077,-110.542671,-110.036671,31.30777,31.81377
AZ0410058,HALCYON ACRES 2,"85710, Tucson, Arizona",85710,Arizona,Region 9,Community water system,100,TUCSON,Pima,7,104,14,-110.829942,32.234069,-110.829942,32.234069,-110.871942,-110.787942,32.192069,32.276069
