PWSID,Approximate Address
AR0000369,Not Found
ART000417,Not Found
AR0000748,Not Found
ART000468,Not Found
ART000620,Not Found
ARN000014,Not Found
ART001094,Not Found
AR0001067,Not Found
AR0001042,Not Found
ART000998,Not Found
AR0000203,Not Found
ART000426,Not Found
AR0001043,Not Found
ART000326,Not Found
AR0000879,Not Found
ART001099,Not Found
AR0000540,Not Found
ART000233,Not Found
AR0000745,Not Found
AR0000861,Not Found
ART001095,Not Found
AR0000659,Not Found
AR0001002,Not Found
AR0000789,Not Found
ART001003,Not Found
AR0001018,Not Found
AR0001015,Not Found
ART000214,Not Found
ART000590,Not Found
ART000081,Not Found
AR0001128,Not Found
AR0001083,Not Found
ARN000178,Not Found
AR0001135,Not Found
AR0001115,Not Found
AR0001131,Not Found
ARN000200,Not Found
AR0001142,Not Found
AR0001137,Not Found
AR0001139,Not Found
AR0001121,Not Found
AR0001160,Not Found
AR0001138,Not Found
AR0001120,Not Found
AR0001129,Not Found
AR0001130,Not Found
AR0000757,Not Found
AR0000703,Not Found
ART000323,Not Found
AR0000565,Not Found
AR0001125,Not Found
AR0000020,Not Found
ART000391,Not Found
ART000469,Not Found
AR0001109,Not Found
AR0001116,Not Found
AR0001099,Not Found
AR0001159,Not Found
AR0001079,Not Found
ARN000153,Not Found
ART000591,Not Found
AR0001118,Not Found
AR0001127,Not Found
ARN000094,Not Found
ARN000048,Not Found
AR0000806,Not Found
ARN000134,Not Found
AR0001047,Not Found
ART001071,Not Found
ART000418,Not Found
ART000816,Not Found
ARN000106,Not Found
AR0001010,Not Found
AR0000960,Not Found
AR0001029,Not Found
ART000778,Not Found
AR0000086,Not Found
AR0000084,Not Found
AR0000625,Not Found
ART000294,Not Found
AR0000930,Not Found
AR0001050,Not Found
ARN000150,Not Found
AR0001065,Not Found
AR0000721,Not Found
AR0000938,Not Found
AR0001133,Not Found
AR0001156,Not Found
AR0001019,Not Found
AR0000463,Not Found
ART001002,Not Found
AR0001136,Not Found
ART000922,Not Found
ARN000025,Not Found
ART000414,Not Found
ARN000228,Not Found
AR0001148,Not Found
AR0000797,Not Found
ART000682,Not Found
ART001108,Not Found
AR0000543,Not Found
AR0001024,Not Found
AR0001045,Not Found
AR0001022,Not Found
AR0001055,Not Found
AR0001051,Not Found
ART000964,Not Found
AR0001009,Not Found
AR0001095,Not Found
ART000611,Not Found
ART000974,Not Found
ARN000181,Not Found
AR0000901,Not Found
AR0000875,Not Found
ART000061,Not Found
AR0000989,Not Found
AR0000285,Not Found
AR0000924,Not Found
ART001038,Not Found
AR0000605,Not Found
AR0000347,Not Found
AR0000881,Not Found
