PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Longitude,Latitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
AR0000376,DYESS WATERWORKS,"108 Circle Dr, Dyess, Arkansas, 72330",72330,Arkansas,Region 6,Community water system,430,,Mississippi,4,3,5,-90.214935,35.590536,-90.214935,35.590536,-90.224935,-90.204935,35.580536,35.600536
AR0000598,PATTERSON WATERWORKS,"72123, Patterson, Arkansas",72123,Arkansas,Region 6,Community water system,491,,Woodruff,4,6,3,-91.234609,35.25787,-91.234609,35.25787,-91.244609,-91.224609,35.24787,35.26787
AR0000819,BASIN VALLEY WATER SYSTEM,"72648, Marble Falls, Arkansas",72648,Arkansas,Region 6,Community water system,390,,Newton,3,4,3,-93.138899,36.083511,-93.138899,36.083511,-93.143899,-93.133899,36.078511,36.088511
AR0000873,CRESTWOOD MOBILE HOME PARK,"72654, Mountain Home, Arkansas",72654,Arkansas,Region 6,Community water system,44,,Baxter,3,2,5,-92.373702,36.350871,-92.373702,36.350871,-92.378702,-92.368702,36.345871,36.355871
AR0000678,S P G WATER ASSOCIATION,"72675, Saint Joe, Arkansas",72675,Arkansas,Region 6,Community water system,1449,,"Marion, Searcy",5,3,4,-92.806796,36.031126,-92.806796,36.031126,-93.037796,-92.575796,35.800126,36.262126
ART000612,USCOE DG ALPINE RIDGE,"71956, Mountain Pine, Arkansas",71956,Arkansas,Region 6,Transient non-community system,25,,Clark,3,0,5,-93.132798,34.598035,-93.132798,34.598035,-93.246798,-93.018798,34.484035,34.712035
AR0000288,LAMAR WATERWORKS,"72846, Lamar, Arkansas",72846,Arkansas,Region 6,Community water system,1815,,Johnson,3,14,6,-93.387101,35.440892,-93.387101,35.440892,-93.587101,-93.187101,35.240892,35.640892
AR0000108,KINGSLAND WATERWORKS,"71652, Kingsland, Arkansas",71652,Arkansas,Region 6,Community water system,553,,Cleveland,3,1,6,-92.294971,33.85903,-92.294971,33.85903,-92.494971,-92.094971,33.65903,34.05903
ART001101,GRASSY KNOB SUBORDINATE SD,"72631, Eureka Spgs, Arkansas",72631,Arkansas,Region 6,Transient non-community system,50,,Carroll,2,2,3,-93.761331,36.484261,-93.761331,36.484261,-93.890331,-93.632331,36.355261,36.613261
AR0000337,KEO WATER WORKS,"72083, Keo, Arkansas",72083,Arkansas,Region 6,Community water system,300,,Lonoke,3,1,6,-92.010739,34.602656,-92.010739,34.602656,-92.029739,-91.991739,34.583656,34.621656
ART000619,USCOE DG LENOX MARCUS,"71956, Mountain Pine, Arkansas",71956,Arkansas,Region 6,Transient non-community system,25,,Hot Spring,3,0,5,-93.132798,34.598035,-93.132798,34.598035,-93.246798,-93.018798,34.484035,34.712035
ART000797,USFS LITTLE PINES REC AREA,"72958, Bates, Arkansas",72958,Arkansas,Region 6,Transient non-community system,25,,Scott,3,3,6,-94.09233,34.895998,-94.09233,34.895998,-94.47933,-93.70533,34.508998,35.282998
AR0000749,HWY 64 WATER ASSOCIATION,"72364, Marion, Arkansas",72364,Arkansas,Region 6,Community water system,240,,Crittenden,2,19,3,-90.198867,35.210435,-90.198867,35.210435,-90.326867,-90.070867,35.082435,35.338435
AR0000307,STRAWBERRY WATERWORKS,"72469, Calamine, Arkansas",72469,Arkansas,Region 6,Community water system,903,,Lawrence,4,6,6,-91.318637,35.968649,-91.318637,35.968649,-91.456637,-91.180637,35.830649,36.106649
AR0000689,BALD KNOB NORTH WATER ASSOC,"488 US-167, Bald Knob, Arkansas, 72010",72010,Arkansas,Region 6,Community water system,2628,,"Jackson, White",5,2,4,-91.564199,35.354549,-91.563701,35.35453,-91.565199,-91.563199,35.353549,35.355549
AR0000790,AR DEPT OF CORRECTION IZARD CO,"71644, Grady, Arkansas",71644,Arkansas,Region 6,Community water system,600,,Izard,4,5,5,-91.768436,34.130852,-91.768436,34.130852,-91.954436,-91.582436,33.944852,34.316852
