PWSID,Approximate Address
CA1400151,Not Found
CA4000217,Not Found
CA3310063,Not Found
CA2600565,Not Found
CA5403085,Not Found
CA5700814,Not Found
CA2600559,Not Found
CA5100176,Not Found
CA0900220,Not Found
CA1000392,Not Found
CA2902378,Not Found
CA3301936,Not Found
CA0600072,Not Found
CA5500127,Not Found
CA2000327,Not Found
CA2000854,Not Found
CA2110011,Not Found
CA1900111,Not Found
CA1900658,Not Found
CA3400427,Not Found
CA4500091,Not Found
CA5700828,Not Found
CA3301677,Not Found
CA3600125,Not Found
CA2702440,Not Found
CA2702628,Not Found
CA1900034,Not Found
CA1009172,Not Found
CA1900090,Not Found
CA5400600,Not Found
CA3303085,Not Found
CA5000387,Not Found
CA1900639,Not Found
CA1900204,Not Found
CA0400046,Not Found
CA3303103,Not Found
CA0300592,Not Found
CA0400119,Not Found
CA1907036,Not Found
CA2000643,Not Found
CA0202531,Not Found
CA0300067,Not Found
CA0300679,Not Found
CA3400423,Not Found
CA3301372,Not Found
CA2900603,Not Found
CA4100504,Not Found
CA4400707,Not Found
CA2000917,Not Found
CA4700539,Not Found
CA4901098,Not Found
CA3301566,Not Found
CA2600566,Not Found
CA5700770,Not Found
CA1900003,Not Found
CA3400198,Not Found
CA0400116,Not Found
CA0707526,Not Found
CA1100159,Not Found
CA5700813,Not Found
CA1010058,Not Found
CA3901395,Not Found
CA5403021,Not Found
CA3500526,Not Found
CA3301526,Not Found
CA1000285,Not Found
CA1600504,Not Found
CA5401040,Not Found
CA4000743,Not Found
CA5800811,Not Found
CA4500155,Not Found
CA1900021,Not Found
CA5200656,Not Found
CA5000238,Not Found
CA4200740,Not Found
CA3601076,Not Found
CA3400140,Not Found
CA3701983,Not Found
CA1900834,Not Found
CA3705069,Not Found
CA0706026,Not Found
CA3100096,Not Found
CA1700621,Not Found
CA4000820,Not Found
CA2702564,Not Found
CA4810014,Not Found
CA1503482,Not Found
CA4000300,Not Found
CA1000452,Not Found
CA5200596,Not Found
CA3302088,Not Found
CA1900736,Not Found
CA2000514,Not Found
CA1000330,Not Found
CA2500515,Not Found
CA1502244,Not Found
CA1502745,Not Found
CA5403014,Not Found
CA4000751,Not Found
CA1900831,Not Found
CA5700580,Not Found
CA5700546,Not Found
CA1600014,Not Found
CA5000497,Not Found
CA1900641,Not Found
CA0310801,Not Found
CA5400918,Not Found
CA5103002,Not Found
CA2710706,Not Found
CA5403010,Not Found
CA3200106,Not Found
CA2210509,Not Found
CA2000614,Not Found
CA3601149,Not Found
CA4810029,Not Found
CA3601094,Not Found
CA5400507,Not Found
CA4901153,Not Found
CA5700600,Not Found
CA4800511,Not Found
CA5000139,Not Found
CA4300715,Not Found
CA4600055,Not Found
CA3701241,Not Found
CA4900688,Not Found
CA4400703,Not Found
CA0300627,Not Found
CA3302027,Not Found
CA4000814,Not Found
CA1200711,Not Found
CA1502697,Not Found
CA2702542,Not Found
CA3400126,Not Found
CA5400957,Not Found
CA3400384,Not Found
CA1503431,Not Found
CA1600601,Not Found
CA1000276,Not Found
CA3601055,Not Found
CA1900756,Not Found
CA3601054,Not Found
CA0104001,Not Found
CA1502222,Not Found
CA4600070,Not Found
CA1900987,Not Found
CA1500521,Not Found
CA1200796,Not Found
CA4700575,Not Found
CA5305101,Not Found
CA3500921,Not Found
CA0707581,Not Found
CA0400043,Not Found
CA4810031,Not Found
CA0409182,Not Found
CA5700727,Not Found
CA3301227,Not Found
CA2300823,Not Found
CA3200194,Not Found
CA1800521,Not Found
CA3601127,Not Found
CA3700952,Not Found
CA2701422,Not Found
CA3301735,Not Found
CA5304006,Not Found
CA5800810,Not Found
CA1700719,Not Found
CA1503212,Not Found
CA3900769,Not Found
CA3900778,Not Found
CA5700672,Not Found
CA5700719,Not Found
