PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Longitude,Latitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
CA3310081,PALM SPRINGS CREST,"66575 2nd St, Desert Hot Springs, California, 92240",92240,California,Region 9,Community water system,473,,Riverside,4,0,6,-116.499801,33.963243,-116.499791,33.96265,-116.500801,-116.498801,33.962243,33.964243
CA1000611,KEN'S CLOTHING AND GIFTS,"7080 N Marks Ave, Fresno, California, 93711",93711,California,Region 9,Transient non-community system,45,,Fresno,1,0,0,-119.84733,36.838833,-119.84733,36.838833,-119.85733,-119.83733,36.828833,36.848833
CA3210002,PLUMAS COUNTY FLOOD CONTROL,"1834 E Main St, Quincy, California, 95971",95971,California,Region 9,Community water system,100,,Plumas,7,0,10,-120.905602,39.934213,-120.905611,39.93408,-120.906602,-120.904602,39.933213,39.935213
CA0900536,TAHOE CHALET INN,"4127 Pine Blvd, South Lake Tahoe, California, 96150",96150,California,Region 9,Transient non-community system,100,,El Dorado,4,15,0,-119.946663,38.960462,-119.946961,38.96052,-119.947663,-119.945663,38.959462,38.961462
CA1000214,HARRIS RANCH,"23300 W Oakland Ave, Coalinga, California, 93210",93210,California,Region 9,Non-Transient non-community system,275,,Fresno,5,34,11,-120.216732,36.34179,-120.216732,36.34179,-120.226732,-120.206732,36.33179,36.35179
CA0900641,FALLEN LEAF MUTUAL WATER CO,"95685, Sutter Creek, California",95685,California,Region 9,Transient non-community system,100,,El Dorado,4,25,6,-120.804694,38.388698,-120.804694,38.388698,-120.978694,-120.630694,38.214698,38.562698
CA1900158,LITTLE BALDY,"93544, Crystalaire, California",93544,California,Region 9,Community water system,76,,Los Angeles,7,6,10,-117.845231,34.469068,-117.845231,34.469068,-118.035231,-117.655231,34.279068,34.659068
CA1910245,"SANTA FE SPRINGS - CITY, WATER DEPT.","11710 Telegraph Rd, Santa Fe Springs, California, 90670",90670,California,Region 9,Community water system,16223,SANTA FE SPRINGS,,27,1,15,-118.083854,33.946334,-118.083854,33.946334,-118.093854,-118.073854,33.936334,33.956334
CA0900560,FLL MUTUAL,"339 La Cuesta Dr, Portola Valley, California, 94028",94028,California,Region 9,Transient non-community system,100,,El Dorado,4,26,1,-122.195905,37.402969,-122.195905,37.402969,-122.205905,-122.185905,37.392969,37.412969
CA3700923,LAKE MORENA OAK SHORES MW CO.,"91906, Campo, California",91906,California,Region 9,Community water system,700,,San Diego,16,47,9,-116.509573,32.681725,-116.509573,32.681725,-116.686573,-116.332573,32.504725,32.858725
