PWSID,Approximate Address
CO0222233,Not Found
CO0203008,Not Found
CO0234600,Not Found
CO0215552,Not Found
CO0215288,Not Found
CO0207318,Not Found
CO0223711,Not Found
CO0251800,Not Found
CO0207725,Not Found
CO0207755,Not Found
CO0207150,Not Found
CO0257326,Not Found
CO0234279,Not Found
CO0238425,Not Found
CO0201025,Not Found
CO0103080,Not Found
CO0230412,Not Found
CO0222676,Not Found
CO0222770,Not Found
CO0222530,Not Found
CO0230294,Not Found
CO0263500,Not Found
CO0222820,Not Found
CO0201047,Not Found
CO0230837,Not Found
CO0247468,Not Found
CO0257325,Not Found
CO0139156,Not Found
CO0247206,Not Found
CO0221440,Not Found
CO0240800,Not Found
CO0262255,Not Found
CO0257327,Not Found
CO0214500,Not Found
CO0214325,Not Found
CO0222683,Not Found
CO0214300,Not Found
CO0235134,Not Found
CO0222990,Not Found
CO0234152,Not Found
CO0214327,Not Found
CO0262338,Not Found
CO0230120,Not Found
CO0204950,Not Found
CO0239154,Not Found
CO0222155,Not Found
CO0259733,Not Found
CO0230518,Not Found
CO0230050,Not Found
CO0208285,Not Found
CO0247041,Not Found
CO0239666,Not Found
CO0234920,Not Found
CO0247036,Not Found
CO0262715,Not Found
CO0151900,Not Found
CO0240189,Not Found
CO0252681,Not Found
CO0249132,Not Found
CO0334730,Not Found
CO0207510,Not Found
CO0258003,Not Found
CO0121825,Not Found
CO0335761,Not Found
CO0213192,Not Found
CO0262466,Not Found
CO0134100,Not Found
CO0221266,Not Found
CO0230007,Not Found
CO0254716,Not Found
CO0223118,Not Found
CO0221720,Not Found
CO0224724,Not Found
CO0254352,Not Found
CO0207605,Not Found
CO0235458,Not Found
CO0234338,Not Found
CO0253480,Not Found
CO0240650,Not Found
CO0230296,Not Found
CO0234121,Not Found
CO0235780,Not Found
CO0251146,Not Found
CO0144032,Not Found
CO0221840,Not Found
CO0247325,Not Found
CO0222726,Not Found
CO0257712,Not Found
CO0335582,Not Found
CO0236832,Not Found
CO0247333,Not Found
CO0259155,Not Found
CO0260440,Not Found
CO0262152,Not Found
CO0241103,Not Found
CO0243185,Not Found
CO0225320,Not Found
CO0230002,Not Found
CO0227734,Not Found
CO0202825,Not Found
CO0254245,Not Found
CO0207465,Not Found
CO0214900,Not Found
CO0221100,Not Found
CO0235346,Not Found
CO0215719,Not Found
CO0230124,Not Found
CO0235840,Not Found
CO0207383,Not Found
CO0230880,Not Found
CO0251500,Not Found
CO0235257,Not Found
CO0221975,Not Found
CO0151250,Not Found
CO0235266,Not Found
CO0235343,Not Found
CO0222055,Not Found
CO0347695,Not Found
CO0223605,Not Found
CO0262350,Not Found
CO0254705,Not Found
CO0218031,Not Found
CO0202155,Not Found
CO0314462,Not Found
CO0333150,Not Found
CO0204600,Not Found
CO0259008,Not Found
CO0223351,Not Found
CO0218047,Not Found
CO0108400,Not Found
CO0116140,Not Found
CO0333896,Not Found
CO0262211,Not Found
CO0233640,Not Found
CO0152184,Not Found
CO0227510,Not Found
CO0146516,Not Found
CO0222742,Not Found
CO0219600,Not Found
CO0139157,Not Found
CO0243148,Not Found
CO0247007,Not Found
CO0107676,Not Found
CO0215700,Not Found
CO0227167,Not Found
CO0204146,Not Found
CO0262710,Not Found
CO0112505,Not Found
CO0243149,Not Found
CO0221780,Not Found
CO0235100,Not Found
CO0247120,Not Found
CO0222200,Not Found
CO0219742,Not Found
CO0207588,Not Found
CO0225125,Not Found
CO0252118,Not Found
CO0222600,Not Found
CO0252500,Not Found
CO0247109,Not Found
CO0247110,Not Found
CO0247111,Not Found
CO0128601,Not Found
CO0255712,Not Found
CO0207250,Not Found
CO0255580,Not Found
CO0139529,Not Found
CO0247405,Not Found
CO0201023,Not Found
CO0207139,Not Found
CO0211050,Not Found
CO0238500,Not Found
CO0259031,Not Found
CO0201021,Not Found
CO0255570,Not Found
CO0326502,Not Found
CO0247022,Not Found
CO0108850,Not Found
CO0235169,Not Found
CO0123709,Not Found
CO0138044,Not Found
CO0134600,Not Found
CO0221801,Not Found
CO0218715,Not Found
CO0152334,Not Found
CO0101120,Not Found
CO0135559,Not Found
CO0207618,Not Found
CO0247043,Not Found
CO0251434,Not Found
CO0235672,Not Found
CO0247400,Not Found
CO0247833,Not Found
CO0225175,Not Found
CO0262285,Not Found
CO0325323,Not Found
CO0135621,Not Found
CO0314480,Not Found
CO0240450,Not Found
CO0354143,Not Found
CO0216002,Not Found
CO0201037,Not Found
CO0143676,Not Found
CO0227733,Not Found
CO0118665,Not Found
CO0222100,Not Found
CO0111300,Not Found
CO0215202,Not Found
CO0234352,Not Found
CO0245100,Not Found
CO0322305,Not Found
CO0235485,Not Found
CO0101106,Not Found
