PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Longitude,Latitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
CO0135838,WELLINGTON TOWN OF,"80549, Wellington, Colorado",80549,Colorado,Region 8,Community water system,7450,,Larimer,15,2,6,-104.997987,40.69107,-104.997987,40.69107,-105.304987,-104.690987,40.38407,40.99807
CO0234800,SUNDOWN ACRES RV PARK,"5875 Highway 550, Durango, Colorado, 81303",81303,Colorado,Region 8,Transient non-community system,65,,La Plata,3,3,2,-107.868004,37.078881,-107.869641,37.07922,-107.869004,-107.867004,37.077881,37.079881
CO0240400,FREEMONS GUEST RANCH,"39284 Highway 149, Creede, Colorado, 81130",81130,Colorado,Region 8,Transient non-community system,65,,Mineral,3,11,5,-107.111084,37.764495,-107.109301,37.76602,-107.112084,-107.110084,37.763495,37.765495
CO0126618,PONDEROSA PARK ASSOC,"81224, Crested Butte, Colorado",81224,Colorado,Region 8,Community water system,25,,Gunnison,5,5,3,-106.887482,38.815141,-106.887482,38.815141,-107.198482,-106.576482,38.504141,39.126141
CO0234709,PURA VIDA CAFE,"14810 CR-501, Bayfield, Colorado, 81122",81122,Colorado,Region 8,Transient non-community system,112,,La Plata,3,4,1,-107.562497,37.396693,-107.562281,37.39663,-107.563497,-107.561497,37.395693,37.397693
CO0136249,EL MORO HOEHNE PIPELINE ASSOC,"81082, Trinidad, Colorado",81082,Colorado,Region 8,Community water system,655,,Las Animas,2,4,2,-104.504117,37.169243,-104.504117,37.169243,-104.941117,-104.067117,36.732243,37.606243
CO0120184,COYOTE HILLS WS,"9578 Summit Ridge Pl, Parker, Colorado, 80138",80138,Colorado,Region 8,Community water system,84,,Elbert,5,13,2,-104.704976,39.538352,-104.704976,39.538352,-104.714976,-104.694976,39.528352,39.548352
CO0149621,PRINCE CREEK HOA,"642 Handy Dr, Carbondale, Colorado, 81623",81623,Colorado,Region 8,Community water system,50,,Pitkin,7,182,5,-107.175522,39.353324,-107.175531,39.35284,-107.176522,-107.174522,39.352324,39.354324
CO0235138,BEAVER MEADOWS RESORT,"100 Beavers Mdws, Red Feather Lakes, Colorado, 80545",80545,Colorado,Region 8,Transient non-community system,202,,Larimer,7,7,6,-105.651274,40.841943,-105.648681,40.84253,-105.652274,-105.650274,40.840943,40.842943
CO0235318,GLEN HAVEN GENERAL STORE,"80532, Glen Haven, Colorado",80532,Colorado,Region 8,Transient non-community system,50,,Larimer,5,0,1,-105.450164,40.451947,-105.450164,40.451947,-105.516164,-105.384164,40.385947,40.517947
