PWSID,Approximate Address
CT0341124,Not Found
CT0560214,Not Found
CT1340194,Not Found
CT0900143,Not Found
CT0050184,Not Found
CT0420134,Not Found
CT0570094,Not Found
CT1210154,Not Found
CT1091102,Not Found
CT0840054,Not Found
CT1290054,Not Found
CT1020124,Not Found
CT0723011,Not Found
CT0790034,Not Found
CT0960251,Not Found
CT0970334,Not Found
CT0200044,Not Found
CT0209303,Not Found
CT0180211,Not Found
CT0420154,Not Found
CT1660324,Not Found
CT0960594,Not Found
CT0181182,Not Found
CT1430964,Not Found
CT1310054,Not Found
CT0410264,Not Found
CT1370034,Not Found
CT0990034,Not Found
CT0190284,Not Found
CT0493011,Not Found
CT1660124,Not Found
CT1300472,Not Found
CT1110274,Not Found
CT0230024,Not Found
CT1120054,Not Found
CT0915043,Not Found
CT0200084,Not Found
CT0810011,Not Found
CT0189864,Not Found
CT0180152,Not Found
CT0540021,Not Found
CT0990234,Not Found
CT1460174,Not Found
CT0690304,Not Found
CT0910534,Not Found
CT0614031,Not Found
CT0960354,Not Found
CT1080284,Not Found
CT1100014,Not Found
CT0261094,Not Found
CT0610214,Not Found
CT0727083,Not Found
CT0230184,Not Found
CT0030054,Not Found
CT0999053,Not Found
CT1341313,Not Found
CT1470174,Not Found
CT0347021,Not Found
CT0820204,Not Found
CT0180634,Not Found
CT1120324,Not Found
CT0070573,Not Found
CT0915213,Not Found
CT0450024,Not Found
CT1690324,Not Found
CT0180564,Not Found
CT0429083,Not Found
CT0090044,Not Found
CT1179033,Not Found
CT1378021,Not Found
CT0690284,Not Found
CT0050164,Not Found
CT1350024,Not Found
CT1600021,Not Found
CT0709184,Not Found
CT0120304,Not Found
CT0821001,Not Found
CT1299034,Not Found
CT1299044,Not Found
CT0180014,Not Found
CT1270013,Not Found
CT0090202,Not Found
CT0581024,Not Found
CT0614043,Not Found
CT0420294,Not Found
CT0189914,Not Found
CT0180854,Not Found
CT0180194,Not Found
CT0598011,Not Found
CT0180984,Not Found
CT0459103,Not Found
CT1660022,Not Found
CT1180442,Not Found
CT1340021,Not Found
CT1320283,Not Found
CT0270051,Not Found
CT0560144,Not Found
CT1500164,Not Found
CT1420014,Not Found
CT0380254,Not Found
CT1179103,Not Found
CT0861131,Not Found
CT0798023,Not Found
CT0960214,Not Found
CT0610394,Not Found
CT1260084,Not Found
CT0614054,Not Found
CT0341304,Not Found
CT1370021,Not Found
CT1686094,Not Found
CT0610633,Not Found
CT0866051,Not Found
CT0430064,Not Found
CT0614034,Not Found
CT1470084,Not Found
CT0099263,Not Found
CT0671001,Not Found
CT0780141,Not Found
CT0550024,Not Found
CT0672011,Not Found
CT1680094,Not Found
CT1090271,Not Found
CT0190304,Not Found
CT0610334,Not Found
CT0760041,Not Found
CT0719144,Not Found
CT0960394,Not Found
CT0960051,Not Found
CT0340424,Not Found
CT1080504,Not Found
CT0570194,Not Found
CT0970484,Not Found
CT0130094,Not Found
CT1110264,Not Found
CT0230294,Not Found
CT1640054,Not Found
CT1370413,Not Found
CT1180432,Not Found
CT1090034,Not Found
CT1640034,Not Found
CT0850452,Not Found
CT1640024,Not Found
CT1686093,Not Found
CT0408021,Not Found
CT1170024,Not Found
CT0870233,Not Found
CT0363011,Not Found
CT0970224,Not Found
CT0190154,Not Found
CT0860204,Not Found
CT0850044,Not Found
CT0570244,Not Found
CT1420091,Not Found
CT0189403,Not Found
CT1430021,Not Found
CT0460094,Not Found
CT0850074,Not Found
CT0180834,Not Found
CT1330054,Not Found
CT0120344,Not Found
CT0300124,Not Found
CT0209313,Not Found
CT0861151,Not Found
CT1120354,Not Found
CT0860434,Not Found
CT0860344,Not Found
CT0180114,Not Found
CT1160084,Not Found
CT0309083,Not Found
CT0280064,Not Found
CT0859071,Not Found
CT1609144,Not Found
CT0386051,Not Found
CT1330052,Not Found
CT0410504,Not Found
CT1310134,Not Found
CT1320074,Not Found
CT1350064,Not Found
CT1426011,Not Found
CT1680074,Not Found
CT1430274,Not Found
CT0979284,Not Found
CT1340054,Not Found
CT1620214,Not Found
CT0970264,Not Found
CT0780044,Not Found
CT1140024,Not Found
CT0180472,Not Found
CT0480081,Not Found
CT0970204,Not Found
CT1280144,Not Found
CT0969384,Not Found
CT0180161,Not Found
CT0740324,Not Found
CT1669061,Not Found
CT0180404,Not Found
CT0250034,Not Found
CT1390112,Not Found
CT0189934,Not Found
CT0710094,Not Found
CT0189133,Not Found
CT0530294,Not Found
CT0601031,Not Found
CT0300164,Not Found
CT0990414,Not Found
CT0300174,Not Found
CT1610224,Not Found
CT0181034,Not Found
