PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Longitude,Latitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
CT0920044,CAMP SEQUASSEN (FRIENDSHIP - WELL #3),"791 W Hill Rd, New Hartford, Town of, Connecticut, 06057",06057,Connecticut,Region 1,Transient non-community system,25,NEW HARTFORD,Litchfield,3,2,2,-73.05044,41.877384,-73.053321,41.86985,-73.05144,-73.04944,41.876384,41.878384
CT0920104,TOWN OF NEW HARTFORD - BROWN'S CORNER,"530 Main St, New Hartford, Town of, Connecticut, 06057",06057,Connecticut,Region 1,Transient non-community system,200,NEW HARTFORD,Litchfield,3,35,3,-72.979895,41.879029,-72.979581,41.87915,-72.980895,-72.978895,41.878029,41.880029
CT0110041,ORCHARD HILL ASSOCIATION,"7 Juniper Rd, Bloomfield, Town of, Connecticut, 06002",06002,Connecticut,Region 1,Community water system,30,BLOOMFIELD,Hartford,4,22,4,-72.771615,41.827143,-72.771341,41.82644,-72.772615,-72.770615,41.826143,41.828143
CT0230044,CANTON CENTER GENERAL STORE,"153 Babbling Brook Rd, Torrington, Town of, Connecticut, 06790",06790,Connecticut,Region 1,Transient non-community system,36,CANTON,Hartford,3,10,3,-73.123464,41.870779,-73.125941,41.86965,-73.124464,-73.122464,41.869779,41.871779
CT0421011,COBALT LODGE HEALTHCARE & REHAB CENTER,"06414, Cobalt, Connecticut",06414,Connecticut,Region 1,Community water system,130,EAST HAMPTON,Middlesex,6,39,3,-72.551466,41.571039,-72.551466,41.571039,-72.560466,-72.542466,41.562039,41.580039
CT0429023,CL&P EAST HAMPTON SERVICE CTR,"107 Selden St, Berlin, Town of, Connecticut, 06037",06037,Connecticut,Region 1,Non-Transient non-community system,80,EAST HAMPTON,Middlesex,6,2,2,-72.727893,41.648327,-72.727893,41.648327,-72.737893,-72.717893,41.638327,41.658327
CT0560132,FIRST CONGREGATIONAL CHURCH OF GRANBY,"219 N Granby Rd, Granby, Connecticut, 06035",06035,Connecticut,Region 1,Non-Transient non-community system,40,GRANBY,Hartford,5,31,2,-72.813643,41.976866,-72.813643,41.976866,-72.823643,-72.803643,41.966866,41.986866
CT0301152,EASTCONN COLUMBIA,"376 Hartford Tpke, Hampton, Town of, Connecticut, 06247",06247,Connecticut,Region 1,Non-Transient non-community system,60,COLUMBIA,Tolland,3,45,3,-72.086633,41.771136,-72.087611,41.77226,-72.087633,-72.085633,41.770136,41.772136
CT1120344,SHARPE HILL VINEYARD,"06258, Pomfret, Connecticut",06258,Connecticut,Region 1,Transient non-community system,37,POMFRET,Windham,3,0,1,-71.966582,41.891721,-71.966582,41.891721,-71.971582,-71.961582,41.886721,41.896721
CT1200062,"ROXBURY MARKET PROPERTIES, LLC","06752, Bridgewater, Connecticut",06752,Connecticut,Region 1,Transient non-community system,49,ROXBURY,Litchfield,4,32,2,-73.352454,41.530668,-73.352454,41.530668,-73.415454,-73.289454,41.467668,41.593668
CT0850084,LAKE ZOAR DRIVE IN,"06491, Stevenson, Connecticut",06491,Connecticut,Region 1,Transient non-community system,25,MONROE,Fairfield,3,4,2,-73.188332,41.386059,-73.188332,41.386059,-73.193332,-73.183332,41.381059,41.391059
CT0920084,CAMP SEQUASSEN (NORTH-WELL #5),"791 W Hill Rd, New Hartford, Town of, Connecticut, 06057",06057,Connecticut,Region 1,Transient non-community system,25,NEW HARTFORD,Litchfield,3,9,2,-73.05044,41.877384,-73.053321,41.86985,-73.05144,-73.04944,41.876384,41.878384
CT0290044,TOWN HALL/SENIOR CENTER/GENERAL STORE,"562 Colebrook Rd, Colebrook, Town of, Connecticut, 06021",06021,Connecticut,Region 1,Transient non-community system,25,COLEBROOK,Litchfield,3,3,2,-73.096132,41.990044,-73.096132,41.990044,-73.106132,-73.086132,41.980044,42.000044
CT1210164,WITCH MEADOW LAKE CAMPGROUND - WELL #3,"06415, Colchester, Connecticut",06415,Connecticut,Region 1,Transient non-community system,25,SALEM,New London,3,0,2,-72.325318,41.575219,-72.325318,41.575219,-72.466318,-72.184318,41.434219,41.716219
CT1120234,THE VANILLA BEAN CAFE,"06258, Pomfret, Connecticut",06258,Connecticut,Region 1,Transient non-community system,47,POMFRET,Windham,3,0,2,-71.966582,41.891721,-71.966582,41.891721,-71.971582,-71.961582,41.886721,41.896721
CT1050394,"163 BOSTON POST ROAD, LLC - OLD LYME","163 Boston Post Rd, Old Lyme, Town of, Connecticut, 06371",06371,Connecticut,Region 1,Transient non-community system,25,OLD LYME,New London,3,8,2,-72.300575,41.347766,-72.300091,41.34734,-72.301575,-72.299575,41.346766,41.348766
CT0081124,VETERANS MEMORIAL PARK PAVILLION,"40 Peck Rd, Bethany, Town of, Connecticut, 06524",06524,Connecticut,Region 1,Transient non-community system,25,BETHANY,New Haven,3,0,1,-73.000667,41.422108,-73.000521,41.42235,-73.001667,-72.999667,41.421108,41.423108
CT1311044,PANTHORN PARK UPPER RESTROOM,"196 N Main St, Southington, Town of, Connecticut, 06489",06489,Connecticut,Region 1,Transient non-community system,25,SOUTHINGTON,Hartford,3,11,2,-72.878129,41.605881,-72.878401,41.60583,-72.879129,-72.877129,41.604881,41.606881
CT1360154,ONECO MARKET,"Plainfield Pike, Oneco, Connecticut, 06373",06373,Connecticut,Region 1,Transient non-community system,25,STERLING,Windham,3,12,4,-71.813823,41.692432,-71.813823,41.692432,-71.814823,-71.812823,41.691432,41.693432
CT0900133,ST LUKES SCHOOL ATHLETIC CENTER,"377 N Wilton Rd, New Canaan, Town of, Connecticut, 06840",06840,Connecticut,Region 1,Non-Transient non-community system,500,NEW CANAAN,Fairfield,5,0,2,-73.498786,41.193346,-73.496501,41.19185,-73.499786,-73.497786,41.192346,41.194346
CT0420644,BROOKS PLAZA,"816 Boston Post Rd, Westbrook, Town of, Connecticut, 06498",06498,Connecticut,Region 1,Non-Transient non-community system,67,EAST HAMPTON,Middlesex,3,52,2,-72.459928,41.279915,-72.460621,41.28041,-72.460928,-72.458928,41.278915,41.280915
CT0080064,BETHANY TOWN CENTER,"44 Peck Rd, Bethany, Town of, Connecticut, 06524",06524,Connecticut,Region 1,Non-Transient non-community system,750,BETHANY,New Haven,10,3,3,-73.001027,41.422158,-73.000331,41.42449,-73.002027,-73.000027,41.421158,41.423158
CT0010084,7-ELEVEN #32523,"1 Burlington Woods Dr, Burlington, Town of, Massachusetts, 01803",01803,Connecticut,Region 1,Transient non-community system,25,ANDOVER,Tolland,5,5,2,-71.198575,42.487175,-71.198575,42.487175,-71.208575,-71.188575,42.477175,42.497175
CT0081104,BETHANY VOLUNTEER FIRE DEPT HQ,"40 Peck Rd, Bethany, Town of, Connecticut, 06524",06524,Connecticut,Region 1,Transient non-community system,25,BETHANY,New Haven,4,2,2,-73.000667,41.422108,-73.000521,41.42235,-73.001667,-72.999667,41.421108,41.423108
CT0860031,"OAKDALE HEIGHTS ASSOCIATION, INC","06370, Oakdale, Connecticut",06370,Connecticut,Region 1,Community water system,876,MONTVILLE,New London,12,15,3,-72.197674,41.474886,-72.197674,41.474886,-72.266674,-72.128674,41.405886,41.543886
CT1400054,EAGLE ROCK CONG. CHURCH,"110 Reynolds Bridge Rd, Thomaston, Town of, Connecticut, 06787",06787,Connecticut,Region 1,Transient non-community system,25,THOMASTON,Litchfield,3,2,1,-73.088448,41.652404,-73.088601,41.65244,-73.089448,-73.087448,41.651404,41.653404
CT0631213,EASTCONN CENTRAL ADMINISTRATION,"376 Hartford Tpke, Hampton, Town of, Connecticut, 06247",06247,Connecticut,Region 1,Non-Transient non-community system,65,HAMPTON,Windham,4,5,2,-72.086633,41.771136,-72.087611,41.77226,-72.087633,-72.085633,41.770136,41.772136
CT0590011,GROTON UTILITIES,"295 Meridian St, Groton, Connecticut, 06340",06340,Connecticut,Region 1,Community water system,30200,"GROTON, LEDYARD",New London,27,0,5,-72.070341,41.35482,-72.070341,41.35482,-72.080341,-72.060341,41.34482,41.36482
CT1051011,BOXWOOD CONDOMINIUM ASSOCIATION,"9 Lyme St, Old Lyme, Town of, Connecticut, 06371",06371,Connecticut,Region 1,Community water system,28,OLD LYME,New London,4,79,3,-72.330863,41.313793,-72.329531,41.31336,-72.331863,-72.329863,41.312793,41.314793
CT0779074,MANCHESTER CONG. OF JEHOVAHS WITNESSES,"Bolton St, Manchester, Connecticut, 06042",06042,Connecticut,Region 1,Transient non-community system,222,MANCHESTER,Hartford,4,0,1,-72.539158,41.78442,-72.539158,41.78442,-72.543158,-72.535158,41.78042,41.78842
CT0120374,UNITED METHODIST CHURCH,"1041 Boston Tpke, Bolton, Town of, Connecticut, 06043",06043,Connecticut,Region 1,Transient non-community system,35,BOLTON,Tolland,3,0,3,-72.428477,41.796429,-72.428477,41.796429,-72.438477,-72.418477,41.786429,41.806429
CT0220034,FIRST CONGREGATIONAL CHURCH,"06415, Colchester, Connecticut",06415,Connecticut,Region 1,Transient non-community system,25,CANTERBURY,Windham,5,6,1,-72.325318,41.575219,-72.325318,41.575219,-72.466318,-72.184318,41.434219,41.716219
CT0030114,BRIALEE RV & TENT PARK,"174 Laurel Ln, Ashford, Town of, Connecticut, 06278",06278,Connecticut,Region 1,Non-Transient non-community system,100,ASHFORD,Windham,6,2,2,-72.177795,41.886235,-72.177861,41.88877,-72.178795,-72.176795,41.885235,41.887235
CT0309124,52 ROUTE 66,"06237, Columbia, Connecticut",06237,Connecticut,Region 1,Transient non-community system,25,COLUMBIA,Tolland,3,1,2,-72.313608,41.691095,-72.313608,41.691095,-72.388608,-72.238608,41.616095,41.766095
CT0341194,WOOSTER MOUNTAIN GUN CLUB,"06897, Wilton, Connecticut",06897,Connecticut,Region 1,Transient non-community system,25,DANBURY,Fairfield,3,55,1,-73.440566,41.209874,-73.440566,41.209874,-73.501566,-73.379566,41.148874,41.270874
CT0590253,COMCAST CABLEVISION,"06037, Berlin, Connecticut",06037,Connecticut,Region 1,Non-Transient non-community system,35,GROTON,New London,4,65,2,-72.776624,41.603256,-72.776624,41.603256,-72.841624,-72.711624,41.538256,41.668256
CT1630104,GAUTHIER FIELD,"06280, Windham, Connecticut",06280,Connecticut,Region 1,Transient non-community system,25,WINDHAM,Windham,3,3,2,-72.151828,41.699325,-72.151828,41.699325,-72.219828,-72.083828,41.631325,41.767325
CT0760034,KLEINS GOLF RANGE,"391 Durham Rd, Madison, Town of, Connecticut, 06443",06443,Connecticut,Region 1,Transient non-community system,31,MADISON,New Haven,5,29,2,-72.605014,41.305567,-72.605601,41.30543,-72.606014,-72.604014,41.304567,41.306567
CT0920064,CAMP SEQUASSEN (RANGER - WELL #1),"791 W Hill Rd, New Hartford, Town of, Connecticut, 06057",06057,Connecticut,Region 1,Transient non-community system,29,NEW HARTFORD,Litchfield,3,3,2,-73.05044,41.877384,-73.053321,41.86985,-73.05144,-73.04944,41.876384,41.878384
CT0920074,CAMP SEQUASSEN (SOUTH - WELL #4),"791 W Hill Rd, New Hartford, Town of, Connecticut, 06057",06057,Connecticut,Region 1,Transient non-community system,25,NEW HARTFORD,Litchfield,3,5,2,-73.05044,41.877384,-73.053321,41.86985,-73.05144,-73.04944,41.876384,41.878384
CT1410234,VALLEY SPRINGS SPORTSMAN CLUB,"65 Valley Rd, Thompson, Town of, Connecticut, 06255",06255,Connecticut,Region 1,Transient non-community system,25,THOMPSON,Windham,3,4,3,-71.884854,41.978193,-71.884711,41.97816,-71.885854,-71.883854,41.977193,41.979193
CT1099181,"MOOSUP POND APARTMENTS, LLC","349 Mack Rd, Lebanon, Town of, Connecticut, 06249",06249,Connecticut,Region 1,Community water system,46,PLAINFIELD,Windham,9,83,1,-72.250385,41.634549,-72.249051,41.63507,-72.251385,-72.249385,41.633549,41.635549
CT1270074,HOLY TRINITY CHURCH,"15 CT-37 S, Sherman, Connecticut, 06784",06784,Connecticut,Region 1,Transient non-community system,25,SHERMAN,Fairfield,3,1,1,-73.498852,41.575579,-73.498852,41.575579,-73.508852,-73.488852,41.565579,41.585579
CT0740034,BANTAM INN RESTAURANT,"810 Bantam Rd, Bantam, Connecticut, 06750",06750,Connecticut,Region 1,Transient non-community system,25,LITCHFIELD,Litchfield,3,2,2,-73.236883,41.72429,-73.236883,41.72429,-73.246883,-73.226883,41.71429,41.73429
CT0190024,BROOKLYN COUNTRY CLUB/GOLF COURSE,"240 South St, Brooklyn, Connecticut, 06234",06234,Connecticut,Region 1,Transient non-community system,25,BROOKLYN,Windham,3,24,2,-71.895483,41.787503,-71.895483,41.787503,-71.905483,-71.885483,41.777503,41.797503
CT0920054,CAMP SEQUASSEN (LOOMIS - WELL #2),"791 W Hill Rd, New Hartford, Town of, Connecticut, 06057",06057,Connecticut,Region 1,Transient non-community system,25,NEW HARTFORD,Litchfield,3,3,2,-73.05044,41.877384,-73.053321,41.86985,-73.05144,-73.04944,41.876384,41.878384
CT0850102,OUR LADY OF THE ROSARY CHAPEL,"15 Pepper St, Monroe, Town of, Connecticut, 06468",06468,Connecticut,Region 1,Non-Transient non-community system,40,MONROE,Fairfield,4,28,2,-73.263842,41.321978,-73.263711,41.32224,-73.264842,-73.262842,41.320978,41.322978
CT0470044,MARKOWSKI FARMS,"216 Babbs Rd, Suffield, Town of, Connecticut, 06093",06093,Connecticut,Region 1,Non-Transient non-community system,155,EAST WINDSOR,Hartford,10,46,2,-72.748495,42.023804,-72.747641,42.02385,-72.749495,-72.747495,42.022804,42.024804
CT0610324,ME & MCGEE RESTAURANT,"297 Farm Hill Rd, Middletown, Connecticut, 06457",06457,Connecticut,Region 1,Transient non-community system,25,HADDAM,Middlesex,4,28,2,-72.649974,41.537039,-72.649974,41.537039,-72.659974,-72.639974,41.527039,41.547039
CT0311021,KUGEMAN VILLAGE,"256 Kent Rd, Cornwall Bridge, Connecticut, 06754",06754,Connecticut,Region 1,Community water system,54,CORNWALL,Litchfield,9,7,3,-73.397607,41.793783,-73.397607,41.793783,-73.407607,-73.387607,41.783783,41.803783
CT1680031,WOODLAKE TAX DISTRICT,"57 Clubhouse Dr, Woodbury, Connecticut, 06798",06798,Connecticut,Region 1,Community water system,912,WOODBURY,Litchfield,16,23,3,-73.230831,41.522054,-73.230831,41.522054,-73.240831,-73.220831,41.512054,41.532054
CT1631152,WILE MOTORS,"21 Route 66 E, Columbia, Town of, Connecticut, 06237",06237,Connecticut,Region 1,Non-Transient non-community system,40,WINDHAM,Windham,4,1,2,-72.247838,41.718236,-72.248371,41.71784,-72.248838,-72.246838,41.717236,41.719236
CT0900072,ST LUKES SCHOOL,"377 N Wilton Rd, New Canaan, Town of, Connecticut, 06840",06840,Connecticut,Region 1,Non-Transient non-community system,405,NEW CANAAN,Fairfield,4,34,2,-73.498786,41.193346,-73.496501,41.19185,-73.499786,-73.497786,41.192346,41.194346
CT0971011,MASONICARE OF NEWTOWN,"06470, Newtown, Connecticut",06470,Connecticut,Region 1,Community water system,504,NEWTOWN,Fairfield,18,53,3,-73.30319,41.40947,-73.30319,41.40947,-73.39019,-73.21619,41.32247,41.49647
CT0925014,BRODIE PARK NORTH,"530 Main St, New Hartford, Town of, Connecticut, 06057",06057,Connecticut,Region 1,Transient non-community system,28,NEW HARTFORD,Litchfield,3,3,1,-72.979895,41.879029,-72.979581,41.87915,-72.980895,-72.978895,41.878029,41.880029
CT0740424,THE MAIN COURSE RESTAURANT,"625 Torrington Rd, Litchfield, Town of, Connecticut, 06759",06759,Connecticut,Region 1,Transient non-community system,25,LITCHFIELD,Litchfield,4,21,4,-73.154171,41.783727,-73.154231,41.78382,-73.155171,-73.153171,41.782727,41.784727
