PWSID,Approximate Address
DE00A0809,Not Found
DE0000068,Not Found
DE00A0312,Not Found
DE0000342,Not Found
DE0001589,Not Found
DE0020031,Not Found
DE0000301,Not Found
DE00A0842,Not Found
DE00A0788,Not Found
DE0000973,Not Found
DE0000713,Not Found
DE0000821,Not Found
DE0020035,Not Found
DE0000141,Not Found
DE00A0847,Not Found
DE0020028,Not Found
DE0000662,Not Found
DE0020019,Not Found
DE0000273,Not Found
DE0000469,Not Found
DE00A0682,Not Found
DE0020024,Not Found
DE00A0329,Not Found
DE00A0708,Not Found
DE00A0234,Not Found
DE0000365,Not Found
DE0003305,Not Found
DE0000147,Not Found
DE0001305,Not Found
DE0001311,Not Found
DE0000225,Not Found
DE0000093,Not Found
DE0002311,Not Found
DE00A0750,Not Found
DE0000015,Not Found
DE00A0761,Not Found
DE0000619,Not Found
DE0020029,Not Found
DE0000917,Not Found
DE00A0854,Not Found
DE00A0752,Not Found
DE0020025,Not Found
DE0020047,Not Found
DE0000085,Not Found
DE0000959,Not Found
DE00A0582,Not Found
DE0001618,Not Found
DE0000187,Not Found
DE0000431,Not Found
DE0004618,Not Found
DE0003618,Not Found
DE00A0773,Not Found
DE0000638,Not Found
DE0000103,Not Found
DE0000810,Not Found
DE0020011,Not Found
DE0000306,Not Found
DE0000912,Not Found
DE0000716,Not Found
DE0000860,Not Found
DE00A0705,Not Found
DE0000617,Not Found
DE0000003,Not Found
DE0000918,Not Found
DE0000719,Not Found
DE0007319,Not Found
DE0000649,Not Found
DE0006319,Not Found
DE0000877,Not Found
DE0000263,Not Found
DE0000261,Not Found
DE00A0690,Not Found
DE00A0782,Not Found
DE00A0845,Not Found
DE0003593,Not Found
DE00A0624,Not Found
DE00A0793,Not Found
DE0000416,Not Found
DE00A0769,Not Found
