PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Longitude,Latitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
DE0002942,WHITE CLAY CREEK STATE PARK (SYSTEM 2),"425 Wedgewood Rd, Newark, Delaware, 19711",19711,Delaware,Region 3,Transient non-community system,25,NEWARK,New Castle,5,10,1,-75.775686,39.709958,-75.775851,39.71044,-75.776686,-75.774686,39.708958,39.710958
DE0000472,BRANDYWINE CREEK STATE PARK,"Adams Dam Rd, Wilmington, Delaware, 19807",19807,Delaware,Region 3,Transient non-community system,200,WINTERTHUR,New Castle,4,8,1,-75.595953,39.812657,-75.595953,39.812657,-75.605953,-75.585953,39.802657,39.822657
DE0000023,ST ANDREWS SCHOOL I,"19709, Middletown, Delaware",19709,Delaware,Region 3,Non-Transient non-community system,200,MIDDLETOWN,New Castle,7,6,4,-75.716832,39.45148,-75.716832,39.45148,-75.868832,-75.564832,39.29948,39.60348
DE0000840,ANGOLA BEACH ESTS.,"22971 Suburban Blvd, Lewes, Delaware, 19958",19958,Delaware,Region 3,Community water system,1275,LEWES,Sussex,8,4,9,-75.1667,38.670598,-75.166681,38.67082,-75.1677,-75.1657,38.669598,38.671598
DE0001942,WHITE CLAY CREEK STATE PARK (SYSTEM 1),"425 Wedgewood Rd, Newark, Delaware, 19711",19711,Delaware,Region 3,Transient non-community system,100,NEWARK,New Castle,4,10,1,-75.775686,39.709958,-75.775851,39.71044,-75.776686,-75.774686,39.708958,39.710958
DE0002023,ST ANDREWS SCHOOL II,"19709, Middletown, Delaware",19709,Delaware,Region 3,Non-Transient non-community system,140,MIDDLETOWN,New Castle,7,10,1,-75.716832,39.45148,-75.716832,39.45148,-75.868832,-75.564832,39.29948,39.60348
DE0000663,WILMINGTON WATER DEPARTMENT,"19801, Wilmington, Delaware",19801,Delaware,Region 3,Community water system,140000,WILMINGTON,New Castle,37,4,9,-75.546497,39.743726,-75.546497,39.743726,-75.591497,-75.501497,39.698726,39.788726
DE0000523,"HOLIDAY ACRES, LLC","19947, Georgetown, Delaware",19947,Delaware,Region 3,Community water system,132,DAGSBORO,Sussex,5,51,8,-75.388561,38.690731,-75.388561,38.690731,-75.537561,-75.239561,38.541731,38.839731
DE0000492,STRIMELS TRAILER PARK,"536 Main St, Cheswold, Delaware, 19904",19904,Delaware,Region 3,Community water system,40,CHESWOLD,Kent,5,7,9,-75.581411,39.221375,-75.580971,39.22078,-75.582411,-75.580411,39.220375,39.222375
DE00A0775,KRISTINS CARE AND LEARNING CENTER,"15519 Coastal Hwy, Milton, Delaware, 19968",19968,Delaware,Region 3,Non-Transient non-community system,44,NASSAU,Sussex,3,1,1,-75.218811,38.770719,-75.218811,38.770719,-75.228811,-75.208811,38.760719,38.780719
DE0000470,DELAWARE TURNPIKE ADMINISTRATION,"19702, Christiana, Delaware",19702,Delaware,Region 3,Non-Transient non-community system,80,NEWARK,New Castle,7,8,1,-75.747307,39.617556,-75.747307,39.617556,-75.873307,-75.621307,39.491556,39.743556
DE00A0783,WOODSIDE CENTER,"255 Airport Rd, New Castle, Delaware, 19720",19720,Delaware,Region 3,Transient non-community system,25,WOODSIDE,Kent,4,1,1,-75.619195,39.684201,-75.619651,39.68444,-75.620195,-75.618195,39.683201,39.685201
DE00A0686,RAINBOW DAY CARE,"19973, Blades, Delaware",19973,Delaware,Region 3,Non-Transient non-community system,54,SEAFORD,Sussex,3,6,3,-75.617582,38.643231,-75.617582,38.643231,-75.792582,-75.442582,38.468231,38.818231
