PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Longitude,Latitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
104121120,CREEKSIDE DEVELOPMENT,"220 Lagoon Rd, Canyonville, Oregon, 97417",97417,EPA Region 10,Region 10,Non-Transient non-community system,9200,ROSEBURG,,12,65,2,-123.297489,42.94013,-123.297489,42.94013,-123.307489,-123.287489,42.93013,42.95013
105300094,LUCKY EAGLE CASINO,"12888 188th Ave SW, Rochester, Washington, 98579",98579,EPA Region 10,Region 10,Non-Transient non-community system,3150,OAKVILLE,,6,57,2,-123.149545,46.815239,-123.149545,46.815239,-123.159545,-123.139545,46.805239,46.825239
105300032,SWINOMISH,"98257, La Conner, Washington",98257,EPA Region 10,Region 10,Community water system,925,LACONNER,,11,6,5,-122.536605,48.420987,-122.536605,48.420987,-122.602605,-122.470605,48.354987,48.486987
105338108,NORTHERN LIGHTS CASINO,"98257, La Conner, Washington",98257,EPA Region 10,Region 10,Non-Transient non-community system,2400,LA CONNER,,2,0,0,-122.536605,48.420987,-122.536605,48.420987,-122.602605,-122.470605,48.354987,48.486987
101600010,BIG SKY N. SUBDIVISION,"83205, Pocatello, Idaho",83205,EPA Region 10,Region 10,Community water system,300,POCATELLO,,8,73,2,-112.443051,42.868318,-112.443051,42.868318,-112.448051,-112.438051,42.863318,42.873318
101600005,BANNOCK PEAK STORE,"83203, Pocatello, Idaho",83203,EPA Region 10,Region 10,Transient non-community system,309,FORT HALL,,5,22,2,-112.208703,42.946245,-112.208703,42.946245,-112.752703,-111.664703,42.402245,43.490245
105300113,END OF TRAIL II,"12888 188th Ave SW, Rochester, Washington, 98579",98579,EPA Region 10,Region 10,Transient non-community system,400,OAKVILLE,,6,7,2,-123.149545,46.815239,-123.149545,46.815239,-123.159545,-123.139545,46.805239,46.825239
104101101,SIDWALTER,"97761, Warm Springs, Oregon",97761,EPA Region 10,Region 10,Community water system,130,WARM SPRINGS,,5,15,2,-121.266771,44.763401,-121.266771,44.763401,-121.831771,-120.701771,44.198401,45.328401
101600016,CLEARWATER RIVER CASINO & RESORT,"17500 Nez Perce Rd, Lewiston, Idaho, 83501",83501,EPA Region 10,Region 10,Non-Transient non-community system,650,LEWISTON,,5,147,2,-116.908261,46.436723,-116.907771,46.43612,-116.909261,-116.907261,46.435723,46.437723
105300091,PORT SUSAN CAMP CLUB #2,"98292, Stanwood, Washington",98292,EPA Region 10,Region 10,Community water system,900,MARYSVILLE,,7,97,3,-122.365453,48.241988,-122.365453,48.241988,-122.536453,-122.194453,48.070988,48.412988
105300116,QUIL CEDA VILLAGE,"8802 27th Ave NE, Marysville, Washington, 98271",98271,EPA Region 10,Region 10,Non-Transient non-community system,30000,TULALIP,,6,41,2,-122.194812,48.076348,-122.195311,48.07634,-122.195812,-122.193812,48.075348,48.077348
105300153,LEGENDS CASINO,"580 Fort Rd, Toppenish, Washington, 98948",98948,EPA Region 10,Region 10,Non-Transient non-community system,2144,,,6,100,0,-120.343084,46.375077,-120.343084,46.375077,-120.353084,-120.333084,46.365077,46.385077
105338102,PARKER,"98948, Toppenish, Washington",98948,EPA Region 10,Region 10,Community water system,300,,,5,2,0,-120.315229,46.377562,-120.315229,46.377562,-121.524229,-119.106229,45.168562,47.586562
105300092,PORT SUSAN CAMP CLUB #3,"98292, Stanwood, Washington",98292,EPA Region 10,Region 10,Community water system,700,MARYSVILLE,,7,161,3,-122.365453,48.241988,-122.365453,48.241988,-122.536453,-122.194453,48.070988,48.412988
105300090,PORT SUSAN CAMP CLUB #1,"12015 Marine Dr, Marysville, Washington, 98271",98271,EPA Region 10,Region 10,Community water system,900,MARYSVILLE,,8,158,3,-122.327391,48.104528,-122.326911,48.10466,-122.328391,-122.326391,48.103528,48.105528
105300108,7 CEDARS CASINO,"270756 Highway 101, Sequim, Washington, 98382",98382,EPA Region 10,Region 10,Non-Transient non-community system,1200,SEQUIM,,6,37,2,-123.00707,48.020904,-123.00707,48.020904,-123.01707,-122.99707,48.010904,48.030904
104101247,WARM SPRINGS WATER TREATMENT PLANT,"97761, Warm Springs, Oregon",97761,EPA Region 10,Region 10,Community water system,3800,WARM SPRINGS,,8,70,1,-121.266771,44.763401,-121.266771,44.763401,-121.831771,-120.701771,44.198401,45.328401
104101102,SIMNASHO SCHOOLIE,"97761, Warm Springs, Oregon",97761,EPA Region 10,Region 10,Community water system,350,WARM SPRINGS,,12,94,2,-121.266771,44.763401,-121.266771,44.763401,-121.831771,-120.701771,44.198401,45.328401
104100002,KLA-MO-YA CASINO,"34333 Highway 97 N, Chiloquin, Oregon, 97624",97624,EPA Region 10,Region 10,Non-Transient non-community system,1000,CHILLOQUN,,6,101,2,-121.885703,42.535876,-121.883681,42.5358,-121.886703,-121.884703,42.534876,42.536876
105300149,SATUS LONGHOUSE,"98948, Toppenish, Washington",98948,EPA Region 10,Region 10,Transient non-community system,309,TOPPENISH,,6,7,2,-120.315229,46.377562,-120.315229,46.377562,-121.524229,-119.106229,45.168562,47.586562
104101100,BURNS PAIUTE,"100 Pasigo St, Burns, Oregon, 97720",97720,EPA Region 10,Region 10,Community water system,155,BURNS,,6,140,3,-119.068965,43.610958,-119.068965,43.610958,-119.078965,-119.058965,43.600958,43.620958
105300073,B & D MOBILE COURT,"98948, Toppenish, Washington",98948,EPA Region 10,Region 10,Community water system,100,ZILLAH,,6,82,3,-120.315229,46.377562,-120.315229,46.377562,-121.524229,-119.106229,45.168562,47.586562
105311103,MARTHA BOARDMAN,"99040, Wellpinit, Washington",99040,EPA Region 10,Region 10,Community water system,235,WELLPINIT,,10,150,5,-117.9879,47.889845,-117.9879,47.889845,-118.2039,-117.7719,47.673845,48.105845
105300058,RESERVATION ROAD,"99040, Wellpinit, Washington",99040,EPA Region 10,Region 10,Community water system,65,WELLPINIT,,7,125,3,-117.9879,47.889845,-117.9879,47.889845,-118.2039,-117.7719,47.673845,48.105845
105300134,CHEWELAH CASINO,"2555 Smith Rd, Chewelah, Washington, 99109",99109,EPA Region 10,Region 10,Non-Transient non-community system,400,CHEWELAH,,7,625,3,-117.709756,48.237442,-117.709756,48.237442,-117.719756,-117.699756,48.227442,48.247442
105300048,UPPER SKAGIT,"25962 Community Plaza Way, Sedro Woolley, Washington, 98284",98284,EPA Region 10,Region 10,Community water system,250,SEDRO WOOLEY,,7,19,4,-122.185805,48.539644,-122.185805,48.539644,-122.195805,-122.175805,48.529644,48.549644
