PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Longitude,Latitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
FL2100150,CAMP BLANDING,"5629 State Road 16 W, Starke, Florida, 32091",32091,Florida,Region 4,Community water system,2500,STARKE,Clay,8,19,39,-82.003701,29.982031,-82.003701,29.982031,-82.013701,-81.993701,29.972031,29.992031
FL3424980,NOWHERE LOUNGE,"9300 SW 32nd Ter, Ocala, Florida, 34476",34476,Florida,Region 4,Transient non-community system,25,OCALA,Marion,2,13,10,-82.177753,29.087341,-82.178031,29.08734,-82.178753,-82.176753,29.086341,29.088341
FL2614237,TAYLOR'S GROCERY,"15095 SR-51, Live Oak, Florida, 32060",32060,Florida,Region 4,Transient non-community system,25,LIVE OAK,Suwannee,2,0,9,-83.14675,30.174194,-83.14675,30.174194,-83.15675,-83.13675,30.164194,30.184194
FL2104354,KANGAROO EXPRESS #6267,"215 Pendleton St, Waycross, Georgia, 31501",31501,Florida,Region 4,Transient non-community system,25,ORANGE PARK,Clay,2,2,23,-82.359894,31.209241,-82.360201,31.20924,-82.360894,-82.358894,31.208241,31.210241
FL1324199,JACKSON COUNTY UTILITIES NO. 2,"2864 Madison St, Marianna, Florida, 32448",32448,Florida,Region 4,Non-Transient non-community system,30,COTTONDALE,Jackson,3,0,13,-85.22563,30.773199,-85.225411,30.77319,-85.22663,-85.22463,30.772199,30.774199
FL2120494,PONDVIEW  MHP,"32056, Lake City, Florida",32056,Florida,Region 4,Transient non-community system,129,LAKE CITY,Columbia,2,24,33,-82.640202,30.191631,-82.640202,30.191631,-82.645202,-82.635202,30.186631,30.196631
FL2010749,MICANOPY WTP,"32667, Micanopy, Florida",32667,Florida,Region 4,Community water system,650,MICANOPY,Alachua,3,10,21,-82.283461,29.505641,-82.283461,29.505641,-82.418461,-82.148461,29.370641,29.640641
FL4061281,SEMINOLE TRUCK STOP,"12050 NE 14th Ave, Miami, Florida, 33161",33161,Florida,Region 4,Transient non-community system,231,FT LAUDERDALE,Broward,2,14,85,-80.170212,25.8869,-80.171301,25.88686,-80.171212,-80.169212,25.8859,25.8879
FL3314205,SUNSET MOBILE HOME COURT,"6 Redwood Ln, Poughkeepsie, Town of, New York, 12590",12590,Florida,Region 4,Transient non-community system,25,SEBASTIAN,Indian River,2,3,17,-73.92786,41.610064,-73.928101,41.60962,-73.92886,-73.92686,41.609064,41.611064
FL4134513,MIAMI INTL AIRPORT,"33102, Miami, Florida",33102,Florida,Region 4,Non-Transient non-community system,30000,MIAMI,Miami-Dade,1,7,3,-80.197731,25.77481,-80.197731,25.77481,-80.202731,-80.192731,25.76981,25.77981
