PWSID,Approximate Address
GA2270019,Not Found
GA3050040,Not Found
GA0710096,Not Found
GA1230038,Not Found
GA1230034,Not Found
GA2170015,Not Found
GA2410085,Not Found
GA0510137,Not Found
GA0310035,Not Found
GA0290100,Not Found
GA3050016,Not Found
GA2770026,Not Found
GA0550005,Not Found
GA0150035,Not Found
GA1570064,Not Found
GA2410128,Not Found
GA0310034,Not Found
GA1270142,Not Found
GA1950070,Not Found
GA2050038,Not Found
GA1850028,Not Found
GA1550009,Not Found
GA2410061,Not Found
GA3110091,Not Found
GA2410086,Not Found
GA1950050,Not Found
GA1050045,Not Found
GA0150027,Not Found
GA2750008,Not Found
GA1030086,Not Found
GA1950009,Not Found
GA1990043,Not Found
GA1030020,Not Found
GA2730012,Not Found
GA0790010,Not Found
GA2370002,Not Found
GA2370054,Not Found
GA1850087,Not Found
GA2370070,Not Found
GA2850127,Not Found
GA2110059,Not Found
GA2770139,Not Found
GA2370082,Not Found
GA0090045,Not Found
GA1330056,Not Found
GA1330055,Not Found
GA2370060,Not Found
GA1330054,Not Found
GA2630010,Not Found
GA0350017,Not Found
GA1170069,Not Found
GA1610004,Not Found
GA2130039,Not Found
GA1850319,Not Found
GA1830026,Not Found
GA1070039,Not Found
GA1910048,Not Found
GA2250011,Not Found
GA1070013,Not Found
GA2250029,Not Found
GA1890052,Not Found
GA0770013,Not Found
GA1770010,Not Found
GA2250033,Not Found
GA2250030,Not Found
GA2250031,Not Found
GA3010010,Not Found
GA3190015,Not Found
GA0010010,Not Found
GA1270027,Not Found
GA0610018,Not Found
GA2450038,Not Found
GA3110020,Not Found
GA1370020,Not Found
GA2370003,Not Found
GA1370018,Not Found
GA1470035,Not Found
GA1990047,Not Found
GA1370056,Not Found
GA3010009,Not Found
GA0550053,Not Found
GA1630015,Not Found
GA1850005,Not Found
GA0290066,Not Found
GA0290068,Not Found
GA0290086,Not Found
GA0690065,Not Found
GA2410120,Not Found
GA0310017,Not Found
GA2410107,Not Found
GA0970006,Not Found
GA0510239,Not Found
GA2410002,Not Found
GA0010009,Not Found
GA1910020,Not Found
GA3110083,Not Found
GA0510103,Not Found
GA2410095,Not Found
GA0290085,Not Found
GA3110082,Not Found
GA0450083,Not Found
GA1450021,Not Found
GA1790004,Not Found
GA1590011,Not Found
GA0330005,Not Found
GA1470068,Not Found
GA1470072,Not Found
GA1690008,Not Found
GA2910060,Not Found
GA0690042,Not Found
GA2110058,Not Found
GA1570088,Not Found
GA0170004,Not Found
GA1450027,Not Found
GA1930021,Not Found
GA1850020,Not Found
GA1810044,Not Found
GA0710006,Not Found
GA1910121,Not Found
GA1810042,Not Found
GA2610038,Not Found
GA1890040,Not Found
GA0770113,Not Found
GA1390133,Not Found
GA0670006,Not Found
GA2930056,Not Found
GA1790138,Not Found
GA2410101,Not Found
GA1050046,Not Found
GA1350007,Not Found
GA1990012,Not Found
GA0310259,Not Found
GA1950018,Not Found
GA2610053,Not Found
GA2950007,Not Found
GA1070028,Not Found
GA0570070,Not Found
GA2430004,Not Found
GA0710100,Not Found
GA0270030,Not Found
GA0310176,Not Found
GA1850315,Not Found
GA0770040,Not Found
GA0050008,Not Found
GA2550011,Not Found
GA2310019,Not Found
GA0810020,Not Found
GA1850139,Not Found
GA0570007,Not Found
GA1230063,Not Found
GA0770032,Not Found
GA0310267,Not Found
GA1850113,Not Found
GA1890005,Not Found
GA1890006,Not Found
GA1450035,Not Found
GA0750016,Not Found
GA0290054,Not Found
GA2930037,Not Found
GA0230026,Not Found
GA0510241,Not Found
GA0510238,Not Found
GA2110050,Not Found
GA2450023,Not Found
GA0490004,Not Found
GA1570009,Not Found
GA1330057,Not Found
GA0810067,Not Found
GA1030142,Not Found
GA0870069,Not Found
GA0570026,Not Found
GA1230046,Not Found
GA2610041,Not Found
GA0210024,Not Found
GA2350017,Not Found
GA0210006,Not Found
GA0210021,Not Found
GA1750040,Not Found
GA0210005,Not Found
GA0210076,Not Found
GA2190031,Not Found
GA0510025,Not Found
GA1910084,Not Found
GA0310209,Not Found
GA0210022,Not Found
GA1790086,Not Found
GA0510062,Not Found
GA1110050,Not Found
GA2050005,Not Found
GA2410125,Not Found
GA3210048,Not Found
GA0210008,Not Found
GA0870048,Not Found
GA1870052,Not Found
GA0230027,Not Found
GA1790150,Not Found
GA1870061,Not Found
GA1870065,Not Found
GA2410033,Not Found
GA3050008,Not Found
GA0390050,Not Found
GA1870063,Not Found
GA1910090,Not Found
GA0770097,Not Found
GA1910104,Not Found
GA1710013,Not Found
GA1910098,Not Found
GA1270058,Not Found
GA1850116,Not Found
GA2750066,Not Found
