PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Longitude,Latitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
GA2790034,HILLDALE WATER SYSTEM,"401 Hitchcock Rd, Uvalda, Georgia, 30473",30473,Georgia,Region 4,Community water system,80,,Toombs,5,7,3,-82.42313,32.009435,-82.421091,32.00964,-82.42413,-82.42213,32.008435,32.010435
GA1950043,MADISON ACRES SUBDIVISION,"930 Newton Bridge Rd, Athens, Georgia, 30607",30607,Georgia,Region 4,Community water system,190,,Madison,8,20,2,-83.402133,34.005942,-83.400411,34.0073,-83.403133,-83.401133,34.004942,34.006942
GA2290032,SATILLA HILLS SUBDIVISION,"31516, Blackshear, Georgia",31516,Georgia,Region 4,Community water system,73,BLACKSHEAR,Pierce,4,2,3,-82.244459,31.305711,-82.244459,31.305711,-82.396459,-82.092459,31.153711,31.457711
GA2210057,ARROW WOOD SUBDIVISION,"930 Newton Bridge Rd, Athens, Georgia, 30607",30607,Georgia,Region 4,Community water system,65,,Oglethorpe,6,1,3,-83.402133,34.005942,-83.400411,34.0073,-83.403133,-83.401133,34.004942,34.006942
GA2210063,DUNBAR CROSSING,"930 Newton Bridge Rd, Athens, Georgia, 30607",30607,Georgia,Region 4,Community water system,31,,Oglethorpe,3,2,1,-83.402133,34.005942,-83.400411,34.0073,-83.403133,-83.401133,34.004942,34.006942
GA1150003,BERRY COLLEGE,"30149, Rome, Georgia",30149,Georgia,Region 4,Community water system,2200,MOUNT BERRY,Floyd,4,2,15,-85.181352,34.288343,-85.181352,34.288343,-85.186352,-85.176352,34.283343,34.293343
GA2790015,PETROSS SUBDIVISION,"259 Paradice Cir, Vidalia, Georgia, 30474",30474,Georgia,Region 4,Community water system,128,VIDALIA,Toombs,4,72,2,-82.471714,32.287725,-82.472571,32.28782,-82.472714,-82.470714,32.286725,32.288725
GA1770011,WESLO ESTATES,"6310 E Kemper Rd, Sharonville, Ohio, 45241",45241,Georgia,Region 4,Community water system,68,LEESBURG,Lee,8,29,1,-84.368875,39.282568,-84.368691,39.28308,-84.369875,-84.367875,39.281568,39.283568
GA2210056,OAKWOOD SUBDIVISION,"930 Newton Bridge Rd, Athens, Georgia, 30607",30607,Georgia,Region 4,Community water system,112,,Oglethorpe,6,3,2,-83.402133,34.005942,-83.400411,34.0073,-83.403133,-83.401133,34.004942,34.006942
GA0310041,NEW HOPE SUBDIVISION,"30452, Register, Georgia",30452,Georgia,Region 4,Community water system,117,REGISTER,Bulloch,4,45,2,-81.891858,32.351708,-81.891858,32.351708,-82.005858,-81.777858,32.237708,32.465708
GA0310055,CYPRESS LAKE MOBILE HOME PARK,"236 N Main St, Statesboro, Georgia, 30458",30458,Georgia,Region 4,Community water system,104,STATESBORO,Bulloch,6,7,2,-81.78366,32.456892,-81.783291,32.45691,-81.78466,-81.78266,32.455892,32.457892
GA2630005,TALBOT COUNTY WATER WORKS,"31827, Talbotton, Georgia",31827,Georgia,Region 4,Community water system,3900,TALBOTTON,Talbot,6,11,6,-84.539296,32.678208,-84.539296,32.678208,-84.792296,-84.286296,32.425208,32.931208
GA0330021,KENNEDY`S PARK & APARTMENTS,"1085 Oak Ct, Lincolnton, Georgia, 30817",30817,Georgia,Region 4,Transient non-community system,100,,Burke,3,3,0,-82.387623,33.691967,-82.386921,33.69176,-82.388623,-82.386623,33.690967,33.692967
GA1850061,HIDDEN HILLS SUBDIVISION,"611 Pineview Dr, Valdosta, Georgia, 31602",31602,Georgia,Region 4,Community water system,359,VALDOSTA,Lowndes,6,16,3,-83.278332,30.865663,-83.278361,30.86519,-83.279332,-83.277332,30.864663,30.866663
GA2330001,POLK COUNTY WATER AUTHORITY,"30125, Cedartown, Georgia",30125,Georgia,Region 4,Community water system,23325,CEDARTOWN,Polk,13,14,19,-85.254764,34.008165,-85.254764,34.008165,-85.421764,-85.087764,33.841165,34.175165
GA2970055,BEARDEN ESTATES,"930 Newton Bridge Rd, Athens, Georgia, 30607",30607,Georgia,Region 4,Community water system,50,,Walton,6,3,2,-83.402133,34.005942,-83.400411,34.0073,-83.403133,-83.401133,34.004942,34.006942
GA2810050,HI-RIVER COUNTRY SUBDIVISION,"30514, Blairsville, Georgia",30514,Georgia,Region 4,Community water system,260,,Towns,3,0,0,-83.954551,34.879831,-83.954551,34.879831,-83.959551,-83.949551,34.874831,34.884831
GA0370000,ARLINGTON,"39813, Arlington, Georgia",39813,Georgia,Region 4,Community water system,1950,ARLINGTON,Calhoun,6,15,2,-84.724613,31.440966,-84.724613,31.440966,-84.883613,-84.565613,31.281966,31.599966
GA2050006,BOWEN MOBILE ESTATES,"112 Roosevelt St, Camilla, Georgia, 31730",31730,Georgia,Region 4,Community water system,50,CAMILLA,Mitchell,3,15,2,-84.212941,31.221753,-84.212941,31.22144,-84.213941,-84.211941,31.220753,31.222753
GA2510046,WATERS GROVE MOBILE HOME PARK,"3321 California Ave, Carmichael, California, 95608",95608,Georgia,Region 4,Community water system,55,,Screven,3,61,4,-121.321426,38.624632,-121.321721,38.62464,-121.322426,-121.320426,38.623632,38.625632
GA2730002,PARROTT,"39877, Parrott, Georgia",39877,Georgia,Region 4,Community water system,361,PARROTT,Terrell,8,5,2,-84.538083,31.934681,-84.538083,31.934681,-84.651083,-84.425083,31.821681,32.047681
GA0510000,GARDEN CITY,"2 Bud Brown Dr, Savannah, Georgia, 31408",31408,Georgia,Region 4,Community water system,5460,GARDEN CITY,Chatham,12,7,4,-81.166021,32.113786,-81.166021,32.113786,-81.176021,-81.156021,32.103786,32.123786
GA0590071,CRESTMONT FARMS SUBDIVISION,"930 Newton Bridge Rd, Athens, Georgia, 30607",30607,Georgia,Region 4,Community water system,164,ATHENS,Clarke,8,30,1,-83.402133,34.005942,-83.400411,34.0073,-83.403133,-83.401133,34.004942,34.006942
GA0670003,COBB COUNTY,"660 S Cobb Dr SE, Marietta, Georgia, 30060",30060,Georgia,Region 4,Community water system,533000,,Cobb,3,3,2,-84.540032,33.935921,-84.540032,33.935921,-84.550032,-84.530032,33.925921,33.945921
GA0510145,SAVANNAH RV RESORT,"805 Fort Argyle Rd, Savannah, Georgia, 31419",31419,Georgia,Region 4,Community water system,307,,Chatham,4,9,2,-81.318754,32.025711,-81.322541,32.0235,-81.319754,-81.317754,32.024711,32.026711
GA1190052,NAILS CREEK CROSSING,"930 Newton Bridge Rd, Athens, Georgia, 30607",30607,Georgia,Region 4,Community water system,65,,Franklin,8,18,2,-83.402133,34.005942,-83.400411,34.0073,-83.403133,-83.401133,34.004942,34.006942
GA2210052,SULFUR SPRINGS COMMUNITY PWS,"930 Newton Bridge Rd, Athens, Georgia, 30607",30607,Georgia,Region 4,Community water system,47,,Oglethorpe,4,2,3,-83.402133,34.005942,-83.400411,34.0073,-83.403133,-83.401133,34.004942,34.006942
GA2910101,RIVER'S EDGE RV PARK PHASE II,"6049 Ellery St, Norcross, Georgia, 30071",30071,Georgia,Region 4,Transient non-community system,252,,Union,4,0,0,-84.218387,33.937927,-84.218387,33.937927,-84.228387,-84.208387,33.927927,33.947927
GA0690083,UPTON JUNCTION PHASE 11,"31534, Douglas, Georgia",31534,Georgia,Region 4,Community water system,335,,Coffee,6,3,2,-82.850101,31.502441,-82.850101,31.502441,-82.851101,-82.849101,31.501441,31.503441
GA0810011,EAST CRISP APARTMENTS,"709 McKenzie Rd, Cordele, Georgia, 31015",31015,Georgia,Region 4,Community water system,25,CORDELE,Crisp,4,27,2,-83.675133,31.926924,-83.674831,31.92619,-83.676133,-83.674133,31.925924,31.927924
GA1450044,OAKHURST,"19710 GA Highway 219, West Point, Georgia, 31833",31833,Georgia,Region 4,Transient non-community system,180,,Harris,2,3,1,-85.03576,32.864475,-85.035051,32.86438,-85.03676,-85.03476,32.863475,32.865475
GA1950000,CARLTON,"9th St, Carlton, Georgia, 30627",30627,Georgia,Region 4,Community water system,434,CARLTON,Madison,10,2,2,-83.030764,34.041639,-83.030764,34.041639,-83.032764,-83.028764,34.039639,34.043639
GA1950052,W & R FARMS MOBILE HOME PARK,"930 Newton Bridge Rd, Athens, Georgia, 30607",30607,Georgia,Region 4,Community water system,135,,Madison,7,13,1,-83.402133,34.005942,-83.400411,34.0073,-83.403133,-83.401133,34.004942,34.006942
GA2970052,MOUNTAIN RIDGE SUBDIVISION,"930 Newton Bridge Rd, Athens, Georgia, 30607",30607,Georgia,Region 4,Community water system,78,,Walton,6,4,2,-83.402133,34.005942,-83.400411,34.0073,-83.403133,-83.401133,34.004942,34.006942
GA0470002,RINGGOLD,"150 Tennessee St, Ringgold, Georgia, 30736",30736,Georgia,Region 4,Community water system,2743,RINGGOLD,Catoosa,5,7,29,-85.10882,34.91735,-85.108431,34.91725,-85.10982,-85.10782,34.91635,34.91835
GA0710014,INDIAN LAKE SUBDIVISION,"233 Quail Ridge Rd, Havana, Florida, 32333",32333,Georgia,Region 4,Community water system,315,,Colquitt,6,18,2,-84.374402,30.688878,-84.374402,30.688878,-84.384402,-84.364402,30.678878,30.698878
GA1570002,HOSCHTON,"79 City Sq, Hoschton, Georgia, 30548",30548,Georgia,Region 4,Community water system,1740,HOSCHTON,Jackson,7,22,3,-83.762275,34.097493,-83.762275,34.097493,-83.772275,-83.752275,34.087493,34.107493
GA0310173,CEDARWOOD MOBILE HOME PARK,"30458, Statesboro, Georgia",30458,Georgia,Region 4,Community water system,156,,Bulloch,6,10,4,-81.783819,32.446335,-81.783819,32.446335,-82.019819,-81.547819,32.210335,32.682335
GA2210055,FARM JUNCTION SUBDIVISION,"930 Newton Bridge Rd, Athens, Georgia, 30607",30607,Georgia,Region 4,Community water system,94,,Oglethorpe,6,3,2,-83.402133,34.005942,-83.400411,34.0073,-83.403133,-83.401133,34.004942,34.006942
GA0870002,BRINSON,"39825, Brinson, Georgia",39825,Georgia,Region 4,Community water system,225,BRINSON,Decatur,8,13,3,-84.733326,30.979572,-84.733326,30.979572,-84.923326,-84.543326,30.789572,31.169572
GA0910003,RHINE,"31077, Rhine, Georgia",31077,Georgia,Region 4,Community water system,512,RHINE,Dodge,8,48,0,-83.198117,31.990466,-83.198117,31.990466,-83.391117,-83.005117,31.797466,32.183466
GA2410089,"CHARLIE MOUNTAIN WATER, LLC","30514, Blairsville, Georgia",30514,Georgia,Region 4,Community water system,66,LAKEMONT,Rabun,5,102,1,-83.954551,34.879831,-83.954551,34.879831,-83.959551,-83.949551,34.874831,34.884831
GA1150000,CAVE SPRING,"30124, Cave Spring, Georgia",30124,Georgia,Region 4,Community water system,3848,CAVE SPRING,Floyd,4,14,1,-85.340999,34.106073,-85.340999,34.106073,-85.444999,-85.236999,34.002073,34.210073
GA0710002,ELLENTON,"31747, Ellenton, Georgia",31747,Georgia,Region 4,Community water system,403,ELLENTON,Colquitt,5,1,1,-83.587511,31.174761,-83.587511,31.174761,-83.592511,-83.582511,31.169761,31.179761
GA1450000,HAMILTON,"31811, Hamilton, Georgia",31811,Georgia,Region 4,Community water system,525,HAMILTON,Harris,9,17,4,-84.881266,32.772662,-84.881266,32.772662,-85.122266,-84.640266,32.531662,33.013662
GA0570002,CHEROKEE COUNTY,"30114, Canton, Georgia",30114,Georgia,Region 4,Community water system,145389,,Cherokee,8,1,25,-84.486903,34.250654,-84.486903,34.250654,-84.657903,-84.315903,34.079654,34.421654
GA1530049,TWIN OAKS RV CAMPING,"305 GA Highway 26 E, Elko, Georgia, 31025",31025,Georgia,Region 4,Transient non-community system,200,ELKO,Houston,2,4,5,-83.764649,32.335922,-83.764649,32.335922,-83.774649,-83.754649,32.325922,32.345922
