PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Longitude,Latitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
HI0000370,PALEHUA SOLAR OBSERVATORY,"96813, Honolulu, Hawaii",96813,Hawaii,Region 9,Non-Transient non-community system,50,MAKAKILO,,3,8,2,-157.855673,21.303668,-157.855673,21.303668,-157.905673,-157.805673,21.253668,21.353668
HI0000428,PRINCEVILLE,"96722, Princeville, Hawaii",96722,Hawaii,Region 9,Community water system,1698,PRINCEVILLE (DHO),,8,1,18,-159.47604,22.222375,-159.47604,22.222375,-159.59404,-159.35804,22.104375,22.340375
HI0000222,HALEAKALA NATIONAL PARK,"96768, Makawao, Hawaii",96768,Hawaii,Region 9,Community water system,1200,KULA,,3,1,10,-156.32007,20.849711,-156.32007,20.849711,-156.40207,-156.23807,20.767711,20.931711
HI0000423,KEALIA,"96741, Kalaheo, Hawaii",96741,Hawaii,Region 9,Community water system,260,KEALIA (DHO),,8,0,16,-159.5229,21.922966,-159.5229,21.922966,-159.5809,-159.4649,21.864966,21.980966
HI0000422,KAHILI MOUNTAIN PARK,"96756, Koloa, Hawaii",96756,Hawaii,Region 9,Non-Transient non-community system,150,KAHILI MOUNTAIN PARK,,3,2,14,-159.46428,21.900001,-159.46428,21.900001,-159.58228,-159.34628,21.782001,22.018001
HI0000260,KIPAHULU,"96768, Makawao, Hawaii",96768,Hawaii,Region 9,Transient non-community system,2000,HALEAKALA,,3,0,0,-156.32007,20.849711,-156.32007,20.849711,-156.40207,-156.23807,20.767711,20.931711
HI0000162,WAIKI'I RANCH,"96743, Kamuela, Hawaii",96743,Hawaii,Region 9,Community water system,84,WAIKII RANCH (DHO),,5,0,1,-155.658894,20.020437,-155.658894,20.020437,-156.093894,-155.223894,19.585437,20.455437
HI0000320,MILILANI MEMORIAL PARK,"96782, Pearl City, Hawaii",96782,Hawaii,Region 9,Non-Transient non-community system,100,MILILANI BWS,,4,86,9,-157.971055,21.404248,-157.971055,21.404248,-158.066055,-157.876055,21.309248,21.499248
HI0000239,KALAUPAPA NHP,"96742, Kalaupapa, Hawaii",96742,Hawaii,Region 9,Community water system,110,KALAUPAPA,,3,10,9,-156.957825,21.190983,-156.957825,21.190983,-157.020825,-156.894825,21.127983,21.253983
HI0000153,HI NATL GUARD YOUTH CHALLENGE ACADEMY,"96720, Hilo, Hawaii",96720,Hawaii,Region 9,Non-Transient non-community system,88,SOUTH KOHALA,,3,7,11,-155.088864,19.725163,-155.088864,19.725163,-155.481864,-154.695864,19.332163,20.118163
