PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Longitude,Latitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
ID7300022,LEADORE SCHOOL,"83464, Leadore, Idaho",83464,Idaho,Region 10,Non-Transient non-community system,140,,Lemhi,2,11,8,-113.358932,44.681433,-113.358932,44.681433,-113.903932,-112.813932,44.136433,45.226433
ID6060053,PINGREE LDS CHURCH,"815 Mitchell Ln, Blackfoot, Idaho, 83221",83221,Idaho,Region 10,Transient non-community system,25,,Bingham,2,5,8,-112.329532,43.189248,-112.329532,43.189248,-112.339532,-112.319532,43.179248,43.199248
ID5070012,CHALET MOBILE HOME PARK,"83340, Sawtooth City, Idaho",83340,Idaho,Region 10,Community water system,60,,Blaine,2,25,10,-114.366808,43.680055,-114.366808,43.680055,-115.047808,-113.685808,42.999055,44.361055
ID5160076,BAKE CENTRAL,"83342, Malta, Idaho",83342,Idaho,Region 10,Transient non-community system,25,,Cassia,2,14,4,-113.364731,42.317225,-113.364731,42.317225,-113.803731,-112.925731,41.878225,42.756225
ID6030084,MCCAMMON SUBWAY,"444 S 10th Ave, Pocatello, Idaho, 83201",83201,Idaho,Region 10,Transient non-community system,50,,Bannock,2,1,4,-112.435347,42.867201,-112.435347,42.867201,-112.445347,-112.425347,42.857201,42.877201
ID1280006,ATHOL CITY OF,"83801, Athol, Idaho",83801,Idaho,Region 10,Community water system,725,,Kootenai,4,13,9,-116.704531,47.94573,-116.704531,47.94573,-116.958531,-116.450531,47.69173,48.19973
ID6150047,BLACKFOOT HARBOR,"83276, Soda Springs, Idaho",83276,Idaho,Region 10,Transient non-community system,100,,Caribou,2,2,0,-111.600461,42.656706,-111.600461,42.656706,-112.156461,-111.044461,42.100706,43.212706
ID6060027,GROVELAND CHURCH,"84150, Salt Lake Cty, Utah",84150,Idaho,Region 10,Transient non-community system,450,,Bingham,3,3,8,-111.891216,40.771681,-111.891216,40.771681,-111.894216,-111.888216,40.768681,40.774681
ID7100171,THUNDER STADIUM,"3497 N Ammon Rd, Idaho Falls, Idaho, 83401",83401,Idaho,Region 10,Transient non-community system,50,IDAHO FALLS,Bonneville,2,0,3,-111.964105,43.527519,-111.964105,43.527519,-111.974105,-111.954105,43.517519,43.537519
ID7100128,TELFORD,"3497 N Ammon Rd, Idaho Falls, Idaho, 83401",83401,Idaho,Region 10,Non-Transient non-community system,30,,Bonneville,2,16,5,-111.964105,43.527519,-111.964105,43.527519,-111.974105,-111.954105,43.517519,43.537519
ID3230068,USBR BLACK CANYON DAM COBBLESTONE PARK,"5555 E Black Canyon Hwy, Emmett, Idaho, 83617",83617,Idaho,Region 10,Transient non-community system,25,,Gem,2,4,2,-116.416648,43.925599,-116.416648,43.925599,-116.426648,-116.406648,43.915599,43.935599
ID7100011,ROCKY MOUNTAIN MIDDLE SCHOOL,"3497 N Ammon Rd, Idaho Falls, Idaho, 83401",83401,Idaho,Region 10,Non-Transient non-community system,1012,,Bonneville,2,21,6,-111.964105,43.527519,-111.964105,43.527519,-111.974105,-111.954105,43.517519,43.537519
ID1280158,ROCKFORD BAY SUMMER HOMES,"3765 S Bayshore Ct, Coeur D Alene, Idaho, 83814",83814,Idaho,Region 10,Transient non-community system,60,,Kootenai,4,7,7,-116.798159,47.638896,-116.798159,47.638896,-116.808159,-116.788159,47.628896,47.648896
ID4080024,HORSESHOE BEND WATER SUPPLY,"83629, Horseshoe Bnd, Idaho",83629,Idaho,Region 10,Community water system,643,,Boise,6,96,9,-116.198555,43.912216,-116.198555,43.912216,-116.420555,-115.976555,43.690216,44.134216
ID3140136,WEST CANYON ELEMENTARY SCHOOL,"5207 S Montana Ave, Caldwell, Idaho, 83607",83607,Idaho,Region 10,Non-Transient non-community system,727,,Canyon,5,16,10,-116.682942,43.623359,-116.680391,43.62336,-116.683942,-116.681942,43.622359,43.624359
ID7260019,KELLY CANYON WINTER PARK LLC,"83443, Ririe, Idaho",83443,Idaho,Region 10,Transient non-community system,150,,Jefferson,2,13,7,-111.711068,43.624677,-111.711068,43.624677,-112.069068,-111.353068,43.266677,43.982677
ID5070049,SUNTREE HOLLOW MOBILE HOME COURT,"83340, Sawtooth City, Idaho",83340,Idaho,Region 10,Community water system,60,,Blaine,3,37,7,-114.366808,43.680055,-114.366808,43.680055,-115.047808,-113.685808,42.999055,44.361055
ID5160003,RIVERSIDE TRAILER COURT,"83303, Twin Falls, Idaho",83303,Idaho,Region 10,Community water system,35,,Cassia,3,175,9,-114.473552,42.556331,-114.473552,42.556331,-114.478552,-114.468552,42.551331,42.561331
ID7100006,ANGUS REST AND U SERVE,"83449, Swan Valley, Idaho",83449,Idaho,Region 10,Transient non-community system,160,,Bonneville,2,17,8,-111.339242,43.449871,-111.339242,43.449871,-111.566242,-111.112242,43.222871,43.676871
ID1280104,KIDD ISLAND BAY WATER USERS,"3765 S Bayshore Ct, Coeur D Alene, Idaho, 83814",83814,Idaho,Region 10,Community water system,125,,Kootenai,8,103,7,-116.798159,47.638896,-116.798159,47.638896,-116.808159,-116.788159,47.628896,47.648896
ID6060047,MORELAND LDS CHURCH,"84150, Salt Lake Cty, Utah",84150,Idaho,Region 10,Transient non-community system,400,,Bingham,2,5,6,-111.891216,40.771681,-111.891216,40.771681,-111.894216,-111.888216,40.768681,40.774681
ID4430099,PILGRIM COVE CHURCH CAMP,"83638, McCall, Idaho",83638,Idaho,Region 10,Transient non-community system,25,,Valley,2,3,1,-116.095532,44.904161,-116.095532,44.904161,-117.039532,-115.151532,43.960161,45.848161
ID5420043,NAT SOO PAH,"2738 E 2400 N, Twin Falls, Idaho, 83301",83301,Idaho,Region 10,Transient non-community system,25,,Twin Falls,2,13,6,-114.513217,42.34592,-114.513217,42.34592,-114.523217,-114.503217,42.33592,42.35592
ID6060076,SNAKE RIVER LDS SEMINARY BLDG,"84150, Salt Lake Cty, Utah",84150,Idaho,Region 10,Transient non-community system,600,,Bingham,2,8,6,-111.891216,40.771681,-111.891216,40.771681,-111.894216,-111.888216,40.768681,40.774681
ID5420077,CURRY JUNCTION,"21313 US-30, Filer, Idaho, 83328",83328,Idaho,Region 10,Transient non-community system,25,,Twin Falls,2,42,4,-114.554479,42.563921,-114.554461,42.56357,-114.555479,-114.553479,42.562921,42.564921
ID1280226,HENRY POINT ASSN,"83835, Hayden, Idaho",83835,Idaho,Region 10,Transient non-community system,35,,Kootenai,2,11,6,-116.786487,47.755539,-116.786487,47.755539,-117.298487,-116.274487,47.243539,48.267539
ID5420100,MIRACLE HOT SPRINGS,"19073 Highway 30, Buhl, Idaho, 83316",83316,Idaho,Region 10,Transient non-community system,35,BUHL,Twin Falls,3,1,1,-114.854564,42.695674,-114.854564,42.695674,-114.864564,-114.844564,42.685674,42.705674
ID3230067,USBR BLACK CANYON DAM BLACK CANYON PARK,"5555 E Black Canyon Hwy, Emmett, Idaho, 83617",83617,Idaho,Region 10,Transient non-community system,25,,Gem,2,14,4,-116.416648,43.925599,-116.416648,43.925599,-116.426648,-116.406648,43.915599,43.935599
ID3230069,USBR BLACK CANYON DAM WILDROSE PARK,"5555 E Black Canyon Hwy, Emmett, Idaho, 83617",83617,Idaho,Region 10,Transient non-community system,25,,Gem,2,9,3,-116.416648,43.925599,-116.416648,43.925599,-116.426648,-116.406648,43.915599,43.935599
ID6060084,THOMAS WARD LDS CHURCH,"84150, Salt Lake Cty, Utah",84150,Idaho,Region 10,Transient non-community system,500,,Bingham,2,11,8,-111.891216,40.771681,-111.891216,40.771681,-111.894216,-111.888216,40.768681,40.774681
ID3230038,TRIANGLE RESTAURANT,"8770 N Highway 52, Sweet, Idaho, 83670",83670,Idaho,Region 10,Transient non-community system,50,,Gem,5,27,9,-116.33922,43.946373,-116.338331,43.94706,-116.34022,-116.33822,43.945373,43.947373
ID7100086,SOHNS MOBILE HOME PARK INC,"5380 W Broadway St, Idaho Falls, Idaho, 83402",83402,Idaho,Region 10,Community water system,38,,Bonneville,2,8,7,-112.13992,43.497066,-112.139841,43.49791,-112.14092,-112.13892,43.496066,43.498066
ID5320005,RICHFIELD CITY OF,"83349, Richfield, Idaho",83349,Idaho,Region 10,Community water system,420,,Lincoln,9,33,10,-114.155389,43.052245,-114.155389,43.052245,-114.596389,-113.714389,42.611245,43.493245
ID1280157,ROCKY BEACH WATER DIST,"6379 W Carlton St, Spirit Lake, Idaho, 83869",83869,Idaho,Region 10,Community water system,100,,Kootenai,5,44,8,-116.87107,47.948867,-116.87107,47.948867,-116.88107,-116.86107,47.938867,47.958867
ID6030042,RANCH INN,"83246, Lava Hot Spgs, Idaho",83246,Idaho,Region 10,Transient non-community system,50,,Bannock,2,7,5,-112.01899,42.616916,-112.01899,42.616916,-112.14899,-111.88899,42.486916,42.746916
ID7100010,BONNEVILLE HIGH SCHOOL,"3497 N Ammon Rd, Idaho Falls, Idaho, 83401",83401,Idaho,Region 10,Non-Transient non-community system,1500,,Bonneville,2,2,6,-111.964105,43.527519,-111.964105,43.527519,-111.974105,-111.954105,43.517519,43.537519
ID1280082,HARMON PROPERTY OWNERS ASSOCIATION,"1375 W Sargent Loop, Worley, Idaho, 83876",83876,Idaho,Region 10,Transient non-community system,152,,Kootenai,4,18,8,-116.767976,47.404277,-116.768071,47.40477,-116.768976,-116.766976,47.403277,47.405277
ID3140031,EAST CANYON ELEMENTARY SCHOOL,"5207 S Montana Ave, Caldwell, Idaho, 83607",83607,Idaho,Region 10,Non-Transient non-community system,558,,Canyon,2,16,12,-116.682942,43.623359,-116.680391,43.62336,-116.683942,-116.681942,43.622359,43.624359
ID3140025,DAHL SUBD,"11086 High Ave, Nampa, Idaho, 83651",83651,Idaho,Region 10,Community water system,51,,Canyon,4,20,11,-116.614761,43.579116,-116.614761,43.57934,-116.615761,-116.613761,43.578116,43.580116
ID6030033,YELLOWSTONE LDS,"434 E 2nd N, Rexburg, Idaho, 83440",83440,Idaho,Region 10,Transient non-community system,300,,Bannock,2,2,8,-111.771032,43.830272,-111.771041,43.8298,-111.772032,-111.770032,43.829272,43.831272
ID6060058,RIVERSIDE CHURCH,"84150, Salt Lake Cty, Utah",84150,Idaho,Region 10,Transient non-community system,400,,Bingham,2,3,6,-111.891216,40.771681,-111.891216,40.771681,-111.894216,-111.888216,40.768681,40.774681
ID6120022,MOORE WATER AND SEWER ASSN,"83255, Darlington, Idaho",83255,Idaho,Region 10,Community water system,196,,Butte,6,20,9,-113.364142,43.731946,-113.364142,43.731946,-113.701142,-113.027142,43.394946,44.068946
ID1090032,DEPT OF LAND AREA OFFICE COOLIN,"4053 Cavanaugh Bay Rd, Coolin, Idaho, 83821",83821,Idaho,Region 10,Transient non-community system,25,,Bonner,2,14,5,-116.823435,48.522872,-116.823435,48.522872,-116.833435,-116.813435,48.512872,48.532872
ID2350030,WAHA GLEN WATER DIST,"40032 Waha Glen Rd, Lewiston, Idaho, 83501",83501,Idaho,Region 10,Community water system,100,,Nez Perce,4,18,10,-116.851774,46.209854,-116.852231,46.20976,-116.852774,-116.850774,46.208854,46.210854
ID5240012,HAGERMAN CITY OF,"83332, Hagerman, Idaho",83332,Idaho,Region 10,Community water system,800,,Gooding,7,14,10,-114.896706,42.816357,-114.896706,42.816357,-115.082706,-114.710706,42.630357,43.002357
ID7100028,FAIRVIEW NORTH,"3497 N Ammon Rd, Idaho Falls, Idaho, 83401",83401,Idaho,Region 10,Non-Transient non-community system,350,,Bonneville,2,11,7,-111.964105,43.527519,-111.964105,43.527519,-111.974105,-111.954105,43.517519,43.537519
ID1090174,EDELWEISS VILLAGE FIRST ADDITION,"83864, Sandpoint, Idaho",83864,Idaho,Region 10,Community water system,70,,Bonner,4,0,1,-116.553872,48.273234,-116.553872,48.273234,-117.030872,-116.076872,47.796234,48.750234
ID7100200,DJ PARK WELL,"2355 Rendezvous Rd, Idaho Falls, Idaho, 83402",83402,Idaho,Region 10,Community water system,75,IDAHO FALLS,Bonneville,3,2,3,-112.078191,43.485482,-112.078191,43.48526,-112.079191,-112.077191,43.484482,43.486482
ID3020026,USFS PRICE VALLEY GUARD STATION,"500 N Mission St, McCall, Idaho, 83638",83638,Idaho,Region 10,Transient non-community system,37,,Adams,3,2,8,-116.105969,44.90662,-116.106651,44.90663,-116.106969,-116.104969,44.90562,44.90762
ID1400028,HECLA MINING COMPANY LUCKY FRIDAY,"83846, Mullan, Idaho",83846,Idaho,Region 10,Non-Transient non-community system,244,,Shoshone,7,4,4,-115.79901,47.468725,-115.79901,47.468725,-115.96901,-115.62901,47.298725,47.638725
ID6060080,SPRINGFIELD CITY OF,"814 S 1955 W, Springfield, Idaho, 83277",83277,Idaho,Region 10,Community water system,35,,Bingham,3,83,9,-112.683256,43.079329,-112.683256,43.079329,-112.693256,-112.673256,43.069329,43.089329
