PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Longitude,Latitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
IL0335030,ROBINSON-PALESTINE WATER COMMISSION,"108 E Poplar St, Robinson, Illinois, 62454",62454,Illinois,Region 5,Community water system,12250,,Crawford,19,6,21,-87.739084,39.00132,-87.739084,39.00132,-87.749084,-87.729084,38.99132,39.01132
IL3108597,SNOWSTAR INC,"9500 126th St W, Andalusia, Illinois, 61232",61232,Illinois,Region 5,Transient non-community system,320,,Rock Island,4,4,10,-90.743798,41.42481,-90.748661,41.42484,-90.744798,-90.742798,41.42381,41.42581
IL0190400,LUDLOW,"60949, Ludlow, Illinois",60949,Illinois,Region 5,Community water system,324,LUDLOW,Champaign,8,1,23,-88.127928,40.387104,-88.127928,40.387104,-88.265928,-87.989928,40.249104,40.525104
IL0110050,ARLINGTON,"61312, Arlington, Illinois",61312,Illinois,Region 5,Community water system,150,ARLINGTON,Bureau,8,20,17,-89.244478,41.470766,-89.244478,41.470766,-89.345478,-89.143478,41.369766,41.571766
IL3141556,DAHINDA UM CHURCH,"425 N IL-180, Williamsfield, Illinois, 61489",61489,Illinois,Region 5,Transient non-community system,100,,Knox,3,3,10,-90.014248,40.927101,-90.014871,40.9271,-90.015248,-90.013248,40.926101,40.928101
IL3086868,DIAMOND LAKE SCHOOL,"25807 Diamond Lake Rd, Mundelein, Illinois, 60060",60060,Illinois,Region 5,Non-Transient non-community system,350,,Lake,4,21,14,-88.004265,42.23928,-88.003351,42.23928,-88.005265,-88.003265,42.23828,42.24028
IL3122150,MID AMERICAN GROWERS,"61326, Granville, Illinois",61326,Illinois,Region 5,Non-Transient non-community system,200,,Putnam,6,191,8,-89.226822,41.262281,-89.226822,41.262281,-89.300822,-89.152822,41.188281,41.336281
IL3115477,BLUE LAKE SUNBATHE PARK,"13th St, Erie, Illinois, 61250",61250,Illinois,Region 5,Transient non-community system,100,,Whiteside,2,0,15,-90.083765,41.658267,-90.083765,41.658267,-90.091765,-90.075765,41.650267,41.666267
IL3149823,SEOUL GARDEN RESTAURANT,"3420 Milwaukee Ave, Northbrook, Illinois, 60062",60062,Illinois,Region 5,Transient non-community system,25,,Cook,2,1,4,-87.873324,42.090043,-87.873324,42.090043,-87.883324,-87.863324,42.080043,42.100043
IL3148965,WOODMANS,"3155 McFarland Rd, Rockford, Illinois, 61114",61114,Illinois,Region 5,Transient non-community system,100,,Winnebago,2,1,5,-88.977201,42.306714,-88.975301,42.30721,-88.978201,-88.976201,42.305714,42.307714
IL3153965,TOMS FARM MARKET AND GREENHOUSE,"10214 Algonquin Rd, Lake in the Hills, Illinois, 60142",60142,Illinois,Region 5,Transient non-community system,25,,McHenry,3,1,2,-88.396181,42.175542,-88.396151,42.17162,-88.397181,-88.395181,42.174542,42.176542
IL0995750,WEST WALNUT TRAILER COURT,"666 S Bluff St, South Beloit, Illinois, 61080",61080,Illinois,Region 5,Community water system,47,OGLESBY,LaSalle,3,7,1,-89.051769,42.486107,-89.051769,42.486107,-89.061769,-89.041769,42.476107,42.496107
IL0310480,CHICAGO RIDGE,"10046 Anderson Ave, Chicago Ridge, Illinois, 60415",60415,Illinois,Region 5,Community water system,14127,CHICAGO RIDGE,Cook,12,2,12,-87.789124,41.709123,-87.789124,41.709123,-87.799124,-87.779124,41.699123,41.719123
IL3015271,SHAMROCK GOLF COURSE MAIN WELL,"6575 E State Route 17, Saint Anne, Illinois, 60964",60964,Illinois,Region 5,Transient non-community system,100,,Kankakee,3,1,13,-87.747936,41.120319,-87.747936,41.120319,-87.757936,-87.737936,41.110319,41.130319
IL0810300,MOUNT VERNON,"62864, Mount Vernon, Illinois",62864,Illinois,Region 5,Community water system,17951,MOUNT VERNON,Jefferson,21,5,29,-88.904217,38.321214,-88.904217,38.321214,-89.057217,-88.751217,38.168214,38.474214
IL0110100,BUDA,"2323 4th St, Peru, Illinois, 61354",61354,Illinois,Region 5,Community water system,600,BUDA,Bureau,10,21,22,-89.136712,41.327589,-89.136721,41.32801,-89.137712,-89.135712,41.326589,41.328589
IL3016964,MILLBROOK JUNIOR HIGH,"61254, Geneseo, Illinois",61254,Illinois,Region 5,Non-Transient non-community system,200,,Kendall,4,24,7,-90.156072,41.453351,-90.156072,41.453351,-90.339072,-89.973072,41.270351,41.636351
IL1617925,WOODLAND A AND B MHP,"264 IL Route 2, Dixon, Illinois, 61021",61021,Illinois,Region 5,Community water system,490,,Rock Island,8,6,25,-89.580952,41.823408,-89.580951,41.82379,-89.581952,-89.579952,41.822408,41.824408
IL3046334,EICKMANS PROCESSING COMPANY,"S Pecatonica Rd, Seward, Illinois, 61077",61077,Illinois,Region 5,Transient non-community system,25,,Winnebago,4,0,11,-89.358069,42.237597,-89.358069,42.237597,-89.359069,-89.357069,42.236597,42.238597
IL3139097,AUX SABLE LIQUID PRODUCTS INC,"6155 E US Route 6, Morris, Illinois, 60450",60450,Illinois,Region 5,Non-Transient non-community system,50,,Grundy,6,2,3,-88.30341,41.417783,-88.303231,41.41356,-88.30441,-88.30241,41.416783,41.418783
IL1410300,LEAF RIVER,"605 Main St, Leaf River, Illinois, 61047",61047,Illinois,Region 5,Community water system,555,LEAF RIVER,Ogle,8,2,24,-89.403844,42.12012,-89.402631,42.12013,-89.404844,-89.402844,42.11912,42.12112
IL3017558,GALENA GOLF CLUB,"11557 US Rte 20 W, Galena, Illinois, 61036",61036,Illinois,Region 5,Transient non-community system,100,,Jo Daviess,3,0,10,-90.454649,42.446002,-90.453681,42.44621,-90.455649,-90.453649,42.445002,42.447002
IL0550150,CHRISTOPHER,"62822, Christopher, Illinois",62822,Illinois,Region 5,Community water system,2772,CHRISTOPHER,Franklin,7,6,26,-89.053647,37.972751,-89.053647,37.972751,-89.082647,-89.024647,37.943751,38.001751
IL0930100,NEWARK,"101 W Lions St, Newark, Illinois, 60541",60541,Illinois,Region 5,Community water system,992,NEWARK,Kendall,11,3,14,-88.584713,41.538493,-88.585131,41.53871,-88.585713,-88.583713,41.537493,41.539493
IL0990350,LELAND,"60531, Leland, Illinois",60531,Illinois,Region 5,Community water system,970,LELAND,LaSalle,8,1,20,-88.796101,41.615141,-88.796101,41.615141,-88.925101,-88.667101,41.486141,41.744141
IL1870200,ROSEVILLE,"61473, Roseville, Illinois",61473,Illinois,Region 5,Community water system,989,ROSEVILLE,Warren,8,25,18,-90.664263,40.732506,-90.664263,40.732506,-90.798263,-90.530263,40.598506,40.866506
IL0310720,FORD HEIGHTS,"1343 Ellis Ave, Ford Heights, Illinois, 60411",60411,Illinois,Region 5,Community water system,3856,EAST CHICAGO HEIGHTS,Cook,16,160,29,-87.592065,41.507451,-87.591731,41.50745,-87.593065,-87.591065,41.506451,41.508451
IL1310050,ALEDO,"120 N College Ave, Aledo, Illinois, 61231",61231,Illinois,Region 5,Community water system,3700,ALEDO,Mercer,13,9,19,-90.749246,41.202353,-90.748971,41.20236,-90.750246,-90.748246,41.201353,41.203353
IL1135510,ILLINOIS STATE UNIVERSITY-NORMAL,"61790, Normal, Illinois",61790,Illinois,Region 5,Community water system,7877,NORMAL,McLean,15,20,15,-88.997971,40.51026,-88.997971,40.51026,-89.002971,-88.992971,40.50526,40.51526
IL0311770,MARKHAM,"60428, Markham, Illinois",60428,Illinois,Region 5,Community water system,12000,MARKHAM,Cook,9,30,15,-87.699039,41.604046,-87.699039,41.604046,-87.748039,-87.650039,41.555046,41.653046
IL1090100,BLANDINSVILLE,"305 W Water St, Blandinsville, Illinois, 61420",61420,Illinois,Region 5,Community water system,775,BLANDINSVILLE,McDonough,13,16,18,-90.874672,40.558944,-90.874681,40.55884,-90.875672,-90.873672,40.557944,40.559944
IL0375200,VALLEY VIEW SUBDIVISION (DEKALB),"8691 Cambridge Rd, Kingston, Illinois, 60145",60145,Illinois,Region 5,Community water system,165,,DeKalb,7,3,30,-88.779501,42.094827,-88.779501,42.09507,-88.780501,-88.778501,42.093827,42.095827
IL1010150,LAWRENCEVILLE,"700 State St, Lawrenceville, Illinois, 62439",62439,Illinois,Region 5,Community water system,5093,LAWRENCEVILLE,Lawrence,23,8,50,-87.678025,38.729417,-87.678025,38.729417,-87.688025,-87.668025,38.719417,38.739417
IL2035165,MILL POINT MHP,"Ash Ln, East Peoria, Illinois, 61611",61611,Illinois,Region 5,Community water system,200,SECOR,Woodford,6,184,25,-89.536068,40.782436,-89.536068,40.782436,-89.539068,-89.533068,40.779436,40.785436
IL1230300,VARNA,"2323 4th St, Peru, Illinois, 61354",61354,Illinois,Region 5,Community water system,426,VARNA,Marshall,11,7,23,-89.136712,41.327589,-89.136721,41.32801,-89.137712,-89.135712,41.326589,41.328589
IL3068544,IMMANUEL LUTHERAN CHURCH (68544),"2498 County Road 2100 E, Thomasboro, Illinois, 61878",61878,Illinois,Region 5,Transient non-community system,150,,Champaign,3,1,10,-88.059165,40.239423,-88.059165,40.239423,-88.069165,-88.049165,40.229423,40.249423
