PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Longitude,Latitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
IN2464109,J-MART AMOCO FOOD SHOP/ARBYS,"46320, Hammond, Indiana",46320,Indiana,Region 5,Transient non-community system,504,WESTVILLE,LaPorte,4,5,3,-87.519002,41.61702,-87.519002,41.61702,-87.612002,-87.426002,41.52402,41.71002
IN2431052,CENTER/CENTER-WEST WELL,"16521 San Carlos Blvd, Fort Myers, Florida, 33908",33908,Indiana,Region 5,Transient non-community system,50,WARSAW,Kosciusko,4,1,6,-81.943461,26.501391,-81.942991,26.5014,-81.944461,-81.942461,26.500391,26.502391
IN2430987,PATONA BAY CAMPGROUND,"162 Ems T33 Ln, Leesburg, Indiana, 46538",46538,Indiana,Region 5,Transient non-community system,150,LEESBURG,Kosciusko,9,11,3,-85.782108,41.334701,-85.781741,41.33464,-85.783108,-85.781108,41.333701,41.335701
IN2560820,LASALLE FISH & WILDLIFE AREA,"4752 W 1050 N, Lake Village, Indiana, 46349",46349,Indiana,Region 5,Transient non-community system,156,LAKE VILLAGE,Newton,4,7,4,-87.482921,41.152278,-87.482871,41.15543,-87.483921,-87.481921,41.151278,41.153278
IN2300926,"CARROLLTON UNITED METHODIST CHURCH, INC.","10975 N 200 W, Fountaintown, Indiana, 46130",46130,Indiana,Region 5,Transient non-community system,60,FINLY (CARROLLTON) (REEDVILLE),Hancock,2,17,5,-85.819857,39.68283,-85.820151,39.68283,-85.820857,-85.818857,39.68183,39.68383
IN2500814,CINDYS COUNTRY PRIDE FAMILY RESTAURANT,"12355 Michigan Rd, Plymouth, Indiana, 46563",46563,Indiana,Region 5,Transient non-community system,53,PLYMOUTH,Marshall,4,12,10,-86.275548,41.299021,-86.275548,41.299021,-86.285548,-86.265548,41.289021,41.309021
IN2350012,ST. PAULS CHILDCARE,"3995 N 1000 W, Andrews, Indiana, 46702",46702,Indiana,Region 5,Transient non-community system,97,ANDREWS,Huntington,3,2,2,-85.641575,40.885041,-85.641221,40.88505,-85.642575,-85.640575,40.884041,40.886041
IN2090856,LOGAN ROLLER RINK,"10677 W County Road 575 N, Royal Center, Indiana, 46978",46978,Indiana,Region 5,Transient non-community system,78,LOGANSPORT,Cass,2,53,10,-86.575582,40.849483,-86.575601,40.84917,-86.576582,-86.574582,40.848483,40.850483
IN2700008,FLATROCK AMISH SCHOOL,"4362 W State Road 244, Milroy, Indiana, 46156",46156,Indiana,Region 5,Transient non-community system,30,MILROY,Rush,3,18,6,-85.521592,39.496928,-85.525461,39.4996,-85.522592,-85.520592,39.495928,39.497928
IN5284005,J & T WATER COMPANY,"4501 N Fruitridge Ave, Terre Haute, Indiana, 47805",47805,Indiana,Region 5,Community water system,50,TERRE HAUTE,Vigo,2,38,11,-87.360256,39.521011,-87.359941,39.52091,-87.361256,-87.359256,39.520011,39.522011
