PWSID,Approximate Address
IA5700641,Not Found
IA5700629,Not Found
IA4100901,Not Found
IA2974001,Not Found
IA4934201,Not Found
IA5221801,Not Found
IA8271202,Not Found
IA7714707,Not Found
IA9700901,Not Found
IA2258901,Not Found
IA5282309,Not Found
IA3070868,Not Found
IA1509801,Not Found
IA0375838,Not Found
IA5307101,Not Found
IA3126315,Not Found
IA1025554,Not Found
IA7820803,Not Found
IA0397551,Not Found
IA6203093,Not Found
IA2326101,Not Found
IA3671201,Not Found
IA7589401,Not Found
IA6600901,Not Found
IA5720905,Not Found
IA2300638,Not Found
IA8600914,Not Found
IA9644201,Not Found
IA5500602,Not Found
IA4453601,Not Found
IA1750708,Not Found
IA7528801,Not Found
IA2900600,Not Found
IA5221301,Not Found
IA0709502,Not Found
IA5225804,Not Found
IA9433187,Not Found
IA0790201,Not Found
IA0908000,Not Found
IA3307117,Not Found
IA3126302,Not Found
IA9580201,Not Found
IA4884202,Not Found
IA8222738,Not Found
IA8215900,Not Found
IA6634201,Not Found
IA5280301,Not Found
IA6739913,Not Found
IA2279967,Not Found
IA4063953,Not Found
IA2279401,Not Found
IA5221205,Not Found
IA1700649,Not Found
IA3100720,Not Found
IA4848901,Not Found
IA5765201,Not Found
IA5731201,Not Found
IA4953202,Not Found
IA2242206,Not Found
IA5225328,Not Found
IA6432043,Not Found
IA5751946,Not Found
IA4880087,Not Found
IA5625140,Not Found
IA0300932,Not Found
IA6234070,Not Found
IA3409201,Not Found
IA5715902,Not Found
IA5221901,Not Found
IA8500605,Not Found
IA7073707,Not Found
IA2171201,Not Found
IA4063890,Not Found
IA0990207,Not Found
IA1689202,Not Found
IA5715211,Not Found
IA0397201,Not Found
IA8222610,Not Found
IA5765204,Not Found
IA3218301,Not Found
IA8150401,Not Found
IA2715009,Not Found
IA4975201,Not Found
IA0709844,Not Found
IA5377801,Not Found
IA5715106,Not Found
IA9630872,Not Found
IA5031301,Not Found
IA0922729,Not Found
IA1811101,Not Found
IA3100675,Not Found
IA3126301,Not Found
IA3170303,Not Found
IA2800622,Not Found
IA8200605,Not Found
IA2268768,Not Found
IA3800600,Not Found
IA3383841,Not Found
IA9778107,Not Found
IA4260102,Not Found
IA0922201,Not Found
IA5600947,Not Found
IA0398101,Not Found
IA6653801,Not Found
IA3643201,Not Found
IA5221206,Not Found
IA8218303,Not Found
IA5842202,Not Found
IA7078791,Not Found
IA7078790,Not Found
IA8225301,Not Found
IA5776301,Not Found
IA8503401,Not Found
IA5221303,Not Found
IA5502731,Not Found
IA9780203,Not Found
IA2561601,Not Found
IA4884201,Not Found
IA4344991,Not Found
IA4840959,Not Found
IA8278802,Not Found
IA9486801,Not Found
IA3600901,Not Found
IA4260601,Not Found
IA5792401,Not Found
IA4260210,Not Found
IA2127085,Not Found
IA5221101,Not Found
IA8215021,Not Found
IA4641163,Not Found
IA5343200,Not Found
IA5603701,Not Found
IA0965201,Not Found
IA0345603,Not Found
IA5718202,Not Found
IA4453602,Not Found
IA1750816,Not Found
IA3126209,Not Found
IA4564201,Not Found
IA9905786,Not Found
IA9780201,Not Found
IA8222611,Not Found
IA8222609,Not Found
IA7403081,Not Found
IA5221401,Not Found
IA2915885,Not Found
IA2424108,Not Found
IA2326201,Not Found
IA5377201,Not Found
IA7820805,Not Found
IA3290301,Not Found
IA0330705,Not Found
IA3300769,Not Found
IA3100648,Not Found
IA4515782,Not Found
IA5225320,Not Found
IA4135801,Not Found
IA9806801,Not Found
IA3126211,Not Found
IA3126013,Not Found
IA4400601,Not Found
IA5221519,Not Found
IA3130731,Not Found
IA8538301,Not Found
IA1970203,Not Found
IA7639841,Not Found
IA1286107,Not Found
IA0975895,Not Found
IA3544801,Not Found
IA7940037,Not Found
IA6642773,Not Found
IA4170801,Not Found
IA3937444,Not Found
IA8222178,Not Found
IA9233204,Not Found
IA9113101,Not Found
IA7016778,Not Found
IA7820203,Not Found
IA1970204,Not Found
