PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Longitude,Latitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
IA1509901,COCKLIN FISH FARM,"51535, Griswold, Iowa",51535,Iowa,Region 7,Transient non-community system,65,GRISWOLD,Cass,6,0,1,-95.141171,41.23442,-95.141171,41.23442,-95.365171,-94.917171,41.01042,41.45842
IA0345054,LANSING WATER SUPPLY,"52151, Lansing, Iowa",52151,Iowa,Region 7,Community water system,999,LANSING,Allamakee,11,4,5,-91.222461,43.362071,-91.222461,43.362071,-91.451461,-90.993461,43.133071,43.591071
IA1855066,QUIMBY WATER SUPPLY,"51049, Quimby, Iowa",51049,Iowa,Region 7,Community water system,319,QUIMBY,Cherokee,8,3,6,-95.642641,42.63175,-95.642641,42.63175,-95.760641,-95.524641,42.51375,42.74975
IA5225901,JOHNSON COUNTY AG ASSOCIATION,"52246, Iowa City, Iowa",52246,Iowa,Region 7,Transient non-community system,218,IOWA CITY,Johnson,21,2,10,-91.548452,41.6513,-91.548452,41.6513,-91.686452,-91.410452,41.5133,41.7893
IA1716203,THE MARKET AT OAKWOOD,"50428, Clear Lake, Iowa",50428,Iowa,Region 7,Transient non-community system,122,CLEAR LAKE,Cerro Gordo,5,1,9,-93.378382,43.13692,-93.378382,43.13692,-93.507382,-93.249382,43.00792,43.26592
IA8215384,TIMBER VALLEY ESTATES (1ST & 2ND ADD),"52726, Blue Grass, Iowa",52726,Iowa,Region 7,Community water system,192,BLUE GRASS,Scott,6,57,6,-90.763782,41.509791,-90.763782,41.509791,-90.881782,-90.645782,41.391791,41.627791
IA4453016,MOUNT PLEASANT MUNICIPAL UTILITIES,"52641, Mount Pleasant, Iowa",52641,Iowa,Region 7,Community water system,8718,MOUNT PLEASANT,Henry,30,26,7,-91.553912,40.964641,-91.553912,40.964641,-91.790912,-91.316912,40.727641,41.201641
IA5758021,MOUNT VERNON WATER SUPPLY,"52314, Mt Vernon, Iowa",52314,Iowa,Region 7,Community water system,4506,MOUNT VERNON,Linn,21,7,5,-91.417452,41.923171,-91.417452,41.923171,-91.550452,-91.284452,41.790171,42.056171
IA6682801,ST PETER LUTHERAN CHURCH,"50481, Toeterville, Iowa",50481,Iowa,Region 7,Transient non-community system,313,TOETERVILLE,Mitchell,6,22,9,-92.891921,43.44335,-92.891921,43.44335,-92.892921,-92.890921,43.44235,43.44435
IA6677089,STACYVILLE WATER SUPPLY,"50476, Stacyville, Iowa",50476,Iowa,Region 7,Community water system,494,STACYVILLE,Mitchell,8,5,10,-92.783377,43.436292,-92.783377,43.436292,-92.934377,-92.632377,43.285292,43.587292
IA4115092,CRYSTAL LAKE WATER SUPPLY,"50453, Leland, Iowa",50453,Iowa,Region 7,Community water system,250,CRYSTAL LAKE,Hancock,8,3,8,-93.631712,43.33738,-93.631712,43.33738,-93.733712,-93.529712,43.23538,43.43938
IA1376201,TWIN LAKES GOLF CLUB,"50579, Rockwell City, Iowa",50579,Iowa,Region 7,Transient non-community system,39,ROCKWELL CITY,Calhoun,7,0,2,-94.633792,42.396121,-94.633792,42.396121,-94.856792,-94.410792,42.173121,42.619121
IA5315005,CENTER JUNCTION WATER DEPT,"52212, Center Junction, Iowa",52212,Iowa,Region 7,Community water system,111,CENTER JUNCTION,Jones,6,18,5,-91.088271,42.11265,-91.088271,42.11265,-91.170271,-91.006271,42.03065,42.19465
IA1600301,COACH ROAD WELL ASSOCIATION,"52253, Lisbon, Iowa",52253,Iowa,Region 7,Community water system,40,LISBON,Cedar,6,18,7,-91.387141,41.921031,-91.387141,41.921031,-91.520141,-91.254141,41.788031,42.054031
IA1228038,CLARKSVILLE WATER SUPPLY,"50619, Clarksville, Iowa",50619,Iowa,Region 7,Community water system,1445,CLARKSVILLE,Butler,7,4,7,-92.669226,42.783618,-92.669226,42.783618,-92.793226,-92.545226,42.659618,42.907618
IA2166006,ROYAL MUNICIPAL WATER UTILITIES,"51301, Spencer, Iowa",51301,Iowa,Region 7,Community water system,453,ROYAL,Clay,8,2,5,-95.145036,43.144595,-95.145036,43.144595,-95.269036,-95.021036,43.020595,43.268595
IA7048308,HILLTOP ROAD ASSOCIATION #2,"52761, Muscatine, Iowa",52761,Iowa,Region 7,Community water system,55,MUSCATINE,Muscatine,7,13,6,-91.048482,41.426171,-91.048482,41.426171,-91.298482,-90.798482,41.176171,41.676171
IA3126489,DUBUQUE YMCA CAMP,"52001, Dubuque, Iowa",52001,Iowa,Region 7,Transient non-community system,60,DUBUQUE,Dubuque,6,9,5,-90.669136,42.504128,-90.669136,42.504128,-90.806136,-90.532136,42.367128,42.641128
IA8251905,SCOTT CO-WILDERNESS CAMPGROUND,"52804, Davenport, Iowa",52804,Iowa,Region 7,Transient non-community system,163,LONG GROVE,Scott,5,0,12,-90.618351,41.53069,-90.618351,41.53069,-90.746351,-90.490351,41.40269,41.65869
IA9630401,TWIN SPRINGS CAMP AREA,"52101, Decorah, Iowa",52101,Iowa,Region 7,Transient non-community system,32,DECORAH,Winneshiek,8,4,13,-91.787316,43.302193,-91.787316,43.302193,-92.009316,-91.565316,43.080193,43.524193
IA0709084,CEDAR FALLS MUNICIPAL WATER UTILITIES,"50613, Cedar Falls, Iowa",50613,Iowa,Region 7,Community water system,39260,CEDAR FALLS,Black Hawk,41,5,5,-92.448972,42.5312,-92.448972,42.5312,-92.632972,-92.264972,42.3472,42.7152
IA8258702,THE LUCKY FROG BAR & GRILL,"52730, Camanche, Iowa",52730,Iowa,Region 7,Transient non-community system,25,MCCAUSLAND,Scott,7,1,6,-90.257163,41.786085,-90.257163,41.786085,-90.449163,-90.065163,41.594085,41.978085
IA6709017,BLENCOE MUNICIPAL WATERWORKS,"51523, Blencoe, Iowa",51523,Iowa,Region 7,Community water system,224,BLENCOE,Monona,7,21,10,-96.084081,41.931861,-96.084081,41.931861,-96.195081,-95.973081,41.820861,42.042861
IA6915015,ELLIOTT WATER SUPPLY,"51532, Elliott, Iowa",51532,Iowa,Region 7,Community water system,350,ELLIOTT,Montgomery,8,32,14,-95.162431,41.148241,-95.162431,41.148241,-95.354431,-94.970431,40.956241,41.340241
IA2613019,BLOOMFIELD MUNI WATER DEPT,"52537, Bloomfield, Iowa",52537,Iowa,Region 7,Community water system,2640,BLOOMFIELD,Davis,10,82,6,-92.416601,40.749766,-92.416601,40.749766,-92.654601,-92.178601,40.511766,40.987766
IA0477040,MYSTIC WATER SUPPLY,"52574, Mystic, Iowa",52574,Iowa,Region 7,Community water system,425,MYSTIC,Appanoose,6,2,7,-92.946152,40.778481,-92.946152,40.778481,-93.040152,-92.852152,40.684481,40.872481
