PWSID,Approximate Address
KS2016106,Not Found
KS2001528,Not Found
KS2115537,Not Found
KS2116112,Not Found
KS2119103,Not Found
KS2004303,Not Found
KS2117330,Not Found
KS2020503,Not Found
KS2104506,Not Found
KS2010322,Not Found
KS2009113,Not Found
KS2005531,Not Found
KS2115515,Not Found
KS2003722,Not Found
KS2101303,Not Found
KS2019109,Not Found
KS2000104,Not Found
KS2006116,Not Found
KS2016909,Not Found
KS2105313,Not Found
KS2115904,Not Found
KS2002112,Not Found
KS2004305,Not Found
KS2005535,Not Found
KS2105526,Not Found
KS2008705,Not Found
KS2106103,Not Found
KS2106108,Not Found
KS2117354,Not Found
KS2101504,Not Found
KS2013920,Not Found
KS2017346,Not Found
KS2016136,Not Found
KS2112902,Not Found
KS2106105,Not Found
KS2106110,Not Found
KS2108302,Not Found
KS2013109,Not Found
KS2012524,Not Found
KS2006505,Not Found
