PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Longitude,Latitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
KS2012302,MITCHELL CO RWD 1,"2034 240 Rd, Beloit, Kansas, 67420",67420,Kansas,Region 7,Community water system,345,GLEN ELDER,Mitchell,4,11,7,-98.228226,39.497441,-98.226371,39.49743,-98.229226,-98.227226,39.496441,39.498441
KS2000913,BARTON COUNTY COMMUNITY COLLEGE,"245 NE 30 Rd, Great Bend, Kansas, 67530",67530,Kansas,Region 7,Community water system,1000,GREAT BEND,Barton,10,1,10,-98.729462,38.405283,-98.729461,38.40517,-98.730462,-98.728462,38.404283,38.406283
KS2013105,NEMAHA CO RWD 1,"1505 200th Rd, Bern, Kansas, 66408",66408,Kansas,Region 7,Community water system,350,BERN,Nemaha,21,1,9,-95.974653,39.928028,-95.974771,39.93169,-95.975653,-95.973653,39.927028,39.929028
KS2017902,"SELDEN, CITY OF","311 N Missouri Ave, Selden, Kansas, 67757",67757,Kansas,Region 7,Community water system,218,SELDEN,Sheridan,13,1,13,-100.565002,39.544002,-100.565002,39.544002,-100.575002,-100.555002,39.534002,39.554002
KS2014704,"PRAIRIE VIEW, CITY OF","Main St, Prairie View, Kansas, 67664",67664,Kansas,Region 7,Community water system,131,PRAIRIE VIEW,Phillips,11,4,8,-99.574073,39.833243,-99.574073,39.833243,-99.577073,-99.571073,39.830243,39.836243
KS2015703,"COURTLAND, CITY OF","403 Main St, Courtland, Kansas, 66939",66939,Kansas,Region 7,Community water system,281,COURTLAND,Republic,6,3,10,-97.894992,39.783041,-97.894992,39.783041,-97.904992,-97.884992,39.773041,39.793041
KS2117351,YMCA CAMP HYDE INC,"26201 W 71st St S, Viola, Kansas, 67149",67149,Kansas,Region 7,Transient non-community system,300,VIOLA,Sedgwick,5,15,8,-97.640911,37.562285,-97.640911,37.562285,-97.650911,-97.630911,37.552285,37.572285
KS2004906,ELK CO RWD 2,"67349, Howard, Kansas",67349,Kansas,Region 7,Community water system,206,HOWARD,Elk,4,0,3,-96.261127,37.467836,-96.261127,37.467836,-96.510127,-96.012127,37.218836,37.716836
KS2004507,DOUGLAS CO RWD 3,"7035 SE 69th St, Berryton, Kansas, 66409",66409,Kansas,Region 7,Community water system,3834,BERRYTON,Douglas,20,2,12,-95.532081,38.942123,-95.532071,38.94179,-95.533081,-95.531081,38.941123,38.943123
KS2005107,COUNTRYSIDE ESTATES MOBILE HOME PARK,"1010 Reservation Rd, Hays, Kansas, 67601",67601,Kansas,Region 7,Community water system,300,HAYS,Ellis,10,31,10,-99.316169,38.859162,-99.316169,38.859162,-99.326169,-99.306169,38.849162,38.869162
KS2013504,"BROWNELL, CITY OF","202 S Broadway St, Brownell, Kansas, 67521",67521,Kansas,Region 7,Community water system,29,BROWNELL,Ness,9,14,8,-99.744894,38.638958,-99.744894,38.638958,-99.754894,-99.734894,38.628958,38.648958
KS2012703,"WHITE CITY, CITY OF","118 W MacKenzie St, White City, Kansas, 66872",66872,Kansas,Region 7,Community water system,614,WHITE CITY,Morris,16,18,11,-96.736637,38.795729,-96.736637,38.795729,-96.746637,-96.726637,38.785729,38.805729
KS2010101,"DIGHTON, CITY OF","444 N Delaware St, Dighton, Kansas, 67839",67839,Kansas,Region 7,Community water system,1038,DIGHTON,Lane,17,13,9,-100.462886,38.485911,-100.462651,38.48605,-100.463886,-100.461886,38.484911,38.486911
KS2019901,WALLACE CO RWD 1,"67762, Weskan, Kansas",67762,Kansas,Region 7,Community water system,200,WESKAN,Wallace,6,59,9,-101.966324,38.868304,-101.966324,38.868304,-102.263324,-101.669324,38.571304,39.165304
KS2003516,COWLEY CO RWD 7,"4868 172nd Rd, Winfield, Kansas, 67156",67156,Kansas,Region 7,Community water system,250,ROCK,Cowley,6,11,18,-97.08083,37.230237,-97.080811,37.23067,-97.08183,-97.07983,37.229237,37.231237
KS2003509,"ARKANSAS CITY, CITY OF","2929 N 2nd St, Arkansas City, Kansas, 67005",67005,Kansas,Region 7,Community water system,12401,ARKANSAS CITY,Cowley,23,5,17,-97.042646,37.093691,-97.042841,37.09369,-97.043646,-97.041646,37.092691,37.094691
KS2020512,WILSON CO RWD 13,"430 N 7th St, Fredonia, Kansas, 66736",66736,Kansas,Region 7,Community water system,223,FREDONIA,Wilson,7,3,9,-95.826447,37.534161,-95.826447,37.534161,-95.836447,-95.816447,37.524161,37.544161
KS2018902,"MOSCOW, CITY OF","228 Main St, Moscow, Kansas, 67952",67952,Kansas,Region 7,Community water system,304,MOSCOW,Stevens,11,67,9,-101.206309,37.324538,-101.206309,37.324538,-101.216309,-101.196309,37.314538,37.334538
KS2002121,CHEROKEE CO RWD 8,"66770, Riverton, Kansas",66770,Kansas,Region 7,Community water system,1300,RIVERTON,Cherokee,13,2,9,-94.704337,37.074795,-94.704337,37.074795,-94.741337,-94.667337,37.037795,37.111795
KS2004701,"BELPRE, CITY OF","303 Wheeler Ave, Belpre, Kansas, 67519",67519,Kansas,Region 7,Community water system,83,BELPRE,Edwards,9,25,9,-99.097799,37.950554,-99.097781,37.9504,-99.098799,-99.096799,37.949554,37.951554
KS2016706,RUSSELL CO RWD 2,"130 Cindy Dr, Russell, Kansas, 67665",67665,Kansas,Region 7,Community water system,30,RUSSELL,Russell,6,15,7,-98.840496,38.88495,-98.840091,38.88496,-98.841496,-98.839496,38.88395,38.88595
KS2105724,GUNSMOKE TRAVLPARK,"11070 108 Rd, Dodge City, Kansas, 67801",67801,Kansas,Region 7,Transient non-community system,25,DODGE CITY,Ford,6,0,6,-100.069586,37.756107,-100.069586,37.756107,-100.079586,-100.059586,37.746107,37.766107
KS2014102,"ALTON, CITY OF","5th St, Alton, Kansas, 67623",67623,Kansas,Region 7,Community water system,103,ALTON,Osborne,13,17,13,-98.950296,39.465386,-98.950296,39.465386,-98.952296,-98.948296,39.463386,39.467386
KS2019120,SUMNER CO RWD 7,"67022, Caldwell, Kansas",67022,Kansas,Region 7,Community water system,25,CALDWELL,Sumner,7,30,13,-97.610086,37.034112,-97.610086,37.034112,-97.803086,-97.417086,36.841112,37.227112
KS2005122,ELLIS CO RWD 6,"1845 310th Ave, Hays, Kansas, 67601",67601,Kansas,Region 7,Community water system,250,HAYS,Ellis,15,28,10,-99.205767,38.950541,-99.206681,38.95055,-99.206767,-99.204767,38.949541,38.951541
KS2005511,"GARDEN CITY, CITY OF","140 Harvest St, Garden City, Kansas, 67846",67846,Kansas,Region 7,Community water system,26880,GARDEN CITY,Finney,50,19,11,-100.833626,37.962222,-100.832661,37.96261,-100.834626,-100.832626,37.961222,37.963222
KS2020516,WILSON CO RWD 7,"430 N 7th St, Fredonia, Kansas, 66736",66736,Kansas,Region 7,Community water system,460,FREDONIA,Wilson,6,12,9,-95.826447,37.534161,-95.826447,37.534161,-95.836447,-95.816447,37.524161,37.544161
KS2019110,SUMNER CO RWD 6,"1589 E 40th St S, Oxford, Kansas, 67119",67119,Kansas,Region 7,Community water system,156,OXFORD,Sumner,5,2,9,-97.206942,37.231873,-97.207001,37.23139,-97.207942,-97.205942,37.230873,37.232873
KS2009701,"MULLINVILLE, CITY OF","110 S Main St, Mullinville, Kansas, 67109",67109,Kansas,Region 7,Community water system,254,MULLINVILLE,Kiowa,9,13,8,-99.475737,37.58527,-99.476631,37.58526,-99.476737,-99.474737,37.58427,37.58627
KS2011703,"WATERVILLE, CITY OF","136 E Commercial St, Waterville, Kansas, 66548",66548,Kansas,Region 7,Community water system,671,WATERVILLE,Marshall,9,6,11,-96.747891,39.692569,-96.747891,39.69285,-96.748891,-96.746891,39.691569,39.693569
KS2006303,"GOVE, CITY OF","515 Grant St, Gove, Kansas, 67736",67736,Kansas,Region 7,Community water system,79,GOVE,Gove,10,29,10,-100.486422,38.957661,-100.486422,38.957661,-100.496422,-100.476422,38.947661,38.967661
KS2013501,"RANSOM, CITY OF","421 S Vermont Ave, Ransom, Kansas, 67572",67572,Kansas,Region 7,Community water system,295,RANSOM,Ness,12,28,9,-99.931608,38.634466,-99.931608,38.634466,-99.941608,-99.921608,38.624466,38.644466
KS2020515,WILSON CO RWD 1,"430 N 7th St, Fredonia, Kansas, 66736",66736,Kansas,Region 7,Community water system,307,FREDONIA,Wilson,6,15,11,-95.826447,37.534161,-95.826447,37.534161,-95.836447,-95.816447,37.524161,37.544161
KS2008905,"FORMOSO, CITY OF","108 Main St, Formoso, Kansas, 66942",66942,Kansas,Region 7,Community water system,93,FORMOSO,Jewell,6,16,8,-97.993178,39.780579,-97.993178,39.780579,-98.003178,-97.983178,39.770579,39.790579
KS2115106,KDWP OPERATIONS MAINTENANCE SECT,"512 SE 25th Ave, Pratt, Kansas, 67124",67124,Kansas,Region 7,Non-Transient non-community system,90,PRATT,Pratt,6,13,9,-98.693306,37.632583,-98.693306,37.632583,-98.703306,-98.683306,37.622583,37.642583
KS2001524,"TOWANDA, CITY OF","110 S 3rd St, Towanda, Kansas, 67144",67144,Kansas,Region 7,Community water system,1449,TOWANDA,Butler,5,4,12,-97.002947,37.795081,-97.002611,37.79508,-97.003947,-97.001947,37.794081,37.796081
KS2008715,JEFFERSON CO RWD 9,"8463 Oak Point Rd, Ozawkie, Kansas, 66070",66070,Kansas,Region 7,Community water system,352,OZAWKIE,Jefferson,8,4,8,-95.450834,39.199592,-95.450834,39.199592,-95.460834,-95.440834,39.189592,39.209592
KS2010501,"LINCOLN, CITY OF","153 W Lincoln Ave, Lincoln, Kansas, 67455",67455,Kansas,Region 7,Community water system,1285,LINCOLN,Lincoln,17,5,8,-98.148686,39.040181,-98.148686,39.040181,-98.158686,-98.138686,39.030181,39.050181
KS2020519,WILSON CO RWD 11,"66736, New Albany, Kansas",66736,Kansas,Region 7,Community water system,833,TORONTO,Wilson,6,0,11,-95.826302,37.532663,-95.826302,37.532663,-96.049302,-95.603302,37.309663,37.755663
KS2014305,"DELPHOS, CITY OF","112 N Main St, Delphos, Kansas, 67436",67436,Kansas,Region 7,Community water system,361,DELPHOS,Ottawa,10,1,9,-97.765438,39.273109,-97.765438,39.273109,-97.775438,-97.755438,39.263109,39.283109
KS2015514,"HAVEN, CITY OF","120 S Kansas Ave, Haven, Kansas, 67543",67543,Kansas,Region 7,Community water system,1241,HAVEN,Reno,12,4,11,-97.782588,37.900703,-97.782588,37.900703,-97.792588,-97.772588,37.890703,37.910703
KS2010502,"SYLVAN GROVE, CITY OF","118 S Main St, Sylvan Grove, Kansas, 67481",67481,Kansas,Region 7,Community water system,276,SYLVAN GROVE,Lincoln,7,1,8,-98.393199,39.010543,-98.393199,39.010543,-98.403199,-98.383199,39.000543,39.020543
KS2019502,"COLLYER, CITY OF","200 Ainslie Ave, Collyer, Kansas, 67631",67631,Kansas,Region 7,Community water system,107,COLLYER,Trego,8,14,9,-100.117746,39.039622,-100.117746,39.039622,-100.127746,-100.107746,39.029622,39.049622
KS2004903,"LONGTON, CITY OF","501 Kansas Ave, Longton, Kansas, 67352",67352,Kansas,Region 7,Community water system,340,LONGTON,Elk,8,132,17,-96.080773,37.378044,-96.080773,37.378044,-96.090773,-96.070773,37.368044,37.388044
KS2000303,ANDERSON CO RWD 4,"501 N Olive St, Garnett, Kansas, 66032",66032,Kansas,Region 7,Community water system,1200,WESTPHALIA,Anderson,21,3,11,-95.232287,38.28771,-95.232291,38.28771,-95.233287,-95.231287,38.28671,38.28871
