PWSID,Approximate Address
KY0190597,Not Found
KY0052054,Not Found
KY0980898,Not Found
KY0500032,Not Found
KY0673238,Not Found
KY0533195,Not Found
KY0180309,Not Found
KY0593423,Not Found
KY0532233,Not Found
KY0792883,Not Found
KY0100004,Not Found
KY0010702,Not Found
KY0560639,Not Found
KY0082248,Not Found
KY0040259,Not Found
KY0650412,Not Found
KY0603287,Not Found
KY0470118,Not Found
KY0082393,Not Found
KY0940430,Not Found
KY0672553,Not Found
KY0462024,Not Found
KY0370607,Not Found
KY0180308,Not Found
KY0483458,Not Found
KY1180962,Not Found
KY0070325,Not Found
KY0673052,Not Found
KY0152891,Not Found
KY0090322,Not Found
KY0110664,Not Found
KY1180999,Not Found
KY0050490,Not Found
