PWSID,Approximate Address
LA2093005,Not Found
LA2005252,Not Found
LA2103183,Not Found
LA1015032,Not Found
LA2103462,Not Found
LA2117136,Not Found
LA1105083,Not Found
LA2045076,Not Found
LA2105110,Not Found
LA1017050,Not Found
LA1045039,Not Found
LA1019086,Not Found
LA2113189,Not Found
LA1063083,Not Found
LA2113218,Not Found
LA1005211,Not Found
LA1047029,Not Found
LA2017023,Not Found
LA2005167,Not Found
LA1105072,Not Found
LA1103107,Not Found
LA2019010,Not Found
LA1107002,Not Found
LA1105011,Not Found
LA2099043,Not Found
LA2063033,Not Found
LA1005159,Not Found
LA2073046,Not Found
LA1103169,Not Found
LA2005263,Not Found
LA1033019,Not Found
LA1111027,Not Found
LA1019073,Not Found
LA1105059,Not Found
LA2103459,Not Found
LA2113273,Not Found
LA1077034,Not Found
LA1103186,Not Found
LA2103381,Not Found
LA1103162,Not Found
LA1121017,Not Found
LA1103158,Not Found
LA1121024,Not Found
LA1103167,Not Found
LA2077047,Not Found
LA2017025,Not Found
LA2019132,Not Found
LA2095044,Not Found
LA2005165,Not Found
LA1103080,Not Found
LA2103497,Not Found
LA2103387,Not Found
LA1073079,Not Found
LA2095038,Not Found
LA2071038,Not Found
LA1019113,Not Found
LA1019057,Not Found
LA1103187,Not Found
LA2117193,Not Found
LA1055130,Not Found
LA2127009,Not Found
LA2103445,Not Found
LA1017035,Not Found
LA2019046,Not Found
LA2033133,Not Found
LA2019141,Not Found
LA1063071,Not Found
LA1005144,Not Found
LA2005267,Not Found
LA2019124,Not Found
LA1089002,Not Found
LA1017085,Not Found
LA1017070,Not Found
LA1105086,Not Found
LA1005203,Not Found
LA2005259,Not Found
LA2115011,Not Found
LA2079026,Not Found
LA2079034,Not Found
LA2117175,Not Found
LA2063034,Not Found
LA2115127,Not Found
LA2099019,Not Found
LA1055103,Not Found
LA2099014,Not Found
LA2019060,Not Found
LA1091009,Not Found
LA1055087,Not Found
LA1099030,Not Found
LA2005214,Not Found
LA1063122,Not Found
LA2103499,Not Found
LA1063126,Not Found
LA2099093,Not Found
LA2005047,Not Found
LA1103010,Not Found
LA1043019,Not Found
LA1073001,Not Found
LA2019094,Not Found
LA1033025,Not Found
LA2033127,Not Found
LA2019135,Not Found
LA2017017,Not Found
LA1063072,Not Found
LA1049020,Not Found
LA1105013,Not Found
LA1017036,Not Found
LA1015014,Not Found
LA2105001,Not Found
LA2117125,Not Found
LA2017022,Not Found
LA2073055,Not Found
LA2005005,Not Found
LA1055170,Not Found
LA1055115,Not Found
LA2117097,Not Found
LA2103488,Not Found
LA1097038,Not Found
LA1055161,Not Found
LA2103435,Not Found
LA1103059,Not Found
LA1055150,Not Found
LA1055167,Not Found
LA1055153,Not Found
LA2055085,Not Found
LA2045062,Not Found
LA1073108,Not Found
LA2103349,Not Found
LA1073049,Not Found
LA1073038,Not Found
LA2103404,Not Found
LA1073007,Not Found
LA2117197,Not Found
LA1105069,Not Found
LA1019092,Not Found
LA2103468,Not Found
LA1073021,Not Found
LA1077024,Not Found
LA2091026,Not Found
LA2103389,Not Found
LA2091010,Not Found
LA1045007,Not Found
LA1045017,Not Found
LA2039017,Not Found
LA1069010,Not Found
LA1055060,Not Found
LA1045028,Not Found
LA2103411,Not Found
LA1077012,Not Found
LA2103270,Not Found
LA2117093,Not Found
LA2103247,Not Found
LA2119002,Not Found
LA1001011,Not Found
LA2103508,Not Found
LA1063117,Not Found
LA2005260,Not Found
LA1103028,Not Found
LA2005255,Not Found
LA2071111,Not Found
LA2099071,Not Found
LA2005006,Not Found
LA2005277,Not Found
LA2069030,Not Found
LA2117196,Not Found
LA1025010,Not Found
LA1091005,Not Found
LA1017010,Not Found
LA2013011,Not Found
LA1103192,Not Found
LA1105096,Not Found
LA2019142,Not Found
LA2103327,Not Found
LA1099018,Not Found
LA2005268,Not Found
LA1005036,Not Found
LA1005017,Not Found
LA2115062,Not Found
LA2103348,Not Found
LA1045025,Not Found
LA2033131,Not Found
LA2103420,Not Found
LA2103371,Not Found
LA1105099,Not Found
LA1091003,Not Found
LA1085001,Not Found
LA2045075,Not Found
LA1063124,Not Found
LA1063121,Not Found
LA1005074,Not Found
LA1103136,Not Found
LA2099077,Not Found
LA2105123,Not Found
LA1017080,Not Found
LA1019087,Not Found
LA1047011,Not Found
LA1105056,Not Found
LA2105111,Not Found
LA1063038,Not Found
LA2077050,Not Found
LA1105091,Not Found
LA1063027,Not Found
LA2069024,Not Found
LA2103417,Not Found
LA1063032,Not Found
LA1073075,Not Found
LA1105025,Not Found
LA1105017,Not Found
