PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Longitude,Latitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
LA1017037,VIVIAN WATER SYSTEM,"71082, Vivian, Louisiana",71082,Louisiana,Region 6,Community water system,4425,,Caddo Parish,11,14,28,-93.986503,32.872305,-93.986503,32.872305,-94.165503,-93.807503,32.693305,33.051305
LA1045004,JEANERETTE CITY OF WATER SYSTEM,"70544, Jeanerette, Louisiana",70544,Louisiana,Region 6,Community water system,6840,,Iberia Parish,40,13,15,-91.670838,29.915929,-91.670838,29.915929,-91.915838,-91.425838,29.670929,30.160929
LA1103176,MADISONVILLE ON THE LAKE,"70447, Madisonville, Louisiana",70447,Louisiana,Region 6,Community water system,36,,St. Tammany Parish,5,1,4,-90.157736,30.40687,-90.157736,30.40687,-90.254736,-90.060736,30.30987,30.50387
LA1119020,MIDWAY WATER SYSTEM,"71071, Sarepta, Louisiana",71071,Louisiana,Region 6,Community water system,450,,Webster Parish,6,18,6,-93.448678,32.897099,-93.448678,32.897099,-93.537678,-93.359678,32.808099,32.986099
LA2117186,WARNERTON QUICK STOP,"Pigott Rd, Tylertown, Mississippi, 39667",39667,Louisiana,Region 6,Transient non-community system,101,,Washington Parish,4,1,2,-90.027118,31.115066,-90.027118,31.115066,-90.055118,-89.999118,31.087066,31.143066
LA1117127,SANDSTONE LAKE WATER SUPPLY,"70005, Metairie, Louisiana",70005,Louisiana,Region 6,Community water system,25,,St. Tammany Parish,3,0,0,-90.128762,30.006931,-90.128762,30.006931,-90.162762,-90.094762,29.972931,30.040931
LA1013023,SPRINGHILL  COMMUNITY WATER SYSTEM,"71034, Hall Summit, Louisiana",71034,Louisiana,Region 6,Community water system,183,,Bienville Parish,5,13,5,-93.305851,32.177605,-93.305851,32.177605,-93.363851,-93.247851,32.119605,32.235605
LA1079011,GLENMORA  TOWN OF,"71433, Glenmora, Louisiana",71433,Louisiana,Region 6,Community water system,1624,,Rapides Parish,11,11,7,-92.58369,30.976296,-92.58369,30.976296,-92.81469,-92.35269,30.745296,31.207296
LA1063022,"ALBANY, TOWN OF","70711, Albany, Louisiana",70711,Louisiana,Region 6,Community water system,6063,,Livingston Parish,9,8,5,-90.584271,30.505301,-90.584271,30.505301,-90.656271,-90.512271,30.433301,30.577301
LA1107005,WATERPROOF WATER SYSTEM,"71375, Waterproof, Louisiana",71375,Louisiana,Region 6,Community water system,1293,,Tensas Parish,9,47,5,-91.383262,31.8087,-91.383262,31.8087,-91.580262,-91.186262,31.6117,32.0057
LA1111009,JUNCTION CITY WATER SYSTEM,"71749, Junction City, Arkansas",71749,Louisiana,Region 6,Community water system,810,,Union Parish,6,1,8,-92.859127,33.096475,-92.859127,33.096475,-93.217127,-92.501127,32.738475,33.454475
LA2005042,OCCIDENTAL CHEMICAL CORPORATION,"70734, Geismar, Louisiana",70734,Louisiana,Region 6,Non-Transient non-community system,500,,Ascension Parish,10,2,8,-90.986442,30.254581,-90.986442,30.254581,-91.119442,-90.853442,30.121581,30.387581
LA2115130,COUNTRY CORNER STORE,"71446, Hicks, Louisiana",71446,Louisiana,Region 6,Transient non-community system,30,,Vernon Parish,5,0,6,-93.266017,31.147241,-93.266017,31.147241,-93.703017,-92.829017,30.710241,31.584241
LA1047028,PLANTATION GARDENS,"70898, Baton Rouge, Louisiana",70898,Louisiana,Region 6,Community water system,160,,Iberville Parish,2,4,4,-91.139071,30.420921,-91.139071,30.420921,-91.144071,-91.134071,30.415921,30.425921
LA1041006,WINNSBORO WATER SYSTEM,"71295, Winnsboro, Louisiana",71295,Louisiana,Region 6,Community water system,5500,,Franklin Parish,31,9,8,-91.721288,32.160826,-91.721288,32.160826,-91.950288,-91.492288,31.931826,32.389826
LA1099029,ST MARTIN PARISH INDUSTRIAL PARK WS,"70582, Parks, Louisiana",70582,Louisiana,Region 6,Community water system,150,,St. Martin Parish,13,22,19,-91.831424,30.121334,-91.831424,30.121334,-92.293424,-91.369424,29.659334,30.583334
LA2103390,RUSSELLS QUICK STOP,"70445, Lacombe, Louisiana",70445,Louisiana,Region 6,Transient non-community system,750,,St. Tammany Parish,4,1,3,-89.973086,30.332514,-89.973086,30.332514,-90.147086,-89.799086,30.158514,30.506514
LA2103317,ASSUNTAS RESTAURANT,"70769, Prairieville, Louisiana",70769,Louisiana,Region 6,Transient non-community system,70,,St. Tammany Parish,4,0,4,-90.971542,30.304401,-90.971542,30.304401,-91.133542,-90.809542,30.142401,30.466401
LA1117002,"FRANKLINTON, TOWN OF","70438, Sheridan, Louisiana",70438,Louisiana,Region 6,Community water system,4150,,Washington Parish,12,10,4,-90.152332,30.849948,-90.152332,30.849948,-90.386332,-89.918332,30.615948,31.083948
LA2095040,BEACON LOUNGE,"70421, Akers, Louisiana",70421,Louisiana,Region 6,Transient non-community system,25,,St. John the Baptist Parish,4,0,8,-90.402596,30.29128,-90.402596,30.29128,-90.508596,-90.296596,30.18528,30.39728
LA1021001,CLARKS WATER SYSTEM,"71415, Clarks, Louisiana",71415,Louisiana,Region 6,Community water system,996,,Caldwell Parish,12,5,8,-92.137757,32.026822,-92.137757,32.026822,-92.142757,-92.132757,32.021822,32.031822
LA1023013,CAMERON PAR WW DISTRICT NO 11 - BIG LAKE,"70630, Bell City, Louisiana",70630,Louisiana,Region 6,Community water system,1575,,Cameron Parish,5,0,1,-92.947408,30.139994,-92.947408,30.139994,-93.197408,-92.697408,29.889994,30.389994
LA1011007,MERRYVILLE  TOWN OF   WATER SYSTEM,"70653, Fields, Louisiana",70653,Louisiana,Region 6,Community water system,1200,,Beauregard Parish,9,12,4,-93.546118,30.752036,-93.546118,30.752036,-93.850118,-93.242118,30.448036,31.056036
LA1017027,PINEHILL WATERWORKS DISTRICT,"71107, Dixie, Louisiana",71107,Louisiana,Region 6,Community water system,4425,,Caddo Parish,28,9,5,-93.770661,32.537871,-93.770661,32.537871,-94.018661,-93.522661,32.289871,32.785871
LA1019102,COUNTRY LIVING TRAILER PARK WATER SYSTEM,"70601, Lake Charles, Louisiana",70601,Louisiana,Region 6,Community water system,25,,Calcasieu Parish,4,4,2,-93.212397,30.225602,-93.212397,30.225602,-93.282397,-93.142397,30.155602,30.295602
LA2017026,RELAY STATION,"71129, Shreveport, Louisiana",71129,Louisiana,Region 6,Transient non-community system,999,,Caddo Parish,7,1,3,-93.861541,32.445,-93.861541,32.445,-94.025541,-93.697541,32.281,32.609
LA1015006,J & N MOBILE HOME PARK,"71112, Bossier City, Louisiana",71112,Louisiana,Region 6,Community water system,147,,Bossier Parish,10,16,6,-93.705276,32.511333,-93.705276,32.511333,-93.861276,-93.549276,32.355333,32.667333
LA1015018,VILLAGE WATER SYSTEM,"71067, Princeton, Louisiana",71067,Louisiana,Region 6,Community water system,10500,,Bossier Parish,62,7,14,-93.544945,32.561468,-93.544945,32.561468,-93.664945,-93.424945,32.441468,32.681468
LA1023003,CAMERON PAR WW DISTRICT NO 7,"70632, Creole, Louisiana",70632,Louisiana,Region 6,Community water system,960,,Cameron Parish,13,13,3,-93.056012,29.819297,-93.056012,29.819297,-93.466012,-92.646012,29.409297,30.229297
LA1023011,CAMERON PAR WW DIST. NO 11 - SWEET LAKE,"70630, Bell City, Louisiana",70630,Louisiana,Region 6,Community water system,3507,,Cameron Parish,17,6,5,-92.947408,30.139994,-92.947408,30.139994,-93.197408,-92.697408,29.889994,30.389994
