PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Longitude,Latitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
MA1256000,RUSSELL WATER DEPT,"01071, Russell, Massachusetts",01071,Massachusetts,Region 1,Community water system,1228,RUSSELL,Hampden,7,22,9,-72.86317,42.187705,-72.86317,42.187705,-72.93417,-72.79217,42.116705,42.258705
MA4096009,PRISTINE SPRING (FALMOUTH) VEND,"415 West St, West Bridgewater, Town of, Massachusetts, 02379",02379,Massachusetts,Region 1,Transient non-community system,100,FALMOUTH,Barnstable,4,0,2,-71.057559,42.024049,-71.057521,42.02435,-71.058559,-71.056559,42.023049,42.025049
MA3254000,ROWLEY WATER DEPARTMENT,"01969, Rowley, Massachusetts",01969,Massachusetts,Region 1,Community water system,6000,ROWLEY,Essex,11,38,21,-70.901611,42.719992,-70.901611,42.719992,-71.015611,-70.787611,42.605992,42.833992
MA3284000,STONEHAM WATER DEPT (MWRA SUPPLY),"16 Pine St, Stoneham, Town of, Massachusetts, 02180",02180,Massachusetts,Region 1,Community water system,21437,STONEHAM,Middlesex,4,15,10,-71.097374,42.479798,-71.096841,42.47978,-71.098374,-71.096374,42.478798,42.480798
MA1260009,M J TUCKERS LLC,"61 S Main St, Sandisfield, Town of, Massachusetts, 01255",01255,Massachusetts,Region 1,Transient non-community system,25,SANDISFIELD,Berkshire,1,1,2,-73.068153,42.079008,-73.068691,42.0787,-73.069153,-73.067153,42.078008,42.080008
MA4318074,DRUMMER COVE COTTAGES,"07014, Clifton, New Jersey",07014,Massachusetts,Region 1,Transient non-community system,125,WELLFLEET,Barnstable,6,4,2,-74.136833,40.832541,-74.136833,40.832541,-74.158833,-74.114833,40.810541,40.854541
MA4020022,GREAT MARSH HEALTH SERVICES,"1049 RT-6A, Barnstable, Massachusetts, 02668",02668,Massachusetts,Region 1,Transient non-community system,25,BARNSTABLE,Barnstable,2,0,1,-70.369413,41.707265,-70.369641,41.70701,-70.370413,-70.368413,41.706265,41.708265
MA1074002,WOOLMAN HILL INC,"107 Keets Rd, Deerfield, Massachusetts, 01342",01342,Massachusetts,Region 1,Transient non-community system,25,DEERFIELD,Franklin,2,9,2,-72.585131,42.560676,-72.585131,42.560676,-72.595131,-72.575131,42.550676,42.570676
MA4083000,EAST BRIDGEWATER WATER DEPT,"100 Willow Ave, East Bridgewater, Town of, Massachusetts, 02333",02333,Massachusetts,Region 1,Community water system,13853,EAST BRIDGEWATER,Plymouth,19,53,12,-70.962137,42.035809,-70.962271,42.03582,-70.963137,-70.961137,42.034809,42.036809
MA4086048,SEAMAN COTTAGES,"02651, North Eastham, Massachusetts",02651,Massachusetts,Region 1,Transient non-community system,25,EASTHAM,Barnstable,6,37,2,-69.986442,41.855131,-69.986442,41.855131,-69.991442,-69.981442,41.850131,41.860131
MA2110001,SOUTH GRAFTON WATER DISTRICT,"370 Providence Rd, Grafton, Town of, Massachusetts, 01560",01560,Massachusetts,Region 1,Community water system,2890,GRAFTON,Worcester,16,17,12,-71.670351,42.168976,-71.670751,42.16874,-71.671351,-71.669351,42.167976,42.169976
MA4334010,ST GEORGE SCHOOL,"12 Highland Ave, Westport, Town of, Massachusetts, 02790",02790,Massachusetts,Region 1,Non-Transient non-community system,200,WESTPORT,Bristol,2,44,4,-71.049535,41.641499,-71.050061,41.64141,-71.050535,-71.048535,41.640499,41.642499
MA2257008,COLONIAL CONVENIENCE STORE,"01543, Rutland, Massachusetts",01543,Massachusetts,Region 1,Transient non-community system,125,RUTLAND,Worcester,4,0,2,-71.933492,42.374161,-71.933492,42.374161,-72.035492,-71.831492,42.272161,42.476161
MA2290014,WILKINSONVILLE WATER DISTRICT,"01590, Wilkinsonvile, Massachusetts",01590,Massachusetts,Region 1,Community water system,2596,SUTTON,Worcester,11,66,11,-71.721379,42.168623,-71.721379,42.168623,-71.831379,-71.611379,42.058623,42.278623
