PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Longitude,Latitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
MI0001330,"CHARLEVOIX, CITY OF","210 State St, Charlevoix, Michigan, 49720",49720,Michigan,Region 5,Community water system,3124,CHARLEVOIX,Charlevoix,3,2,4,-85.260682,45.316378,-85.260311,45.31637,-85.261682,-85.259682,45.315378,45.317378
MI0000127,ALLENDALE TOWNSHIP,"6676 Lake Michigan Dr, Allendale Twp, Michigan, 49401",49401,Michigan,Region 5,Community water system,17543,ALLENDALE,Ottawa,6,0,4,-85.95183,42.972172,-85.951511,42.96945,-85.95283,-85.95083,42.971172,42.973172
MI0005360,PITTSFIELD TOWNSHIP,"48108, Ann Arbor, Michigan",48108,Michigan,Region 5,Community water system,20000,ANN ARBOR,Washtenaw,3,0,5,-83.669996,42.248216,-83.669996,42.248216,-83.792996,-83.546996,42.125216,42.371216
MI0006230,SPRING LAKE,"101 S Buchanan St, Spring Lake, Michigan, 49456",49456,Michigan,Region 5,Community water system,2512,SPRING LAKE,Ottawa,2,1,3,-86.197224,43.07659,-86.197224,43.07659,-86.207224,-86.187224,43.06659,43.08659
MI0006310,ST JOSEPH,"700 Broad St, St Joseph, Michigan, 49085",49085,Michigan,Region 5,Community water system,8789,ST JOSEPH,Berrien,8,7,6,-86.480954,42.108023,-86.481151,42.1078,-86.481954,-86.479954,42.107023,42.109023
MI0040494,PHELPS MOBILE HOME VILLA,"20833, Brookeville, Maryland",20833,Michigan,Region 5,Community water system,87,,Van Buren,4,1,2,-77.056632,39.168121,-77.056632,39.168121,-77.167632,-76.945632,39.057121,39.279121
MI0004610,IRON RIVER TOWNSHIP-NASH,"102 McNutt Rd, Iron River, Michigan, 49935",49935,Michigan,Region 5,Community water system,340,,Iron,3,3,23,-88.689764,46.123813,-88.689764,46.123813,-88.699764,-88.679764,46.113813,46.133813
MI0004740,NILES,"49120, Niles, Michigan",49120,Michigan,Region 5,Community water system,14815,NILES,Berrien,22,4,5,-86.250892,41.828651,-86.250892,41.828651,-86.396892,-86.104892,41.682651,41.974651
MI0003628,KIMBALL TOWNSHIP,"2160 Wadhams Rd, Kimball Twp, Michigan, 48074",48074,Michigan,Region 5,Community water system,3765,,St. Clair,3,1,4,-82.543371,42.967806,-82.543371,42.967806,-82.553371,-82.533371,42.957806,42.977806
MI0003370,IONIA,"114 N Kidd St, Ionia, Michigan, 48846",48846,Michigan,Region 5,Community water system,12000,IONIA,Ionia,30,4,2,-85.064175,42.983206,-85.064101,42.98321,-85.065175,-85.063175,42.982206,42.984206
MI0005240,PENTLAND TOWNSHIP,"49868, Newberry, Michigan",49868,Michigan,Region 5,Community water system,450,,Luce,5,21,35,-85.5101,46.351604,-85.5101,46.351604,-85.9141,-85.1061,45.947604,46.755604
MI0005400,PLYMOUTH,"1231 Gold Smith, Plymouth, Michigan, 48170",48170,Michigan,Region 5,Community water system,9132,PLYMOUTH,Wayne,2,2,6,-83.477721,42.380353,-83.477721,42.380353,-83.487721,-83.467721,42.370353,42.390353
MI0005980,"SCOTTVILLE, CITY OF","105 N Main St, Scottville, Michigan, 49454",49454,Michigan,Region 5,Community water system,1266,SCOTTVILLE,Mason,3,0,5,-86.2795,43.955178,-86.279721,43.95518,-86.2805,-86.2785,43.954178,43.956178
MI0040291,SPRING VALLEY MOBILE HOME PARK,"100 E San Marcos Blvd, San Marcos, California, 92069",92069,Michigan,Region 5,Community water system,172,,Kent,4,1,2,-117.161985,33.141008,-117.162131,33.14169,-117.162985,-117.160985,33.140008,33.142008
MI0005200,PARCHMENT,"49004, Kalamazoo, Michigan",49004,Michigan,Region 5,Community water system,3174,PARCHMENT,Kalamazoo,6,0,4,-85.567001,42.32361,-85.567001,42.32361,-85.649001,-85.485001,42.24161,42.40561
MI0002550,GARDEN CITY,"31800 Beechwood Ave, Garden City, Michigan, 48135",48135,Michigan,Region 5,Community water system,27922,GARDEN CITY,Wayne,2,3,5,-83.352943,42.326938,-83.352943,42.326938,-83.362943,-83.342943,42.316938,42.336938
MI0002400,"FOWLERVILLE, VILLAGE OF","213 S Grand Ave, Fowlerville, Michigan, 48836",48836,Michigan,Region 5,Community water system,2972,FOWLERVILLE,Livingston,11,3,3,-84.073064,42.659241,-84.072701,42.65925,-84.074064,-84.072064,42.658241,42.660241
MI0003237,HOUGHTON HEIGHTS MANOR,"3390 Pine Tree Rd, Delhi Twp, Michigan, 48911",48911,Michigan,Region 5,Community water system,50,HOUGHTON LAKE,Roscommon,5,8,2,-84.503595,42.67897,-84.502931,42.67898,-84.504595,-84.502595,42.67797,42.67997
MI0005760,IRON RIVER TOWNSHIP-RYDEN ROAD,"102 McNutt Rd, Iron River, Michigan, 49935",49935,Michigan,Region 5,Community water system,290,,Iron,3,3,24,-88.689764,46.123813,-88.689764,46.123813,-88.699764,-88.679764,46.113813,46.133813
MI0000550,IRON RIVER TOWNSHIP-BEECHWOOD,"102 McNutt Rd, Iron River, Michigan, 49935",49935,Michigan,Region 5,Community water system,440,,Iron,5,7,21,-88.689764,46.123813,-88.689764,46.123813,-88.699764,-88.679764,46.113813,46.133813
MI0003670,L'ANSE,"101 N Main St, L'Anse, Michigan, 49946",49946,Michigan,Region 5,Community water system,2300,L'ANSE,Baraga,6,2,50,-88.453791,46.758237,-88.453791,46.758237,-88.463791,-88.443791,46.748237,46.768237
MI0007040,WESTLAND,"36300 Warren Rd, Westland, Michigan, 48185",48185,Michigan,Region 5,Community water system,86602,WAYNE,Wayne,2,2,5,-83.397782,42.338707,-83.397061,42.33973,-83.398782,-83.396782,42.337707,42.339707
MI0040008,DOGWOOD MANOR MOBILE HOME PARK,"20833, Brookeville, Maryland",20833,Michigan,Region 5,Community water system,190,,Allegan,4,2,2,-77.056632,39.168121,-77.056632,39.168121,-77.167632,-76.945632,39.057121,39.279121
MI0003340,"IMLAY CITY, CITY OF","48444, Imlay City, Michigan",48444,Michigan,Region 5,Community water system,3869,IMLAY CITY,Lapeer,7,2,6,-83.077207,43.024296,-83.077207,43.024296,-83.220207,-82.934207,42.881296,43.167296
MI0004989,OLIVE/BLENDON TWPS,"14110 Lakeshore Dr, Grand Haven Twp, Michigan, 49417",49417,Michigan,Region 5,Community water system,499,BORCULO,Ottawa,3,0,4,-86.220045,43.025093,-86.217741,43.02504,-86.221045,-86.219045,43.024093,43.026093
MI0000815,BOYNE MOUNTAIN RESORT,"49713, Boyne Falls, Michigan",49713,Michigan,Region 5,Community water system,1800,,Charlevoix,12,2,2,-84.913744,45.165836,-84.913744,45.165836,-85.136744,-84.690744,44.942836,45.388836
