PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Longitude,Latitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
MS0100007,REFORM WATER ASSOCIATION,"39735, Reform, Mississippi",39735,Mississippi,Region 4,Community water system,1675,,Choctaw,6,78,17,-89.174569,33.310841,-89.174569,33.310841,-89.322569,-89.026569,33.162841,33.458841
MS0530006,CLAYTON VILLAGE W/A #1-EAST,"13448 MS Highway 182, Starkville, Mississippi, 39759",39759,Mississippi,Region 4,Community water system,4900,,Oktibbeha,9,194,18,-88.747001,33.476928,-88.747001,33.476928,-88.757001,-88.737001,33.466928,33.486928
MS0340020,SOSO COMMUNITY WATER SYS. INC,"87 Duck Hill Rd, Soso, Mississippi, 39480",39480,Mississippi,Region 4,Community water system,2082,,Jones,8,70,20,-89.269384,31.73446,-89.270601,31.73448,-89.270384,-89.268384,31.73346,31.73546
MS0580004,OAK HILL WATER ASSN #1,"189 Reeder Hill Rd, Pontotoc, Mississippi, 38863",38863,Mississippi,Region 4,Community water system,2353,,Pontotoc,8,159,17,-88.948626,34.324557,-88.948626,34.324557,-88.958626,-88.938626,34.314557,34.334557
MS0730001,ALPINE WATER ASSOCIATION,"1108 Highway 9 N, Blue Springs, Mississippi, 38828",38828,Mississippi,Region 4,Community water system,1000,,Union,5,138,15,-88.798248,34.46721,-88.797811,34.46721,-88.799248,-88.797248,34.46621,34.46821
MS0710006,CITY OF IUKA,"118 S Pearl St, Iuka, Mississippi, 38852",38852,Mississippi,Region 4,Community water system,7113,IUKA,Tishomingo,8,81,16,-88.191612,34.81204,-88.191612,34.81204,-88.201612,-88.181612,34.80204,34.82204
MS0820024,"TERRA MISSISSIPPI NITROGEN, INC.","39194, Yazoo City, Mississippi",39194,Mississippi,Region 4,Non-Transient non-community system,115,,Yazoo,7,13,19,-90.409104,32.851768,-90.409104,32.851768,-90.742104,-90.076104,32.518768,33.184768
MS0340031,HATTIESBURG-LAUREL REG AIRPORT,"1002 Terminal Dr, Moselle, Mississippi, 39459",39459,Mississippi,Region 4,Non-Transient non-community system,220,,Jones,3,0,16,-89.330151,31.46939,-89.330151,31.46939,-89.340151,-89.320151,31.45939,31.47939
MS0610017,CITY OF PEARL,"39288, Pearl, Mississippi",39288,Mississippi,Region 4,Community water system,25500,PEARL,Rankin,24,222,19,-90.133514,32.280633,-90.133514,32.280633,-90.138514,-90.128514,32.275633,32.285633
MS0710010,TOWN OF TISHOMINGO,"38873, Tishomingo, Mississippi",38873,Mississippi,Region 4,Community water system,800,,Tishomingo,9,70,15,-88.261902,34.655931,-88.261902,34.655931,-88.398902,-88.124902,34.518931,34.792931
MS0360008,HOPEWELL WATER ASSOCIATION,"CR-366, Oxford, Mississippi, 38655",38655,Mississippi,Region 4,Community water system,1314,,Lafayette,4,76,18,-89.67388,34.351881,-89.67388,34.351881,-89.67688,-89.67088,34.348881,34.354881
MS0180008,CITY OF HATTIESBURG,"39403, Hattiesburg, Mississippi",39403,Mississippi,Region 4,Community water system,56000,HATTIESBURG,Forrest,32,207,16,-89.291202,31.326731,-89.291202,31.326731,-89.296202,-89.286202,31.321731,31.331731
MS0360010,LAFAYETTE SPRINGS WATER ASSN,"90 County Road 251, Oxford, Mississippi, 38655",38655,Mississippi,Region 4,Community water system,498,,Lafayette,5,479,17,-89.262433,34.315688,-89.261761,34.31549,-89.263433,-89.261433,34.314688,34.316688
MS0520024,SHUQUALAK-BUTLER W/A,"1975 Cotton Cemetery Rd, Shuqualak, Mississippi, 39361",39361,Mississippi,Region 4,Community water system,540,,Noxubee,3,72,11,-88.616613,33.004038,-88.616621,33.00433,-88.617613,-88.615613,33.003038,33.005038
MS0140011,RENA LARA WATER ASSOCIATION,"38767, Rena Lara, Mississippi",38767,Mississippi,Region 4,Community water system,350,,Coahoma,7,141,16,-90.775415,34.153403,-90.775415,34.153403,-90.780415,-90.770415,34.148403,34.158403
MS0610011,GREENFIELD WATER ASSOCIATION,"1608 Highway 469 N, Pearl, Mississippi, 39208",39208,Mississippi,Region 4,Community water system,3225,,Rankin,10,215,18,-90.040303,32.22085,-90.040303,32.22085,-90.050303,-90.030303,32.21085,32.23085
MS0680008,PAYNES WATER ASSOCIATION,"38921, Charleston, Mississippi",38921,Mississippi,Region 4,Community water system,582,,Tallahatchie,5,75,14,-90.054714,34.009256,-90.054714,34.009256,-90.451714,-89.657714,33.612256,34.406256
MS0540002,CITY OF BATESVILLE,"38606, Batesville, Mississippi",38606,Mississippi,Region 4,Community water system,9999,BATESVILLE,Panola,13,170,14,-89.952938,34.316994,-89.952938,34.316994,-90.207938,-89.697938,34.061994,34.571994
MS0360001,ABBEVILLE WATER ASSN,"38601, Abbeville, Mississippi",38601,Mississippi,Region 4,Community water system,450,,Lafayette,9,151,15,-89.498592,34.502601,-89.498592,34.502601,-89.670592,-89.326592,34.330601,34.674601
