PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Longitude,Latitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
MO1010833,MO AMERICAN WARRENSBURG,"64801, Joplin, Missouri",64801,Missouri,Region 7,Community water system,18500,WARRENSBURG,Johnson,13,0,7,-94.517015,37.085323,-94.517015,37.085323,-94.660015,-94.374015,36.942323,37.228323
MO1010880,LAKE WINNEBAGO,"10 N Winnebago Dr, Lake Winnebago, Missouri, 64034",64034,Missouri,Region 7,Community water system,1132,LAKE WINNEBAGO,Cass,7,7,7,-94.374415,38.834774,-94.374415,38.834774,-94.384415,-94.364415,38.824774,38.844774
MO5036162,MO AMERICAN - OZARK MTN WATER CO 3,"64801, Joplin, Missouri",64801,Missouri,Region 7,Community water system,136,,Stone,6,2,9,-94.517015,37.085323,-94.517015,37.085323,-94.660015,-94.374015,36.942323,37.228323
MO5031375,MO AMERICAN - SADDLEBROOKE VILLAGE OF,"64801, Joplin, Missouri",64801,Missouri,Region 7,Community water system,249,,Christian,5,4,5,-94.517015,37.085323,-94.517015,37.085323,-94.660015,-94.374015,36.942323,37.228323
MO5212949,COCONUTS,"15208 Red Hollow Rd, Gravois Mills, Missouri, 65037",65037,Missouri,Region 7,Transient non-community system,25,,Morgan,4,8,1,-92.79901,38.291419,-92.798821,38.29123,-92.80001,-92.79801,38.290419,38.292419
MO3242534,TRUMAN LAKE RESORT LLC,"37394 Highway K, Warsaw, Missouri, 65355",65355,Missouri,Region 7,Transient non-community system,100,,Benton,5,33,2,-93.398745,38.122708,-93.398745,38.122708,-93.408745,-93.388745,38.112708,38.132708
MO3280530,LAKE REGIONAL HEALTH SYSTEM,"54 Hospital Dr, Osage Beach, Missouri, 65065",65065,Missouri,Region 7,Non-Transient non-community system,380,,Camden,8,5,5,-92.684381,38.119436,-92.684461,38.11941,-92.685381,-92.683381,38.118436,38.120436
MO5241734,KOA CAMPGROUND,"4359 Dakota Ln, Joplin, Missouri, 64804",64804,Missouri,Region 7,Transient non-community system,30,,Newton,7,22,7,-94.54875,37.008052,-94.54875,37.008052,-94.55875,-94.53875,36.998052,37.018052
MO3024059,BOONE CO PWSD 10,"22601 N March Rd, Centralia, Missouri, 65240",65240,Missouri,Region 7,Community water system,4583,CENTRALIA,Boone,15,9,12,-92.1618,39.218182,-92.1618,39.218182,-92.1718,-92.1518,39.208182,39.228182
MO6036061,WOODRIDGE APARTMENTS,"2404 Williams Creek Rd, High Ridge, Missouri, 63049",63049,Missouri,Region 7,Community water system,70,,Jefferson,5,14,8,-90.541116,38.474619,-90.541116,38.474619,-90.551116,-90.531116,38.464619,38.484619
MO4031334,ROYAL LAKE ESTATES,"381 Royal Lake Dr, Cape Girardeau, Missouri, 63701",63701,Missouri,Region 7,Community water system,30,,Cape Girardeau,5,0,2,-89.60432,37.297878,-89.604271,37.29851,-89.60532,-89.60332,37.296878,37.298878
MO4010656,POPLAR BLUFF,"1902 Sunset Dr, Poplar Bluff, Missouri, 63901",63901,Missouri,Region 7,Community water system,17700,POPLAR BLUFF,Butler,14,42,18,-90.420154,36.776439,-90.420154,36.776439,-90.430154,-90.410154,36.766439,36.786439
MO6071352,JEFFERSON COUNTY WATER AUTHORITY,"1682 Crystal Heights Rd, Crystal City, Missouri, 63028",63028,Missouri,Region 7,Community water system,25,"FESTUS, HERCULANEUM",Jefferson,4,6,8,-90.38842,38.246929,-90.38842,38.246929,-90.39842,-90.37842,38.236929,38.256929
MO3191285,GRAVOIS VILLAGE CONDOS,"65049, Village Of Four Seasons, Missouri",65049,Missouri,Region 7,Transient non-community system,25,,Morgan,5,0,2,-92.715141,38.19098,-92.715141,38.19098,-92.843141,-92.587141,38.06298,38.31898
MO5191567,ROD N REEL RESORT,"23450 Farm Road 1255, Shell Knob, Missouri, 65747",65747,Missouri,Region 7,Transient non-community system,35,,Barry,5,9,9,-93.587862,36.587127,-93.587862,36.587127,-93.597862,-93.577862,36.577127,36.597127
MO3011346,OSAGE BEACH WEST,"65065, Osage Beach, Missouri",65065,Missouri,Region 7,Community water system,2611,,Camden,8,0,5,-92.635294,38.143806,-92.635294,38.143806,-92.735294,-92.535294,38.043806,38.243806
MO3071339,NANTUCKET BAY,"12 Allen Rd, Eldon, Missouri, 65026",65026,Missouri,Region 7,Community water system,190,OSAGE BEACH,Camden,4,29,3,-92.595166,38.245877,-92.594291,38.24503,-92.596166,-92.594166,38.244877,38.246877
MO3241430,EAGLES NEST RV RESORT,"11086 Highway 7, Clinton, Missouri, 64735",64735,Missouri,Region 7,Transient non-community system,25,,Benton,4,17,6,-93.499212,38.296142,-93.499212,38.296142,-93.509212,-93.489212,38.286142,38.306142
MO5031086,MO AMERICAN - STONEBRIDGE VILLAGE,"64801, Joplin, Missouri",64801,Missouri,Region 7,Community water system,1860,,Stone,8,2,11,-94.517015,37.085323,-94.517015,37.085323,-94.660015,-94.374015,36.942323,37.228323
MO4024544,STE GENEVIEVE CO PWSD 1  NORTH,"4 Basler Dr, Ste Genevieve, Missouri, 63670",63670,Missouri,Region 7,Community water system,973,STE. GENEVIEVE,Ste. Genevieve,5,4,7,-90.055281,37.966144,-90.055021,37.9662,-90.056281,-90.054281,37.965144,37.967144
MO4024368,MADISON CO PWSD 1 NORTH,"1092 City Lake Rd, Fredericktown, Missouri, 63645",63645,Missouri,Region 7,Community water system,987,FREDERICKTOWN,Madison,7,25,10,-90.303948,37.573436,-90.304441,37.57298,-90.304948,-90.302948,37.572436,37.574436
MO3024170,COOPER CO CONSOLIDATED PWSD # 1,"16884 Farris Cir, Boonville, Missouri, 65233",65233,Missouri,Region 7,Community water system,2451,BOONVILLE,Cooper,8,5,11,-92.697939,38.931727,-92.698391,38.93165,-92.698939,-92.696939,38.930727,38.932727
MO5036100,FOREST PARK/DEER PARK,"35 Lakefront Cir, Kimberling City, Missouri, 65686",65686,Missouri,Region 7,Community water system,150,,Stone,9,6,13,-93.439775,36.616779,-93.440171,36.61676,-93.440775,-93.438775,36.615779,36.617779
MO5036147,MO AMERICAN - RANKIN ACRES SUBD,"64801, Joplin, Missouri",64801,Missouri,Region 7,Community water system,215,,Greene,5,8,9,-94.517015,37.085323,-94.517015,37.085323,-94.660015,-94.374015,36.942323,37.228323
MO5210192,MARY DEANS RESTAURANT,"1810 Cedar Rd, Anderson, Missouri, 64831",64831,Missouri,Region 7,Transient non-community system,25,,McDonald,5,23,10,-94.426658,36.641653,-94.426531,36.64105,-94.427658,-94.425658,36.640653,36.642653
MO5170939,SUNSHINE CHILDRENS HOME,"9215 County Lane 175, Carthage, Missouri, 64836",64836,Missouri,Region 7,Non-Transient non-community system,36,,Jasper,4,14,8,-94.373563,37.186186,-94.373331,37.18612,-94.374563,-94.372563,37.185186,37.187186
MO5036248,MO AMERICAN -  SPRING VALLEY ESTATES SUB,"64801, Joplin, Missouri",64801,Missouri,Region 7,Community water system,300,OZARK,Christian,5,7,10,-94.517015,37.085323,-94.517015,37.085323,-94.660015,-94.374015,36.942323,37.228323
MO5250538,SHAWNEE WOODS SUBD,"65658, Golden, Missouri",65658,Missouri,Region 7,Transient non-community system,26,,Barry,9,4,9,-93.670347,36.576037,-93.670347,36.576037,-93.750347,-93.590347,36.496037,36.656037
MO6010902,SILEX,"14 N 1st St, Silex, Missouri, 63377",63377,Missouri,Region 7,Community water system,206,SILEX,Lincoln,7,34,12,-91.054676,39.123872,-91.054461,39.12388,-91.055676,-91.053676,39.122872,39.124872
MO5112271,PORT OF KIMBERLNG MARINA & CMPGRND (118),"65686, Kimberling City, Missouri",65686,Missouri,Region 7,Transient non-community system,25,KIMBERLING CITY,Stone,5,1,7,-93.417603,36.644377,-93.417603,36.644377,-93.488603,-93.346603,36.573377,36.715377
MO3036131,MO AMERICAN - MAPLEWOOD SUBDIVISION,"64801, Joplin, Missouri",64801,Missouri,Region 7,Community water system,1350,,Pettis,6,26,11,-94.517015,37.085323,-94.517015,37.085323,-94.660015,-94.374015,36.942323,37.228323
MO3031381,OAK HILL FOREST SUBDIVISION,"411 El Tampa Rd, Camdenton, Missouri, 65020",65020,Missouri,Region 7,Community water system,25,,Miller,4,3,3,-92.817223,38.090579,-92.817671,38.09047,-92.818223,-92.816223,38.089579,38.091579
MO2010224,DOWNING,"117 W Prime, Downing, Missouri, 63536",63536,Missouri,Region 7,Community water system,335,DOWNING,Schuyler,7,4,12,-92.368359,40.487292,-92.368359,40.487292,-92.378359,-92.358359,40.477292,40.497292
MO3010386,HUGHESVILLE,"205 Main St, Hughesville, Missouri, 65334",65334,Missouri,Region 7,Community water system,179,HUGHESVILLE,Pettis,6,15,10,-93.295969,38.836282,-93.295701,38.83633,-93.296969,-93.294969,38.835282,38.837282
MO2041558,SEGES MOBILE HOME PARK,"1 White Oak Dr, Lafayette, California, 94549",94549,Missouri,Region 7,Community water system,285,,Callaway,3,2,2,-122.16251,37.889179,-122.162261,37.88885,-122.16351,-122.16151,37.888179,37.890179
MO5031088,ELMO SUBDIVISION 1 & 2 & 3,"65641, Eagle Rock, Missouri",65641,Missouri,Region 7,Community water system,275,,Barry,12,5,5,-93.725365,36.535586,-93.725365,36.535586,-93.860365,-93.590365,36.400586,36.670586
MO5036163,MO AMERICAN - OZARK MTN WATER CO 2,"64801, Joplin, Missouri",64801,Missouri,Region 7,Community water system,372,SHELL KNOB,Stone,6,3,10,-94.517015,37.085323,-94.517015,37.085323,-94.660015,-94.374015,36.942323,37.228323
MO5036191,CLEAR WATER ACRES SUBD,"171 Holly St, Ridgedale, Missouri, 65739",65739,Missouri,Region 7,Community water system,175,BLUE EYE,Taney,11,0,9,-93.307797,36.535232,-93.308021,36.53513,-93.308797,-93.306797,36.534232,36.536232
MO6031193,TARA VALLEY WATER ASSN,"360 E Cherry St, Troy, Missouri, 63379",63379,Missouri,Region 7,Community water system,60,,Lincoln,4,58,5,-90.977838,38.980621,-90.977838,38.980621,-90.987838,-90.967838,38.970621,38.990621
MO3024091,CAMDEN CO PWSD 2,"65020, Camdenton, Missouri",65020,Missouri,Region 7,Community water system,1400,CAMDENTON,Camden,7,7,10,-92.745342,38.010906,-92.745342,38.010906,-92.910342,-92.580342,37.845906,38.175906
MO6010539,MONTGOMERY CITY,"723 N Sturgeon St, Montgomery City, Missouri, 63361",63361,Missouri,Region 7,Community water system,2442,MONTGOMERY CITY,Montgomery,12,11,9,-91.509762,38.982822,-91.509762,38.982822,-91.519762,-91.499762,38.972822,38.992822
MO2010162,CHILLICOTHE MUNICIPAL UTILITIES,"920 Washington St, Chillicothe, Missouri, 64601",64601,Missouri,Region 7,Community water system,8800,CHILLICOTHE,Livingston,13,1,23,-93.553732,39.796326,-93.553732,39.796326,-93.563732,-93.543732,39.786326,39.806326
MO1024511,RAY CO CONS PWSD 2,"10110 Leathers Rd, Richmond, Missouri, 64085",64085,Missouri,Region 7,Community water system,9400,"POLO, RICHMOND","Caldwell, Clay, Ray",28,1,20,-94.025153,39.272378,-94.025153,39.272378,-94.035153,-94.015153,39.262378,39.282378
MO4180578,RAPCO HORIZON CO,"3581 Larch Ln, Jackson, Missouri, 63755",63755,Missouri,Region 7,Non-Transient non-community system,140,,Cape Girardeau,7,3,9,-89.662201,37.474917,-89.664061,37.4744,-89.663201,-89.661201,37.473917,37.475917
MO5010413,MO AMERICAN JOPLIN,"64801, Joplin, Missouri",64801,Missouri,Region 7,Community water system,50559,JOPLIN,Jasper,45,1,22,-94.517015,37.085323,-94.517015,37.085323,-94.660015,-94.374015,36.942323,37.228323
MO5301490,TRINITY POINTE CONDOMINIUMS,"14749 N State Highway 5, Sunrise Beach, Missouri, 65079",65079,Missouri,Region 7,Transient non-community system,50,,Camden,7,0,1,-92.777051,38.159559,-92.777051,38.159559,-92.787051,-92.767051,38.149559,38.169559
MO1010627,PARNELL,"107 W Grand Ave, Parnell, Missouri, 64475",64475,Missouri,Region 7,Community water system,225,PARNELL,Nodaway,8,12,8,-94.622752,40.439623,-94.622752,40.439623,-94.632752,-94.612752,40.429623,40.449623
MO5048013,SHADY ACRES MHP,"3146 W Ellison Dr, Springfield, Missouri, 65810",65810,Missouri,Region 7,Community water system,86,SPRINGFIELD,Greene,6,17,14,-93.344582,37.109993,-93.344581,37.10975,-93.345582,-93.343582,37.108993,37.110993
MO1041618,CROWN MOBILE HOME PARK,"1325 E Cambridge Rd, Belton, Missouri, 64012",64012,Missouri,Region 7,Community water system,450,BELTON,Cass,3,0,1,-94.51397,38.798982,-94.51397,38.798982,-94.52397,-94.50397,38.788982,38.808982
MO5253086,SPORTSMAN LODGE SUBDIVISION NO 2,"65079, Sunrise Beach, Missouri",65079,Missouri,Region 7,Transient non-community system,25,,Camden,4,0,0,-92.770055,38.159271,-92.770055,38.159271,-92.901055,-92.639055,38.028271,38.290271
MO4024516,REYNOLDS CO PWSD 1,"223 Scott Dr, Lesterville, Missouri, 63654",63654,Missouri,Region 7,Community water system,400,LESTERVILLE,Reynolds,9,32,20,-90.848612,37.453015,-90.848612,37.453015,-90.858612,-90.838612,37.443015,37.463015
MO4024543,STE GENEVIEVE CO PWSD 1 SC,"4 Basler Dr, Ste Genevieve, Missouri, 63670",63670,Missouri,Region 7,Community water system,2518,STE. GENEVIEVE,Ste. Genevieve,10,5,8,-90.055281,37.966144,-90.055021,37.9662,-90.056281,-90.054281,37.965144,37.967144
MO3024162,COLE CO PWSD 3,"127 Route T, St Martins, Missouri, 65109",65109,Missouri,Region 7,Community water system,1875,CENTERTOWN,Cole,15,5,11,-92.325347,38.592382,-92.325741,38.59239,-92.326347,-92.324347,38.591382,38.593382
MO5036020,MO AMERICAN - LAKEWOOD MANOR SUBD,"64801, Joplin, Missouri",64801,Missouri,Region 7,Community water system,50,SHELL KNOB,Barry,8,13,8,-94.517015,37.085323,-94.517015,37.085323,-94.660015,-94.374015,36.942323,37.228323
MO3192146,POINT RANDALL RESORT,"1584 Susan Rd, Lake Ozark, Missouri, 65049",65049,Missouri,Region 7,Transient non-community system,50,,Camden,4,7,4,-92.665183,38.206395,-92.664831,38.2065,-92.666183,-92.664183,38.205395,38.207395
MO3036113,MO AMERICAN - WHITEBRANCH SUBD,"64801, Joplin, Missouri",64801,Missouri,Region 7,Community water system,432,,Benton,11,27,10,-94.517015,37.085323,-94.517015,37.085323,-94.660015,-94.374015,36.942323,37.228323
MO5251510,KEN HAVEN SUBD,"26130 Shady Rd, Pittsburg, Missouri, 65724",65724,Missouri,Region 7,Transient non-community system,63,,Hickory,8,6,7,-93.35304,37.833778,-93.35304,37.833778,-93.36304,-93.34304,37.823778,37.843778
MO4010721,SALEM,"65560, Salem, Missouri",65560,Missouri,Region 7,Community water system,4854,SALEM,Dent,18,5,10,-91.536101,37.644126,-91.536101,37.644126,-91.983101,-91.089101,37.197126,38.091126
MO4171150,DENT PHELPS ELEM SCHOOL,"27870 Highway C, Salem, Missouri, 65560",65560,Missouri,Region 7,Non-Transient non-community system,330,,Dent,7,10,7,-91.647444,37.717264,-91.647444,37.717264,-91.657444,-91.637444,37.707264,37.727264
MO5242916,BIG RED BARN RV PARK,"5089 County Lane 138, Carthage, Missouri, 64836",64836,Missouri,Region 7,Transient non-community system,25,CARTHAGE,Jasper,5,5,1,-94.304246,37.127721,-94.304281,37.12772,-94.305246,-94.303246,37.126721,37.128721
MO3031301,RED FIELD SUBDIVISION,"906 W High St, Jefferson City, Missouri, 65109",65109,Missouri,Region 7,Community water system,35,,Cole,5,16,5,-92.183324,38.584835,-92.182771,38.58531,-92.184324,-92.182324,38.583835,38.585835
MO3011367,OSAGE BEACH EAST,"65065, Osage Beach, Missouri",65065,Missouri,Region 7,Community water system,1740,,Camden,15,1,6,-92.635294,38.143806,-92.635294,38.143806,-92.735294,-92.535294,38.043806,38.243806
MO4010073,BISMARCK,"63624, Bismarck, Missouri",63624,Missouri,Region 7,Community water system,1470,BISMARCK,St. Francois,5,11,10,-90.624302,37.76804,-90.624302,37.76804,-90.753302,-90.495302,37.63904,37.89704
MO4010531,MINER,"63801, Sikeston, Missouri",63801,Missouri,Region 7,Community water system,1200,SIKESTON,Scott,13,4,17,-89.585054,36.877888,-89.585054,36.877888,-89.747054,-89.423054,36.715888,37.039888
MO6180570,MEMC ST PETERS,"63379, Troy, Missouri",63379,Missouri,Region 7,Non-Transient non-community system,2400,,St. Charles,12,6,6,-90.981039,38.97874,-90.981039,38.97874,-91.128039,-90.834039,38.83174,39.12574
MO5111968,PORT OF KIMBERLNG MARINA & CMPGRND (117),"65686, Kimberling City, Missouri",65686,Missouri,Region 7,Transient non-community system,800,KIMBERLING CITY,Stone,5,1,8,-93.417603,36.644377,-93.417603,36.644377,-93.488603,-93.346603,36.573377,36.715377
MO6122671,GRAHAM CAVE STATE PARK OFFICE,"63361, Buell, Missouri",63361,Missouri,Region 7,Transient non-community system,25,,Montgomery,4,2,7,-91.504255,38.977988,-91.504255,38.977988,-91.713255,-91.295255,38.768988,39.186988
MO4172753,ST JOACHIM SCHOOL,"10121 Crest Rd, Cadet, Missouri, 63630",63630,Missouri,Region 7,Non-Transient non-community system,100,,Washington,3,9,4,-90.756572,38.015583,-90.756572,38.015583,-90.766572,-90.746572,38.005583,38.025583
MO3171247,WARSAW R IX HIGH SCHOOL,"20363 Lane of Champions, Warsaw, Missouri, 65355",65355,Missouri,Region 7,Non-Transient non-community system,460,WARSAW,Benton,5,3,5,-93.336409,38.220347,-93.336409,38.220347,-93.346409,-93.326409,38.210347,38.230347
MO5010828,WALKER,"103 N 5th St, Walker, Missouri, 64790",64790,Missouri,Region 7,Community water system,283,WALKER,Vernon,6,10,11,-94.230419,37.898579,-94.230419,37.898579,-94.240419,-94.220419,37.888579,37.908579
MO3031242,SERENITY BAY SUBD,"2 Serenity Bay Dr, Linn Creek, Missouri, 65052",65052,Missouri,Region 7,Community water system,65,,Camden,4,2,3,-92.729412,38.092038,-92.729412,38.092038,-92.739412,-92.719412,38.082038,38.102038
MO4036309,JOHNS BRANCH WATER CO,"63966, Wappapello, Missouri",63966,Missouri,Region 7,Community water system,90,,Wayne,5,0,7,-90.300776,36.911334,-90.300776,36.911334,-90.518776,-90.082776,36.693334,37.129334
MO2010436,LA BELLE,"63447, La Belle, Missouri",63447,Missouri,Region 7,Community water system,745,LA BELLE,Lewis,9,3,15,-91.914777,40.115715,-91.914777,40.115715,-92.081777,-91.747777,39.948715,40.282715
MO6079508,ELDERLY HOUSING PRTNRSHP OF HOUSE SP,"6890 Spring Crk, House Springs, Missouri, 63051",63051,Missouri,Region 7,Community water system,56,,Jefferson,3,65,5,-90.58553,38.391999,-90.58553,38.391999,-90.59553,-90.57553,38.381999,38.401999
MO1010567,NEW HAMPTON,"7512 Highway C, Dawn, Missouri, 64638",64638,Missouri,Region 7,Community water system,300,NEW HAMPTON,Harrison,4,6,6,-93.632559,39.668437,-93.632559,39.668437,-93.642559,-93.622559,39.658437,39.678437
MO5191029,LAZY VALLEY RESORT,"285 River Ln, Branson, Missouri, 65616",65616,Missouri,Region 7,Transient non-community system,60,,Taney,7,8,9,-93.245355,36.615093,-93.245051,36.61498,-93.246355,-93.244355,36.614093,36.616093
MO5010999,EMERALD BEACH VILLAGE OF,"23956 Cardinal Dr, Emerald Beach, Missouri, 65658",65658,Missouri,Region 7,Community water system,484,GOLDEN,Barry,12,4,12,-93.670863,36.579586,-93.670863,36.579586,-93.680863,-93.660863,36.569586,36.589586
MO6010708,ST CLAIR,"1 Paul Parks Dr, St Clair, Missouri, 63077",63077,Missouri,Region 7,Community water system,4700,ST. CLAIR,Franklin,14,18,9,-90.980786,38.352387,-90.980786,38.352387,-90.990786,-90.970786,38.342387,38.362387
MO5211955,SHEPHERD OF THE HILLS,"5586 W MO-76, Branson, Missouri, 65616",65616,Missouri,Region 7,Non-Transient non-community system,1000,,Taney,6,9,9,-93.306615,36.666937,-93.305971,36.67001,-93.307615,-93.305615,36.665937,36.667937
MO3171120,WARSAW R IX SOUTH ELEM,"20363 Lane of Champions, Warsaw, Missouri, 65355",65355,Missouri,Region 7,Non-Transient non-community system,150,WARSAW,Benton,4,7,7,-93.336409,38.220347,-93.336409,38.220347,-93.346409,-93.326409,38.210347,38.230347
MO4120161,LAKE WAPPAPELLO STATE PARK,"63967, Williamsville, Missouri",63967,Missouri,Region 7,Transient non-community system,125,WILLIAMSVILLE,Wayne,5,12,13,-90.442448,36.826343,-90.442448,36.826343,-90.703448,-90.181448,36.565343,37.087343
MO3242162,WILDWOOD LOT OWNERS ASSOCIATION,"7233 Wildwood Estates Dr, Steedman, Missouri, 65077",65077,Missouri,Region 7,Community water system,35,,Callaway,5,9,9,-91.771475,38.808521,-91.771475,38.808521,-91.781475,-91.761475,38.798521,38.818521
MO4010729,SEDGEWICKVILLE,"63781, Sedgewickville, Missouri",63781,Missouri,Region 7,Community water system,200,SEDGEWICKVILLE,Bollinger,6,5,11,-89.911072,37.515526,-89.911072,37.515526,-90.008072,-89.814072,37.418526,37.612526
MO1010388,HUME,"201 Main St, Hume, Missouri, 64752",64752,Missouri,Region 7,Community water system,320,HUME,Bates,6,2,6,-94.594416,38.189489,-94.594416,38.189489,-94.604416,-94.584416,38.179489,38.199489
MO5036177,MO AMERICAN - OZARK MTN WATER CO  1,"64801, Joplin, Missouri",64801,Missouri,Region 7,Community water system,350,SHELL KNOB,Barry,8,1,10,-94.517015,37.085323,-94.517015,37.085323,-94.660015,-94.374015,36.942323,37.228323
MO5036198,MO AMERICAN - LAKE TANEYCOMO ACRES SUBD,"64801, Joplin, Missouri",64801,Missouri,Region 7,Community water system,215,"BRANSON, KIRBYVILLE",Taney,9,0,10,-94.517015,37.085323,-94.517015,37.085323,-94.660015,-94.374015,36.942323,37.228323
MO3010767,STOVER,"107 W 2nd St, Stover, Missouri, 65078",65078,Missouri,Region 7,Community water system,1623,STOVER,Morgan,8,19,6,-92.990361,38.440689,-92.990351,38.44089,-92.991361,-92.989361,38.439689,38.441689
MO5048346,PARK PLACE NEOSHO MHP,"2218 Coyote Dr, Joplin, Missouri, 64804",64804,Missouri,Region 7,Community water system,95,NEOSHO,Newton,7,16,10,-94.557584,37.037193,-94.557584,37.037193,-94.567584,-94.547584,37.027193,37.047193
MO3010130,CAMDENTON,"437 W US Highway 54, Camdenton, Missouri, 65020",65020,Missouri,Region 7,Community water system,3718,CAMDENTON,Camden,13,11,6,-92.75053,38.004567,-92.750721,38.00493,-92.75153,-92.74953,38.003567,38.005567
MO5030209,SUNDOWN VILLAGE OF,"221 Beachwood St, Sundown, Missouri, 65761",65761,Missouri,Region 7,Community water system,39,,Ozark,6,34,9,-92.648963,36.554402,-92.649031,36.55444,-92.649963,-92.647963,36.553402,36.555402
MO5030473,STARLIGHT VILLAGE,"32 N Tracy Ln, Reeds Spring, Missouri, 65737",65737,Missouri,Region 7,Community water system,65,,Stone,5,168,13,-93.375458,36.653639,-93.375271,36.65363,-93.376458,-93.374458,36.652639,36.654639
MO5290224,WAGNERS ONE STOP,"65737, Branson West, Missouri",65737,Missouri,Region 7,Transient non-community system,25,,Stone,4,46,10,-93.383675,36.750252,-93.383675,36.750252,-93.562675,-93.204675,36.571252,36.929252
MO1010757,ROSENDALE,"64483, Rosendale, Missouri",64483,Missouri,Region 7,Community water system,143,ROSENDALE,Andrew,9,18,18,-94.823982,40.042116,-94.823982,40.042116,-94.917982,-94.729982,39.948116,40.136116
MO1024006,ANDREW CO PWSD 3,"10347 Highway 48, Rosendale, Missouri, 64483",64483,Missouri,Region 7,Community water system,1260,FILLMORE,Andrew,5,18,7,-94.851054,40.039588,-94.851111,40.04013,-94.852054,-94.850054,40.038588,40.040588
MO6031360,GLEN MEADOWS,"634 Highway MM, Moscow Mills, Missouri, 63362",63362,Missouri,Region 7,Community water system,250,,Lincoln,4,2,2,-90.908561,38.935666,-90.908561,38.935666,-90.918561,-90.898561,38.925666,38.945666
MO6024298,JEFFERSON CO PWSD  6,"6000 Kingsway Dr, House Springs, Missouri, 63051",63051,Missouri,Region 7,Community water system,7235,,Jefferson,19,8,11,-90.55354,38.423333,-90.55354,38.423333,-90.56354,-90.54354,38.413333,38.433333
MO4024097,CAPE GIRARDEAU CO PWSD 2,"63766, Millersville, Missouri",63766,Missouri,Region 7,Community water system,2055,CAPE GIRARDEAU,Cape Girardeau,12,10,12,-89.836527,37.435521,-89.836527,37.435521,-89.924527,-89.748527,37.347521,37.523521
MO6069045,BAISCH NURSING HOME,"3260 Baisch Dr, De Soto, Missouri, 63020",63020,Missouri,Region 7,Community water system,189,,Jefferson,6,1,8,-90.487602,38.078093,-90.487721,38.075,-90.488602,-90.486602,38.077093,38.079093
