PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Longitude,Latitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
MT0004137,JIM PALMER TRUCKING,"9730 Derby Dr, Missoula, Montana, 59808",59808,Montana,Region 8,Non-Transient non-community system,55,MISSOULA,Missoula,4,60,3,-114.132452,46.944646,-114.132531,46.94512,-114.133452,-114.131452,46.943646,46.945646
MT0004208,SPIRIT HILLS SUBDIVISION,"4533 Walker Rd, Bozeman, Montana, 59715",59715,Montana,Region 8,Community water system,170,BOZEMAN,Gallatin,6,28,5,-111.04567,45.762391,-111.045931,45.7624,-111.04667,-111.04467,45.761391,45.763391
MT0003319,INDIANA UNIV GEOLOGIC STATION,"1001 E 10th St, Bloomington, Indiana, 47405",47405,Montana,Region 8,Transient non-community system,77,CARDWELL,Madison,3,8,2,-86.522289,39.171657,-86.522289,39.171657,-86.532289,-86.512289,39.161657,39.181657
MT0000266,LAKESIDE WATER SYSTEM,"253 Bierney Creek Rd, Lakeside, Montana, 59922",59922,Montana,Region 8,Community water system,800,LAKESIDE,Flathead,6,7,3,-114.230311,48.023866,-114.230311,48.02403,-114.231311,-114.229311,48.022866,48.024866
MT0004822,SAFEWAY NO 2619 GLACIER WATER MSLA,"1385 Park Center Dr, Vista, California, 92081",92081,Montana,Region 8,Transient non-community system,25,MISSOULA,Missoula,2,0,0,-117.24122,33.139123,-117.241211,33.13873,-117.24222,-117.24022,33.138123,33.140123
MT0000914,MEADOW LAKE CO WATER AND SEWER DISTRICT,"59912, Columbia Falls, Montana",59912,Montana,Region 8,Community water system,500,COLUMBIA FALLS,Flathead,4,29,6,-114.182616,48.371447,-114.182616,48.371447,-114.358616,-114.006616,48.195447,48.547447
MT0062344,DICKEY LAKE CAMPGROUND  NORTH,"949 US-93 N, Eureka, Montana, 59917",59917,Montana,Region 8,Transient non-community system,58,FORTINE,Lincoln,5,10,3,-115.057582,48.896949,-115.057981,48.89695,-115.058582,-115.056582,48.895949,48.897949
MT0000765,ULM SCHOOL DIST 85,"59485, Ulm, Montana",59485,Montana,Region 8,Non-Transient non-community system,72,ULM,Cascade,7,13,6,-111.511042,47.436553,-111.511042,47.436553,-111.645042,-111.377042,47.302553,47.570553
MT0000723,TURNER SCHOOL DISTRICT NO 43,"59542, Turner, Montana",59542,Montana,Region 8,Non-Transient non-community system,105,TURNER,Blaine,9,21,6,-108.403744,48.846304,-108.403744,48.846304,-108.703744,-108.103744,48.546304,49.146304
MT0001671,WILLIAMS WATER WORKS,"75 Somers Rd, Somers, Montana, 59932",59932,Montana,Region 8,Community water system,180,KALISPELL,Flathead,3,25,5,-114.226242,48.081027,-114.226021,48.08133,-114.227242,-114.225242,48.080027,48.082027
MT0004458,FOX HILL ESTATES,"75 Somers Rd, Somers, Montana, 59932",59932,Montana,Region 8,Community water system,25,KALISPELL,Flathead,13,16,2,-114.226242,48.081027,-114.226021,48.08133,-114.227242,-114.225242,48.080027,48.082027
MT0002893,THOMPSON RANCHETTES II,"169 Gunsight Loop, Kalispell, Montana, 59901",59901,Montana,Region 8,Community water system,100,KALISPELL,Flathead,3,34,5,-114.258336,48.263642,-114.258336,48.263642,-114.268336,-114.248336,48.253642,48.273642
MT0001489,OASIS BAR AND CAFE,"59648, Craig, Montana",59648,Montana,Region 8,Transient non-community system,102,WOLF CREEK,Lewis and Clark,4,50,5,-112.042138,47.052386,-112.042138,47.052386,-112.484138,-111.600138,46.610386,47.494386
MT0004081,FAIRMONT RV PARK,"1700 Fairmont Rd, Butte, Montana, 59711",59711,Montana,Region 8,Transient non-community system,252,ANACONDA,Silver Bow,4,14,3,-112.805615,46.042853,-112.805615,46.042853,-112.815615,-112.795615,46.032853,46.052853
MT0000759,CAMP THREE FORKS,"15 Koa Rd, Three Forks, Montana, 59752",59752,Montana,Region 8,Transient non-community system,202,THREE FORKS,Broadwater,11,31,2,-111.602332,45.903352,-111.602351,45.90261,-111.603332,-111.601332,45.902352,45.904352
MT0000115,ROCKY CREEK TR COURT,"3219 Augusta Dr, Bozeman, Montana, 59715",59715,Montana,Region 8,Community water system,35,BOZEMAN,Gallatin,7,1,7,-111.032738,45.711642,-111.032921,45.71124,-111.033738,-111.031738,45.710642,45.712642
MT0000284,MALTA  CITY OF,"59538, Malta, Montana",59538,Montana,Region 8,Community water system,1800,MALTA,Phillips,17,7,4,-107.871992,48.355235,-107.871992,48.355235,-108.777992,-106.965992,47.449235,49.261235
