PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Longitude,Latitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
NN4900227,Monument Valley Utah Schools,"200 N Main St, Blanding, Utah, 84511",84511,Navajo Nation,Region 9,Community water system,330,Monument Valley,,6,90,3,-109.478005,37.627538,-109.478005,37.627538,-109.488005,-109.468005,37.617538,37.637538
NN0403022,Canyon De Chelly National Monument,"86503, Chinle, Arizona",86503,Navajo Nation,Region 9,Community water system,55,Chinle,,6,96,6,-109.587043,36.154148,-109.587043,36.154148,-110.128043,-109.046043,35.613148,36.695148
NN0432005,Cove BIA Day School  -BIA,"86544, Red Valley, Arizona",86544,Navajo Nation,Region 9,Community water system,73,Cove,,5,66,6,-109.606245,36.295808,-109.606245,36.295808,-109.647245,-109.565245,36.254808,36.336808
NN0433008,Kayenta Community BIA Boarding School  -BIA,"86033, Kayenta, Arizona",86033,Navajo Nation,Region 9,Community water system,500,Kayenta,,8,68,2,-110.248941,36.71072,-110.248941,36.71072,-110.750941,-109.746941,36.20872,37.21272
NN0433015,Rocky Ridge BIA Boarding School  -BIA,"86039, Kykotsmovi Village, Arizona",86039,Navajo Nation,Region 9,Community water system,250,Dinnebito,,8,64,3,-110.574672,34.627711,-110.574672,34.627711,-110.579672,-110.569672,34.622711,34.632711
NN3534026,Alamo Navajo Community BIA School  -BIA,"87825, Alamo, New Mexico",87825,Navajo Nation,Region 9,Non-Transient non-community system,600,Alamo,,7,18,7,-107.241144,34.113066,-107.241144,34.113066,-107.878144,-106.604144,33.476066,34.750066
NN0400380,St. Michaels Indian School,"86511, St Michaels, Arizona",86511,Navajo Nation,Region 9,Non-Transient non-community system,585,St. Michaels,,11,223,5,-109.105672,35.655101,-109.105672,35.655101,-109.383672,-108.827672,35.377101,35.933101
NN3500285,Alamo-Alamo Community,"87825, Alamo, New Mexico",87825,Navajo Nation,Region 9,Community water system,520,Alamo,,22,274,4,-107.241144,34.113066,-107.241144,34.113066,-107.878144,-106.604144,33.476066,34.750066
NN0433004,Dennehotso BIA Boarding School  -BIA,"86033, Kayenta, Arizona",86033,Navajo Nation,Region 9,Community water system,300,Dennehotso,,8,66,4,-110.248941,36.71072,-110.248941,36.71072,-110.750941,-109.746941,36.20872,37.21272
NN0436018,Pine Springs BIA Day School  -BIA,"86506, Houck, Arizona",86506,Navajo Nation,Region 9,Community water system,122,"Houck, North of",,7,12,3,-109.098252,35.314111,-109.098252,35.314111,-109.103252,-109.093252,35.309111,35.319111
NN3532006,Nenahnezad Community BIA School  -BIA,"87416, Fruitland, New Mexico",87416,Navajo Nation,Region 9,Community water system,80,Nenahnezad,,5,4,6,-108.427872,36.754991,-108.427872,36.754991,-108.648872,-108.206872,36.533991,36.975991
NN0433007,Kaibeto (Upper) BIA Boarding School  -BIA,"86053, Kaibeto, Arizona",86053,Navajo Nation,Region 9,Community water system,400,Kaibeto,,13,115,3,-111.118918,36.550927,-111.118918,36.550927,-111.379918,-110.857918,36.289927,36.811927
NN0435010,Pinon Community BIA Dormitory School  -BIA,"86503, Chinle, Arizona",86503,Navajo Nation,Region 9,Community water system,500,Pinon,,6,10,4,-109.587043,36.154148,-109.587043,36.154148,-110.128043,-109.046043,35.613148,36.695148
NN0433002,Chilchinbeto BIA Day School  -BIA,"86033, Kayenta, Arizona",86033,Navajo Nation,Region 9,Community water system,72,Chilchinbeto,,5,63,3,-110.248941,36.71072,-110.248941,36.71072,-110.750941,-109.746941,36.20872,37.21272
NN3500329,Alamo-Chavez Springs,"87825, Alamo, New Mexico",87825,Navajo Nation,Region 9,Community water system,28,"Alamo, Chavez Springs",,5,108,4,-107.241144,34.113066,-107.241144,34.113066,-107.878144,-106.604144,33.476066,34.750066
NN0435006,Low Mountain BIA Boarding School  -BIA,"86510, Pinon, Arizona",86510,Navajo Nation,Region 9,Community water system,339,Low Mountain,,8,126,5,-109.962772,35.97218,-109.962772,35.97218,-110.680772,-109.244772,35.25418,36.69018
NN3500286,Alamo-Alamo Springs,"87825, Alamo, New Mexico",87825,Navajo Nation,Region 9,Community water system,210,Alamo Springs,,7,196,4,-107.241144,34.113066,-107.241144,34.113066,-107.878144,-106.604144,33.476066,34.750066
NN0436015,Kinlichee Community BIA School  -BIA,"86505, Ganado, Arizona",86505,Navajo Nation,Region 9,Community water system,200,Kinlichee,,8,63,4,-109.539505,35.70896,-109.539505,35.70896,-110.053505,-109.025505,35.19496,36.22296
NN3534025,Canoncito Community BIA School  -BIA,"87026, Old Laguna, New Mexico",87026,Navajo Nation,Region 9,Non-Transient non-community system,437,Canoncito,,7,21,5,-107.159472,34.94892,-107.159472,34.94892,-107.714472,-106.604472,34.39392,35.50392
NN0436024,Wide Ruins BIA Boarding School  -BIA,"86502, Chambers, Arizona",86502,Navajo Nation,Region 9,Community water system,215,Wide Ruins,,11,75,4,-109.330755,35.210839,-109.330755,35.210839,-109.910755,-108.750755,34.630839,35.790839
NN0435007,Lukachukai BIA Boarding School - BIA,"86507, Chinle, Arizona",86507,Navajo Nation,Region 9,Community water system,472,Lukachukai,,12,62,4,-109.220777,36.433117,-109.220777,36.433117,-109.480777,-108.960777,36.173117,36.693117
NN0432010,Teec Nos Pos BIA Boarding School  -BIA,"86514, Teec Nos Pos, Arizona",86514,Navajo Nation,Region 9,Community water system,300,Teec Nos Pos,,12,63,4,-109.087006,36.920535,-109.087006,36.920535,-110.001006,-108.173006,36.006535,37.834535
NN0435004,Cottonwood BIA Day School  -BIA,"86503, Chinle, Arizona",86503,Navajo Nation,Region 9,Community water system,185,Cottonwood,,5,68,4,-109.587043,36.154148,-109.587043,36.154148,-110.128043,-109.046043,35.613148,36.695148
NN0436008,Greasewood (Lower) Community BIA Boarding School,"86505, Ganado, Arizona",86505,Navajo Nation,Region 9,Community water system,720,Lower Greasewood,,17,73,4,-109.539505,35.70896,-109.539505,35.70896,-110.053505,-109.025505,35.19496,36.22296
NN0400181,Ft. Defiance Elementary School,"86504, Fort Defiance, Arizona",86504,Navajo Nation,Region 9,Community water system,1350,Fort Defiance,,4,96,5,-109.083181,35.787951,-109.083181,35.787951,-109.088181,-109.078181,35.782951,35.792951
NN4900225,Gouldings Trading Post & Lodge,"84536, Monument Vly, Utah",84536,Navajo Nation,Region 9,Community water system,300,Monument Valley,,8,115,3,-110.216351,37.005821,-110.216351,37.005821,-111.413351,-109.019351,35.808821,38.202821
NN4932002,Aneth Community BIA School  -BIA,"84534, Montezuma Creek, Utah",84534,Navajo Nation,Region 9,Community water system,192,Aneth,,11,8,5,-109.307725,37.259847,-109.307725,37.259847,-109.500725,-109.114725,37.066847,37.452847
NN4903063,Monument Valley Navajo Tribal Park,"84536, Monument Vly, Utah",84536,Navajo Nation,Region 9,Transient non-community system,275,Monument Valley,,5,33,4,-110.216351,37.005821,-110.216351,37.005821,-111.413351,-109.019351,35.808821,38.202821
NN0433009,Leupp BIA Contract Boarding School  -BIA,"86047, Winslow, Arizona",86047,Navajo Nation,Region 9,Community water system,250,Leupp,,8,46,5,-110.698321,35.029999,-110.698321,35.029999,-111.569321,-109.827321,34.158999,35.900999
NN0433013,Red Lake (Tonalea) BIA Day School  -BIA,"86044, Tonalea, Arizona",86044,Navajo Nation,Region 9,Community water system,300,"Tonalea, Red Lake",,7,65,2,-111.078867,36.89734,-111.078867,36.89734,-111.825867,-110.331867,36.15034,37.64434
NN3500266,"Ramona Smith Water Users Group, Incorporated","87301, Manuelito, New Mexico",87301,Navajo Nation,Region 9,Community water system,77,"Twin Lakes, North of",,3,22,5,-108.736821,35.52971,-108.736821,35.52971,-109.217821,-108.255821,35.04871,36.01071
NN3510000,Fire Rock Navajo Casino,"87311, Church Rock, New Mexico",87311,Navajo Nation,Region 9,Non-Transient non-community system,300,Fire Rock Navajo Casino,,3,10,2,-108.595953,35.53875,-108.595953,35.53875,-108.611953,-108.579953,35.52275,35.55475
NN3510003,Northern Edge Navajo Casino,"87311, Church Rock, New Mexico",87311,Navajo Nation,Region 9,Non-Transient non-community system,25,Northern Edge Navajo Casino,,4,1,0,-108.595953,35.53875,-108.595953,35.53875,-108.611953,-108.579953,35.52275,35.55475
NN0403060,Chinle Elementary School,"86503, Chinle, Arizona",86503,Navajo Nation,Region 9,Community water system,220,Chinle,,7,38,4,-109.587043,36.154148,-109.587043,36.154148,-110.128043,-109.046043,35.613148,36.695148
NN0403062,Chinle High School,"86503, Chinle, Arizona",86503,Navajo Nation,Region 9,Non-Transient non-community system,975,Chinle,,7,51,6,-109.587043,36.154148,-109.587043,36.154148,-110.128043,-109.046043,35.613148,36.695148
NN3500237,Tohatchi/Mexican Springs/Twin Lakes  -NTUA,"86504, Fort Defiance, Arizona",86504,Navajo Nation,Region 9,Community water system,1809,"Tohatchi, Mexican Springs",,12,33,7,-109.083181,35.787951,-109.083181,35.787951,-109.088181,-109.078181,35.782951,35.792951
NN0400253,Kitsillie/Black Mesa  -NTUA,"86504, Fort Defiance, Arizona",86504,Navajo Nation,Region 9,Community water system,307,"Kitsillie, Black Mesa",,9,25,4,-109.083181,35.787951,-109.083181,35.787951,-109.088181,-109.078181,35.782951,35.792951
NN0400326,Shonto Junction-NTUA,"86504, Fort Defiance, Arizona",86504,Navajo Nation,Region 9,Community water system,1162,Shonto Junction,,10,27,4,-109.083181,35.787951,-109.083181,35.787951,-109.088181,-109.078181,35.782951,35.792951
NN0400342,Dilkon/Indian Wells/Lower Greasewood/White Cone  -,"86504, Fort Defiance, Arizona",86504,Navajo Nation,Region 9,Community water system,4921,"Dilcon, Indian Wells, Lower Greasewood,",,35,52,4,-109.083181,35.787951,-109.083181,35.787951,-109.088181,-109.078181,35.782951,35.792951
NN0403811,Hard Rock  -NTUA,"86504, Fort Defiance, Arizona",86504,Navajo Nation,Region 9,Community water system,1214,"Hard Rock, Dinnebeto, Rocky Ridge",,11,58,4,-109.083181,35.787951,-109.083181,35.787951,-109.088181,-109.078181,35.782951,35.792951
NN4903018,Montezuma Creek  -NTUA,"86504, Fort Defiance, Arizona",86504,Navajo Nation,Region 9,Community water system,414,Montezuma Creek,,13,22,5,-109.083181,35.787951,-109.083181,35.787951,-109.088181,-109.078181,35.782951,35.792951
NN0403015,Oak Springs  -NTUA  (south of Hunters Point),"86504, Fort Defiance, Arizona",86504,Navajo Nation,Region 9,Community water system,392,Oak Springs (South of Window Rock),,11,25,4,-109.083181,35.787951,-109.083181,35.787951,-109.088181,-109.078181,35.782951,35.792951
NN0403021,Cottonwood/Tselani  -NTUA,"86504, Fort Defiance, Arizona",86504,Navajo Nation,Region 9,Community water system,981,"Cottonwood, Tselani",,15,29,3,-109.083181,35.787951,-109.083181,35.787951,-109.088181,-109.078181,35.782951,35.792951
NN0403033,Leupp/Birdsprings/Tolani Lake  -NTUA,"86504, Fort Defiance, Arizona",86504,Navajo Nation,Region 9,Community water system,2091,"Leupp, Birdsprings, Tolani Lake",,23,17,4,-109.083181,35.787951,-109.083181,35.787951,-109.088181,-109.078181,35.782951,35.792951
NN3500245,"Farmington Rural (Nenahnezad, NAPI, Hogback)  -NTU","86504, Fort Defiance, Arizona",86504,Navajo Nation,Region 9,Community water system,16720,"Upper Fruitland, Nenahnezad, San Juan, N",,24,12,11,-109.083181,35.787951,-109.083181,35.787951,-109.088181,-109.078181,35.782951,35.792951
NN3500278,Tsa Yah Toh  -NTUA,"86504, Fort Defiance, Arizona",86504,Navajo Nation,Region 9,Community water system,829,Tsa Yah Toh,,7,61,3,-109.083181,35.787951,-109.083181,35.787951,-109.088181,-109.078181,35.782951,35.792951
NN3503028,Toadlena  -NTUA,"86504, Fort Defiance, Arizona",86504,Navajo Nation,Region 9,Community water system,914,"Toadlena, Two Grey Hills",,10,68,4,-109.083181,35.787951,-109.083181,35.787951,-109.088181,-109.078181,35.782951,35.792951
NN3503031,Narbona Pass  -NTUA,"86504, Fort Defiance, Arizona",86504,Navajo Nation,Region 9,Community water system,936,"Sheep Springs, West of",,14,43,4,-109.083181,35.787951,-109.083181,35.787951,-109.088181,-109.078181,35.782951,35.792951
NN0400182,Forest Lake  -NTUA,"86504, Fort Defiance, Arizona",86504,Navajo Nation,Region 9,Community water system,174,Forest Lake,,5,27,4,-109.083181,35.787951,-109.083181,35.787951,-109.088181,-109.078181,35.782951,35.792951
NN3503054,Keyah #1/NAPI  -NTUA,"86504, Fort Defiance, Arizona",86504,Navajo Nation,Region 9,Community water system,141,"NAPI Region I Complex, Southeast of Farm",,5,46,3,-109.083181,35.787951,-109.083181,35.787951,-109.088181,-109.078181,35.782951,35.792951
NN0403100,Jeddito  -NTUA,"86504, Fort Defiance, Arizona",86504,Navajo Nation,Region 9,Community water system,921,Jeddito,,7,50,4,-109.083181,35.787951,-109.083181,35.787951,-109.088181,-109.078181,35.782951,35.792951
NN4900220,Aneth  -NTUA,"86504, Fort Defiance, Arizona",86504,Navajo Nation,Region 9,Community water system,1297,Aneth,,15,66,4,-109.083181,35.787951,-109.083181,35.787951,-109.088181,-109.078181,35.782951,35.792951
NN0403005,Tsaile/Dine College  -NTUA,"86504, Fort Defiance, Arizona",86504,Navajo Nation,Region 9,Community water system,1158,"Tsaile, Dine College",,20,90,5,-109.083181,35.787951,-109.083181,35.787951,-109.088181,-109.078181,35.782951,35.792951
NN0403026,Klagetoh  -NTUA,"86504, Fort Defiance, Arizona",86504,Navajo Nation,Region 9,Community water system,1143,"Klagetoh, South Ganado, Wide Ruins",,5,63,4,-109.083181,35.787951,-109.083181,35.787951,-109.088181,-109.078181,35.782951,35.792951
