PWSID,Approximate Address
NE3121318,Not Found
NE3120769,Not Found
NE3150550,Not Found
NE3120767,Not Found
NE3120207,Not Found
NE3150247,Not Found
NE3150277,Not Found
NE3121306,Not Found
NE3120879,Not Found
NE3121320,Not Found
NE3120782,Not Found
NE3150176,Not Found
NE3150036,Not Found
NE3105523,Not Found
NE3120925,Not Found
NE3121338,Not Found
NE3121207,Not Found
NE3150198,Not Found
NE3121339,Not Found
NE3120673,Not Found
NE3150444,Not Found
NE3150046,Not Found
NE3105520,Not Found
NE3121231,Not Found
NE3121287,Not Found
NE3105519,Not Found
NE3120375,Not Found
NE3100102,Not Found
NE3121201,Not Found
NE3115304,Not Found
NE3120703,Not Found
NE3120213,Not Found
NE3120662,Not Found
NE3115308,Not Found
NE3150522,Not Found
NE3121032,Not Found
NE3121313,Not Found
NE3121310,Not Found
NE3120957,Not Found
NE3120334,Not Found
NE3121159,Not Found
NE3120282,Not Found
NE3120569,Not Found
NE3120435,Not Found
NE3150582,Not Found
NE3121144,Not Found
NE3121004,Not Found
NE3150703,Not Found
NE3120790,Not Found
NE3121027,Not Found
NE3121093,Not Found
NE3120906,Not Found
NE3120727,Not Found
NE3120343,Not Found
NE3120314,Not Found
NE3120466,Not Found
NE3120918,Not Found
NE3121188,Not Found
NE3150053,Not Found
NE3121026,Not Found
NE3120970,Not Found
NE3120655,Not Found
NE3150473,Not Found
NE3115307,Not Found
NE3105301,Not Found
NE3120593,Not Found
NE3150412,Not Found
NE3150616,Not Found
NE3150613,Not Found
NE3150407,Not Found
NE3121328,Not Found
NE3150467,Not Found
NE3121198,Not Found
NE3121155,Not Found
NE3120654,Not Found
NE3120597,Not Found
NE3120904,Not Found
NE3120827,Not Found
NE3150697,Not Found
NE3120471,Not Found
NE3120313,Not Found
NE3121099,Not Found
NE3120653,Not Found
NE3120397,Not Found
NE3150496,Not Found
NE3121050,Not Found
NE3121299,Not Found
NE3121296,Not Found
NE3150019,Not Found
NE3120938,Not Found
NE3120546,Not Found
NE3120814,Not Found
NE3120587,Not Found
NE3121249,Not Found
NE3120468,Not Found
NE3150566,Not Found
NE3121265,Not Found
NE3121354,Not Found
NE3120580,Not Found
NE3121060,Not Found
NE3121112,Not Found
NE3150516,Not Found
NE3192103,Not Found
NE3121170,Not Found
NE3150324,Not Found
NE3120890,Not Found
NE3120576,Not Found
NE3118031,Not Found
NE3120854,Not Found
NE3120947,Not Found
NE3150646,Not Found
NE3105526,Not Found
NE3150524,Not Found
NE3121351,Not Found
NE3121220,Not Found
NE3121013,Not Found
NE3150121,Not Found
NE3120126,Not Found
NE3150007,Not Found
NE3121149,Not Found
NE3120114,Not Found
NE3121329,Not Found
NE3121356,Not Found
NE3120852,Not Found
NE3120632,Not Found
NE3150275,Not Found
