PWSID,Approximate Address
NV0000244,Not Found
NV0000781,Not Found
NV0000702,Not Found
NV0002098,Not Found
NV0000798,Not Found
NV0000401,Not Found
NV0000721,Not Found
NV0000340,Not Found
NV0000374,Not Found
NV0001109,Not Found
NV0002557,Not Found
NV0002076,Not Found
NV0000373,Not Found
NV0002197,Not Found
NV0001108,Not Found
NV0002596,Not Found
NV0000808,Not Found
NV0002143,Not Found
NV0002599,Not Found
NV0000249,Not Found
NV0000742,Not Found
NV0002191,Not Found
NV0000980,Not Found
NV0005061,Not Found
NV0000146,Not Found
NV0002178,Not Found
NV0004084,Not Found
NV0000182,Not Found
NV0001001,Not Found
NV0001078,Not Found
NV0000327,Not Found
NV0000349,Not Found
NV0002016,Not Found
NV0000123,Not Found
NV0000806,Not Found
NV0000358,Not Found
NV0000336,Not Found
NV0002068,Not Found
NV0000904,Not Found
NV0000832,Not Found
NV0000820,Not Found
NV0002053,Not Found
NV0000901,Not Found
NV0000376,Not Found
NV0000896,Not Found
NV0000792,Not Found
NV0003091,Not Found
NV0000900,Not Found
NV0001085,Not Found
NV0000800,Not Found
NV0000802,Not Found
NV0004082,Not Found
NV0000215,Not Found
NV0000729,Not Found
NV0000058,Not Found
NV0003030,Not Found
NV0000198,Not Found
NV0000202,Not Found
