PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Longitude,Latitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
NV0000406,SAND CREEK,"155 N Taylor St, Fallon, Nevada, 89406",89406,Nevada,Region 9,Community water system,953,PINE GROVE,Churchill,5,0,1,-118.781555,39.476841,-118.782221,39.47684,-118.782555,-118.780555,39.475841,39.477841
NV0003001,RIVERBELLE PROPERTIES LLC  CEDARS,"1401 W 4th St, Reno, Nevada, 89503",89503,Nevada,Region 9,Transient non-community system,25,,Washoe,6,8,6,-119.830368,39.525648,-119.830368,39.525648,-119.840368,-119.820368,39.515648,39.535648
NV0000879,ALCOA  MICROMILL,"1400 Waltham Way, Mccarran, Nevada, 89434",89434,Nevada,Region 9,Non-Transient non-community system,25,,Storey,4,0,3,-119.535545,39.556743,-119.535041,39.55536,-119.536545,-119.534545,39.555743,39.557743
NV0002027,MIDDLEGATE STATION,"42500 Austin Hwy, Fallon, Nevada, 89406",89406,Nevada,Region 9,Transient non-community system,25,MIDDLEGATE,Churchill,3,11,7,-118.028342,39.290236,-118.028342,39.290236,-118.038342,-118.018342,39.280236,39.300236
NV0000038,ELY MUNICIPAL WATER DEPARTMENT,"501 Mill St, Ely, Nevada, 89301",89301,Nevada,Region 9,Community water system,5000,ELY,White Pine,21,31,8,-114.894799,39.246789,-114.894799,39.246789,-114.904799,-114.884799,39.236789,39.256789
NV0000306,SANDWINDS RESTAURANT SPORTS BAR,"1120 Taylor Pl, Fallon, Nevada, 89406",89406,Nevada,Region 9,Transient non-community system,70,,Churchill,5,5,3,-118.805206,39.473131,-118.805611,39.47313,-118.806206,-118.804206,39.472131,39.474131
NV0001096,SANDERS WINERY,"89041, Pahrump, Nevada",89041,Nevada,Region 9,Transient non-community system,25,,Nye,5,1,1,-115.972351,36.203851,-115.972351,36.203851,-115.977351,-115.967351,36.198851,36.208851
NV0001080,HARRIS SPRINGS RANCH,"89193, Las Vegas, Nevada",89193,Nevada,Region 9,Community water system,40,HARRIS SPRINGS,Clark,4,17,5,-115.138852,36.070551,-115.138852,36.070551,-115.143852,-115.133852,36.065551,36.075551
NV0002119,R PLACE LITTLE ASH SPRINGS,"1580 S Jones Blvd, Las Vegas, Nevada, 89146",89146,Nevada,Region 9,Transient non-community system,25,,Lincoln,5,10,5,-115.225596,36.154101,-115.225051,36.15411,-115.226596,-115.224596,36.153101,36.155101
NV0000167,VIRGIN VALLEY WATER DISTRICT,"500 Riverside Rd, Mesquite, Nevada, 89027",89027,Nevada,Region 9,Community water system,17000,MESQUITE,Clark,42,610,7,-114.09351,36.794411,-114.09351,36.794411,-114.10351,-114.08351,36.784411,36.804411
NV0000076,HENDERSON CITY OF,"89009, Henderson, Nevada",89009,Nevada,Region 9,Community water system,275000,HENDERSON,Clark,90,2,9,-114.975002,36.035901,-114.975002,36.035901,-114.980002,-114.970002,36.030901,36.040901
NV0000009,BEATTY WATER AND SANITATION DISTRICT,"89003, Beatty, Nevada",89003,Nevada,Region 9,Community water system,1024,BEATTY,Nye,16,12,6,-116.754741,36.91252,-116.754741,36.91252,-117.660741,-115.848741,36.00652,37.81852
NV0000126,SHETLAND WATER DISTRICT,"808 Shetland Rd, Las Vegas, Nevada, 89107",89107,Nevada,Region 9,Community water system,38,,Clark,3,48,6,-115.177794,36.160951,-115.178391,36.16096,-115.178794,-115.176794,36.159951,36.161951
NV0001010,MT CHARLESTON RESTAURANT AND LODGE,"2707 Kyle Canyon Rd, Las Vegas, Nevada, 89124",89124,Nevada,Region 9,Transient non-community system,450,,Clark,3,18,4,-115.590307,36.271506,-115.590307,36.271506,-115.600307,-115.580307,36.261506,36.281506
NV0002558,AMARGOSA WATER COMPANY,"89133, Las Vegas, Nevada",89133,Nevada,Region 9,Community water system,54,,Nye,8,121,3,-115.252482,36.205801,-115.252482,36.205801,-115.257482,-115.247482,36.200801,36.210801
NV0000885,BARRICK RUBY HILL MINE,"9650 Gateway Dr, Reno, Nevada, 89521",89521,Nevada,Region 9,Non-Transient non-community system,125,,Eureka,6,25,3,-119.762287,39.44252,-119.761901,39.44259,-119.763287,-119.761287,39.44152,39.44352
NV0001126,WEST END WATER COOP ASSOC,"4450 P&H Dr, Elko, Nevada, 89801",89801,Nevada,Region 9,Non-Transient non-community system,25,,Elko,3,0,1,-115.849985,40.793044,-115.849985,40.793044,-115.859985,-115.839985,40.783044,40.803044
NV0003068,CARSON RIVER ESTATES,"1707 Rice Rd, Fallon, Nevada, 89406",89406,Nevada,Region 9,Community water system,90,,Churchill,41,254,6,-118.792898,39.493783,-118.792711,39.49254,-118.793898,-118.791898,39.492783,39.494783
NV0000823,TONOPAH CONSERVATION CAMP  NDOC,"3955 W Russell Rd, Las Vegas, Nevada, 89118",89118,Nevada,Region 9,Non-Transient non-community system,150,,Nye,3,1,2,-115.19272,36.086313,-115.192721,36.0853,-115.19372,-115.19172,36.085313,36.087313
NV0000273,LAMOILLE WATER USERS ASSOC,"89828, Lamoille, Nevada",89828,Nevada,Region 9,Community water system,200,LAMOILLE,Elko,4,14,7,-115.477313,40.728461,-115.477313,40.728461,-115.627313,-115.327313,40.578461,40.878461
