PWSID,Approximate Address
NH0028070,Not Found
NH1795050,Not Found
NH2348120,Not Found
NH1855020,Not Found
NH1565030,Not Found
NH2218040,Not Found
NH2526020,Not Found
NH1378060,Not Found
NH1045020,Not Found
NH2528010,Not Found
NH1938200,Not Found
NH0876020,Not Found
NH1372020,Not Found
NH0867060,Not Found
NH2518030,Not Found
NH2306030,Not Found
NH0307010,Not Found
NH2236160,Not Found
NH0149030,Not Found
NH1798180,Not Found
NH2057020,Not Found
NH2085030,Not Found
NH1798070,Not Found
NH1935060,Not Found
NH2287010,Not Found
NH2557030,Not Found
NH1908230,Not Found
NH1527240,Not Found
NH0158200,Not Found
NH0612130,Not Found
NH1917030,Not Found
NH0613050,Not Found
NH0266230,Not Found
NH0848020,Not Found
NH2317140,Not Found
NH0147130,Not Found
NH1459010,Not Found
NH1867010,Not Found
NH1466040,Not Found
NH1568040,Not Found
NH2238080,Not Found
NH0025010,Not Found
NH1759010,Not Found
NH0147050,Not Found
NH2318060,Not Found
NH1939030,Not Found
NH1617020,Not Found
NH0245020,Not Found
NH1277060,Not Found
NH1847090,Not Found
NH1637010,Not Found
NH1677050,Not Found
NH1617050,Not Found
NH1859050,Not Found
NH0208120,Not Found
NH2048070,Not Found
NH1677070,Not Found
NH0958030,Not Found
NH1202020,Not Found
NH2037050,Not Found
NH2377120,Not Found
NH0285030,Not Found
NH0195020,Not Found
NH2376010,Not Found
NH0919010,Not Found
NH0618060,Not Found
NH2217020,Not Found
NH0788010,Not Found
NH2398140,Not Found
NH1117060,Not Found
NH1167170,Not Found
NH0278010,Not Found
NH2417030,Not Found
NH2097010,Not Found
NH1247030,Not Found
NH1977010,Not Found
NH0867040,Not Found
NH0612160,Not Found
NH1568020,Not Found
NH0157030,Not Found
NH0147010,Not Found
NH2477010,Not Found
NH2542040,Not Found
NH2482010,Not Found
NH1045050,Not Found
NH1526010,Not Found
NH2567040,Not Found
NH2548100,Not Found
NH0287020,Not Found
NH0196260,Not Found
NH0112080,Not Found
NH0159040,Not Found
NH0199030,Not Found
NH1237100,Not Found
NH0437010,Not Found
