PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Longitude,Latitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
NH1847180,BEARCAMP RIVER CAMPGROUND,"03890, West Ossipee, New Hampshire",03890,New Hampshire,Region 1,Transient non-community system,120,OSSIPEE,Carroll,2,10,2,-71.180325,43.8222,-71.180325,43.8222,-71.273325,-71.087325,43.7292,43.9152
NH2479010,BAKER RIVER BIBLE CHURCH,"299 Reservoir Rd, Plymouth, Town of, New Hampshire, 03264",03264,New Hampshire,Region 1,Transient non-community system,80,WENTWORTH,Grafton,2,2,2,-71.731366,43.756912,-71.730861,43.75554,-71.732366,-71.730366,43.755912,43.757912
NH0357040,CRESCENT CAMPSITES/NORTH,"118 North Rd, Sunapee, Town of, New Hampshire, 03782",03782,New Hampshire,Region 1,Transient non-community system,211,CANAAN,Grafton,3,3,2,-72.100196,43.393888,-72.099571,43.39396,-72.101196,-72.099196,43.392888,43.394888
NH1205060,KIDDIE KONNECTION,"22 Manchester Rd, Derry, Town of, New Hampshire, 03038",03038,New Hampshire,Region 1,Non-Transient non-community system,191,HUDSON,Hillsborough,1,5,4,-71.3308,42.896516,-71.330881,42.89646,-71.3318,-71.3298,42.895516,42.897516
NH1205070,EARLY START CHILDRENS CENTER,"141 Kimball Hill Rd, Hudson, Town of, New Hampshire, 03051",03051,New Hampshire,Region 1,Non-Transient non-community system,79,HUDSON,Hillsborough,2,11,3,-71.369574,42.771243,-71.369231,42.77063,-71.370574,-71.368574,42.770243,42.772243
NH2546160,COMMONS AT WINDHAM 2/EAST BLDG,"25 Indian Rock Rd, Windham, Town of, New Hampshire, 03087",03087,New Hampshire,Region 1,Non-Transient non-community system,50,WINDHAM,Rockingham,2,28,4,-71.295335,42.805657,-71.295621,42.80699,-71.296335,-71.294335,42.804657,42.806657
NH0887080,PHEASANT RIDGE COUNTRY CLUB,"140 Country Club Rd, Gilford, Town of, New Hampshire, 03249",03249,New Hampshire,Region 1,Transient non-community system,56,GILFORD,Belknap,2,1,2,-71.443588,43.520129,-71.443588,43.520129,-71.453588,-71.433588,43.510129,43.530129
NH0548010,CONISTON GENERAL STORE,"870 RT-10, Croydon, Town of, New Hampshire, 03773",03773,New Hampshire,Region 1,Transient non-community system,80,CROYDON,Sullivan,1,5,2,-72.159944,43.453146,-72.159751,43.45301,-72.160944,-72.158944,43.452146,43.454146
NH2512010,POUND ROAD WATER WORKS,"03287, Wilmot, New Hampshire",03287,New Hampshire,Region 1,Community water system,53,WILMOT,Merrimack,1,57,4,-71.901443,43.416245,-71.901443,43.416245,-72.019443,-71.783443,43.298245,43.534245
NH1197030,ELM BROOK PARK,"Hopkinton Rd, Contoocook, New Hampshire, 03229",03229,New Hampshire,Region 1,Transient non-community system,500,HOPKINTON,Merrimack,2,0,2,-71.674949,43.19201,-71.674949,43.19201,-71.715949,-71.633949,43.15101,43.23301
