PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Longitude,Latitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
NM3501027,SPACEPORT AMERICA,"88001, Las Cruces, New Mexico",88001,New Mexico,Region 6,Transient non-community system,25,TRUTH OR CONSEQUENCES,Sierra,7,0,0,-106.772147,32.311072,-106.772147,32.311072,-106.909147,-106.635147,32.174072,32.448072
NM3512714,CORONA WATER SYSTEM,"88318, Corona, New Mexico",88318,New Mexico,Region 6,Community water system,200,CORONA,Lincoln,10,5,15,-105.595202,34.250111,-105.595202,34.250111,-106.401202,-104.789202,33.444111,35.056111
NM3553401,CORONADO VILLAGE COUNTRY CLUB,"87113, Albuquerque, New Mexico",87113,New Mexico,Region 6,Community water system,870,ALBUQUERQUE,Bernalillo,8,23,11,-106.569074,35.183096,-106.569074,35.183096,-106.627074,-106.511074,35.125096,35.241096
NM3526804,ANGEL NEST APARTMENTS,"87710, Angel Fire, New Mexico",87710,New Mexico,Region 6,Community water system,60,ANGEL FIRE,Colfax,6,10,8,-105.290059,36.389132,-105.290059,36.389132,-105.585059,-104.995059,36.094132,36.684132
NM3502401,"GREEN RIDGE MDWCA, INC.","87059, Tijeras, New Mexico",87059,New Mexico,Region 6,Community water system,130,TIJERAS,Bernalillo,6,22,3,-106.281721,35.092131,-106.281721,35.092131,-106.525721,-106.037721,34.848131,35.336131
NM3590218,COYOTE CREEK STATE PARK,"87722, Guadalupita, New Mexico",87722,New Mexico,Region 6,Transient non-community system,25,GUADALUPITA,Mora,5,8,7,-105.224607,36.190919,-105.224607,36.190919,-105.440607,-105.008607,35.974919,36.406919
NM3590516,BUTTERFIELD TRAIL REST AREA,"88004, Las Cruces, New Mexico",88004,New Mexico,Region 6,Transient non-community system,95,DEMING,Luna,4,6,9,-106.777542,32.3118,-106.777542,32.3118,-106.782542,-106.772542,32.3068,32.3168
NM3501024,PINE RIVER SUBDIVISION WATER USERS ASSN,"81137, Southern Ute Indian Reservat, Colorado",81137,New Mexico,Region 6,Community water system,28,NAVAJO DAM,San Juan,4,47,5,-107.635422,37.118071,-107.635422,37.118071,-107.866422,-107.404422,36.887071,37.349071
NM3591816,YUCCA REST AREA-STATE HWY DEPT,"88004, Las Cruces, New Mexico",88004,New Mexico,Region 6,Transient non-community system,164,LORDSBURG,Hidalgo,8,5,7,-106.777542,32.3118,-106.777542,32.3118,-106.782542,-106.772542,32.3068,32.3168
NM3595733,ACOMITA REST AREA,"87021, Milan, New Mexico",87021,New Mexico,Region 6,Transient non-community system,2501,GRANTS,Cibola,8,10,9,-107.892103,35.172095,-107.892103,35.172095,-107.912103,-107.872103,35.152095,35.192095
NM3509029,LA LOMITA TRAILER PARK,"87110, Albuquerque, New Mexico",87110,New Mexico,Region 6,Community water system,100,TAOS,Taos,7,5,9,-106.558474,35.091046,-106.558474,35.091046,-106.607474,-106.509474,35.042046,35.140046
NM3502414,ALONG THE RIVER RV CAMP,"88316, Capitan, New Mexico",88316,New Mexico,Region 6,Transient non-community system,120,NOGAL,Lincoln,3,0,13,-105.603456,33.529522,-105.603456,33.529522,-106.315456,-104.891456,32.817522,34.241522
NM3510104,MAXWELL COOPERATIVE WATER USERS ASSOC,"87728, Maxwell, New Mexico",87728,New Mexico,Region 6,Community water system,154,MAXWELL,Colfax,12,8,10,-104.547321,36.540146,-104.547321,36.540146,-104.791321,-104.303321,36.296146,36.784146
NM3501209,CALVARY CHAPEL,"88062, Silver City, New Mexico",88062,New Mexico,Region 6,Non-Transient non-community system,365,SILVER CITY,Grant,3,1,2,-108.274596,32.771612,-108.274596,32.771612,-108.279596,-108.269596,32.766612,32.776612
NM3510609,PINOS ALTOS MDWCA,"88053, Pinos Altos, New Mexico",88053,New Mexico,Region 6,Community water system,350,PINOS ALTOS,Grant,2,4,9,-108.220231,32.863861,-108.220231,32.863861,-108.232231,-108.208231,32.851861,32.875861
NM3592307,HOLY CROSS RETREAT,"88047, Mesilla Park, New Mexico",88047,New Mexico,Region 6,Transient non-community system,35,MESILLA PARK,Dona Ana,5,8,10,-106.712694,32.201386,-106.712694,32.201386,-106.772694,-106.652694,32.141386,32.261386
NM3592829,AMALIA  COSTILLA SENIOR CITIZENS CENTER,"87571, Taos, New Mexico",87571,New Mexico,Region 6,Transient non-community system,30,COSTILLA,Taos,7,18,9,-105.570425,36.405402,-105.570425,36.405402,-105.822425,-105.318425,36.153402,36.657402
NM3501523,ANASAZI TRAILS WATER CO-OP,"87043, Placitas, New Mexico",87043,New Mexico,Region 6,Community water system,75,PLACITAS,Sandoval,7,22,3,-106.500461,35.313301,-106.500461,35.313301,-106.650461,-106.350461,35.163301,35.463301
NM3590128,FORT CRAIG REST AREA  EAST SIDE,"88004, Las Cruces, New Mexico",88004,New Mexico,Region 6,Transient non-community system,300,SAN ANTONIO,Socorro,7,2,13,-106.777542,32.3118,-106.777542,32.3118,-106.782542,-106.772542,32.3068,32.3168
NM3560617,MANUELITO NAVAJO CHILDRENS HOME,"87305, Gallup, New Mexico",87305,New Mexico,Region 6,Community water system,70,GALLUP,McKinley,4,10,9,-108.752432,35.523691,-108.752432,35.523691,-108.757432,-108.747432,35.518691,35.528691
NM3590317,MANUELITO REST AREA,"87021, Milan, New Mexico",87021,New Mexico,Region 6,Transient non-community system,2501,GALLUP,McKinley,6,4,5,-107.892103,35.172095,-107.892103,35.172095,-107.912103,-107.872103,35.152095,35.192095
NM3590009,CLIFF SCHOOL,"88028, Cliff, New Mexico",88028,New Mexico,Region 6,Non-Transient non-community system,325,CLIFF,Grant,21,13,13,-108.612702,32.95916,-108.612702,32.95916,-108.861702,-108.363702,32.71016,33.20816
NM3590828,FORT CRAIG REST AREA  WEST SIDE,"88004, Las Cruces, New Mexico",88004,New Mexico,Region 6,Transient non-community system,300,SAN ANTONIO,Socorro,4,2,12,-106.777542,32.3118,-106.777542,32.3118,-106.782542,-106.772542,32.3068,32.3168
NM3523102,ARAGON MDWCA,"87820, Aragon, New Mexico",87820,New Mexico,Region 6,Community water system,45,ARAGON,Catron,7,11,14,-108.535363,33.881938,-108.535363,33.881938,-109.047363,-108.023363,33.369938,34.393938
NM3556821,OJO SARCO MDWCA,"87521, Chamisal, New Mexico",87521,New Mexico,Region 6,Community water system,400,OJO SARCO,Rio Arriba,6,8,13,-105.732247,36.173481,-105.732247,36.173481,-105.838247,-105.626247,36.067481,36.279481
NM3506429,LLANO SAN JUAN MDWCA,"87543, Llano, New Mexico",87543,New Mexico,Region 6,Community water system,84,LLANO,Taos,5,7,14,-105.671331,36.133621,-105.671331,36.133621,-105.749331,-105.593331,36.055621,36.211621
NM3591116,GAGE REST AREA,"88004, Las Cruces, New Mexico",88004,New Mexico,Region 6,Transient non-community system,130,DEMING,Luna,7,5,6,-106.777542,32.3118,-106.777542,32.3118,-106.782542,-106.772542,32.3068,32.3168
NM3545618,AGUA PURA MDWCA,"87713, Chacon, New Mexico",87713,New Mexico,Region 6,Community water system,123,CHACON,Mora,7,40,16,-105.367942,36.140881,-105.367942,36.140881,-105.488942,-105.246942,36.019881,36.261881
NM3508129,LAS HACIENDAS HOMEOWNERS WUA,"87571, Taos, New Mexico",87571,New Mexico,Region 6,Community water system,72,TAOS,Taos,7,17,10,-105.570425,36.405402,-105.570425,36.405402,-105.822425,-105.318425,36.153402,36.657402
NM3508923,BERNALILLO WATER SYSTEM,"87004, Bernalillo, New Mexico",87004,New Mexico,Region 6,Community water system,9200,BERNALILLO,Sandoval,18,25,19,-106.552023,35.30276,-106.552023,35.30276,-106.801023,-106.303023,35.05376,35.55176
NM3517725,LA PASADA MDWCA,"87120, Albuquerque, New Mexico",87120,New Mexico,Region 6,Community water system,225,PECOS,San Miguel,4,25,11,-106.706346,35.119875,-106.706346,35.119875,-106.902346,-106.510346,34.923875,35.315875
NM3548201,TIERRA MONTE WATER USERS ASSOCIATION,"87122, Albuquerque, New Mexico",87122,New Mexico,Region 6,Community water system,85,ALBUQUERQUE,Bernalillo,13,209,11,-106.49064,35.180737,-106.49064,35.180737,-106.57464,-106.40664,35.096737,35.264737
NM3533914,BONITA PARK NAZARENE CONFERENCE CENTER,"88316, Capitan, New Mexico",88316,New Mexico,Region 6,Community water system,450,CAPITAN,Lincoln,16,3,19,-105.603456,33.529522,-105.603456,33.529522,-106.315456,-104.891456,32.817522,34.241522
NM3502407,LOWER RIO GRANDE PUBLIC WWA,"88021, Anthony, New Mexico",88021,New Mexico,Region 6,Community water system,9487,VADO,Dona Ana,40,14,1,-106.592102,32.00573,-106.592102,32.00573,-106.740102,-106.444102,31.85773,32.15373
NM3583201,AMERICAN RV PARK,"87121, Albuquerque, New Mexico",87121,New Mexico,Region 6,Transient non-community system,125,ALBUQUERQUE,Bernalillo,4,8,6,-106.713962,35.09587,-106.713962,35.09587,-107.083962,-106.343962,34.72587,35.46587
NM3558014,ALPINE VILLAGE W AND SD,"88355, Ruidoso, New Mexico",88355,New Mexico,Region 6,Community water system,120,RUIDOSO,Lincoln,12,11,14,-105.638734,33.312008,-105.638734,33.312008,-105.643734,-105.633734,33.307008,33.317008
NM3598726,NAMBE HEADSTART,"87506, San Ildefonso, New Mexico",87506,New Mexico,Region 6,Non-Transient non-community system,40,POJOAQUE,Santa Fe,5,19,10,-105.944302,35.711411,-105.944302,35.711411,-106.250302,-105.638302,35.405411,36.017411
NM3580329,IMERYS PERLITE,"81120, Antonito, Colorado",81120,New Mexico,Region 6,Non-Transient non-community system,30,TRES PIEDRAS,Taos,5,32,5,-106.293295,37.076837,-106.293295,37.076837,-106.868295,-105.718295,36.501837,37.651837
NM3590507,FORT SELDON REST AREA-STATE HWY DEPT.,"88004, Las Cruces, New Mexico",88004,New Mexico,Region 6,Transient non-community system,200,RADIUM SPRINGS,Dona Ana,7,9,9,-106.777542,32.3118,-106.777542,32.3118,-106.782542,-106.772542,32.3068,32.3168
NM3523628,SAN ACACIA MDWCA,"87831, San Acacia, New Mexico",87831,New Mexico,Region 6,Community water system,180,SAN ACACIA,Socorro,11,183,16,-106.918731,34.247037,-106.918731,34.247037,-106.956731,-106.880731,34.209037,34.285037
NM3500115,LOS ALAMOS MUNICIPAL WATER SYSTEM,"87544, Los Alamos, New Mexico",87544,New Mexico,Region 6,Community water system,25000,LOS ALAMOS,Los Alamos,76,11,9,-106.321622,35.89562,-106.321622,35.89562,-106.453622,-106.189622,35.76362,36.02762
NM3520027,"DESERTAIRE WATER COMPANY, LLC","87801, Socorro, New Mexico",87801,New Mexico,Region 6,Transient non-community system,25,TRUTH OR CONSEQUENCES,Sierra,8,31,8,-106.895982,34.05955,-106.895982,34.05955,-107.867982,-105.923982,33.08755,35.03155
NM3583529,FORT BERGWIN RESEARCH CENTER,"87557, Rnch De Taos, New Mexico",87557,New Mexico,Region 6,Transient non-community system,138,RANCHOS DE TAOS,Taos,6,9,4,-105.60229,36.355865,-105.60229,36.355865,-105.87729,-105.32729,36.080865,36.630865
