PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Longitude,Latitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
NC0464131,RANSDELL FOREST S/D MHP,"28224, Charlotte, North Carolina",28224,North Carolina,Region 4,Community water system,124,SPRING HOPE,Nash,4,16,12,-80.876207,35.151094,-80.876207,35.151094,-80.881207,-80.871207,35.146094,35.156094
NC5026008,GRAY`S CREEK CHURCH OF GOD,"4018 Chicken Foot Rd, Saint Pauls, North Carolina, 28384",28384,North Carolina,Region 4,Transient non-community system,50,HOPE MILLS,Cumberland,3,40,7,-78.902203,34.86623,-78.902791,34.86634,-78.903203,-78.901203,34.86523,34.86723
NC0474140,THOMAS MOBILE PARK  NO 2,"3487 Evans St, Greenville, North Carolina, 27834",27834,North Carolina,Region 4,Community water system,124,GREENVILLE,Pitt,4,34,34,-77.383882,35.565941,-77.383882,35.565941,-77.393882,-77.373882,35.555941,35.575941
NC0326924,KINGDOM HALL (SR-2008),"548 Judson Church Rd, Fayetteville, North Carolina, 28312",28312,North Carolina,Region 4,Transient non-community system,130,FAYETTEVILLE,Cumberland,3,3,8,-78.816293,35.010595,-78.815951,35.01047,-78.817293,-78.815293,35.009595,35.011595
NC0103102,HIGH MEADOWS S/D,"28224, Charlotte, North Carolina",28224,North Carolina,Region 4,Community water system,610,ROARING GAP,Alleghany,7,24,27,-80.876207,35.151094,-80.876207,35.151094,-80.881207,-80.871207,35.146094,35.156094
NC0392083,OAKES PLANTATION S/D,"28224, Charlotte, North Carolina",28224,North Carolina,Region 4,Community water system,64,KNIGHTDALE,Wake,4,22,14,-80.876207,35.151094,-80.876207,35.151094,-80.881207,-80.871207,35.146094,35.156094
NC0149188,PINNACLE SHORES S/D,"28224, Charlotte, North Carolina",28224,North Carolina,Region 4,Community water system,373,MOORESVILLE,Iredell,7,98,33,-80.876207,35.151094,-80.876207,35.151094,-80.881207,-80.871207,35.146094,35.156094
NC0136197,SUBURBAN HEIGHTS S/D,"28224, Charlotte, North Carolina",28224,North Carolina,Region 4,Community water system,66,GASTONIA,Gaston,6,12,18,-80.876207,35.151094,-80.876207,35.151094,-80.881207,-80.871207,35.146094,35.156094
NC0197528,WARRIOR CREEK PARK AREA D W-13,"499 Reservoir Rd, Wilkesboro, North Carolina, 28697",28697,North Carolina,Region 4,Transient non-community system,25,WILKESBORO,Wilkes,3,4,8,-81.22587,36.130045,-81.22587,36.130045,-81.23587,-81.21587,36.120045,36.140045
NC0118778,BETHEL LUTHERAN CHURCH,"5759 Bolick Rd, Claremont, North Carolina, 28610",28610,North Carolina,Region 4,Transient non-community system,300,CLAREMONT,Catawba,3,21,15,-81.146073,35.778233,-81.146131,35.7772,-81.147073,-81.145073,35.777233,35.779233
