PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Longitude,Latitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
ND0100476,HETTINGER CITY OF,"58639, Bucyrus, North Dakota",58639,North Dakota,Region 8,Community water system,1226,HETTINGER,Adams,18,3,16,-102.635176,46.00319,-102.635176,46.00319,-103.272176,-101.998176,45.36619,46.64019
ND2001061,DAKOTA RURAL WATER DISTRICT NORTH,"58230, Finley, North Dakota",58230,North Dakota,Region 8,Community water system,963,SHARON,Griggs,7,0,13,-97.835691,47.515224,-97.835691,47.515224,-98.069691,-97.601691,47.281224,47.749224
ND2001121,DAKOTA RURAL WATER DISTRICT SOUTH,"58230, Finley, North Dakota",58230,North Dakota,Region 8,Community water system,1048,,Griggs,8,1,14,-97.835691,47.515224,-97.835691,47.515224,-98.069691,-97.601691,47.281224,47.749224
ND0800648,APPLE VALLEY COOP,"1624 Haroldson Ln, Menoken, North Dakota, 58558",58558,North Dakota,Region 8,Community water system,200,,Burleigh,9,7,15,-100.598287,46.822626,-100.598287,46.822626,-100.608287,-100.588287,46.812626,46.832626
ND3200944,TOLNA CITY OF,"58380, Tolna, North Dakota",58380,North Dakota,Region 8,Community water system,166,TOLNA,Nelson,6,8,17,-98.438251,47.829115,-98.438251,47.829115,-98.675251,-98.201251,47.592115,48.066115
ND5311497,LITTLE BEAVER BAY REC AREA,"58802, Williston, North Dakota",58802,North Dakota,Region 8,Transient non-community system,40,,Williams,3,1,1,-103.619032,48.146469,-103.619032,48.146469,-103.624032,-103.614032,48.141469,48.151469
ND3900196,COLFAX CITY OF,"58018, Colfax, North Dakota",58018,North Dakota,Region 8,Community water system,121,COLFAX,Richland,6,10,16,-96.874393,46.470714,-96.874393,46.470714,-97.016393,-96.732393,46.328714,46.612714
ND5000691,MINTO CITY OF,"114 Harvey Ave, Minto, North Dakota, 58261",58261,North Dakota,Region 8,Community water system,604,MINTO,Walsh,8,0,17,-97.370268,48.291577,-97.370268,48.291577,-97.380268,-97.360268,48.281577,48.301577
ND5001075,WALSH RURAL WATER DISTRICT,"58237, Grafton, North Dakota",58237,North Dakota,Region 8,Community water system,2600,,Walsh,12,0,16,-97.41095,48.416395,-97.41095,48.416395,-97.69995,-97.12195,48.127395,48.705395
ND3001431,MISSOURI WEST WATER SYSTEM,"2816 37th St NW, Mandan, North Dakota, 58554",58554,North Dakota,Region 8,Community water system,3238,,Morton,5,1,11,-100.928102,46.858897,-100.928131,46.85965,-100.929102,-100.927102,46.857897,46.859897
ND4500934,TAYLOR CITY OF,"58656, Taylor, North Dakota",58656,North Dakota,Region 8,Community water system,148,TAYLOR,Stark,6,9,18,-102.425256,46.90481,-102.425256,46.90481,-102.728256,-102.122256,46.60181,47.20781
ND0900017,AMENIA CITY OF,"203 Alley St, Amenia, North Dakota, 58004",58004,North Dakota,Region 8,Community water system,94,AMENIA,Cass,4,4,19,-97.220856,47.00658,-97.220856,47.00658,-97.230856,-97.210856,46.99658,47.01658
ND4700922,STREETER CITY OF,"314 1st Ave NE, Streeter, North Dakota, 58483",58483,North Dakota,Region 8,Community water system,170,STREETER,Stutsman,5,4,17,-99.355853,46.658596,-99.355901,46.65887,-99.356853,-99.354853,46.657596,46.659596
ND0900035,ARTHUR CITY OF,"340 Main St, Arthur, North Dakota, 58006",58006,North Dakota,Region 8,Community water system,337,ARTHUR,Cass,10,2,17,-97.218062,47.103609,-97.217851,47.1036,-97.219062,-97.217062,47.102609,47.104609
ND2710909,JUNIPER CAMPGROUND,"208 Scenic Dr, Watford City, North Dakota, 58854",58854,North Dakota,Region 8,Transient non-community system,67,,McKenzie,4,0,21,-103.260256,47.599815,-103.260181,47.59986,-103.261256,-103.259256,47.598815,47.600815
ND3900976,WALCOTT CITY OF,"58077, Walcott, North Dakota",58077,North Dakota,Region 8,Community water system,235,WALCOTT,Richland,7,8,12,-96.939661,46.548002,-96.939661,46.548002,-97.177661,-96.701661,46.310002,46.786002
ND0200226,DAZEY CITY OF,"424 4th Ave, Dazey, North Dakota, 58429",58429,North Dakota,Region 8,Community water system,104,DAZEY,Barnes,6,18,16,-98.20449,47.190416,-98.20449,47.190416,-98.21449,-98.19449,47.180416,47.200416
ND1100758,OAKES CITY OF,"124 S 5th St, Oakes, North Dakota, 58474",58474,North Dakota,Region 8,Community water system,1856,OAKES,Dickey,19,7,18,-98.093415,46.13751,-98.093415,46.13751,-98.103415,-98.083415,46.12751,46.14751
ND2300544,FAIRVIEW COLONY,"9644 74th St SE, Lamoure, North Dakota, 58458",58458,North Dakota,Region 8,Community water system,100,,LaMoure,9,11,3,-98.405571,46.340972,-98.405551,46.33737,-98.406571,-98.404571,46.339972,46.341972
ND0711443,THE FOOD BARN,"300 Railroad Ave W, Powers Lake, North Dakota, 58773",58773,North Dakota,Region 8,Transient non-community system,50,POWERS LAKE,Burke,3,5,16,-102.650438,48.561117,-102.650438,48.561117,-102.660438,-102.640438,48.551117,48.571117
ND0900492,HUNTER CITY OF,"58048, Hunter, North Dakota",58048,North Dakota,Region 8,Community water system,261,HUNTER,Cass,3,2,20,-97.261053,47.232801,-97.261053,47.232801,-97.452053,-97.070053,47.041801,47.423801
ND0700569,LIGNITE CITY OF,"110 Main St, Lignite, North Dakota, 58752",58752,North Dakota,Region 8,Community water system,155,LIGNITE,Burke,7,7,14,-102.563392,48.87819,-102.563392,48.87819,-102.573392,-102.553392,48.86819,48.88819
ND1101481,MAPLE RIVER HUTTERIAN ASSOCIATION,"9262 93rd Ave SE, Fullerton, North Dakota, 58441",58441,North Dakota,Region 8,Community water system,140,,Dickey,6,16,2,-98.442729,46.072499,-98.442729,46.072499,-98.452729,-98.432729,46.062499,46.082499
ND5300809,RAY CITY OF,"101 Main St, Ray, North Dakota, 58849",58849,North Dakota,Region 8,Community water system,592,,Williams,13,0,2,-103.165703,48.343549,-103.165721,48.34355,-103.166703,-103.164703,48.342549,48.344549
ND2511433,TOWNER STATE NURSERY,"58788, Denbigh, North Dakota",58788,North Dakota,Region 8,Transient non-community system,45,,McHenry,9,6,12,-100.408426,48.344534,-100.408426,48.344534,-100.863426,-99.953426,47.889534,48.799534
ND2911480,HAZEN BAY RECREATION AREA,"58545, Pick City, North Dakota",58545,North Dakota,Region 8,Transient non-community system,25,,Mercer,4,2,6,-101.623542,47.299134,-101.623542,47.299134,-101.941542,-101.305542,46.981134,47.617134
ND3900703,MOORETON CITY OF,"402 Ash Dr, Mooreton, North Dakota, 58061",58061,North Dakota,Region 8,Community water system,197,MOORETON,Richland,3,0,14,-96.875181,46.272799,-96.874861,46.2728,-96.876181,-96.874181,46.271799,46.273799
ND3000473,HEBRON CITY OF,"58638, Hebron, North Dakota",58638,North Dakota,Region 8,Community water system,747,HEBRON,Morton,8,8,19,-102.045241,46.902295,-102.045241,46.902295,-102.349241,-101.741241,46.598295,47.206295
ND0510149,STRAWBERRY LAKE CAMPGROUND,"307 1st St E, Bottineau, North Dakota, 58318",58318,North Dakota,Region 8,Transient non-community system,25,,Bottineau,3,9,23,-100.442703,48.831499,-100.442703,48.831499,-100.452703,-100.432703,48.821499,48.841499
ND0511413,PELICAN LAKE CAMPGROUND,"307 1st St E, Bottineau, North Dakota, 58318",58318,North Dakota,Region 8,Transient non-community system,40,,Bottineau,3,0,19,-100.442703,48.831499,-100.442703,48.831499,-100.452703,-100.432703,48.821499,48.841499
ND1100379,FULLERTON CITY OF,"8970 Highway 1, Oakes, North Dakota, 58474",58474,North Dakota,Region 8,Community water system,54,FULLERTON,Dickey,7,9,11,-98.090686,46.113926,-98.090686,46.113926,-98.100686,-98.080686,46.103926,46.123926
ND1801062,GRAND FORKS-TRAILL WATER DISTRICT,"1401 7th Ave NE, Thompson, North Dakota, 58278",58278,North Dakota,Region 8,Community water system,5995,,Grand Forks,21,0,15,-97.13164,47.773738,-97.13164,47.773738,-97.14164,-97.12164,47.763738,47.783738
ND4600341,FINLEY CITY OF,"208 4th St E, Finley, North Dakota, 58230",58230,North Dakota,Region 8,Community water system,445,FINLEY,Steele,5,1,16,-97.834426,47.512388,-97.834426,47.512388,-97.844426,-97.824426,47.502388,47.522388
ND0800096,DAKOTA ADVENTIST ACADEMY,"15905 Sheyenne Cir, Bismarck, North Dakota, 58503",58503,North Dakota,Region 8,Community water system,80,,Burleigh,10,18,17,-100.8832,46.979535,-100.8832,46.979535,-100.8932,-100.8732,46.969535,46.989535
ND2800953,UNDERWOOD CITY OF,"88 Lincoln Ave, Underwood, North Dakota, 58576",58576,North Dakota,Region 8,Community water system,778,UNDERWOOD,McLean,17,5,16,-101.13289,47.457626,-101.133101,47.45793,-101.13389,-101.13189,47.456626,47.458626
ND5301152,R & T WATER SYSTEM,"58849, Wheelock, North Dakota",58849,North Dakota,Region 8,Community water system,150,"RAY, TIOGA",Williams,15,4,15,-103.167087,48.34648,-103.167087,48.34648,-103.475087,-102.859087,48.03848,48.65448
ND2701606,ARNEGARD DIAMOND ESTATES,"58502, Bismarck, North Dakota",58502,North Dakota,Region 8,Community water system,75,,McKenzie,11,3,1,-100.788362,46.808919,-100.788362,46.808919,-100.793362,-100.783362,46.803919,46.813919
ND5200338,FESSENDEN CITY OF,"602 Railway St S, Fessenden, North Dakota, 58438",58438,North Dakota,Region 8,Community water system,479,FESSENDEN,Wells,3,1,14,-99.624812,47.647209,-99.624812,47.647209,-99.634812,-99.614812,47.637209,47.657209
ND5100849,RYDER CITY OF,"58779, Raub, North Dakota",58779,North Dakota,Region 8,Community water system,85,RYDER,Ward,8,27,13,-101.936552,47.74643,-101.936552,47.74643,-102.343552,-101.529552,47.33943,48.15343
ND2700006,ALEXANDER CITY OF,"58831, Alexander, North Dakota",58831,North Dakota,Region 8,Community water system,1335,ALEXANDER,McKenzie,9,2,12,-103.642507,47.839996,-103.642507,47.839996,-103.937507,-103.347507,47.544996,48.134996
ND2100816,REGENT CITY OF,"203 Main Ave, Regent, North Dakota, 58650",58650,North Dakota,Region 8,Community water system,160,REGENT,Hettinger,6,14,18,-102.557247,46.421177,-102.557247,46.421177,-102.567247,-102.547247,46.411177,46.431177
ND3000598,RIVERVIEW HEIGHTS,"2155 Missouri Dr N, Mandan, North Dakota, 58554",58554,North Dakota,Region 8,Community water system,200,MANDAN,Morton,5,12,14,-100.912481,46.884317,-100.912471,46.88459,-100.913481,-100.911481,46.883317,46.885317
ND0511396,HAHNS BAY RECREATION AREA,"307 1st St E, Bottineau, North Dakota, 58318",58318,North Dakota,Region 8,Transient non-community system,80,,Bottineau,3,3,20,-100.442703,48.831499,-100.442703,48.831499,-100.452703,-100.432703,48.821499,48.841499
ND1800311,EMERADO CITY OF,"201 Main St, Emerado, North Dakota, 58228",58228,North Dakota,Region 8,Community water system,414,EMERADO,Grand Forks,3,3,16,-97.370141,47.917467,-97.370141,47.917467,-97.380141,-97.360141,47.907467,47.927467
ND2711688,VIRTUCON PROPERTIES LLC,"58802, Williston, North Dakota",58802,North Dakota,Region 8,Non-Transient non-community system,27,,McKenzie,3,0,0,-103.619032,48.146469,-103.619032,48.146469,-103.624032,-103.614032,48.141469,48.151469
ND4000854,ST JOHN CITY OF,"58369, St John, North Dakota",58369,North Dakota,Region 8,Community water system,341,ST. JOHN,Rolette,7,7,15,-99.711501,48.94284,-99.711501,48.94284,-99.998501,-99.424501,48.65584,49.22984
ND1900731,NEW LEIPZIG CITY OF,"58562, Bentley, North Dakota",58562,North Dakota,Region 8,Community water system,221,NEW LEIPZIG,Grant,12,1,18,-101.942527,46.372513,-101.942527,46.372513,-102.302527,-101.582527,46.012513,46.732513
ND2500266,DRAKE CITY OF,"58736, Drake, North Dakota",58736,North Dakota,Region 8,Community water system,275,DRAKE,McHenry,7,1,19,-100.371917,47.924365,-100.371917,47.924365,-100.607917,-100.135917,47.688365,48.160365
ND0200882,SIBLEY CITY OF,"107 Lake Ave, Dazey, North Dakota, 58429",58429,North Dakota,Region 8,Community water system,30,SIBLEY,Barnes,6,15,10,-97.964482,47.214238,-97.964482,47.214238,-97.974482,-97.954482,47.204238,47.224238
ND3600231,DEVILS LAKE CITY OF,"423 6th St NE, Devils Lake, North Dakota, 58301",58301,North Dakota,Region 8,Community water system,7141,DEVILS LAKE,Ramsey,13,6,22,-98.859051,48.113827,-98.859051,48.11408,-98.860051,-98.858051,48.112827,48.114827
ND0600119,BOWMAN CITY OF,"58623, Buffalo Springs, North Dakota",58623,North Dakota,Region 8,Community water system,1650,BOWMAN,Bowman,19,1,15,-103.400967,46.181054,-103.400967,46.181054,-103.815967,-102.985967,45.766054,46.596054
ND4700637,MEDINA CITY OF,"58467, Crystal Springs, North Dakota",58467,North Dakota,Region 8,Community water system,308,MEDINA,Stutsman,11,3,17,-99.297279,46.893736,-99.297279,46.893736,-99.513279,-99.081279,46.677736,47.109736
ND2310414,LAMOURE COUNTY MEMORIAL PARK,"58458, Lamoure, North Dakota",58458,North Dakota,Region 8,Transient non-community system,25,,LaMoure,7,37,12,-98.293236,46.359149,-98.293236,46.359149,-98.468236,-98.118236,46.184149,46.534149
ND0901449,COUNTRY ACRES WATER CO,"7006 103rd Ave S, Horace, North Dakota, 58047",58047,North Dakota,Region 8,Community water system,50,,Cass,3,8,5,-96.906342,46.742532,-96.906351,46.74169,-96.907342,-96.905342,46.741532,46.743532
ND3200636,MCVILLE CITY OF,"113 N Main St, McVille, North Dakota, 58254",58254,North Dakota,Region 8,Community water system,349,MCVILLE,Nelson,7,0,17,-98.177261,47.76526,-98.176871,47.76527,-98.178261,-98.176261,47.76426,47.76626
ND2810954,COAL CREEK STATION,"2875 3rd St SW, Underwood, North Dakota, 58576",58576,North Dakota,Region 8,Non-Transient non-community system,532,,McLean,6,8,18,-101.161032,47.371546,-101.161111,47.37649,-101.162032,-101.160032,47.370546,47.372546
ND3900973,WAHPETON CITY OF,"1900 4th St N, Wahpeton, North Dakota, 58075",58075,North Dakota,Region 8,Community water system,7766,WAHPETON,Richland,8,2,20,-96.605322,46.287049,-96.604211,46.28823,-96.606322,-96.604322,46.286049,46.288049
ND2301467,WILLOWBANK COLONY,"8827 76th St SE, Edgeley, North Dakota, 58433",58433,North Dakota,Region 8,Community water system,95,,LaMoure,4,76,4,-98.571268,46.311885,-98.571268,46.311885,-98.581268,-98.561268,46.301885,46.321885
ND0410678,COTTONWOOD CAMPGROUND 6,"315 2nd Ave, Medora, North Dakota, 58645",58645,North Dakota,Region 8,Transient non-community system,90,,Billings,4,0,23,-103.524312,46.915787,-103.524321,46.91605,-103.525312,-103.523312,46.914787,46.916787
ND0200747,NOME CITY OF,"58062, Nome, North Dakota",58062,North Dakota,Region 8,Community water system,62,NOME,Barnes,6,3,13,-97.812637,46.678439,-97.812637,46.678439,-97.943637,-97.681637,46.547439,46.809439
ND0200858,SANBORN CITY OF,"58480, Sanborn, North Dakota",58480,North Dakota,Region 8,Community water system,192,SANBORN,Barnes,4,17,13,-98.226103,46.941628,-98.226103,46.941628,-98.439103,-98.013103,46.728628,47.154628
ND0901365,RIVERDALE SUBDIVISION,"215 Park Dr E, Horace, North Dakota, 58047",58047,North Dakota,Region 8,Community water system,88,,Cass,4,4,10,-96.901682,46.756912,-96.901781,46.75673,-96.902682,-96.900682,46.755912,46.757912
ND0900488,HORACE CITY OF,"215 Park Dr E, Horace, North Dakota, 58047",58047,North Dakota,Region 8,Community water system,2430,HORACE,Cass,11,4,16,-96.901682,46.756912,-96.901781,46.75673,-96.902682,-96.900682,46.755912,46.757912
ND2000203,COOPERSTOWN CITY OF,"58425, Cooperstown, North Dakota",58425,North Dakota,Region 8,Community water system,984,COOPERSTOWN,Griggs,7,3,15,-98.122121,47.444454,-98.122121,47.444454,-98.500121,-97.744121,47.066454,47.822454
ND4901071,TRAILL RURAL WATER DISTRICT,"1401 7th Ave NE, Thompson, North Dakota, 58278",58278,North Dakota,Region 8,Community water system,2800,HILLSBORO,Traill,34,2,16,-97.13164,47.773738,-97.13164,47.773738,-97.14164,-97.12164,47.763738,47.783738
ND3201072,TRI-COUNTY WATER DISTRICT,"58272, Petersburg, North Dakota",58272,North Dakota,Region 8,Community water system,2538,LAKOTA,Nelson,10,1,15,-98.002303,48.009061,-98.002303,48.009061,-98.188303,-97.816303,47.823061,48.195061
ND3800877,SHERWOOD CITY OF,"204 Main St, Sherwood, North Dakota, 58782",58782,North Dakota,Region 8,Community water system,242,SHERWOOD,Renville,9,1,13,-101.6327,48.960061,-101.6327,48.960061,-101.6427,-101.6227,48.950061,48.970061
ND0700114,BOWBELLS CITY OF,"100 Main St, Bowbells, North Dakota, 58721",58721,North Dakota,Region 8,Community water system,336,BOWBELLS,Burke,17,8,13,-102.245978,48.803195,-102.246171,48.80331,-102.246978,-102.244978,48.802195,48.804195
ND5301079,WILLIAMS RURAL WATER DISTRICT,"58802, Williston, North Dakota",58802,North Dakota,Region 8,Community water system,5102,,Williams,3,4,10,-103.619032,48.146469,-103.619032,48.146469,-103.624032,-103.614032,48.141469,48.151469
ND4100357,FORMAN CITY OF,"58032, Forman, North Dakota",58032,North Dakota,Region 8,Community water system,504,FORMAN,Sargent,9,3,15,-97.639047,46.104839,-97.639047,46.104839,-97.794047,-97.484047,45.949839,46.259839
ND1110760,OAKES GOLF CLUB,"1351 N 14th St, Oakes, North Dakota, 58474",58474,North Dakota,Region 8,Transient non-community system,50,,Dickey,3,20,10,-98.080028,46.151809,-98.080028,46.151809,-98.090028,-98.070028,46.141809,46.161809
