PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Longitude,Latitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
OH8750812,FAITH UNITED METHODIST CHRCH-LUCKEY,"6211 5 Point Rd, Perrysburg, Ohio, 43551",43551,Ohio,Region 5,Transient non-community system,60,,Wood,5,7,3,-83.516452,41.508214,-83.516431,41.50602,-83.517452,-83.515452,41.507214,41.509214
OH3844812,MILLERSBURG UNITED METHODIST CHURCH,"5395 Township Road 336, Millersburg, Ohio, 44654",44654,Ohio,Region 5,Transient non-community system,140,,Holmes,6,19,4,-81.893154,40.561712,-81.893154,40.561712,-81.903154,-81.883154,40.551712,40.571712
OH8638512,WEST BETHESDA PRESBYTERIAN CHURCH,"11954 County Road I, Montpelier, Ohio, 43543",43543,Ohio,Region 5,Transient non-community system,65,,Williams,5,0,4,-84.594462,41.542884,-84.594461,41.54241,-84.595462,-84.593462,41.541884,41.543884
OH7738512,FIREHOUSE GRILL AND PUB,"2437 Canton Rd, Akron, Ohio, 44312",44312,Ohio,Region 5,Transient non-community system,100,,Summit,6,36,6,-81.40896,41.003114,-81.408811,41.00315,-81.40996,-81.40796,41.002114,41.004114
OH7605012,SHADY KNOLL MHP,"202 E Summit St, Kent, Ohio, 44240",44240,Ohio,Region 5,Community water system,32,,Stark,5,134,15,-81.356082,41.150053,-81.356081,41.14995,-81.357082,-81.355082,41.149053,41.151053
OH8100412,OHIO CITY,"8020 Walnut Grove Church Rd, Ohio City, Ohio, 45874",45874,Ohio,Region 5,Community water system,745,,Van Wert,16,18,15,-84.666182,40.756633,-84.666191,40.75642,-84.667182,-84.665182,40.755633,40.757633
OH8301012,OH/CR LEBANON CORRECTIONAL INSTUTION,"45036, Lebanon, Ohio",45036,Ohio,Region 5,Community water system,4867,,Warren,15,23,11,-84.206772,39.432274,-84.206772,39.432274,-84.341772,-84.071772,39.297274,39.567274
OH0444812,PYMATUNING VALLEY RESORT 2 PWS,"7652 Pymatuning Lake Rd, Williamsfield, Ohio, 44093",44093,Ohio,Region 5,Transient non-community system,45,,Ashtabula,5,12,5,-80.533492,41.541323,-80.533492,41.541323,-80.543492,-80.523492,41.531323,41.551323
OH1246512,SUGAR ISLE GOLF COURSE,"Ohio Ave, New Carlisle, Ohio, 45344",45344,Ohio,Region 5,Transient non-community system,175,,Clark,6,11,4,-84.032768,39.935363,-84.032768,39.935363,-84.034768,-84.030768,39.933363,39.937363
OH1301411,WILLIAMSBURG VILLAGE PWS,"107 W Main St, Williamsburg, Ohio, 45176",45176,Ohio,Region 5,Community water system,2500,,Clermont,7,35,20,-84.051105,39.052966,-84.051271,39.05279,-84.052105,-84.050105,39.051966,39.053966
OH3437412,TWIN HILLS PARK CAMPGROUND PWS,"77720 Cummins Rd, Freeport, Ohio, 43973",43973,Ohio,Region 5,Transient non-community system,150,,Harrison,7,10,8,-81.2266,40.219318,-81.2266,40.219318,-81.2366,-81.2166,40.209318,40.229318
OH3400112,BOWERSTON VILLAGE PWS,"44695, Bowerston, Ohio",44695,Ohio,Region 5,Community water system,517,,Harrison,10,9,25,-81.186622,40.424691,-81.186622,40.424691,-81.275622,-81.097622,40.335691,40.513691
OH1036812,GREAT TRAIL GOLF,"10154 Great Trail Dr, Minerva, Ohio, 44657",44657,Ohio,Region 5,Transient non-community system,50,,Carroll,5,18,6,-81.08265,40.726317,-81.080441,40.72584,-81.08365,-81.08165,40.725317,40.727317
OH8542512,PRAIRIE LANE LAKE PARK-BACK PWS,"44691, Wooster, Ohio",44691,Ohio,Region 5,Transient non-community system,90,,Wayne,5,5,4,-81.940774,40.802006,-81.940774,40.802006,-82.127774,-81.753774,40.615006,40.989006
OH4651012,LAKEVIEW CLARK,"43331, Lakeview, Ohio",43331,Ohio,Region 5,Transient non-community system,50,,Logan,6,10,4,-83.888428,40.516389,-83.888428,40.516389,-83.993428,-83.783428,40.411389,40.621389
OH5743512,MELODY POOL,"45315, Englewood, Ohio",45315,Ohio,Region 5,Transient non-community system,600,,Montgomery,5,7,5,-84.316872,39.838119,-84.316872,39.838119,-84.378872,-84.254872,39.776119,39.900119
OH4938612,JEHOVAH WITNESS ASSEMBLY HALL,"4230 Lafayette Plain City Rd, London, Ohio, 43140",43140,Ohio,Region 5,Transient non-community system,800,,Madison,8,8,13,-83.391583,39.997768,-83.396531,39.99932,-83.392583,-83.390583,39.996768,39.998768
OH6745712,PIONEER TRAIL CAMPGROUND (LDS) PWS,"40362, Paris, Kentucky",40362,Ohio,Region 5,Transient non-community system,72,,Portage,5,2,4,-84.252682,38.209731,-84.252682,38.209731,-84.257682,-84.247682,38.204731,38.214731
OH6900512,KALIDA VILLAGE WATER,"45853, Kalida, Ohio",45853,Ohio,Region 5,Community water system,1075,,Putnam,8,12,17,-84.201258,40.981204,-84.201258,40.981204,-84.215258,-84.187258,40.967204,40.995204
OH4643712,MIDDLEBURG UNITED METHODIST CHURCH,"43336, Middleburg, Ohio",43336,Ohio,Region 5,Transient non-community system,140,,Logan,5,9,4,-83.581432,40.292631,-83.581432,40.292631,-83.586432,-83.576432,40.287631,40.297631
OH6735012,CHEROKEE PARK COMPANY,"3064 OH-43, Mogadore, Ohio, 44260",44260,Ohio,Region 5,Transient non-community system,63,,Portage,5,4,4,-81.347016,41.07277,-81.343771,41.07277,-81.348016,-81.346016,41.07177,41.07377
OH6500412,CIRCLEVILLE CITY PWS,"108 E Franklin St, Circleville, Ohio, 43113",43113,Ohio,Region 5,Community water system,13389,,Pickaway,14,7,47,-82.945034,39.600737,-82.945001,39.6008,-82.946034,-82.944034,39.599737,39.601737
OH7051712,GORMAN NATURE CENTER,"2295 Lexington Ave, Mansfield, Ohio, 44907",44907,Ohio,Region 5,Transient non-community system,35,,Richland,7,3,5,-82.558188,40.701009,-82.558081,40.70096,-82.559188,-82.557188,40.700009,40.702009
OH7900612,MIDVALE VILLAGE PWS,"44653, Midvale, Ohio",44653,Ohio,Region 5,Community water system,2275,,Tuscarawas,10,30,23,-81.369737,40.430863,-81.369737,40.430863,-81.382737,-81.356737,40.417863,40.443863
OH3538512,PATHSTONE,"2453 County Road V, Liberty Center, Ohio, 43532",43532,Ohio,Region 5,Transient non-community system,60,,Henry,7,6,9,-83.911373,41.472723,-83.911373,41.472723,-83.921373,-83.901373,41.462723,41.482723
OH5730312,AULLWOOD AUDUBON NATURE CENTER PWS,"1000 Aullwood Rd, Dayton, Ohio, 45414",45414,Ohio,Region 5,Transient non-community system,200,,Montgomery,9,24,6,-84.275504,39.873486,-84.275051,39.87313,-84.276504,-84.274504,39.872486,39.874486
OH2845512,RIVERVIEW CHURCH,"13968 Chillicothe Rd, Novelty, Ohio, 44072",44072,Ohio,Region 5,Transient non-community system,200,,Geauga,5,14,4,-81.339768,41.487541,-81.340551,41.48753,-81.340768,-81.338768,41.486541,41.488541
OH2001103,BRUNERSBURG WATER DISTRICT,"22485 Mill St, Defiance, Ohio, 43512",43512,Ohio,Region 5,Community water system,1527,,Defiance,10,19,9,-84.388329,41.308378,-84.388241,41.30897,-84.389329,-84.387329,41.307378,41.309378
OH2900803,GREENE COUNTY - DAY,"1122 Beaver Valley Rd, Dayton, Ohio, 45434",45434,Ohio,Region 5,Community water system,997,,Greene,5,12,11,-84.022729,39.719828,-84.014111,39.71787,-84.023729,-84.021729,39.718828,39.720828
OH1000412,GREEN ACRES MOBILE ESTATES,"5704 Sunland St, Louisville, Ohio, 44641",44641,Ohio,Region 5,Community water system,100,,Carroll,6,9,15,-81.293187,40.85194,-81.293187,40.85194,-81.303187,-81.283187,40.84194,40.86194
OH2904103,GREENE COUNTY - SWIGART PWS,"1122 Beaver Valley Rd, Dayton, Ohio, 45434",45434,Ohio,Region 5,Community water system,275,,Greene,5,2,4,-84.022729,39.719828,-84.014111,39.71787,-84.023729,-84.021729,39.718828,39.720828
OH5551612,OLD GERMAN BAPTIST BRETHREN CHURCH PWS,"4045 N OH-48, Covington, Ohio, 45318",45318,Ohio,Region 5,Transient non-community system,300,,Miami,5,0,3,-84.351211,40.095985,-84.350111,40.09629,-84.352211,-84.350211,40.094985,40.096985
