PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Longitude,Latitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
OK2000612,OKEENE,"73763, Okeene, Oklahoma",73763,Oklahoma,Region 6,Community water system,1240,,Blaine,11,4,17,-98.317277,36.117181,-98.317277,36.117181,-98.477277,-98.157277,35.957181,36.277181
OK3005717,GRAYHORSE RWD,"74637, Fairfax, Oklahoma",74637,Oklahoma,Region 6,Community water system,100,,Osage,3,12,15,-96.707842,36.57056,-96.707842,36.57056,-96.998842,-96.416842,36.27956,36.86156
OK2007102,HOLLISTER,"73551, Hollister, Oklahoma",73551,Oklahoma,Region 6,Community water system,60,,Tillman,6,43,24,-98.872752,34.341315,-98.872752,34.341315,-98.957752,-98.787752,34.256315,34.426315
OK2004223,RODEO CORNER,"19426, Collegeville, Pennsylvania",19426,Oklahoma,Region 6,Transient non-community system,25,,Logan,2,36,20,-75.456305,40.185465,-75.456305,40.185465,-75.565305,-75.347305,40.076465,40.294465
OK2002202,CAMARGO RWD #2,"73835, Camargo, Oklahoma",73835,Oklahoma,Region 6,Community water system,150,,Dewey,15,5,21,-99.285542,36.01792,-99.285542,36.01792,-99.365542,-99.205542,35.93792,36.09792
OK3006137,NARCONON-ARROWHEAD,"74425, Canadian, Oklahoma",74425,Oklahoma,Region 6,Community water system,350,,Pittsburg,3,26,13,-95.613723,35.177636,-95.613723,35.177636,-95.694723,-95.532723,35.096636,35.258636
OK4001468,COUNTRY CORNER,"73071, Norman, Oklahoma",73071,Oklahoma,Region 6,Transient non-community system,26,,Cleveland,2,10,8,-97.416032,35.20928,-97.416032,35.20928,-97.512032,-97.320032,35.11328,35.30528
OK3005747,MCCORD RWD #3,"74604, Ponca City, Oklahoma",74604,Oklahoma,Region 6,Community water system,1800,,Osage,4,4,16,-97.05793,36.733171,-97.05793,36.733171,-97.24293,-96.87293,36.548171,36.918171
OK6005527,OKLA NATL STOCKYARDS,"73148, Oklahoma City, Oklahoma",73148,Oklahoma,Region 6,Non-Transient non-community system,60,,Oklahoma,6,4,14,-97.554982,35.45466,-97.554982,35.45466,-97.559982,-97.549982,35.44966,35.45966
OK2000458,JIMENEZ MHP SITE 2,"73950, Baker, Oklahoma",73950,Oklahoma,Region 6,Transient non-community system,30,,Beaver,2,33,10,-100.877171,36.864077,-100.877171,36.864077,-101.070171,-100.684171,36.671077,37.057077
OK2001305,CIMARRON FEEDERS,"73949, Texhoma, Oklahoma",73949,Oklahoma,Region 6,Non-Transient non-community system,49,,Cimarron,4,10,15,-101.787111,36.503611,-101.787111,36.503611,-102.360111,-101.214111,35.930611,37.076611
OK1021621,CHEROKEE CO RWD # 1 (FT GIBSON),"74434, Fort Gibson, Oklahoma",74434,Oklahoma,Region 6,Community water system,710,,Cherokee,5,44,52,-95.251051,35.799752,-95.251051,35.799752,-95.418051,-95.084051,35.632752,35.966752
OK2005111,HASKELL PWA-WELLS,"74436, Haskell, Oklahoma",74436,Oklahoma,Region 6,Community water system,1765,,Muskogee,36,47,36,-95.681234,35.819105,-95.681234,35.819105,-95.844234,-95.518234,35.656105,35.982105
OK2004263,WATERLOO WOODS,"73044, Guthrie, Oklahoma",73044,Oklahoma,Region 6,Transient non-community system,40,,Logan,3,5,5,-97.421637,35.878181,-97.421637,35.878181,-97.638637,-97.204637,35.661181,36.095181
OK1020420,SAND SPRINGS,"74063, Sand Springs, Oklahoma",74063,Oklahoma,Region 6,Community water system,18764,,Tulsa,21,21,58,-96.111731,36.143386,-96.111731,36.143386,-96.334731,-95.888731,35.920386,36.366386
OK2002516,GARVIN CO RWD #1,"73075, Pauls Valley, Oklahoma",73075,Oklahoma,Region 6,Community water system,1445,,Garvin,6,8,45,-97.221083,34.741999,-97.221083,34.741999,-97.388083,-97.054083,34.574999,34.908999
OK2004279,MARK'S SHORT STOP/SUMMIT CAFE,"73034, Edmond, Oklahoma",73034,Oklahoma,Region 6,Transient non-community system,750,,Logan,3,5,5,-97.474937,35.662161,-97.474937,35.662161,-97.588937,-97.360937,35.548161,35.776161
OK3000909,UNION CITY,"73090, Union City, Oklahoma",73090,Oklahoma,Region 6,Community water system,1375,,Canadian,3,7,20,-97.941216,35.393831,-97.941216,35.393831,-98.052216,-97.830216,35.282831,35.504831
OK2004342,SHANGRI LA RV PARK,"73448, Marietta, Oklahoma",73448,Oklahoma,Region 6,Transient non-community system,115,,Love,5,2,2,-97.117122,33.936245,-97.117122,33.936245,-97.304122,-96.930122,33.749245,34.123245
OK2007708,QUINLAN COMMUNITY RWD #1,"73852, Mooreland, Oklahoma",73852,Oklahoma,Region 6,Community water system,185,,Woodward,10,13,21,-99.204927,36.437936,-99.204927,36.437936,-99.491927,-98.917927,36.150936,36.724936
OK2006906,STEPHENS CO RW&SD #1,"73491, Velma, Oklahoma",73491,Oklahoma,Region 6,Community water system,400,,Stephens,8,4,34,-97.677808,34.463251,-97.677808,34.463251,-97.705808,-97.649808,34.435251,34.491251
OK2000803,BINGER PWA,"73009, Binger, Oklahoma",73009,Oklahoma,Region 6,Community water system,708,,Caddo,7,33,24,-98.344817,35.308645,-98.344817,35.308645,-98.499817,-98.189817,35.153645,35.463645
