PWSID,Approximate Address
RI2788012,Not Found
RI2980449,Not Found
RI2980014,Not Found
RI2585317,Not Found
RI2000071,Not Found
RI2051713,Not Found
RI2980389,Not Found
RI2980351,Not Found
RI2000048,Not Found
RI2980007,Not Found
RI1559520,Not Found
RI1583814,Not Found
RI2980265,Not Found
RI1000025,Not Found
RI2980114,Not Found
RI2980250,Not Found
RI2000055,Not Found
RI2415430,Not Found
RI2000001,Not Found
RI2980298,Not Found
RI2980437,Not Found
RI1000013,Not Found
RI2980110,Not Found
RI1592014,Not Found
RI2980272,Not Found
RI2980173,Not Found
RI2389724,Not Found
RI2788020,Not Found
RI2980103,Not Found
RI2980441,Not Found
RI2000085,Not Found
RI2980442,Not Found
RI2519428,Not Found
RI2980090,Not Found
