PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Longitude,Latitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
RI2980372,NORMAN A & PAMELA MACHON DBA SOPHIES COF,"158 Glen Rock Rd, Exeter, Town of, Rhode Island, 02822",02822,Rhode Island,Region 1,Transient non-community system,100,EXETER,Washington,3,9,7,-71.595225,41.526072,-71.595101,41.52603,-71.596225,-71.594225,41.525072,41.527072
RI2000111,CHOPMIST HILL COMMUNITY CENTER,"1 Lincoln Cir, North Scituate, Rhode Island, 02857",02857,Rhode Island,Region 1,Non-Transient non-community system,100,SCITUATE,Providence,6,3,15,-71.613893,41.793576,-71.613893,41.793576,-71.623893,-71.603893,41.783576,41.803576
RI1647512,CENTRAL BEACH FIRE DISTRICT,"234 Florida Rd, Ridgefield, Town of, Connecticut, 06877",06877,Rhode Island,Region 1,Community water system,470,CHARLESTOWN,Washington,5,8,57,-73.454516,41.281742,-73.453481,41.28177,-73.455516,-73.453516,41.280742,41.282742
RI2980009,"BRICK OVEN RESTAURANT, THE, INC.","02804, Ashaway, Rhode Island",02804,Rhode Island,Region 1,Transient non-community system,212,HOPKINTON,Washington,4,3,38,-71.78434,41.42441,-71.78434,41.42441,-71.85034,-71.71834,41.35841,41.49041
RI2051323,NUTZ,"02822, Escoheag, Rhode Island",02822,Rhode Island,Region 1,Transient non-community system,50,WEST GREENWICH,Kent,3,9,51,-71.533796,41.575181,-71.533796,41.575181,-71.790796,-71.276796,41.318181,41.832181
RI1592019,"OAKLAND ASSOCIATION, INC.","1207 Victory Hwy, Burrillville, Town of, Rhode Island, 02858",02858,Rhode Island,Region 1,Community water system,175,BURRILLVILLE,Providence,5,9,66,-71.6461,41.958125,-71.645981,41.95795,-71.6471,-71.6451,41.957125,41.959125
RI1000097,HOG ISLAND WATER ASSOCIATION-SOUTH END,"25 Old Pine Rd, Narragansett, Town of, Rhode Island, 02882",02882,Rhode Island,Region 1,Transient non-community system,100,PORTSMOUTH,Newport,5,5,2,-71.438832,41.478538,-71.438661,41.47874,-71.439832,-71.437832,41.477538,41.479538
RI2980199,CAMP JORI,"1065 Wordens Pond Rd, South Kingstown, Town of, Rhode Island, 02879",02879,Rhode Island,Region 1,Transient non-community system,25,SOUTH KINGSTOWN,Washington,3,6,22,-71.595116,41.432337,-71.594611,41.43382,-71.596116,-71.594116,41.431337,41.433337
RI1592025,QUONSET BUSINESS PARK,"95 Cripe St, North Kingstown, Town of, Rhode Island, 02852",02852,Rhode Island,Region 1,Non-Transient non-community system,6500,NORTH KINGSTOWN,Washington,12,10,17,-71.424271,41.598037,-71.424061,41.59833,-71.425271,-71.423271,41.597037,41.599037
RI2980346,EARLY LEARNING CENTERS OF RI,"85740, Tucson, Arizona",85740,Rhode Island,Region 1,Non-Transient non-community system,40,NORTH KINGSTOWN,Washington,4,2,17,-110.975702,32.320621,-110.975702,32.320621,-110.980702,-110.970702,32.315621,32.325621
RI2980109,ROSE FARM INN RENTALS INC. DBA ROSE FARM,"02807, Block Island, Rhode Island",02807,Rhode Island,Region 1,Transient non-community system,55,NEW SHOREHAM,Washington,5,0,26,-71.578532,41.165212,-71.578532,41.165212,-71.646532,-71.510532,41.097212,41.233212
RI2980019,TOWN OF CHARLESTOWN SENIOR CITIZENS,"4540 S County Trl, Charlestown, Town of, Rhode Island, 02813",02813,Rhode Island,Region 1,Non-Transient non-community system,40,CHARLESTOWN,Washington,4,2,50,-71.647942,41.415167,-71.647791,41.4152,-71.648942,-71.646942,41.414167,41.416167
RI2980421,CHARLESTOWN POLICE STATION,"4540 S County Trl, Charlestown, Town of, Rhode Island, 02813",02813,Rhode Island,Region 1,Non-Transient non-community system,28,CHARLESTOWN,Washington,2,51,1,-71.647942,41.415167,-71.647791,41.4152,-71.648942,-71.646942,41.414167,41.416167
RI2753327,PEABODYS BEACH,"02842, Middletown, Rhode Island",02842,Rhode Island,Region 1,Transient non-community system,400,MIDDLETOWN,Newport,3,7,24,-71.301004,41.516541,-71.301004,41.516541,-71.369004,-71.233004,41.448541,41.584541
RI2980039,"ALBACO,L.L.C.   (A.K.A. SHORELINE PLAZA)","2204 Broad St, Cranston, Rhode Island, 02905",02905,Rhode Island,Region 1,Transient non-community system,40,CHARLESTOWN,Washington,3,1,40,-71.390578,41.764949,-71.390578,41.764949,-71.400578,-71.380578,41.754949,41.774949
RI1900027,CHARLESTOWN MUNICIPAL OFFICES,"4540 S County Trl, Charlestown, Town of, Rhode Island, 02813",02813,Rhode Island,Region 1,Non-Transient non-community system,30,CHARLESTOWN,Washington,5,1,42,-71.647942,41.415167,-71.647791,41.4152,-71.648942,-71.646942,41.414167,41.416167
RI1615610,EAST PROVIDENCE-CITY OF,"60 Commercial Way, East Providence, Rhode Island, 02914",02914,Rhode Island,Region 1,Community water system,48688,EAST PROVIDENCE,Providence,4,6,7,-71.348615,41.814902,-71.348741,41.81495,-71.349615,-71.347615,41.813902,41.815902
RI2980088,LITTLE COUNTRY PIZZA,"349 Nooseneck Hill Rd, Exeter, Town of, Rhode Island, 02822",02822,Rhode Island,Region 1,Transient non-community system,60,EXETER,Washington,4,7,42,-71.654611,41.577956,-71.654611,41.577956,-71.664611,-71.644611,41.567956,41.587956
RI2980175,NINIGRET PARK-LITTLE NINI POND,"4540 S County Trl, Charlestown, Town of, Rhode Island, 02813",02813,Rhode Island,Region 1,Transient non-community system,125,CHARLESTOWN,Washington,4,6,29,-71.647942,41.415167,-71.647791,41.4152,-71.648942,-71.646942,41.414167,41.416167
RI2980095,NEWPORT BOYS & GIRLS CLUB CAMP,"11 Miner Rd, North Kingstown, Town of, Rhode Island, 02874",02874,Rhode Island,Region 1,Transient non-community system,125,NORTH KINGSTOWN,Washington,5,4,24,-71.428518,41.508136,-71.428518,41.508136,-71.438518,-71.418518,41.498136,41.518136
RI2000040,PASTORE LEISURE CENTER (LADD SCHOOL CAMP,"1100 Tower Hill Rd, North Kingstown, Town of, Rhode Island, 02852",02852,Rhode Island,Region 1,Transient non-community system,25,CHARLESTOWN,Washington,3,4,28,-71.467936,41.546125,-71.467741,41.54614,-71.468936,-71.466936,41.545125,41.547125
