PWSID,Approximate Address
SC1472004,Not Found
SC1570211,Not Found
SC3260115,Not Found
SC4630003,Not Found
SC3870905,Not Found
SC1870921,Not Found
SC2672005,Not Found
SC4070233,Not Found
SC0771003,Not Found
SC2270912,Not Found
SC1472003,Not Found
SC1270650,Not Found
SC4470800,Not Found
SC2470926,Not Found
SC4570203,Not Found
SC0272006,Not Found
SC4650005,Not Found
SC0870271,Not Found
SC2250006,Not Found
SC0570907,Not Found
SC4310004,Not Found
SC2470601,Not Found
SC4270801,Not Found
SC2470876,Not Found
SC2570911,Not Found
SC0874005,Not Found
SC4370919,Not Found
SC1570210,Not Found
SC1070968,Not Found
SC4050007,Not Found
SC2670926,Not Found
SC2172011,Not Found
SC4073000,Not Found
SC0150003,Not Found
SC2670906,Not Found
SC3870102,Not Found
SC1530002,Not Found
SC3260002,Not Found
SC2670946,Not Found
SC1070985,Not Found
SC2530008,Not Found
SC2450016,Not Found
SC4270234,Not Found
SC2772001,Not Found
SC4220001,Not Found
SC4360008,Not Found
SC2870876,Not Found
SC2172009,Not Found
SC3370210,Not Found
SC0670002,Not Found
SC3770802,Not Found
SC2170401,Not Found
SC0230509,Not Found
SC0260037,Not Found
SC1450010,Not Found
SC4150005,Not Found
SC4170804,Not Found
SC3260174,Not Found
SC1570913,Not Found
SC1971011,Not Found
SC4570950,Not Found
SC0872029,Not Found
SC4670933,Not Found
SC4070876,Not Found
SC1870875,Not Found
SC1450003,Not Found
SC1470100,Not Found
SC0870001,Not Found
SC0260016,Not Found
SC1072006,Not Found
SC4670223,Not Found
SC0830016,Not Found
SC3170876,Not Found
SC0430014,Not Found
SC2470676,Not Found
SC0272014,Not Found
SC3210008,Not Found
SC4070937,Not Found
SC4670114,Not Found
SC1670801,Not Found
SC4370050,Not Found
SC4372000,Not Found
SC3870938,Not Found
SC4070902,Not Found
SC2380011,Not Found
SC0630011,Not Found
SC2280025,Not Found
SC2680191,Not Found
SC0474000,Not Found
SC1080091,Not Found
SC1070971,Not Found
SC0780032,Not Found
SC3680004,Not Found
SC1080090,Not Found
SC4080026,Not Found
SC2680167,Not Found
SC0880015,Not Found
SC0780034,Not Found
SC0780035,Not Found
SC4280020,Not Found
SC4680011,Not Found
SC2270001,Not Found
SC2750029,Not Found
SC0480013,Not Found
SC2380010,Not Found
SC2770909,Not Found
SC3872012,Not Found
SC0872037,Not Found
SC3472007,Not Found
SC4630005,Not Found
SC1080089,Not Found
SC1580005,Not Found
SC2680190,Not Found
SC2680159,Not Found
SC3372004,Not Found
SC2680189,Not Found
SC2680161,Not Found
SC1080075,Not Found
SC1580004,Not Found
SC4280022,Not Found
SC0780041,Not Found
SC1180002,Not Found
SC4680012,Not Found
SC0780026,Not Found
SC2472000,Not Found
SC2670878,Not Found
SC3870419,Not Found
SC0750035,Not Found
SC4310502,Not Found
SC0750005,Not Found
SC1370677,Not Found
SC1270905,Not Found
SC4570932,Not Found
SC2110005,Not Found
SC4630026,Not Found
SC0272008,Not Found
SC0470914,Not Found
SC2680195,Not Found
SC3280011,Not Found
SC2670938,Not Found
SC3970604,Not Found
SC0870129,Not Found
SC1070922,Not Found
SC2070906,Not Found
SC2770900,Not Found
SC1470678,Not Found
SC4380006,Not Found
SC4380005,Not Found
SC4670957,Not Found
SC0480010,Not Found
SC4672004,Not Found
SC0870945,Not Found
SC1570204,Not Found
SC0870995,Not Found
SC2830010,Not Found
SC3770810,Not Found
SC3430801,Not Found
SC1070804,Not Found
SC1460002,Not Found
SC1470862,Not Found
SC1570905,Not Found
SC4530012,Not Found
SC1470914,Not Found
SC3770001,Not Found
SC4679017,Not Found
SC4372002,Not Found
SC4670001,Not Found
SC0870937,Not Found
SC2370809,Not Found
SC2670003,Not Found
SC3670211,Not Found
SC0870852,Not Found
SC4070400,Not Found
SC4672010,Not Found
SC3260103,Not Found
SC4060055,Not Found
SC1270212,Not Found
SC3472002,Not Found
SC0760071,Not Found
SC3070852,Not Found
SC4370211,Not Found
SC0170902,Not Found
SC4570934,Not Found
SC4150010,Not Found
SC4670940,Not Found
SC3770811,Not Found
SC0130003,Not Found
SC3070675,Not Found
SC3870111,Not Found
SC0870931,Not Found
SC0370801,Not Found
SC3070677,Not Found
SC2670964,Not Found
SC1470920,Not Found
SC0872011,Not Found
SC3970909,Not Found
SC0170911,Not Found
SC2540001,Not Found
SC0870962,Not Found
SC3370902,Not Found
SC4570937,Not Found
SC3872008,Not Found
SC2680139,Not Found
SC1080070,Not Found
SC2170237,Not Found
SC3270962,Not Found
SC1971001,Not Found
SC4670988,Not Found
SC3270961,Not Found
SC0870266,Not Found
SC0170901,Not Found
SC0970203,Not Found
SC2670939,Not Found
SC0670600,Not Found
SC4070125,Not Found
SC4570101,Not Found
SC3570210,Not Found
SC4170001,Not Found
SC1450004,Not Found
SC0970201,Not Found
SC3770925,Not Found
SC1560003,Not Found
SC4670974,Not Found
SC0672005,Not Found
SC0973001,Not Found
SC1460010,Not Found
SC4520001,Not Found
SC1530003,Not Found
SC3070801,Not Found
SC3270678,Not Found
