PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Longitude,Latitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
SC0872034,PRINGLETOWN QUICK STOP (0872034),"29472, Ridgeville, South Carolina",29472,South Carolina,Region 4,Transient non-community system,25,,Berkeley,2,2,4,-80.314794,33.094242,-80.314794,33.094242,-80.555794,-80.073794,32.853242,33.335242
SC1070963,WINDWOOD FARM HOME (1070963),"4857 Windwood Farm Rd, Awendaw, South Carolina, 29429",29429,South Carolina,Region 4,Community water system,33,AWENDAW,Charleston,3,14,10,-79.725919,32.93669,-79.725801,32.93669,-79.726919,-79.724919,32.93569,32.93769
SC1872000,WAYNES GROCERY (1872000),"2121 Highway 15 N, Saint George, South Carolina, 29477",29477,South Carolina,Region 4,Transient non-community system,25,,Dorchester,2,0,5,-80.528467,33.253377,-80.529111,33.25367,-80.529467,-80.527467,33.252377,33.254377
SC0270678,CAMP LONG LEADERSHIP CENTER (0270678),"29805, Aiken, South Carolina",29805,South Carolina,Region 4,Transient non-community system,175,,Aiken,4,6,22,-81.678821,33.617071,-81.678821,33.617071,-81.857821,-81.499821,33.438071,33.796071
SC4310003,MAYSVILLE TOWN OF (4310003),"29151, Sumter, South Carolina",29151,South Carolina,Region 4,Community water system,983,,Sumter,7,1,30,-80.34104,33.925335,-80.34104,33.925335,-80.34604,-80.33604,33.920335,33.930335
SC3260164,BASIN ROCK MHP (3260164),"5139 Edna Lanier Rd, Garfield, Georgia, 30425",30425,South Carolina,Region 4,Community water system,190,,Lexington,3,4,26,-81.90653,32.658414,-81.907661,32.65606,-81.90753,-81.90553,32.657414,32.659414
SC1079030,HEWITT SITE SERVICES (1079030),"29405, N Charleston, South Carolina",29405,South Carolina,Region 4,Transient non-community system,25,RAVENEL,Charleston,2,1,0,-79.979326,32.860593,-79.979326,32.860593,-80.049326,-79.909326,32.790593,32.930593
SC0170906,CRAWFORDS STORE (0170906),"5870 Highway 28 N, Abbeville, South Carolina, 29620",29620,South Carolina,Region 4,Transient non-community system,26,,Abbeville,2,1,4,-82.540094,34.300736,-82.540094,34.300736,-82.550094,-82.530094,34.290736,34.310736
SC1470801,BIG WATER RESORT (1470801) (N),"29148, Summerton, South Carolina",29148,South Carolina,Region 4,Transient non-community system,180,,Clarendon,3,0,4,-80.358228,33.610609,-80.358228,33.610609,-80.502228,-80.214228,33.466609,33.754609
SC0420001,HOMELAND PARK W/D (0420001),"29624, Anderson, South Carolina",29624,South Carolina,Region 4,Community water system,7153,,Anderson,2,4,36,-82.645741,34.497219,-82.645741,34.497219,-82.775741,-82.515741,34.367219,34.627219
SC1070802,OAK PLANTATION CAMPGROUND (1070802),"3540 Savannah Hwy, Johns Island, South Carolina, 29455",29455,South Carolina,Region 4,Transient non-community system,26,,Charleston,3,2,9,-80.106098,32.802368,-80.106021,32.8032,-80.107098,-80.105098,32.801368,32.803368
SC4320001,DALZELL WATER DISTRICT (4320001),"29151, Sumter, South Carolina",29151,South Carolina,Region 4,Community water system,3398,,Sumter,7,10,34,-80.34104,33.925335,-80.34104,33.925335,-80.34604,-80.33604,33.920335,33.930335
SC4310001,SUMTER CITY OF (4310001),"29151, Sumter, South Carolina",29151,South Carolina,Region 4,Community water system,53122,,Sumter,29,3,25,-80.34104,33.925335,-80.34104,33.925335,-80.34604,-80.33604,33.920335,33.930335
SC3320001,MARCO RURAL WATER CO (3320001),"29571, Marion, South Carolina",29571,South Carolina,Region 4,Community water system,13915,,Marion,19,10,28,-79.398017,34.173625,-79.398017,34.173625,-79.605017,-79.191017,33.966625,34.380625
SC1830005,LAFARGE (1830005),"463 Judge St, Harleyville, South Carolina, 29448",29448,South Carolina,Region 4,Non-Transient non-community system,121,,Dorchester,3,3,13,-80.446901,33.22834,-80.446901,33.22834,-80.456901,-80.436901,33.21834,33.23834
SC3772009,BRASSTOWN CREEK GATHERING PLACE (3772009,"228 Brasstown Rd, Westminster, South Carolina, 29693",29693,South Carolina,Region 4,Transient non-community system,26,WESTMINSTER,Oconee,2,0,2,-83.261453,34.743762,-83.261453,34.743762,-83.271453,-83.251453,34.733762,34.753762
SC3230806,FOUR OAKS FARMS (3230806),"29071, Lexington, South Carolina",29071,South Carolina,Region 4,Transient non-community system,26,,Lexington,2,5,12,-81.249304,33.98497,-81.249304,33.98497,-81.254304,-81.244304,33.97997,33.98997
SC4510007,WCWSA/SOUTH SYSTEM (4510007),"29556, Kingstree, South Carolina",29556,South Carolina,Region 4,Community water system,3087,,Williamsburg,5,1,7,-79.821602,33.672409,-79.821602,33.672409,-80.031602,-79.611602,33.462409,33.882409
SC1550002,FISHING CREEK POA (1550002),"29438, Edisto, South Carolina",29438,South Carolina,Region 4,Community water system,52,,Colleton,3,17,28,-80.295347,32.530985,-80.295347,32.530985,-80.426347,-80.164347,32.399985,32.661985
SC0210003,NORTH AUGUSTA CITY OF (0210003),"29861, North Augusta, South Carolina",29861,South Carolina,Region 4,Community water system,26273,,Aiken,8,15,24,-81.963561,33.508421,-81.963561,33.508421,-81.968561,-81.958561,33.503421,33.513421
SC3010003,GRAY COURT TOWN OF (3010003),"29645, Gray Court, South Carolina",29645,South Carolina,Region 4,Community water system,1021,,Laurens,5,3,20,-82.115521,34.608836,-82.115521,34.608836,-82.248521,-81.982521,34.475836,34.741836
SC3260183,SAND MOUNTAIN MHP (3260183),"128 Forty Love Pt, Chapin, South Carolina, 29036",29036,South Carolina,Region 4,Community water system,20,,Lexington,2,24,25,-81.289913,34.123918,-81.289831,34.12427,-81.290913,-81.288913,34.122918,34.124918
SC0610004,HILDA TOWN OF (0610004),"29813, Hilda, South Carolina",29813,South Carolina,Region 4,Community water system,466,HILDA,Barnwell,6,2,17,-81.248228,33.275484,-81.248228,33.275484,-81.253228,-81.243228,33.270484,33.280484
SC0170105,DIAMOND HILL SCHOOL (0170105),"400 Greenville St, Abbeville, South Carolina, 29620",29620,South Carolina,Region 4,Non-Transient non-community system,335,,Abbeville,3,7,7,-82.380878,34.185539,-82.379991,34.18551,-82.381878,-82.379878,34.184539,34.186539
SC3770935,DOLLAR GENERAL - MOUNTAIN REST(3770935),"37072, Goodlettsvlle, Tennessee",37072,South Carolina,Region 4,Transient non-community system,25,,Oconee,2,0,0,-86.708412,36.319411,-86.708412,36.319411,-86.862412,-86.554412,36.165411,36.473411
SC2370802,BEECH SPRINGS CAMPGROUND (2370802),"29697, Williamston, South Carolina",29697,South Carolina,Region 4,Transient non-community system,175,,Greenville,2,10,20,-82.485393,34.612134,-82.485393,34.612134,-82.631393,-82.339393,34.466134,34.758134
SC4350016,SUMTER/WESSEX S/D (4350016),"29151, Sumter, South Carolina",29151,South Carolina,Region 4,Community water system,412,,Sumter,4,63,25,-80.34104,33.925335,-80.34104,33.925335,-80.34604,-80.33604,33.920335,33.930335
SC3810010,NORTH TOWN OF (3810010),"29112, North, South Carolina",29112,South Carolina,Region 4,Community water system,1476,,Orangeburg,8,11,37,-81.102002,33.615486,-81.102002,33.615486,-81.257002,-80.947002,33.460486,33.770486
SC0670912,SHELTONS FOOD STORE (0670912),"29817, Blackville, South Carolina",29817,South Carolina,Region 4,Transient non-community system,25,,Barnwell,3,2,4,-81.269486,33.359241,-81.269486,33.359241,-81.391486,-81.147486,33.237241,33.481241
SC2560008,HOUSEY GROCERY & TP (2560008),"29922, Garnett, South Carolina",29922,South Carolina,Region 4,Transient non-community system,26,,Hampton,2,0,7,-81.241688,32.601427,-81.241688,32.601427,-81.418688,-81.064688,32.424427,32.778427
SC3820003,LAKE MARION REGIONAL WATER PLT (3820003),"29461, Moncks Corner, South Carolina",29461,South Carolina,Region 4,Community water system,25,MONCKS CORNER,Orangeburg,3,0,4,-80.003227,33.192281,-80.003227,33.192281,-80.175227,-79.831227,33.020281,33.364281
