PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Longitude,Latitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
TN0000682,SURGOINSVILLE UTILITY DISTRICT,"37873, Surgoinsville, Tennessee",37873,Tennessee,Region 4,Community water system,2357,SURGOINSVILLE,Hawkins,13,11,29,-82.856971,36.469209,-82.856971,36.469209,-82.980971,-82.732971,36.345209,36.593209
TN0004360,BIRDSONG RESORT & MARINA,"255 Marina Rd, Camden, Tennessee, 38320",38320,Tennessee,Region 4,Transient non-community system,35,,Benton,5,18,14,-88.046345,35.96668,-88.046345,35.96668,-88.056345,-88.036345,35.95668,35.97668
TN0000614,SCOTTS HILL WATER SYSTEM,"85 Highway 114 S, Scotts Hill, Tennessee, 38374",38374,Tennessee,Region 4,Community water system,4164,SCOTTS HILL,Henderson,23,4,85,-88.245191,35.51507,-88.245191,35.51507,-88.255191,-88.235191,35.50507,35.52507
TN0003222,OLIN CORPORATION,"37310, Charleston, Tennessee",37310,Tennessee,Region 4,Non-Transient non-community system,624,,Bradley,5,10,13,-84.756515,35.281358,-84.756515,35.281358,-84.888515,-84.624515,35.149358,35.413358
TN0005157,MOUNTAIN BROTHERS GENERAL STORE,"11470 Parkside Dr, Farragut, Tennessee, 37934",37934,Tennessee,Region 4,Transient non-community system,100,,Sevier,4,0,1,-84.166033,35.898794,-84.165701,35.89814,-84.167033,-84.165033,35.897794,35.899794
TN0004370,FORT LOUDOUN YACHT CLUB,"2325 Lakefront Dr, Knoxville, Tennessee, 37922",37922,Tennessee,Region 4,Transient non-community system,135,,Knox,6,11,15,-84.053671,35.857517,-84.055621,35.85658,-84.054671,-84.052671,35.856517,35.858517
TN0001471,"BRIDGEMONT MINISTRIES, INC.","37862, Pigeon Forge, Tennessee",37862,Tennessee,Region 4,Transient non-community system,65,,Sevier,5,18,18,-83.561586,35.861791,-83.561586,35.861791,-83.737586,-83.385586,35.685791,36.037791
TN0004671,MONTEAGLE SUNDAY SCHOOL ASSMBLY,"37356, Monteagle, Tennessee",37356,Tennessee,Region 4,Transient non-community system,525,,Grundy,3,4,6,-85.833407,35.236366,-85.833407,35.236366,-85.902407,-85.764407,35.167366,35.305366
TN0004480,BELL'S WA FLOY RETREAT,"3610 E Parkway, Pittman Center, Tennessee, 37738",37738,Tennessee,Region 4,Transient non-community system,150,,Sevier,12,2,16,-83.360103,35.757854,-83.360103,35.757854,-83.370103,-83.350103,35.747854,35.767854
TN0004532,BROKEN ARROW TRAVEL CAMP,"1616 Velma Rd, Athens, Tennessee, 37303",37303,Tennessee,Region 4,Transient non-community system,50,,Monroe,6,2,15,-84.611164,35.456848,-84.611031,35.45702,-84.612164,-84.610164,35.455848,35.457848
TN0002614,GREAT SMOKY JELLYSTONE CAMP RESORT,"4946 Hooper Hwy, Cosby, Tennessee, 37722",37722,Tennessee,Region 4,Transient non-community system,300,,Cocke,6,12,20,-83.267334,35.772024,-83.267041,35.77139,-83.268334,-83.266334,35.771024,35.773024
TN0004486,SIM'S POINT CAMPGROUND,"3260 Douglas Dam Rd, Sevierville, Tennessee, 37764",37764,Tennessee,Region 4,Transient non-community system,100,,Sevier,5,10,14,-83.614718,35.954963,-83.613791,35.955,-83.615718,-83.613718,35.953963,35.955963
TN0004784,THREE OAKS RESTAURANT,"11755 Highway 69 S, Springville, Tennessee, 38256",38256,Tennessee,Region 4,Transient non-community system,75,,Henry,4,11,7,-88.115517,36.232148,-88.115431,36.23253,-88.116517,-88.114517,36.231148,36.233148
TN0004768,SPRINGS DOCK,"1652 Alder Springs Rd, La Follette, Tennessee, 37766",37766,Tennessee,Region 4,Transient non-community system,200,,Campbell,11,7,6,-83.990891,36.349008,-83.990891,36.349008,-84.000891,-83.980891,36.339008,36.359008
TN0003718,ELLIS GROVE PRESBYTERIAN CHURCH,"2601 W Little Richland Rd, Waverly, Tennessee, 37185",37185,Tennessee,Region 4,Transient non-community system,50,,Humphreys,5,19,8,-87.854625,36.141643,-87.854981,36.14083,-87.855625,-87.853625,36.140643,36.142643
TN0002464,FRIENDSHIP BAPTIST ST CHURCH,"86 Friendship Rd, Medina, Tennessee, 38355",38355,Tennessee,Region 4,Transient non-community system,245,,Madison,4,13,16,-88.743401,35.769362,-88.741701,35.77091,-88.744401,-88.742401,35.768362,35.770362
