PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Longitude,Latitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
UTAH05020,LITTLE HOLE CAMPGROUND,"355 N Vernal Ave, Vernal, Utah, 84078",84078,Utah,Region 8,Transient non-community system,181,,Daggett,4,1,6,-109.528678,40.46121,-109.529521,40.46121,-109.529678,-109.527678,40.46021,40.46221
UTAH05026,RED SPRINGS-LODGEPOLE CAMPGROUND,"355 N Vernal Ave, Vernal, Utah, 84078",84078,Utah,Region 8,Transient non-community system,240,,Daggett,6,5,5,-109.528678,40.46121,-109.529521,40.46121,-109.529678,-109.527678,40.46021,40.46221
UTAH24042,JOHNSON WATER DISTRICT - INDEPENDENCE,"2041 E 2000 N, Roosevelt, Utah, 84066",84066,Utah,Region 8,Community water system,132,,Uintah,4,4,3,-109.962742,40.331229,-109.962741,40.33209,-109.963742,-109.961742,40.330229,40.332229
UTAH07006,JOHNSON WATER DISTRICT,"2041 E 2000 N, Roosevelt, Utah, 84066",84066,Utah,Region 8,Community water system,1730,,Duchesne,15,50,7,-109.962742,40.331229,-109.962741,40.33209,-109.963742,-109.961742,40.330229,40.332229
UTAH19008,MEXICAN HAT SSD,"351 W 400 N, Blanding, Utah, 84511",84511,Utah,Region 8,Community water system,40,,San Juan,9,186,6,-109.484282,37.630833,-109.484281,37.6308,-109.485282,-109.483282,37.629833,37.631833
UTAH07055,UPPER STILLWATER CAMPGROUND,"355 N Vernal Ave, Vernal, Utah, 84078",84078,Utah,Region 8,Transient non-community system,320,,Duchesne,6,5,4,-109.528678,40.46121,-109.529521,40.46121,-109.529678,-109.527678,40.46021,40.46221
UTAH09030,FOREST GARDEN SUBDIVISION,"84759, Panguitch, Utah",84759,Utah,Region 8,Transient non-community system,50,,Garfield,4,33,4,-112.433448,37.817986,-112.433448,37.817986,-112.849448,-112.017448,37.401986,38.233986
UTAH25020,OREM CITY WATER SYSTEM,"1450 W 550 N, Orem, Utah, 84057",84057,Utah,Region 8,Community water system,94025,,Utah,30,21,6,-111.729643,40.307208,-111.728421,40.30722,-111.730643,-111.728643,40.306208,40.308208
UTAH13039,ZION FRONTIER RESORT,"2923 Crestview Dr, Santa Clara, Utah, 84765",84765,Utah,Region 8,Transient non-community system,25,,Kane,4,29,4,-113.651856,37.135936,-113.651856,37.135936,-113.661856,-113.641856,37.125936,37.145936
UTAH02043,PARK VALLEY SCHOOL,"960 S Main St, Brigham City, Utah, 84302",84302,Utah,Region 8,Non-Transient non-community system,50,,Box Elder,7,45,4,-112.016196,41.491118,-112.016196,41.491118,-112.026196,-112.006196,41.481118,41.501118
UTAH05019,HIDEOUT CANYON CAMPGROUND,"355 N Vernal Ave, Vernal, Utah, 84078",84078,Utah,Region 8,Transient non-community system,90,,Daggett,4,4,4,-109.528678,40.46121,-109.529521,40.46121,-109.529678,-109.527678,40.46021,40.46221
UTAH18088,CAMP TUTTLE (EPISCOPAL),"75 S 200 E, Salt Lake City, Utah, 84111",84111,Utah,Region 8,Transient non-community system,80,,Salt Lake,7,16,8,-111.885335,40.767832,-111.884791,40.76783,-111.886335,-111.884335,40.766832,40.768832
UTAH09034,BEAR PAW LAKEVIEW RESORT,"115 Parkview Ter, Park City, Utah, 84098",84098,Utah,Region 8,Transient non-community system,80,,Garfield,5,19,4,-111.614581,40.748938,-111.614591,40.74905,-111.615581,-111.613581,40.747938,40.749938
