PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Longitude,Latitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
VT0021403,NORWICH COMMERCE PARK,"03101, Manchester, New Hampshire",03101,Vermont,Region 1,Transient non-community system,47,NORWICH,Windsor,2,0,0,-71.463802,42.99169,-71.463802,42.99169,-71.481802,-71.445802,42.97369,43.00969
VT0005617,DAIRY CENTER,"05450, Enosburg Fls, Vermont",05450,Vermont,Region 1,Community water system,109,ENOSBURG,Franklin,11,12,16,-72.804255,44.908479,-72.804255,44.908479,-72.979255,-72.629255,44.733479,45.083479
VT0020800,100 MOUNTAIN VIEW ROAD PARK,"12037, Chatham, New York",12037,Vermont,Region 1,Community water system,290,BENNINGTON,Bennington,3,7,4,-73.598661,42.359481,-73.598661,42.359481,-73.706661,-73.490661,42.251481,42.467481
VT0020831,VALLEY CENTER COMPLEX,"01773, Lincoln, Massachusetts",01773,Vermont,Region 1,Non-Transient non-community system,252,DOVER,Windham,6,78,4,-71.309359,42.427641,-71.309359,42.427641,-71.366359,-71.252359,42.370641,42.484641
VT0000783,QUECHEE INN AT MARSHLAND,"05059, Quechee, Vermont",05059,Vermont,Region 1,Transient non-community system,144,HARTFORD,Windsor,4,6,2,-72.419142,43.648521,-72.419142,43.648521,-72.466142,-72.372142,43.601521,43.695521
VT0006674,ORANGE CENTER SCHOOL,"05649, East Barre, Vermont",05649,Vermont,Region 1,Non-Transient non-community system,183,ORANGE,Orange,7,8,10,-72.452452,44.161321,-72.452452,44.161321,-72.582452,-72.322452,44.031321,44.291321
VT0020999,DELTA INDUSTRIES LLC,"05301, Brattleboro, Vermont",05301,Vermont,Region 1,Non-Transient non-community system,120,BRATTLEBORO,Windham,7,44,3,-72.562902,42.8506,-72.562902,42.8506,-72.804902,-72.320902,42.6086,43.0926
VT0005471,GORE ROAD MHP,"12037, Chatham, New York",12037,Vermont,Region 1,Community water system,100,BENNINGTON,Bennington,5,38,9,-73.598661,42.359481,-73.598661,42.359481,-73.706661,-73.490661,42.251481,42.467481
VT0020080,SOUTH HERO FIRE DISTRICT 4,"05486, South Hero, Vermont",05486,Vermont,Region 1,Community water system,760,SOUTH HERO,Grand Isle,8,15,10,-73.310042,44.645831,-73.310042,44.645831,-73.392042,-73.228042,44.563831,44.727831
VT0005248,GRANITEVILLE FIRE DISTRICT 4,"05654, Graniteville, Vermont",05654,Vermont,Region 1,Community water system,700,BARRE TOWN,Washington,48,2,13,-72.477672,44.144096,-72.477672,44.144096,-72.513672,-72.441672,44.108096,44.180096
VT0021095,STONES LODGE,"05148, Londonderry, Vermont",05148,Vermont,Region 1,Transient non-community system,350,WINHALL,Bennington,2,8,3,-72.81144,43.2286,-72.81144,43.2286,-72.89644,-72.72644,43.1436,43.3136
VT0005057,HILLCREST MHP INC,"05446, Colchester, Vermont",05446,Vermont,Region 1,Community water system,615,COLCHESTER,Chittenden,8,9,10,-73.153493,44.503727,-73.153493,44.503727,-73.361493,-72.945493,44.295727,44.711727
VT0020361,KIDS IN THE COUNTRY,"05356, Mount Snow, Vermont",05356,Vermont,Region 1,Non-Transient non-community system,30,DOVER,Windham,6,3,17,-72.882722,42.954161,-72.882722,42.954161,-73.008722,-72.756722,42.828161,43.080161
VT0006702,NEWTON ELEMENTARY SCHOOL,"05070, South Strafford, Vermont",05070,Vermont,Region 1,Non-Transient non-community system,170,STRAFFORD,Orange,9,19,11,-72.363826,43.834639,-72.363826,43.834639,-72.411826,-72.315826,43.786639,43.882639
VT0021199,NOTCHBROOK III,"05672, Stowe, Vermont",05672,Vermont,Region 1,Community water system,39,STOWE,Lamoille,5,24,2,-72.647301,44.482146,-72.647301,44.482146,-72.838301,-72.456301,44.291146,44.673146
VT0002042,PINE CONE SNACK BAR,"05476, Richford, Vermont",05476,Vermont,Region 1,Transient non-community system,33,BERKSHIRE,Franklin,2,22,3,-72.673221,44.994291,-72.673221,44.994291,-72.834221,-72.512221,44.833291,45.155291
