PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Longitude,Latitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
VA5009400,GREIF RIVERVILLE,"24521, Amherst, Virginia",24521,Virginia,Region 3,Non-Transient non-community system,324,,Amherst,4,3,13,-79.046386,37.589,-79.046386,37.589,-79.341386,-78.751386,37.294,37.884
VA3700500,"NEWPORT NEWS, CITY OF","700 Town Center Dr, Newport News, Virginia, 23606",23606,Virginia,Region 3,Community water system,406000,NEWPORT NEWS,,37,11,37,-76.473708,37.086657,-76.473811,37.08651,-76.474708,-76.472708,37.085657,37.087657
VA1185047,BARKAY ESTATES,"656 Quail Dr, Bluefield, Virginia, 24605",24605,Virginia,Region 3,Community water system,85,,Tazewell,7,9,16,-81.28214,37.224665,-81.282271,37.22463,-81.28314,-81.28114,37.223665,37.225665
VA5083578,HUBER PLANT,"24539, Crystal Hill, Virginia",24539,Virginia,Region 3,Non-Transient non-community system,135,,Halifax,8,5,19,-78.908258,36.866021,-78.908258,36.866021,-78.949258,-78.867258,36.825021,36.907021
VA3093328,"ACCELERATED PROPERTIES, INC.","39 Monette Pkwy, Smithfield, Virginia, 23430",23430,Virginia,Region 3,Non-Transient non-community system,80,,Isle of Wight,4,15,11,-76.603518,37.014397,-76.603518,37.014397,-76.613518,-76.593518,37.004397,37.024397
VA2187648,NORTH FORK RESORT #5,"301 N Fork Rd, Front Royal, Virginia, 22630",22630,Virginia,Region 3,Transient non-community system,25,,Warren,6,0,5,-78.229619,38.957183,-78.229619,38.957183,-78.239619,-78.219619,38.947183,38.967183
VA1185073,CAMP EVANGEL,"105 Camp Evangel Rd, Pounding Mill, Virginia, 24637",24637,Virginia,Region 3,Transient non-community system,130,,Tazewell,8,2,8,-81.666876,37.071794,-81.666876,37.071794,-81.676876,-81.656876,37.061794,37.081794
VA1063760,WOODBERRY INN,"182 Woodberry Rd SW, Meadows Of Dan, Virginia, 24120",24120,Virginia,Region 3,Transient non-community system,25,,Floyd,6,6,13,-80.39708,36.774414,-80.397071,36.7743,-80.39808,-80.39608,36.773414,36.775414
VA2109085,THE BOARDWALK,"333 Cooke Ln, Bumpass, Virginia, 23024",23024,Virginia,Region 3,Transient non-community system,100,,Louisa,4,1,2,-77.758623,37.988285,-77.758623,37.988285,-77.768623,-77.748623,37.978285,37.998285
VA2187646,NORTH FORK RESORT #2,"301 N Fork Rd, Front Royal, Virginia, 22630",22630,Virginia,Region 3,Transient non-community system,25,,Warren,3,0,5,-78.229619,38.957183,-78.229619,38.957183,-78.239619,-78.219619,38.947183,38.967183
VA5680200,"LYNCHBURG, CITY OF","525 Taylor St, Lynchburg, Virginia, 24501",24501,Virginia,Region 3,Community water system,76000,LYNCHBURG,,30,0,24,-79.153935,37.4125,-79.154371,37.41221,-79.154935,-79.152935,37.4115,37.4135
VA2069137,COVE CAMPGROUND,"980 Cove Rd, Gore, Virginia, 22637",22637,Virginia,Region 3,Transient non-community system,100,,Frederick,4,3,6,-78.386013,39.211746,-78.386013,39.211746,-78.396013,-78.376013,39.201746,39.221746
VA3131555,NORTHAMPTON COUNTY COMMUNITY FACILITIES,"23347, Eastville, Virginia",23347,Virginia,Region 3,Non-Transient non-community system,61,,Northampton,4,5,10,-75.944822,37.353101,-75.944822,37.353101,-75.949822,-75.939822,37.348101,37.358101
VA2187250,CAMP WAMAVA,"21045, Columbia, Maryland",21045,Virginia,Region 3,Transient non-community system,100,,Warren,3,12,5,-76.847882,39.206967,-76.847882,39.206967,-76.902882,-76.792882,39.151967,39.261967
VA5011201,HOLIDAY LAKE 4-H EDUCATIONAL CENTER,"1267 4-H Camp Rd, Appomattox, Virginia, 24522",24522,Virginia,Region 3,Transient non-community system,25,,Appomattox,6,7,8,-78.64063,37.390128,-78.640691,37.39023,-78.64163,-78.63963,37.389128,37.391128
VA3131220,FOOD LION-CAPE CHARLES,"4460 Corporation Ln, Virginia Beach, Virginia, 23462",23462,Virginia,Region 3,Non-Transient non-community system,90,,Northampton,4,3,5,-76.130334,36.846856,-76.130611,36.84723,-76.131334,-76.129334,36.845856,36.847856
VA4075005,ADAMS INTERNATIONAL SCHOOL,"23129, Oilville, Virginia",23129,Virginia,Region 3,Non-Transient non-community system,30,,Goochland,5,0,3,-77.777022,37.715351,-77.777022,37.715351,-77.811022,-77.743022,37.681351,37.749351
VA4127895,WINDSOR PARK,"23146, Rockville, Virginia",23146,Virginia,Region 3,Community water system,90,,New Kent,5,1,14,-77.68031,37.722052,-77.68031,37.722052,-77.79431,-77.56631,37.608052,37.836052
VA2023165,CAMP BETHEL,"328 Bethel Rd, Fincastle, Virginia, 24090",24090,Virginia,Region 3,Transient non-community system,100,,Botetourt,4,9,10,-79.785241,37.446698,-79.785241,37.446698,-79.795241,-79.775241,37.436698,37.456698
VA2015590,STONEY CREEK RESORT,"277 Lake Dr, Greenville, Virginia, 24440",24440,Virginia,Region 3,Transient non-community system,25,,Augusta,5,5,10,-79.123512,37.988535,-79.123811,37.9881,-79.124512,-79.122512,37.987535,37.989535
VA3001210,ST PAUL`S DAY CARE CENTER,"28281 Main St, Hallwood, Virginia, 23359",23359,Virginia,Region 3,Non-Transient non-community system,120,,Accomack,5,13,9,-75.579926,37.878378,-75.579821,37.87844,-75.580926,-75.578926,37.877378,37.879378
VA2187290,DUNGADIN SUBDIVISION,"22630, Lk Frederick, Virginia",22630,Virginia,Region 3,Community water system,120,,Warren,8,4,21,-78.191511,38.920581,-78.191511,38.920581,-78.377511,-78.005511,38.734581,39.106581
VA2043942,WATERMELON PARK CAMPGROUND,"3322 Lockes Mill Rd, Berryville, Virginia, 22611",22611,Virginia,Region 3,Transient non-community system,25,,Clarke,5,5,8,-77.942026,39.095961,-77.942026,39.095961,-77.952026,-77.932026,39.085961,39.105961
VA4073311,GLOUCESTER CO WATER TREATMENT PLT,"7384 Carriage Ct, Gloucester, Virginia, 23061",23061,Virginia,Region 3,Community water system,12053,,Gloucester,26,2,30,-76.528252,37.415362,-76.528252,37.415362,-76.538252,-76.518252,37.405362,37.425362
VA6107453,MIDDLEBURG COMMUNITY CENTER,"300 W Washington St, Middleburg, Virginia, 20117",20117,Virginia,Region 3,Transient non-community system,150,,Loudoun,4,1,8,-77.738781,38.967767,-77.738971,38.96807,-77.739781,-77.737781,38.966767,38.968767
