PWSID,Approximate Address
WA5309370,Not Found
WA5308278,Not Found
WA5300058,Not Found
WA53NP320,Not Found
WA5304921,Not Found
WA5303803,Not Found
WA53FS709,Not Found
WA5312631,Not Found
WA5325938,Not Found
WA53FS952,Not Found
WA5318552,Not Found
WA5302420,Not Found
WA5301840,Not Found
WA5315596,Not Found
WA5313390,Not Found
WA5387510,Not Found
WA5360342,Not Found
WA5345203,Not Found
WA53AB047,Not Found
WA5313034,Not Found
WA5356635,Not Found
WA5365482,Not Found
WA53SP600,Not Found
WA53NP335,Not Found
WA5307790,Not Found
WA5315516,Not Found
WA53AC270,Not Found
WA5303581,Not Found
WA53SP280,Not Found
WA5345800,Not Found
WA5346394,Not Found
WA5385208,Not Found
WA5331568,Not Found
WA5320327,Not Found
WA5353693,Not Found
WA5329070,Not Found
WA5302633,Not Found
WA5308343,Not Found
WA5355046,Not Found
WA5347145,Not Found
WA53SP310,Not Found
WA5359020,Not Found
WA5305816,Not Found
WA5333327,Not Found
WA5351000,Not Found
WA5356542,Not Found
WA5331474,Not Found
WA5396093,Not Found
WA5359546,Not Found
WA5308464,Not Found
WA53AC430,Not Found
WA53AB699,Not Found
WA5367295,Not Found
WA5312150,Not Found
WA5365000,Not Found
WA5381860,Not Found
WA5370630,Not Found
WA53AB571,Not Found
WA5360864,Not Found
WA5316320,Not Found
WA5375607,Not Found
WA5316500,Not Found
WA5324413,Not Found
WA5385140,Not Found
WA5301412,Not Found
WA5347161,Not Found
WA5371970,Not Found
WA5307483,Not Found
WA5308114,Not Found
WA5363553,Not Found
WA5302771,Not Found
WA5307544,Not Found
WA5306593,Not Found
WA5303003,Not Found
WA53SP625,Not Found
WA5337500,Not Found
WA53NP110,Not Found
WA5323340,Not Found
WA53SP770,Not Found
WA5306700,Not Found
WA53SP270,Not Found
WA53NP460,Not Found
WA53SP605,Not Found
WA53SP155,Not Found
WA53AB638,Not Found
WA5300111,Not Found
WA5375862,Not Found
WA53SP320,Not Found
WA53AB452,Not Found
WA5322195,Not Found
WA53FS935,Not Found
WA5307622,Not Found
WA5303985,Not Found
WA53SP420,Not Found
WA5365760,Not Found
WA5336098,Not Found
WA5367610,Not Found
WA5308850,Not Found
WA5343282,Not Found
WA5311431,Not Found
WA5307884,Not Found
WA5381055,Not Found
WA5303386,Not Found
WA53SP480,Not Found
WA53SP990,Not Found
WA5336851,Not Found
WA5376874,Not Found
WA5360910,Not Found
WA53AB027,Not Found
WA5363384,Not Found
WA5369570,Not Found
WA53NP780,Not Found
WA5383830,Not Found
WA53HD016,Not Found
WA53SP500,Not Found
WA53SP960,Not Found
WA5385320,Not Found
WA53SP315,Not Found
WA5317051,Not Found
WA53AA418,Not Found
WA5397520,Not Found
WA53AB872,Not Found
WA5329079,Not Found
WA53AC353,Not Found
WA5373630,Not Found
WA5393357,Not Found
WA5339700,Not Found
WA5340040,Not Found
WA5376880,Not Found
WA5319300,Not Found
WA5314065,Not Found
WA5386120,Not Found
WA5328695,Not Found
WA5316950,Not Found
WA5307344,Not Found
WA53SP985,Not Found
WA5380000,Not Found
WA5380925,Not Found
WA5300507,Not Found
WA5307069,Not Found
WA53NP610,Not Found
WA5316479,Not Found
WA53SP810,Not Found
WA53AC367,Not Found
WA5369755,Not Found
WA5301874,Not Found
WA5302149,Not Found
WA5358831,Not Found
WA5357484,Not Found
WA5308392,Not Found
WA5312384,Not Found
WA5327739,Not Found
WA5325553,Not Found
WA5324266,Not Found
WA5320150,Not Found
WA53SP011,Not Found
WA53AC634,Not Found
WA5371635,Not Found
WA53AC565,Not Found
WA5347740,Not Found
WA53AA598,Not Found
WA5345073,Not Found
WA5307514,Not Found
WA5359609,Not Found
WA53NP330,Not Found
WA5347128,Not Found
WA5305597,Not Found
WA53NP495,Not Found
WA5362135,Not Found
WA5319374,Not Found
WA5308032,Not Found
WA5306485,Not Found
WA5302993,Not Found
WA5307676,Not Found
WA5372832,Not Found
WA5347533,Not Found
WA53SP610,Not Found
WA5391913,Not Found
WA5307696,Not Found
WA5328581,Not Found
WA5371725,Not Found
WA5320453,Not Found
WA5389425,Not Found
WA53SP012,Not Found
WA53AC160,Not Found
WA53SP590,Not Found
WA5316481,Not Found
WA5312249,Not Found
WA5315216,Not Found
WA5385965,Not Found
WA53SP335,Not Found
WA5386710,Not Found
WA5303594,Not Found
WA5301402,Not Found
WA5362150,Not Found
WA5302462,Not Found
WA5398105,Not Found
WA5367398,Not Found
WA5329485,Not Found
WA5308279,Not Found
WA5343981,Not Found
WA5387188,Not Found
WA5301150,Not Found
WA53SP205,Not Found
WA5304524,Not Found
