PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Longitude,Latitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
WA5361129,THREE FINGERS,"98366, South Park Village, Washington",98366,Washington,Region 10,Community water system,78,,Mason,3,54,0,-122.650051,47.518729,-122.650051,47.518729,-122.819051,-122.481051,47.349729,47.687729
WA5318580,DEL MAR COMMUNITY SERVICE INC,"1004 Commercial Ave, Anacortes, Washington, 98221",98221,Washington,Region 10,Community water system,647,,Skagit,12,5,1,-122.612612,48.51398,-122.613161,48.51398,-122.613612,-122.611612,48.51298,48.51498
WA5350400,MAINS FARM PROPERTY OWNERS,"98382, Sequim, Washington",98382,Washington,Region 10,Community water system,358,,Clallam,4,5,0,-123.10374,48.0799,-123.10374,48.0799,-123.34574,-122.86174,47.8379,48.3219
WA5364830,OTHELLO COUNTRY CLUB WATER ASSN,"813 S Meadowlark Ln, Othello, Washington, 99344",99344,Washington,Region 10,Community water system,208,,Adams,4,32,0,-119.212188,46.794535,-119.211831,46.79461,-119.213188,-119.211188,46.793535,46.795535
WA5330049,CRYSTAL SPRINGS,"98335, Gig Harbor, Washington",98335,Washington,Region 10,Community water system,37,,Thurston,2,5,0,-122.583413,47.323584,-122.583413,47.323584,-122.696413,-122.470413,47.210584,47.436584
WA5325605,HALFWAY RV PARK,"98320, Brinnon, Washington",98320,Washington,Region 10,Transient non-community system,3,,Jefferson,2,8,0,-122.941432,47.649191,-122.941432,47.649191,-123.467432,-122.415432,47.123191,48.175191
WA5344960,LAKE THOMAS ESTATE WATER SVCS INC,"2584 Lakeview Dr, Colville, Washington, 99114",99114,Washington,Region 10,Transient non-community system,10,,Stevens,3,22,0,-117.536441,48.630702,-117.536821,48.63071,-117.537441,-117.535441,48.629702,48.631702
WA5398184,WOODLAND MANOR,"21971 N US Highway 101, Shelton, Washington, 98584",98584,Washington,Region 10,Community water system,192,,Mason,2,12,0,-123.155328,47.373874,-123.155851,47.37421,-123.156328,-123.154328,47.372874,47.374874
WA5372267,RICHMOND TOTTEN,"98509, Lacey, Washington",98509,Washington,Region 10,Community water system,42,,Thurston,1,23,0,-122.80686,47.03571,-122.80686,47.03571,-122.81186,-122.80186,47.03071,47.04071
WA5304980,BEACHWOOD WATER COMPANY,"98277, Oak Harbor, Washington",98277,Washington,Region 10,Community water system,90,,Island,5,84,0,-122.652069,48.293914,-122.652069,48.293914,-122.845069,-122.459069,48.100914,48.486914
