PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Longitude,Latitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
WV3301405,ROMNEY WATER DEPT,"26719, Fort Ashby, West Virginia",26719,West Virginia,Region 3,Community water system,1935,ROMNEY,Hampshire,6,36,13,-78.769102,39.497114,-78.769102,39.497114,-78.839102,-78.699102,39.427114,39.567114
WV3304803,SISTERSVILLE MUNICIPAL WATER,"26175, Sistersville, West Virginia",26175,West Virginia,Region 3,Community water system,1892,SISTERSVILLE,Tyler,5,77,50,-80.998434,39.559921,-80.998434,39.559921,-81.119434,-80.877434,39.438921,39.680921
WV3302517,MONUMENTAL PSD,"26554, White Hall, West Virginia",26554,West Virginia,Region 3,Community water system,1966,FAIRMONT,Marion,13,11,5,-80.150516,39.48195,-80.150516,39.48195,-80.356516,-79.944516,39.27595,39.68795
WV3303130,PLEASANT VALLEY PSD - NORTH CASSVILLE,"26541, Maidsville, West Virginia",26541,West Virginia,Region 3,Community water system,119,MAIDSVILLE,Monongalia,2,13,4,-80.146164,39.712734,-80.146164,39.712734,-80.375164,-79.917164,39.483734,39.941734
WV3301610,HARDY COUNTY PSD-ROUTE 55,"26836, Rig, West Virginia",26836,West Virginia,Region 3,Community water system,801,MOOREFIELD,Hardy,7,2,2,-78.964004,39.064375,-78.964004,39.064375,-79.267004,-78.661004,38.761375,39.367375
WV3301607,HARDY COUNTY PSD 220 SOUTH,"26836, Rig, West Virginia",26836,West Virginia,Region 3,Community water system,1996,MOOREFIELD,Hardy,12,3,5,-78.964004,39.064375,-78.964004,39.064375,-79.267004,-78.661004,38.761375,39.367375
WV3303112,PLEASANT VALLEY PSD,"26541, Maidsville, West Virginia",26541,West Virginia,Region 3,Community water system,1860,MAIDSVILLE,Monongalia,11,12,4,-80.146164,39.712734,-80.146164,39.712734,-80.375164,-79.917164,39.483734,39.941734
WV9915021,WOODVIEW GOLF COURSE,"26047, New Cumberlnd, West Virginia",26047,West Virginia,Region 3,Transient non-community system,50,CHESTER,Hancock,3,4,4,-80.606243,40.499152,-80.606243,40.499152,-80.723243,-80.489243,40.382152,40.616152
WV9942043,ALPINE SHORE INC - CAMPGROUND,"26254, Wymer, West Virginia",26254,West Virginia,Region 3,Transient non-community system,25,BOWDEN,Randolph,4,13,5,-79.565876,38.978948,-79.565876,38.978948,-79.769876,-79.361876,38.774948,39.182948
WV9936073,CAVE COUNTRY CAMPGROUND,"26807, Franklin, West Virginia",26807,West Virginia,Region 3,Transient non-community system,25,FRANKLIN,Pendleton,3,4,2,-79.491252,38.505671,-79.491252,38.505671,-79.749252,-79.233252,38.247671,38.763671
WV9955071,CASTLE ROCK RESTAURANT INC,"24874, Pineville, West Virginia",24874,West Virginia,Region 3,Transient non-community system,25,JESSE,Wyoming,3,6,11,-81.515701,37.634021,-81.515701,37.634021,-81.675701,-81.355701,37.474021,37.794021
WV3301609,HARDY COUNTY PSD-TROUT RUN,"26836, Rig, West Virginia",26836,West Virginia,Region 3,Community water system,245,WARDENSVILLE,Hardy,5,7,4,-78.964004,39.064375,-78.964004,39.064375,-79.267004,-78.661004,38.761375,39.367375
WV3300516,WEIRTON AREA WATER BOARD,"26062, Weirton, West Virginia",26062,West Virginia,Region 3,Community water system,22694,WEIRTON,Brooke,26,33,49,-80.525221,40.406901,-80.525221,40.406901,-80.633221,-80.417221,40.298901,40.514901
WV3303918,TUNNELTON TOWN OF,"26444, Tunnelton, West Virginia",26444,West Virginia,Region 3,Community water system,908,TUNNELTON,Preston,13,6,14,-79.752465,39.388754,-79.752465,39.388754,-79.866465,-79.638465,39.274754,39.502754
WV3304139,COOL RIDGE FLAT TOP PSD,"25825, Cool Ridge, West Virginia",25825,West Virginia,Region 3,Community water system,3727,COOL RIDGE,Raleigh,10,9,43,-81.090043,37.653495,-81.090043,37.653495,-81.187043,-80.993043,37.556495,37.750495
WV9942096,ALPINE SHORES - UPPER CAMPGROUND,"26254, Wymer, West Virginia",26254,West Virginia,Region 3,Transient non-community system,60,BOWDEN,Randolph,3,7,3,-79.565876,38.978948,-79.565876,38.978948,-79.769876,-79.361876,38.774948,39.182948
WV9945055,RIVER REST HOME OWNERS ASSOC,"24910, Dawson, West Virginia",24910,West Virginia,Region 3,Transient non-community system,25,ALDERSON,Summers,3,71,27,-80.641306,37.729025,-80.641306,37.729025,-80.797306,-80.485306,37.573025,37.885025
WV9931009,COOPERS ROCK STATE FOREST,"26525, Bruceton Mills, West Virginia",26525,West Virginia,Region 3,Transient non-community system,834,PISGAH,Monongalia,4,84,15,-79.617979,39.668518,-79.617979,39.668518,-79.793979,-79.441979,39.492518,39.844518
WV9927049,PANTHER WILDLIFE MANAGEMENT AREA 1,"25621, Gilbert, West Virginia",25621,West Virginia,Region 3,Transient non-community system,200,PANTHER,McDowell,3,17,9,-81.946692,37.636491,-81.946692,37.636491,-82.070692,-81.822692,37.512491,37.760491
WV3301611,HARDY COUNTY PSD-SOUTH FORK,"26836, Rig, West Virginia",26836,West Virginia,Region 3,Community water system,244,MOOREFIELD,Hardy,5,0,2,-78.964004,39.064375,-78.964004,39.064375,-79.267004,-78.661004,38.761375,39.367375
