PWSID,Approximate Address
WY5601410,Not Found
WY5601157,Not Found
WY5601506,Not Found
WY5600924,Not Found
WY5600933,Not Found
WY5601613,Not Found
WY5601570,Not Found
WY5601447,Not Found
WY5601441,Not Found
WY5601427,Not Found
WY5601478,Not Found
WY5601088,Not Found
WY5601492,Not Found
WY5601629,Not Found
WY5601558,Not Found
WY5601030,Not Found
WY5600340,Not Found
WY5680233,Not Found
WY5601600,Not Found
WY5680055,Not Found
WY5600266,Not Found
WY5601463,Not Found
WY5600545,Not Found
WY5601654,Not Found
WY5600896,Not Found
WY5601331,Not Found
WY5601385,Not Found
WY5601643,Not Found
WY5600683,Not Found
WY5680255,Not Found
WY5680060,Not Found
WY5680256,Not Found
WY5680254,Not Found
WY5680253,Not Found
WY5680257,Not Found
WY5680248,Not Found
WY5680062,Not Found
WY5601272,Not Found
WY5600422,Not Found
WY5601059,Not Found
WY5601560,Not Found
WY5600986,Not Found
WY5600696,Not Found
WY5601241,Not Found
WY5601648,Not Found
WY5601042,Not Found
WY5680216,Not Found
WY5601188,Not Found
WY5601450,Not Found
WY5601160,Not Found
WY5600325,Not Found
WY5680217,Not Found
WY5600446,Not Found
WY5600796,Not Found
WY5601640,Not Found
WY5600993,Not Found
WY5680206,Not Found
WY5601433,Not Found
WY5600068,Not Found
WY5601655,Not Found
WY5601197,Not Found
WY5601202,Not Found
WY5601466,Not Found
WY5600646,Not Found
WY5600814,Not Found
WY5600131,Not Found
WY5600043,Not Found
WY5600952,Not Found
WY5601594,Not Found
WY5600081,Not Found
WY5601606,Not Found
WY5601008,Not Found
WY5600242,Not Found
WY5680141,Not Found
WY5601635,Not Found
WY5601518,Not Found
WY5601468,Not Found
WY5600909,Not Found
WY5600417,Not Found
WY5600571,Not Found
WY5600702,Not Found
WY5680259,Not Found
WY5601362,Not Found
WY5600235,Not Found
WY5601656,Not Found
WY5601616,Not Found
WY5601653,Not Found
WY5600547,Not Found
