PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Longitude,Latitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
WY5600407,LAVA MOUNTAIN LODGE (POVERTY HILL LLC),"82513, Dubois, Wyoming",82513,Wyoming,Region 8,Transient non-community system,75,DUBOIS,Fremont,6,15,5,-109.603925,43.522409,-109.603925,43.522409,-110.089925,-109.117925,43.036409,44.008409
WY5600741,LAZY L AND B RANCH,"1072 E Fork Rd, Dubois, Wyoming, 82513",82513,Wyoming,Region 8,Transient non-community system,50,DUBOIS,Fremont,7,12,6,-109.43236,43.599813,-109.43236,43.599813,-109.44236,-109.42236,43.589813,43.609813
WY5600036,"MILLS, TOWN OF","82644, Mills, Wyoming",82644,Wyoming,Region 8,Community water system,3200,MILLS,Natrona,16,5,9,-106.376092,42.844751,-106.376092,42.844751,-106.397092,-106.355092,42.823751,42.865751
WY5600983,ABSAROKA RANCH,"82513, Dubois, Wyoming",82513,Wyoming,Region 8,Transient non-community system,28,DUBOIS,Fremont,4,2,4,-109.603925,43.522409,-109.603925,43.522409,-110.089925,-109.117925,43.036409,44.008409
WY5600861,WARM SPRINGS WATER DISTRICT,"82513, Dubois, Wyoming",82513,Wyoming,Region 8,Community water system,58,DUBOIS,Fremont,5,13,7,-109.603925,43.522409,-109.603925,43.522409,-110.089925,-109.117925,43.036409,44.008409
WY5600564,CAMP NEW FORK - BOY SCOUTS OF AMERICA,"1200 E 5400 S, South Ogden, Utah, 84403",84403,Wyoming,Region 8,Transient non-community system,450,,Sublette,8,10,3,-111.947647,41.165306,-111.947647,41.165306,-111.957647,-111.937647,41.155306,41.175306
WY5680212,BRIDGER-TETON NF BLACKROCK RS,"83001, Hoback Jct, Wyoming",83001,Wyoming,Region 8,Transient non-community system,60,MORAN JCT,Teton,6,2,4,-110.762257,43.477326,-110.762257,43.477326,-111.473257,-110.051257,42.766326,44.188326
WY5600360,BLACK THUNDER MINE-THUNDER BASIN COAL CO,"82732, Gillette, Wyoming",82732,Wyoming,Region 8,Non-Transient non-community system,600,WRIGHT,Campbell,9,1,5,-105.487842,43.759361,-105.487842,43.759361,-105.535842,-105.439842,43.711361,43.807361
WY5600636,TATA CHEMICALS (SODA ASH) PARTNERS,"82935, Mc Kinnon, Wyoming",82935,Wyoming,Region 8,Non-Transient non-community system,678,GREEN RIVER,Sweetwater,6,24,10,-109.459741,41.503061,-109.459741,41.503061,-110.227741,-108.691741,40.735061,42.271061
WY5600179,A & J MOBILE HOME PARK,"82501, Morton, Wyoming",82501,Wyoming,Region 8,Community water system,70,RIVERTON,Fremont,7,72,9,-108.384922,43.029581,-108.384922,43.029581,-108.872922,-107.896922,42.541581,43.517581
WY5601032,WEST END WATER DISTRICT,"82701, Newcastle, Wyoming",82701,Wyoming,Region 8,Community water system,225,NEWCASTLE,Weston,3,74,6,-104.204899,43.853099,-104.204899,43.853099,-105.081899,-103.327899,42.976099,44.730099
