PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Latitude,Longitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
AK2310976,CAMP LI - WA,"99710, Fairbanks, Alaska",99710,Alaska,Region 10,Transient non-community system,230,FAIRBANKS,Fairbanks North Star Borough,4,13,4,-147.72203,64.845089,-147.72203,64.845089,-147.72703,-147.71703,64.840089,64.850089
AK2211952,WHITTIER WATER SYSTEM,"99693, Whittier, Alaska",99693,Alaska,Region 10,Community water system,650,WHITTIER,Valdez-Cordova Census Area,7,52,8,-148.685501,60.772509,-148.685501,60.772509,-150.454501,-146.916501,59.003509,62.541509
AK2241177,USFWS KNWR RUSSIAN RIVER FERRY,"99669, Soldotna, Alaska",99669,Alaska,Region 10,Transient non-community system,25,SOLDOTNA,Kenai Peninsula Borough,3,10,7,-150.51009,60.210368,-150.51009,60.210368,-151.24309,-149.77709,59.477368,60.943368
AK2392017,TONGLEN LAKE LODGE,"99755, Denali National Park, Alaska",99755,Alaska,Region 10,Transient non-community system,49,DENALI PARK,Denali Borough,3,3,2,-148.892079,63.731698,-148.892079,63.731698,-153.001079,-144.783079,59.622698,67.840698
AK2300222,ARCTIC VILLAGE WATER SYSTEM,"99722, Arctic Village, Alaska",99722,Alaska,Region 10,Community water system,175,ARCTIC VILLAGE,Yukon-Koyukuk Census Area,6,744,7,-145.537674,68.127014,-145.537674,68.127014,-150.072674,-141.002674,63.592014,72.662014
AK2225753,SLAVIC EVANGELICAL CHURCH,"99687, Wasilla, Alaska",99687,Alaska,Region 10,Non-Transient non-community system,368,WASILLA,Matanuska-Susitna Borough,2,76,4,-150.163395,61.28521,-150.163395,61.28521,-150.673395,-149.653395,60.77521,61.79521
AK2250582,JAVA FLATS/RUSSIAN RIVER ROADHOUSE,"99615, Chiniak, Alaska",99615,Alaska,Region 10,Transient non-community system,39,KODIAK,Kodiak Island Borough,2,54,3,-152.391014,57.79621,-152.391014,57.79621,-155.753014,-149.029014,54.43421,61.15821
AK2223080,ROADSIDE INN,"99687, Wasilla, Alaska",99687,Alaska,Region 10,Transient non-community system,75,WASILLA,Matanuska-Susitna Borough,3,8,6,-150.163395,61.28521,-150.163395,61.28521,-150.673395,-149.653395,60.77521,61.79521
AK2220190,FLYING SQUIRREL BAKERY,"99676, Talkeetna, Alaska",99676,Alaska,Region 10,Transient non-community system,48,TALKEETNA,Matanuska-Susitna Borough,2,7,2,-150.03571,62.13711,-150.03571,62.13711,-153.64571,-146.42571,58.52711,65.74711
AK2220094,UTOPIA MEADOWS SD,"1905 E 37th Ave, Anchorage, Alaska, 99508",99508,Alaska,Region 10,Community water system,145,WASILLA,Matanuska-Susitna Borough,5,93,5,-149.84545,61.187097,-149.845451,61.18735,-149.84645,-149.84445,61.186097,61.188097
AK2220161,SUBWAY  KNIK GOOSE BAY ROAD,"1800 S Knik Goose Bay Rd, Wasilla, Alaska, 99654",99654,Alaska,Region 10,Transient non-community system,112,WASILLA,Matanuska-Susitna Borough,2,9,3,-149.459983,61.562826,-149.460291,61.5634,-149.460983,-149.458983,61.561826,61.563826
AK2227432,PALMER FAMILY CHURCH OF THE NAZARENE,"99645, Palmer, Alaska",99645,Alaska,Region 10,Transient non-community system,50,PALMER,Matanuska-Susitna Borough,2,21,6,-149.113456,61.601958,-149.113456,61.601958,-151.285456,-146.941456,59.429958,63.773958
AK2223593,SUMMIT WORSHIP CENTER,"125 W Riley Ave, Wasilla, Alaska, 99654",99654,Alaska,Region 10,Transient non-community system,204,WASILLA,Matanuska-Susitna Borough,4,24,5,-149.453501,61.570636,-149.453481,61.57151,-149.454501,-149.452501,61.569636,61.571636
AK2214104,LIFE CHURCH,"99511, Anchorage, Alaska",99511,Alaska,Region 10,Transient non-community system,140,ANCHORAGE,Anchorage Municipality,4,44,5,-149.85926,61.110969,-149.85926,61.110969,-149.86426,-149.85426,61.105969,61.115969
AK2215922,GREEK ORTHODOX CHURCH,"99508, Anchorage, Alaska",99508,Alaska,Region 10,Transient non-community system,60,ANCHORAGE,Anchorage Municipality,4,12,4,-149.800085,61.207593,-149.800085,61.207593,-149.868085,-149.732085,61.139593,61.275593
AK2130148,PETERSBURG,"99833, Kupreanof, Alaska",99833,Alaska,Region 10,Community water system,3218,PETERSBURG,Wrangell City and Borough,10,44,11,-132.94082,56.808897,-132.94082,56.808897,-133.95682,-131.92482,55.792897,57.824897
AK2300272,HUGHES PUBLIC WATER SUPPLY,"99745, Hughes, Alaska",99745,Alaska,Region 10,Community water system,107,HUGHES,Yukon-Koyukuk Census Area,7,257,8,-154.260163,66.046409,-154.260163,66.046409,-155.531163,-152.989163,64.775409,67.317409
AK2120127,SAXMAN,"99901, Saxman, Alaska",99901,Alaska,Region 10,Community water system,450,SAXMAN,Ketchikan Gateway Borough,5,290,14,-131.686969,55.357098,-131.686969,55.357098,-134.421969,-128.951969,52.622098,58.092098
AK2270207,NUNAM IQUA WATER SYSTEM,"99666, Nunam Iqua, Alaska",99666,Alaska,Region 10,Community water system,213,NUNAM IQUA,Bethel Census Area,5,789,10,-164.888422,62.507169,-164.888422,62.507169,-164.938422,-164.838422,62.457169,62.557169
AK2312415,SALCHA COMMUNITY WATERING POINT,"99714, Fairbanks, Alaska",99714,Alaska,Region 10,Community water system,500,SALCHA,Fairbanks North Star Borough,4,8,3,-147.050538,64.574692,-147.050538,64.574692,-150.213538,-143.887538,61.411692,67.737692
AK2216407,PORTAGE GLACIER CRUISES,"99501, Anchorage, Alaska",99501,Alaska,Region 10,Transient non-community system,400,GIRDWOOD,Anchorage Municipality,5,16,4,-149.8626,61.208824,-149.8626,61.208824,-149.9316,-149.7936,61.139824,61.277824
AK2260090,MANOKOTAK WATER SYSTEM,"99628, Manokotak, Alaska",99628,Alaska,Region 10,Community water system,293,MANOKOTAK,Dillingham Census Area,5,656,6,-159.176284,59.697584,-159.176284,59.697584,-162.398284,-155.954284,56.475584,62.919584
AK2262246,MANOKOTAK HEIGHTS W/S,"99628, Manokotak, Alaska",99628,Alaska,Region 10,Community water system,215,MANOKOTAK,Dillingham Census Area,8,772,7,-159.176284,59.697584,-159.176284,59.697584,-162.398284,-155.954284,56.475584,62.919584
AK2220414,IMMANUEL BAPTIST CHURCH,"7540 E Cottrell-Campus Dr, Palmer, Alaska, 99645",99645,Alaska,Region 10,Transient non-community system,60,PALMER,Matanuska-Susitna Borough,4,0,2,-149.256534,61.574403,-149.254971,61.57374,-149.257534,-149.255534,61.573403,61.575403
AK2220692,ISLANDER BAR & RESTAURANT,"99652, Wasilla, Alaska",99652,Alaska,Region 10,Transient non-community system,74,WASILLA,Matanuska-Susitna Borough,2,29,4,-150.109193,61.523184,-150.109193,61.523184,-150.417193,-149.801193,61.215184,61.831184
AK2220183,SELAH SALON & HEALTH SPA,"2050 E Bogard Rd, Wasilla, Alaska, 99654",99654,Alaska,Region 10,Transient non-community system,77,WASILLA,Matanuska-Susitna Borough,2,13,3,-149.39812,61.590962,-149.397301,61.59047,-149.39912,-149.39712,61.589962,61.591962
AK2310900,COLLEGE UTILITIES CORPORATION,"99708, Fairbanks, Alaska",99708,Alaska,Region 10,Community water system,27000,FAIRBANKS,Fairbanks North Star Borough,8,75,6,-147.826167,64.849034,-147.826167,64.849034,-147.831167,-147.821167,64.844034,64.854034
AK2310730,GOLDEN HEART UTILITIES,"99708, Fairbanks, Alaska",99708,Alaska,Region 10,Community water system,78324,FAIRBANKS,Fairbanks North Star Borough,8,71,5,-147.826167,64.849034,-147.826167,64.849034,-147.831167,-147.821167,64.844034,64.854034
AK2249662,REAL ALASKAN CABINS & RV,"99672, Sterling, Alaska",99672,Alaska,Region 10,Transient non-community system,86,STERLING,Kenai Peninsula Borough,4,18,2,-150.889885,60.521265,-150.889885,60.521265,-151.219885,-150.559885,60.191265,60.851265
AK2242610,NIKISKI COMMUNITY RECREATION CENTER,"99635, Kenai, Alaska",99635,Alaska,Region 10,Transient non-community system,210,NIKISKI,Kenai Peninsula Borough,5,30,6,-151.30488,60.72858,-151.30488,60.72858,-151.30988,-151.29988,60.72358,60.73358
AK2242636,NIKISKI POOL,"99635, Kenai, Alaska",99635,Alaska,Region 10,Transient non-community system,160,NIKISKI,Kenai Peninsula Borough,7,5,7,-151.30488,60.72858,-151.30488,60.72858,-151.30988,-151.29988,60.72358,60.73358
AK2261648,TIKCHIK NARROWS LODGE,"99576, Koliganek, Alaska",99576,Alaska,Region 10,Transient non-community system,56,DILLINGHAM,Dillingham Census Area,4,95,5,-158.458931,59.040954,-158.458931,59.040954,-158.956931,-157.960931,58.542954,59.538954
AK2213598,ALPINE WOODS WATER SYSTEM,"99511, Anchorage, Alaska",99511,Alaska,Region 10,Community water system,200,ANCHORAGE,Anchorage Municipality,4,92,8,-149.85926,61.110969,-149.85926,61.110969,-149.86426,-149.85426,61.105969,61.115969
AK2249995,"SEWARD WINDSONG LODGE EMPLOYEE AREA, WEL","99664, Seward, Alaska",99664,Alaska,Region 10,Transient non-community system,69,SEWARD,Kenai Peninsula Borough,3,2,4,-149.38081,60.187185,-149.38081,60.187185,-150.82481,-147.93681,58.743185,61.631185
AK2314603,BUETOW DENTAL CLINIC,"408 Slater Dr, Fairbanks, Alaska, 99701",99701,Alaska,Region 10,Transient non-community system,39,NORTH POLE,Fairbanks North Star Borough,4,2,2,-147.695733,64.836152,-147.695031,64.8357,-147.696733,-147.694733,64.835152,64.837152
AK2225241,"MUSEUM OF ALASKA, TRANSPORTATION & INDUS","99687, Wasilla, Alaska",99687,Alaska,Region 10,Transient non-community system,29,WASILLA,Matanuska-Susitna Borough,3,20,6,-150.163395,61.28521,-150.163395,61.28521,-150.673395,-149.653395,60.77521,61.79521
AK2220091,CROSSROADS CENTER,"13120 Lupine Rd, Anchorage, Alaska, 99516",99516,Alaska,Region 10,Transient non-community system,64,WASILLA,Matanuska-Susitna Borough,2,5,3,-149.751028,61.101979,-149.751671,61.10198,-149.752028,-149.750028,61.100979,61.102979
AK2225989,CROSSROADS CENTER MALL,"13120 Lupine Rd, Anchorage, Alaska, 99516",99516,Alaska,Region 10,Non-Transient non-community system,50,WASILLA,Matanuska-Susitna Borough,3,75,3,-149.751028,61.101979,-149.751671,61.10198,-149.752028,-149.750028,61.100979,61.102979
AK2210639,EAST 98TH AVENUE WELL HOA,"5061 E 98th Ave, Anchorage, Alaska, 99507",99507,Alaska,Region 10,Community water system,76,ANCHORAGE,Anchorage Municipality,3,135,8,-149.787267,61.133437,-149.787511,61.13367,-149.788267,-149.786267,61.132437,61.134437
AK2121467,EL CAPITAN LODGE,"99921, Craig, Alaska",99921,Alaska,Region 10,Transient non-community system,38,CRAIG,,5,46,2,-133.138605,55.476995,-133.138605,55.476995,-133.946605,-132.330605,54.668995,56.284995
AK2262660,D & D RESTAURANT,"99633, Naknek, Alaska",99633,Alaska,Region 10,Transient non-community system,25,NAKNEK,Bristol Bay Borough,5,69,4,-157.00638,58.732039,-157.00638,58.732039,-157.32938,-156.68338,58.409039,59.055039
AK2249105,KENAI FJORDS GLACIER LODGE,"99587, Girdwood, Alaska",99587,Alaska,Region 10,Transient non-community system,40,SEWARD,Kenai Peninsula Borough,4,14,2,-149.136325,60.962699,-149.136325,60.962699,-149.812325,-148.460325,60.286699,61.638699
AK2246020,KENAI RIVERSIDE RV PARK,"99587, Girdwood, Alaska",99587,Alaska,Region 10,Transient non-community system,70,COOPER LANDING,Kenai Peninsula Borough,4,13,5,-149.136325,60.962699,-149.136325,60.962699,-149.812325,-148.460325,60.286699,61.638699
AK2244442,KENAI RIVERSIDE LODGE,"99587, Girdwood, Alaska",99587,Alaska,Region 10,Transient non-community system,52,COOPER LANDING,Kenai Peninsula Borough,4,5,6,-149.136325,60.962699,-149.136325,60.962699,-149.812325,-148.460325,60.286699,61.638699
AK2270469,BETHEL NATIVE CORPORATION APTS,"99559, Bethel, Alaska",99559,Alaska,Region 10,Community water system,224,BETHEL,Bethel Census Area,3,96,7,-161.790509,60.784468,-161.790509,60.784468,-165.613509,-157.967509,56.961468,64.607468
AK2271106,BETHEL NATIVE CORP OFFICES,"99559, Bethel, Alaska",99559,Alaska,Region 10,Non-Transient non-community system,99,BETHEL,Bethel Census Area,4,60,7,-161.790509,60.784468,-161.790509,60.784468,-165.613509,-157.967509,56.961468,64.607468
AK2130596,GUSTAVUS WATER SYSTEM,"99826, Gustavus, Alaska",99826,Alaska,Region 10,Non-Transient non-community system,117,GUSTAVUS,Skagway Municipality,5,164,6,-135.738844,58.420605,-135.738844,58.420605,-137.943844,-133.533844,56.215605,60.625605
AK2130198,BARTLETT COVE WATER SYS,"99826, Gustavus, Alaska",99826,Alaska,Region 10,Non-Transient non-community system,123,GUSTAVUS,Skagway Municipality,5,194,9,-135.738844,58.420605,-135.738844,58.420605,-137.943844,-133.533844,56.215605,60.625605
AK2372017,AK DIV PARKS - BIG DELTA,"3700 Airport Way, Fairbanks, Alaska, 99709",99709,Alaska,Region 10,Transient non-community system,30,DELTA JUNCTION,Southeast Fairbanks Census Area,3,4,7,-147.813651,64.836866,-147.812801,64.83937,-147.814651,-147.812651,64.835866,64.837866
AK2370120,AK DIV PARKS - DELTA SRS,"3700 Airport Way, Fairbanks, Alaska, 99709",99709,Alaska,Region 10,Transient non-community system,53,FAIRBANKS,Fairbanks North Star Borough,6,6,5,-147.813651,64.836866,-147.812801,64.83937,-147.814651,-147.812651,64.835866,64.837866
AK2249229,OCEAN MARINE SERVICES LLC WATER HAULING,"99635, Kenai, Alaska",99635,Alaska,Region 10,Non-Transient non-community system,449,NIKISKI,Kenai Peninsula Borough,11,2,2,-151.30488,60.72858,-151.30488,60.72858,-151.30988,-151.29988,60.72358,60.73358
AK2270299,EMMONAK WATER SYSTEM,"99581, Emmonak, Alaska",99581,Alaska,Region 10,Community water system,820,EMMONAK,Wade Hampton Census Area,7,944,12,-164.536471,62.777789,-164.536471,62.777789,-164.602471,-164.470471,62.711789,62.843789
AK2218760,EAGLE RIVER KINGDOM HALL,"17693 Werre St, Anchorage, Alaska, 99567",99567,Alaska,Region 10,Transient non-community system,163,CHUGIAK,Anchorage Municipality,4,3,4,-149.525234,61.379919,-149.524461,61.37992,-149.526234,-149.524234,61.378919,61.380919
AK2226321,SHEEP MOUNTAIN LODGE,"17701 W Glenn Hwy, Sutton, Alaska, 99674",99674,Alaska,Region 10,Transient non-community system,71,PALMER,Matanuska-Susitna Borough,4,15,7,-147.496916,61.811767,-147.497701,61.81246,-147.497916,-147.495916,61.810767,61.812767
AK2213564,SPRING FOREST HOMEOWNERS ASSN.,"99516, Anchorage, Alaska",99516,Alaska,Region 10,Community water system,94,ANCHORAGE,Anchorage Municipality,3,97,8,-149.833846,61.106663,-149.833846,61.106663,-150.115846,-149.551846,60.824663,61.388663
AK2227343,TURNERS CORNER,"99645, Palmer, Alaska",99645,Alaska,Region 10,Transient non-community system,406,PALMER,Matanuska-Susitna Borough,3,5,5,-149.113456,61.601958,-149.113456,61.601958,-151.285456,-146.941456,59.429958,63.773958
AK2243161,SALTRY,"99603, English Bay, Alaska",99603,Alaska,Region 10,Transient non-community system,75,HALIBUT COVE,Kenai Peninsula Borough,5,87,6,-151.542971,59.645807,-151.542971,59.645807,-152.674971,-150.410971,58.513807,60.777807
AK2243666,KASILOF RIVERVIEW,"99610, Kasilof, Alaska",99610,Alaska,Region 10,Transient non-community system,127,KASILOF,Kenai Peninsula Borough,5,44,6,-151.268492,60.300148,-151.268492,60.300148,-151.428492,-151.108492,60.140148,60.460148
AK2240896,KENAI LANDING COMMERCIAL CONDO ASSOC.,"2101 Bowpicker Ln, Kenai, Alaska, 99611",99611,Alaska,Region 10,Transient non-community system,224,KENAI,Kenai Peninsula Borough,12,9,3,-151.262815,60.53277,-151.258711,60.53277,-151.263815,-151.261815,60.53177,60.53377
AK2241313,FOUR ROYLE PARKERS BAR & REST.,"99669, Soldotna, Alaska",99669,Alaska,Region 10,Transient non-community system,31,SOLDOTNA,Kenai Peninsula Borough,6,10,5,-150.51009,60.210368,-150.51009,60.210368,-151.24309,-149.77709,59.477368,60.943368
AK2220464,H & H LAKEVIEW LODGE,"99688, Willow, Alaska",99688,Alaska,Region 10,Transient non-community system,42,WILLOW,Matanuska-Susitna Borough,3,7,7,-150.115785,61.699978,-150.115785,61.699978,-151.077785,-149.153785,60.737978,62.661978
AK2211164,COUNTRY LANE APARTMENTS,"5901 E 6th Ave, Anchorage, Alaska, 99504",99504,Alaska,Region 10,Community water system,130,ANCHORAGE,Anchorage Municipality,2,73,7,-149.76988,61.216947,-149.769881,61.21726,-149.77088,-149.76888,61.215947,61.217947
AK2210320,FOUR SEASONS TC,"5901 E 6th Ave, Anchorage, Alaska, 99504",99504,Alaska,Region 10,Community water system,365,ANCHORAGE,Anchorage Municipality,4,113,7,-149.76988,61.216947,-149.769881,61.21726,-149.77088,-149.76888,61.215947,61.217947
AK2220474,BRIGHT MINDS LEARNING CENTER,"99688, Willow, Alaska",99688,Alaska,Region 10,Non-Transient non-community system,149,WASILLA,Matanuska-Susitna Borough,2,43,1,-150.115785,61.699978,-150.115785,61.699978,-151.077785,-149.153785,60.737978,62.661978
AK2213962,SUN VALLEY HEIGHTS SOUTH,"6500 Gunnison Dr, Anchorage, Alaska, 99516",99516,Alaska,Region 10,Community water system,34,ANCHORAGE,Anchorage Municipality,4,155,7,-149.760437,61.098802,-149.761151,61.09822,-149.761437,-149.759437,61.097802,61.099802
AK2298932,TSAINA LODGE,"99686, Valdez, Alaska",99686,Alaska,Region 10,Transient non-community system,43,VALDEZ,Valdez-Cordova Census Area,4,12,3,-146.350476,61.134104,-146.350476,61.134104,-147.907476,-144.793476,59.577104,62.691104
AK2270338,CHEFORNAK WATER SYSTEM,"99561, Chefornak, Alaska",99561,Alaska,Region 10,Community water system,454,CHEFORNAK,Bethel Census Area,5,199,7,-164.084175,60.134814,-164.084175,60.134814,-164.530175,-163.638175,59.688814,60.580814
AK2211130,TRAILS END MHP,"705 Muldoon Rd, Anchorage, Alaska, 99504",99504,Alaska,Region 10,Community water system,100,ANCHORAGE,Anchorage Municipality,4,30,8,-149.733404,61.215721,-149.733131,61.21573,-149.734404,-149.732404,61.214721,61.216721
AK2227173,MEADOW VALLEY SD ADD #1,"1970 S Whiting Cir, Palmer, Alaska, 99645",99645,Alaska,Region 10,Transient non-community system,35,PALMER,Matanuska-Susitna Borough,5,23,5,-149.271164,61.561419,-149.272141,61.56146,-149.272164,-149.270164,61.560419,61.562419
AK2249337,TOWN OF THE LIVING TREES,"41672 Sterling Hwy, Soldotna, Alaska, 99669",99669,Alaska,Region 10,Transient non-community system,25,SOLDOTNA,Kenai Peninsula Borough,4,21,6,-150.989522,60.501207,-150.989651,60.50185,-150.990522,-150.988522,60.500207,60.502207
AK2220270,CUBBYS MARKETPLACE,"99676, Talkeetna, Alaska",99676,Alaska,Region 10,Non-Transient non-community system,278,TALKEETNA,Matanuska-Susitna Borough,2,30,1,-150.03571,62.13711,-150.03571,62.13711,-153.64571,-146.42571,58.52711,65.74711
