PWSID,Approximate Address
AS9710914,Not Found
AS9711110,Not Found
AS9711100,Not Found
AS9900050,Not Found
AS9900046,Not Found
AS9900066,Not Found
AS9900032,Not Found
AS9900152,Not Found
AS9900151,Not Found
AS9900063,Not Found
AS9900031,Not Found
AS9900141,Not Found
AS9900015,Not Found
AS9900163,Not Found
AS9900162,Not Found
AS9900160,Not Found
AS9900092,Not Found
AS9900070,Not Found
AS9900068,Not Found
AS9900067,Not Found
AS9900028,Not Found
AS9900154,Not Found
AS9900164,Not Found
AS9900084,Not Found
AS9900117,Not Found
AS9900099,Not Found
AS9900085,Not Found
AS9900052,Not Found
AS9900039,Not Found
AS9900150,Not Found
AS9711948,Not Found
AS9711356,Not Found
AS9710858,Not Found
AS9710855,Not Found
AS9710657,Not Found
AS9710652,Not Found
AS9630243,Not Found
AS9630145,Not Found
AS9430546,Not Found
AS9310751,Not Found
AS9900076,Not Found
AS9900138,Not Found
AS9900078,Not Found
AS9900064,Not Found
AS9900008,Not Found
AS9900079,Not Found
AS9900001,Not Found
AS9900122,Not Found
AS9900109,Not Found
AS9900155,Not Found
AS9900112,Not Found
AS9900086,Not Found
AS9900010,Not Found
AS9900124,Not Found
AS9900100,Not Found
AS9710601,Not Found
AS9710621,Not Found
AS9721042,Not Found
AS9721040,Not Found
AS9711160,Not Found
AS9710820,Not Found
AS9900047,Not Found
AS9900135,Not Found
AS9900159,Not Found
AS9900036,Not Found
AS9900035,Not Found
AS9900097,Not Found
AS9900071,Not Found
AS9900059,Not Found
AS9900034,Not Found
AS9900017,Not Found
AS9900004,Not Found
AS9900137,Not Found
AS9900134,Not Found
AS9900133,Not Found
AS9900132,Not Found
AS9900131,Not Found
AS9900130,Not Found
AS9900127,Not Found
AS9900125,Not Found
AS9900120,Not Found
AS9900116,Not Found
AS9900113,Not Found
AS9900111,Not Found
AS9900089,Not Found
AS9900074,Not Found
AS9900073,Not Found
AS9900069,Not Found
AS9900061,Not Found
AS9900058,Not Found
AS9900054,Not Found
AS9900165,Not Found
AS9900080,Not Found
AS9900053,Not Found
AS9900043,Not Found
AS9900033,Not Found
AS9900016,Not Found
AS9900013,Not Found
AS9900161,Not Found
AS9900144,Not Found
AS9900143,Not Found
AS9900147,Not Found
AS9900148,Not Found
AS9900149,Not Found
AS9900029,Not Found
AS9900102,Not Found
AS9900119,Not Found
AS9900139,Not Found
AS9900140,Not Found
AS9900153,Not Found
AS9900167,Not Found
