PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Latitude,Longitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
AZ0408123,MOHAVE SHRINE CLUB,"86442, Bullhead City, Arizona",86442,Arizona,Region 9,Transient non-community system,100,BULLHEAD CITY,Mohave,3,55,8,-114.630421,35.101176,-114.630421,35.101176,-114.852421,-114.408421,34.879176,35.323176
AZ0404054,HAYDEN TOWN OF,"85135, Hayden, Arizona",85135,Arizona,Region 9,Community water system,870,HAYDEN,Gila,4,62,19,-110.785783,33.004342,-110.785783,33.004342,-110.866783,-110.704783,32.923342,33.085342
AZ0413373,SUNSET MOBILE HOME PARK,"86336, Sedona, Arizona",86336,Arizona,Region 9,Community water system,250,SEDONA,Yavapai,4,76,16,-111.806404,34.865567,-111.806404,34.865567,-112.366404,-111.246404,34.305567,35.425567
AZ0404096,COWAN RANCH HOA,"85207, Mesa, Arizona",85207,Arizona,Region 9,Transient non-community system,25,PAYSON,Gila,4,9,6,-111.624311,33.423511,-111.624311,33.423511,-111.718311,-111.530311,33.329511,33.517511
AZ0403064,CLEAR CREEK PINES UNIT 2,"11507 W Cyprus Dr, Avondale, Arizona, 85392",85392,Arizona,Region 9,Transient non-community system,60,CLINTS WELL,Coconino,6,122,12,-112.306892,33.482725,-112.306991,33.48253,-112.307892,-112.305892,33.481725,33.483725
AZ0404108,JAKES CORNER BAR,"57564 N AZ Highway 188, Payson, Arizona, 85541",85541,Arizona,Region 9,Transient non-community system,25,PAYSON,Gila,4,20,3,-111.319827,34.010747,-111.320141,34.01041,-111.320827,-111.318827,34.009747,34.011747
AZ0411411,3C GUEST RANCH WATER SYSTEM,"85623, Oracle, Arizona",85623,Arizona,Region 9,Transient non-community system,36,ORACLE,Pinal,6,0,3,-110.792045,32.615899,-110.792045,32.615899,-111.048045,-110.536045,32.359899,32.871899
AZ0404333,SHADOW RIM RANCH,"85541, Star Valley, Arizona",85541,Arizona,Region 9,Transient non-community system,130,PAYSON,Gila,8,34,17,-111.323782,34.233241,-111.323782,34.233241,-111.896782,-110.750782,33.660241,34.806241
AZ0404315,LAKE ROOSEVELT WATER PLANT,"85545, Roosevelt, Arizona",85545,Arizona,Region 9,Transient non-community system,100,ROOSEVELT,Gila,7,49,23,-110.998741,33.604711,-110.998741,33.604711,-111.356741,-110.640741,33.246711,33.962711
AZ0407045,WICKENBURG TOWN OF,"85390, Wickenburg, Arizona",85390,Arizona,Region 9,Community water system,6250,WICKENBURG,Maricopa,23,201,20,-112.745942,34.01868,-112.745942,34.01868,-113.195942,-112.295942,33.56868,34.46868
AZ0420033,DESERT SHORES RV MHP,"85705, Tucson, Arizona",85705,Arizona,Region 9,Community water system,220,TUCSON,Pima,7,47,19,-110.971602,32.25923,-110.971602,32.25923,-111.044602,-110.898602,32.18623,32.33223
AZ0420018,TUCSON COUNTRY DAY SCHOOL,"9239 E Wrightstown Rd, Tucson, Arizona, 85715",85715,Arizona,Region 9,Non-Transient non-community system,800,TUCSON,Pima,5,28,17,-110.795462,32.242718,-110.795461,32.24436,-110.796462,-110.794462,32.241718,32.243718
AZ0413481,KAIBAB WATER LLC,"46585 N Cattle Dr, Ash Fork, Arizona, 86320",86320,Arizona,Region 9,Transient non-community system,25,,Yavapai,4,6,1,-112.497691,35.165524,-112.497701,35.16489,-112.498691,-112.496691,35.164524,35.166524
AZ0413026,LAKESIDE WATER COMPANY,"86304, Prescott, Arizona",86304,Arizona,Region 9,Community water system,55,PRESCOTT,Yavapai,7,81,11,-112.478561,34.548321,-112.478561,34.548321,-112.483561,-112.473561,34.543321,34.553321
AZ0413060,COTTONWOOD MUNICIPAL WATER VV 1,"86326, Cottonwood, Arizona",86326,Arizona,Region 9,Community water system,840,CAMP VERDE,Yavapai,10,214,17,-112.013951,34.739666,-112.013951,34.739666,-112.227951,-111.799951,34.525666,34.953666
