PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Latitude,Longitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
ARN000189,R V A F TEXARKANA,"71854, Texarkana, Arkansas",71854,Arkansas,Region 6,Non-Transient non-community system,120,,Miller,5,5,7,-94.032429,33.452028,-94.032429,33.452028,-94.358429,-93.706429,33.126028,33.778028
AR0000101,COMMUNITY WATER SYSTEM,"299 Lakeshore Dr, Higden, Arkansas, 72067",72067,Arkansas,Region 6,Community water system,17038,,"Cleburne, Faulkner, Van Buren",7,8,11,-92.200597,35.56876,-92.200141,35.56875,-92.201597,-92.199597,35.56776,35.56976
ARN000080,BLACK BEAR SPRINGS,"809 N Lewis Ave, Tulsa, Oklahoma, 74110",74110,Arkansas,Region 6,Transient non-community system,25,,Polk,3,0,7,-95.958155,36.166462,-95.958155,36.166462,-95.968155,-95.948155,36.156462,36.176462
AR0000726,LAKESHORE ESTATES WATER ASSN,"72364, Marion, Arkansas",72364,Arkansas,Region 6,Community water system,634,,Crittenden,2,27,8,-90.198867,35.210435,-90.198867,35.210435,-90.326867,-90.070867,35.082435,35.338435
AR0000799,BIG CLIFTY WATER,"325 CR-1522, Eureka Springs, Arkansas, 72632",72632,Arkansas,Region 6,Community water system,170,,Carroll,3,14,6,-93.856915,36.36254,-93.856915,36.36254,-93.866915,-93.846915,36.35254,36.37254
AR0000803,MADISON CO REGIONAL WATER,"22701 N Pinetop Rd, Rogers, Arkansas, 72756",72756,Arkansas,Region 6,Community water system,3,,"Benton, Carroll, Madison",3,3,8,-93.876326,36.324346,-93.876326,36.324346,-93.886326,-93.866326,36.314346,36.334346
AR0000590,SEARCY WATERWORKS,"72143, Georgetown, Arkansas",72143,Arkansas,Region 6,Community water system,23650,,White,3,5,9,-91.739402,35.248941,-91.739402,35.248941,-92.057402,-91.421402,34.930941,35.566941
AR0000720,PLEASANT GROVE,"72567, Pleasant Grove, Arkansas",72567,Arkansas,Region 6,Community water system,2202,,Stone,5,2,7,-91.900876,35.825193,-91.900876,35.825193,-91.975876,-91.825876,35.750193,35.900193
AR0000699,GENTRYVILLE PUBLIC WATER AUTH,"72513, Ash Flat, Arkansas",72513,Arkansas,Region 6,Community water system,402,,Sharp,3,0,7,-91.650264,36.264229,-91.650264,36.264229,-91.788264,-91.512264,36.126229,36.402229
ARN000022,ALBEMARLE CORPORATION SOUTH,"71753, Village, Arkansas",71753,Arkansas,Region 6,Non-Transient non-community system,550,,Columbia,3,3,5,-93.243322,33.266954,-93.243322,33.266954,-93.555322,-92.931322,32.954954,33.578954
AR0000883,PARON-OWENSVILLE WATER AUTHORITY,"72203, Little Rock, Arkansas",72203,Arkansas,Region 6,Community water system,2025,,Saline,5,48,9,-92.264951,34.743881,-92.264951,34.743881,-92.269951,-92.259951,34.738881,34.748881
AR0001069,N E WHITE COUNTY PUBLIC FACILITIES BOARD,"72143, Georgetown, Arkansas",72143,Arkansas,Region 6,Community water system,0,,White,2,0,4,-91.739402,35.248941,-91.739402,35.248941,-92.057402,-91.421402,34.930941,35.566941
AR0000824,LAKE TABLE ROCK ESTATES,"8357 Wind Rock Ln, Harrison, Arkansas, 72601",72601,Arkansas,Region 6,Community water system,33,,Carroll,3,9,6,-93.229937,36.277832,-93.229151,36.27786,-93.230937,-93.228937,36.276832,36.278832
AR0000722,CLAY CO REG WATER DISTRICT,"72441, McDougal, Arkansas",72441,Arkansas,Region 6,Community water system,5515,,"Clay, Greene, Randolph",10,6,8,-90.363562,36.266022,-90.363562,36.266022,-90.385562,-90.341562,36.244022,36.288022
AR0000693,GATEWAY PUBLIC WATER AUTHORITY,"72733, Gateway, Arkansas",72733,Arkansas,Region 6,Community water system,1890,,Benton,4,14,10,-93.930462,36.49058,-93.930462,36.49058,-93.935462,-93.925462,36.48558,36.49558
AR0000709,MORRISON BLUFF WATER SYSTEM,"22189 N State Highway 109, Morrison Bluff, Arkansas, 72863",72863,Arkansas,Region 6,Community water system,325,,Logan,3,8,9,-93.529966,35.387687,-93.531591,35.38758,-93.530966,-93.528966,35.386687,35.388687
AR0000716,LISBON WATER ASSOCIATION,"101 Wotapi St, El Dorado, Arkansas, 71730",71730,Arkansas,Region 6,Community water system,439,,Union,5,2,6,-92.7096,33.173024,-92.7096,33.173024,-92.7196,-92.6996,33.163024,33.183024
ARN000214,GEORGIA PACIFIC WOOD PRODUCTS LLC,"71742, Fordyce, Arkansas",71742,Arkansas,Region 6,Non-Transient non-community system,100,,Calhoun,3,0,5,-92.412571,33.811111,-92.412571,33.811111,-92.622571,-92.202571,33.601111,34.021111
AR0001123,WILSON GUN SHOP #2,"2452 CR-719, Berryville, Arkansas, 72616",72616,Arkansas,Region 6,Non-Transient non-community system,175,,Carroll,3,5,4,-93.489246,36.215425,-93.489141,36.21553,-93.490246,-93.488246,36.214425,36.216425
AR0000749,HWY 64 WATER ASSOCIATION,"72364, Marion, Arkansas",72364,Arkansas,Region 6,Community water system,215,,Crittenden,2,34,6,-90.198867,35.210435,-90.198867,35.210435,-90.326867,-90.070867,35.082435,35.338435
AR0000753,OLD BELLA VISTA POA,"72714, Bella Vista, Arkansas",72714,Arkansas,Region 6,Community water system,105,,Benton,4,56,8,-94.193155,36.45864,-94.193155,36.45864,-94.273155,-94.113155,36.37864,36.53864
