PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Latitude,Longitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
CA2700534,COLONIAL OAK WC INC,"93907, Prunedale, California",93907,California,Region 9,Community water system,198,,Monterey,8,22,12,-121.661001,36.799891,-121.661001,36.799891,-121.864001,-121.458001,36.596891,37.002891
CA0900631,CAMP CONCORD,"1950 Parkside Dr, Concord, California, 94519",94519,California,Region 9,Transient non-community system,69,,El Dorado,4,10,4,-122.024986,37.980601,-122.024111,37.98133,-122.025986,-122.023986,37.979601,37.981601
CA3301222,DOWLING FRUIT ORCHARD,"92223, Beaumont, California",92223,California,Region 9,Transient non-community system,1522,,Riverside,7,6,7,-116.971387,33.932591,-116.971387,33.932591,-117.121387,-116.821387,33.782591,34.082591
CA4900912,SALT & STONE RESTAURANT,"95452, Kenwood, California",95452,California,Region 9,Transient non-community system,60,,Sonoma,5,1,2,-122.546467,38.430863,-122.546467,38.430863,-122.612467,-122.480467,38.364863,38.496863
CA3301939,JEWEL DATE CO. INC.,"84675 60th Ave, Thermal, California, 92274",92274,California,Region 9,Non-Transient non-community system,75,,Riverside,5,7,8,-116.186903,33.612853,-116.186903,33.612853,-116.196903,-116.176903,33.602853,33.622853
CA3301373,OASIS DATE GARDENS,"59111 Highway 111, Thermal, California, 92274",92274,California,Region 9,Non-Transient non-community system,1233,,Riverside,2,35,18,-116.127147,33.626269,-116.127147,33.626269,-116.137147,-116.117147,33.616269,33.636269
CA3301935,"RBI  PACKING, LLC","92236, Coachella, California",92236,California,Region 9,Non-Transient non-community system,250,,Riverside,3,17,11,-116.181141,33.67275,-116.181141,33.67275,-116.288141,-116.074141,33.56575,33.77975
CA3301143,CENTRO MEDICO OASIS,"92274, Thermal, California",92274,California,Region 9,Non-Transient non-community system,122,,Riverside,5,3,3,-116.112677,33.542097,-116.112677,33.542097,-117.018677,-115.206677,32.636097,34.448097
CA1503684,148 EAST WATER SYSTEM,"93527, Inyokern, California",93527,California,Region 9,Community water system,36,,Kern,2,1,1,-117.80809,35.628815,-117.80809,35.628815,-118.22609,-117.39009,35.210815,36.046815
CA3901304,ENCLAVE AT THE DELTA,"4951 E Eight Mile Rd, Stockton, California, 95212",95212,California,Region 9,Community water system,39,,San Joaquin,4,16,42,-121.25406,38.057488,-121.254101,38.05977,-121.25506,-121.25306,38.056488,38.058488
CA2300620,SEAFOAM LODGE,"6751 N Highway 1, Little River, California, 95456",95456,California,Region 9,Transient non-community system,56,,Mendocino,6,8,5,-123.782865,39.25954,-123.782201,39.25984,-123.783865,-123.781865,39.25854,39.26054
CA4901452,QUARRYHILL BOTANICAL GARDEN,"12841 Sonoma Hwy, Glen Ellen, California, 95442",95442,California,Region 9,Transient non-community system,50,,Sonoma,2,0,0,-122.514917,38.372952,-122.514917,38.372952,-122.524917,-122.504917,38.362952,38.382952
CA4210013,SOLVANG WATER DIVISION,"1644 Oak St, Solvang, California, 93463",93463,California,Region 9,Community water system,5771,,Santa Barbara,22,12,21,-120.141318,34.593754,-120.141451,34.59348,-120.142318,-120.140318,34.592754,34.594754
CA2701498,HARBOR VIEW WA,"29 Long Valley Rd, Castroville, California, 95012",95012,California,Region 9,Community water system,75,,Monterey,3,22,11,-121.710867,36.818846,-121.710321,36.81823,-121.711867,-121.709867,36.817846,36.819846
CA2701820,CORDA RD WS,"580 San Juan Grade Rd, Salinas, California, 93906",93906,California,Region 9,Community water system,60,,Monterey,2,17,9,-121.624637,36.74924,-121.621081,36.74722,-121.625637,-121.623637,36.74824,36.75024
CA2702527,JOLON RD WS #10,"70226 Jolon Rd, Bradley, California, 93426",93426,California,Region 9,Transient non-community system,25,,Monterey,5,27,13,-120.982485,35.904774,-120.982901,35.90321,-120.983485,-120.981485,35.903774,35.905774
CA0900603,ECHO PEAK WATER ASSOCIATION,"95613, Coloma, California",95613,California,Region 9,Transient non-community system,73,,El Dorado,2,10,4,-120.892485,38.801214,-120.892485,38.801214,-120.906485,-120.878485,38.787214,38.815214
CA0706049,ALOHA CLUB,"1432 Martin Luther King Jr Way, Oakland, California, 94612",94612,California,Region 9,Transient non-community system,60,,Contra Costa,5,18,18,-122.275623,37.806703,-122.275381,37.80661,-122.276623,-122.274623,37.805703,37.807703
CA0706027,ORIN ALLEN YOUTH REHAB FACILITY,"4491 Bixler Rd, Byron, California, 94514",94514,California,Region 9,Non-Transient non-community system,300,,Contra Costa,4,14,20,-121.623086,37.87579,-121.618511,37.87578,-121.624086,-121.622086,37.87479,37.87679
CA4410013,SCOTTS VALLEY WATER DISTRICT,"2 Civic Center Dr, Scotts Valley, California, 95066",95066,California,Region 9,Community water system,10509,,Santa Cruz,36,13,27,-122.017506,37.049771,-122.017241,37.04965,-122.018506,-122.016506,37.048771,37.050771
CA1000454,VIKING RV PARK,"501 W Kamm Ave, Kingsburg, California, 93631",93631,California,Region 9,Transient non-community system,104,,Fresno,2,7,4,-119.576664,36.533299,-119.576664,36.533299,-119.586664,-119.566664,36.523299,36.543299
CA2100519,ESTERO MUTUAL,"94929, Dillon Beach, California",94929,California,Region 9,Community water system,186,,Marin,9,53,8,-122.96441,38.249931,-122.96441,38.249931,-123.00041,-122.92841,38.213931,38.285931
CA1700596,BLUE LAKES VILLAGE,"5690 Dempsey Pl, Santa Rosa, California, 95403",95403,California,Region 9,Community water system,65,,Lake,6,26,5,-122.76297,38.513983,-122.762641,38.51385,-122.76397,-122.76197,38.512983,38.514983
CA0900623,TAHOE TRAVEL INN,"3536 Lake Tahoe Blvd, South Lake Tahoe, California, 96150",96150,California,Region 9,Transient non-community system,104,,El Dorado,4,10,4,-119.962222,38.946763,-119.962041,38.94639,-119.963222,-119.961222,38.945763,38.947763
CA0900553,BEVERLY LODGE,"3480 Lake Tahoe Blvd, South Lake Tahoe, California, 96150",96150,California,Region 9,Transient non-community system,25,,El Dorado,4,9,5,-119.964312,38.946144,-119.964091,38.94571,-119.965312,-119.963312,38.945144,38.947144
CA0900535,PINEWOOD INN,"3818 Lake Tahoe Blvd, South Lake Tahoe, California, 96150",96150,California,Region 9,Transient non-community system,70,,El Dorado,4,6,6,-119.951649,38.951164,-119.951371,38.95078,-119.952649,-119.950649,38.950164,38.952164
CA5000372,STORER TRANSPORTATION,"3519 McDonald Ave, Modesto, California, 95358",95358,California,Region 9,Non-Transient non-community system,40,,Stanislaus,5,13,13,-121.05974,37.663768,-121.059771,37.66476,-121.06074,-121.05874,37.662768,37.664768
CA0706037,BETHEL BAPTIST CHURCH,"3725 Gateway Rd, Bethel Island, California, 94511",94511,California,Region 9,Transient non-community system,75,,Contra Costa,2,11,19,-121.62683,38.019477,-121.626821,38.0201,-121.62783,-121.62583,38.018477,38.020477
CA5000583,SALIDA HULLING ASSOCIATION WATER SYSTEM,"95368, Salida, California",95368,California,Region 9,Transient non-community system,25,,Stanislaus,3,0,4,-121.087312,37.70327,-121.087312,37.70327,-121.126312,-121.048312,37.66427,37.74227
CA3301557,EOC WELL - PALM SPRINGS,"425 N Civic Dr, Palm Springs, California, 92262",92262,California,Region 9,Transient non-community system,25,,Riverside,5,22,5,-116.515569,33.82905,-116.515569,33.82905,-116.525569,-116.505569,33.81905,33.83905
CA3301571,MCINTYRE - RIV. COUNTY PARKS,"8750 Peter D McIntyre Ave, Blythe, California, 92225",92225,California,Region 9,Transient non-community system,60,,Riverside,4,13,6,-114.56609,33.515358,-114.565701,33.51642,-114.56709,-114.56509,33.514358,33.516358
CA2701630,PRUNEDALE CHEVRON WS,"8695 Prunedale North Rd, Salinas, California, 93907",93907,California,Region 9,Transient non-community system,25,,Monterey,3,7,9,-121.668673,36.791228,-121.668211,36.7914,-121.669673,-121.667673,36.790228,36.792228
CA2700998,BUD ANTLE MARINA WS,"93942, Monterey, California",93942,California,Region 9,Non-Transient non-community system,150,,Monterey,6,21,9,-121.895302,36.595978,-121.895302,36.595978,-121.900302,-121.890302,36.590978,36.600978
CA2702382,LA TAPATIA TAQUERIA WS,"2329 San Miguel Canyon Rd, Salinas, California, 93907",93907,California,Region 9,Transient non-community system,25,,Monterey,3,8,9,-121.667093,36.803286,-121.666611,36.80346,-121.668093,-121.666093,36.802286,36.804286
CA0707639,OLD BORGES RANCH WATER SYS,"511 Lawrence Way, Walnut Creek, California, 94596",94596,California,Region 9,Transient non-community system,75,,Contra Costa,3,7,8,-122.06416,37.915184,-122.063721,37.91647,-122.06516,-122.06316,37.914184,37.916184
CA5000516,COVENANT GROVE CHURCH,"4825 Roselle Ave, Modesto, California, 95357",95357,California,Region 9,Transient non-community system,25,,Stanislaus,3,0,12,-120.940085,37.70921,-120.942251,37.70919,-120.941085,-120.939085,37.70821,37.71021
CA5000346,NINO'S PLACE WATER SYSTEM,"416 Hosmer Ave, Modesto, California, 95351",95351,California,Region 9,Transient non-community system,25,,Stanislaus,3,6,11,-120.989691,37.622813,-120.989691,37.62208,-120.990691,-120.988691,37.621813,37.623813
CA2701742,CALIFORNIA ORCHARD WS,"93930, King City, California",93930,California,Region 9,Community water system,290,,Monterey,12,14,12,-120.940471,36.268603,-120.940471,36.268603,-121.259471,-120.621471,35.949603,36.587603
CA2701403,PINE ST WS #01,"976 Las Flores St, Soledad, California, 93960",93960,California,Region 9,Community water system,65,,Monterey,6,4,10,-121.316327,36.436193,-121.316261,36.43604,-121.317327,-121.315327,36.435193,36.437193
CA2701036,APPLE AVE WS #03,"93927, Greenfield, California",93927,California,Region 9,Community water system,60,,Monterey,2,56,11,-121.406407,36.21812,-121.406407,36.21812,-121.651407,-121.161407,35.97312,36.46312
CA2701800,TULARCITOS MWC,"93924, Carmel Valley, California",93924,California,Region 9,Community water system,85,,Monterey,6,20,11,-121.597385,36.390644,-121.597385,36.390644,-121.797385,-121.397385,36.190644,36.590644
CA2702609,SAN SABA WINERY WS,"93960, Soledad, California",93960,California,Region 9,Transient non-community system,29,,Monterey,3,1,6,-121.332382,36.422187,-121.332382,36.422187,-121.523382,-121.141382,36.231187,36.613187
CA0910006,GRIZZLY FLATS COMMUNITY SERVIC,"95636, Grizzly Flats, California",95636,California,Region 9,Community water system,1300,,El Dorado,5,3,13,-120.537064,38.63488,-120.537064,38.63488,-120.703064,-120.371064,38.46888,38.80088
CA1200710,VIEW CREST LODGE,"3415 Patricks Point Dr, Trinidad, California, 95570",95570,California,Region 9,Transient non-community system,60,,Humboldt,3,41,8,-124.156544,41.122008,-124.153741,41.12191,-124.157544,-124.155544,41.121008,41.123008
CA4901419,J. RICKARDS WINERY,"24505 Chianti Rd, Cloverdale, California, 95425",95425,California,Region 9,Transient non-community system,35,,Sonoma,2,0,1,-122.949144,38.740526,-122.950531,38.73896,-122.950144,-122.948144,38.739526,38.741526
CA0600076,MENF-FOUTS SPRINGS CG,"825 N Humboldt Ave, Willows, California, 95988",95988,California,Region 9,Transient non-community system,504,,Colusa,5,0,4,-122.212145,39.53041,-122.213471,39.53041,-122.213145,-122.211145,39.52941,39.53141
CA5500115,SUGAR PINE RV RESORT,"95383, Twain Harte, California",95383,California,Region 9,Community water system,244,,Tuolumne,4,1,9,-120.231762,38.039381,-120.231762,38.039381,-120.349762,-120.113762,37.921381,38.157381
CA2701232,OLD NATIVIDAD RD WS #01,"93902, Salinas, California",93902,California,Region 9,Transient non-community system,25,,Monterey,9,16,15,-121.657103,36.673616,-121.657103,36.673616,-121.662103,-121.652103,36.668616,36.678616
CA2702299,POST RANCH INN WS,"94965, Muir Beach, California",94965,California,Region 9,Community water system,150,,Monterey,17,6,13,-122.539215,37.85289,-122.539215,37.85289,-122.607215,-122.471215,37.78489,37.92089
CA2701935,MOUNT TORO RANCHOS MWA,"26425 Lucie Ln, Salinas, California, 93908",93908,California,Region 9,Community water system,45,,Monterey,6,9,11,-121.668219,36.544263,-121.668219,36.544263,-121.678219,-121.658219,36.534263,36.554263
CA2702595,CACHAGUA COMM CTR WS,"93922, Carmel, California",93922,California,Region 9,Non-Transient non-community system,32,,Monterey,4,20,1,-121.905251,36.538501,-121.905251,36.538501,-121.910251,-121.900251,36.533501,36.543501
CA2702373,PHENEGER CREEK WS,"93920, Big Sur, California",93920,California,Region 9,Non-Transient non-community system,48,,Monterey,4,7,5,-121.572761,36.095119,-121.572761,36.095119,-122.040761,-121.104761,35.627119,36.563119
CA2702466,SAN VICENTE MWC,"93960, Soledad, California",93960,California,Region 9,Community water system,90,,Monterey,6,30,10,-121.332382,36.422187,-121.332382,36.422187,-121.523382,-121.141382,36.231187,36.613187
CA2702503,CARMEL VALLEY TENNIS CAMP WS,"20805 Cachagua Rd, Carmel Valley, California, 93924",93924,California,Region 9,Transient non-community system,27,,Monterey,3,3,6,-121.609293,36.393747,-121.608701,36.39582,-121.610293,-121.608293,36.392747,36.394747
CA2701681,EXXON STATION WS,"19045 Portola Dr, Salinas, California, 93908",93908,California,Region 9,Transient non-community system,100,,Monterey,3,21,8,-121.68555,36.623278,-121.685271,36.6232,-121.68655,-121.68455,36.622278,36.624278
CA2400315,MERCED FRUIT BARN,"4526 E CA-140, Merced, California, 95340",95340,California,Region 9,Transient non-community system,63,,Merced,2,0,2,-120.404581,37.295298,-120.404571,37.29633,-120.405581,-120.403581,37.294298,37.296298
CA3500581,RANCHO SAN JOAQUIN MWC,"95024, Hollister, California",95024,California,Region 9,Community water system,96,,San Benito,3,15,6,-121.399592,36.858801,-121.399592,36.858801,-121.404592,-121.394592,36.853801,36.863801
CA1000282,SCE/CAMP EDISON-SHAVER,"93664, Shaver Lake, California",93664,California,Region 9,Transient non-community system,200,,Fresno,9,6,6,-119.337664,37.074573,-119.337664,37.074573,-119.799664,-118.875664,36.612573,37.536573
CA1910194,ROWLAND WATER DISTRICT,"3021 Fullerton Rd, Rowland Heights, California, 91748",91748,California,Region 9,Community water system,55038,,Los Angeles,6,0,21,-117.916072,33.966588,-117.916072,33.966588,-117.926072,-117.906072,33.956588,33.976588
