PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Latitude,Longitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
GA1090000,BELLVILLE,"30414, Bellville, Georgia",30414,Georgia,Region 4,Community water system,365,BELLVILLE,Evans,6,18,5,-81.975509,32.152709,-81.975509,32.152709,-81.980509,-81.970509,32.147709,32.157709
GA1790122,DUTCHMAN`S COVE SUBDIVISION,"31320, Midway, Georgia",31320,Georgia,Region 4,Community water system,62,,Liberty,7,6,4,-81.389149,31.836148,-81.389149,31.836148,-81.595149,-81.183149,31.630148,32.042148
GA0810000,ARABI,"31712, Arabi, Georgia",31712,Georgia,Region 4,Community water system,450,ARABI,Crisp,8,5,4,-83.739998,31.832715,-83.739998,31.832715,-83.867998,-83.611998,31.704715,31.960715
GA2930027,CRESTSIDE GRILL,"127 Firetower Rd, Thomaston, Georgia, 30286",30286,Georgia,Region 4,Transient non-community system,150,THOMASTON,Upson,3,9,3,-84.444834,32.934767,-84.446171,32.93465,-84.445834,-84.443834,32.933767,32.935767
GA1790048,C.R.STANFORD APARTMENTS,"2246 Settlers Park Loop, Round Rock, Texas, 78665",78665,Georgia,Region 4,Community water system,52,HINESVILLE,Liberty,6,99,5,-97.62251,30.54818,-97.622251,30.54816,-97.62351,-97.62151,30.54718,30.54918
GA2890023,TWIGGS CO.-BLACKBOTTOM WS,"31044, Jeffersonvlle, Georgia",31044,Georgia,Region 4,Community water system,47,,Twiggs,4,12,6,-83.348668,32.688806,-83.348668,32.688806,-83.501668,-83.195668,32.535806,32.841806
GA2890012,TWIGGS CO.-KAOLIN HEIGHTS S/D,"31044, Jeffersonvlle, Georgia",31044,Georgia,Region 4,Community water system,42,DRY BRANCH,Twiggs,4,20,6,-83.348668,32.688806,-83.348668,32.688806,-83.501668,-83.195668,32.535806,32.841806
GA2890032,TWIGGS COUNTY- GENERAL TWIGGS DRIVE,"31044, Jeffersonvlle, Georgia",31044,Georgia,Region 4,Community water system,34,DRY BRANCH,Twiggs,3,1,2,-83.348668,32.688806,-83.348668,32.688806,-83.501668,-83.195668,32.535806,32.841806
GA2890031,TWIGGS COUNTY HWY 96/I16,"31044, Jeffersonvlle, Georgia",31044,Georgia,Region 4,Community water system,284,,Twiggs,5,2,5,-83.348668,32.688806,-83.348668,32.688806,-83.501668,-83.195668,32.535806,32.841806
GA0110026,BANKS CO - MOUNTAIN CREEK,"150 Hudson Rdg, Homer, Georgia, 30547",30547,Georgia,Region 4,Community water system,6453,,Banks,7,7,33,-83.475537,34.316851,-83.475537,34.316851,-83.485537,-83.465537,34.306851,34.326851
GA1770000,LEESBURG,"31763, Leesburg, Georgia",31763,Georgia,Region 4,Community water system,3266,LEESBURG,Lee,10,49,4,-84.173852,31.63589,-84.173852,31.63589,-84.445852,-83.901852,31.36389,31.90789
GA1830001,CEDAR BROOK MOBILE HOME PARK,"31301, Allenhurst, Georgia",31301,Georgia,Region 4,Community water system,50,,Long,5,10,4,-81.631119,31.756671,-81.631119,31.756671,-81.687119,-81.575119,31.700671,31.812671
GA1830025,COUNTRY MEADOWS MOBILE HOME PARK,"31301, Allenhurst, Georgia",31301,Georgia,Region 4,Community water system,58,,Long,3,9,4,-81.631119,31.756671,-81.631119,31.756671,-81.687119,-81.575119,31.700671,31.812671
GA0130002,WINDER,"30680, Winder, Georgia",30680,Georgia,Region 4,Community water system,40820,WINDER,Barrow,10,9,24,-83.718102,33.990771,-83.718102,33.990771,-83.863102,-83.573102,33.845771,34.135771
GA2750021,NEWARK,"94 Harrell Rd, Thomasville, Georgia, 31757",31757,Georgia,Region 4,Community water system,34,THOMASVILLE,Thomas,6,7,4,-83.910135,30.823793,-83.910141,30.82349,-83.911135,-83.909135,30.822793,30.824793
GA0230003,MIDDLE GEORGIA STATE UNIVERSITY,"100 University Pkwy, Macon, Georgia, 31206",31206,Georgia,Region 4,Community water system,1952,COCHRAN,Bleckley,10,7,6,-83.731935,32.807067,-83.731921,32.80815,-83.732935,-83.730935,32.806067,32.808067
GA2510046,WATERS GROVE MOBILE HOME PARK,"3321 California Ave, Carmichael, California, 95608",95608,Georgia,Region 4,Community water system,37,,Screven,3,62,10,-121.321426,38.624632,-121.321721,38.62464,-121.322426,-121.320426,38.623632,38.625632
