PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Latitude,Longitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
ID5420098,SNYDER WINERY,"83316, Buhl, Idaho",83316,Idaho,Region 10,Transient non-community system,25,,Twin Falls,3,13,3,-114.765132,42.60249,-114.765132,42.60249,-115.038132,-114.492132,42.32949,42.87549
ID1050031,IDPR MISSION MOUNTAIN WATER SYSTEM,"57 Chatcolet Rd, Plummer, Idaho, 83851",83851,Idaho,Region 10,Transient non-community system,45,BENEWAH,Benewah,3,0,1,-116.778538,47.361358,-116.778538,47.361358,-116.788538,-116.768538,47.351358,47.371358
ID1050013,IDPR HEYBURN SP CHATCOLET CG,"57 Chatcolet Rd, Plummer, Idaho, 83851",83851,Idaho,Region 10,Transient non-community system,400,,Benewah,6,19,8,-116.778538,47.361358,-116.778538,47.361358,-116.788538,-116.768538,47.351358,47.371358
ID1050012,IDPR HEYBURN SP BENEWAH CG,"57 Chatcolet Rd, Plummer, Idaho, 83851",83851,Idaho,Region 10,Transient non-community system,100,,Benewah,4,8,6,-116.778538,47.361358,-116.778538,47.361358,-116.788538,-116.768538,47.351358,47.371358
ID3140161,CTI FOOD SERVICE,"22303 US-95, Wilder, Idaho, 83676",83676,Idaho,Region 10,Non-Transient non-community system,216,,Canyon,12,17,11,-116.911958,43.692885,-116.911958,43.692885,-116.921958,-116.901958,43.682885,43.702885
ID1280247,SAINT DOMINIC SCHOOL,"20247 W Riverview Dr, Post Falls, Idaho, 83854",83854,Idaho,Region 10,Community water system,228,,Kootenai,3,25,8,-117.020679,47.687211,-117.020679,47.687211,-117.030679,-117.010679,47.677211,47.697211
ID4200039,RIVERVIEW SUBD WATER ASSN,"10314 E Gopher Knoll Rd, King Hill, Idaho, 83633",83633,Idaho,Region 10,Transient non-community system,26,,Elmore,3,20,5,-115.116333,42.95973,-115.113751,42.95973,-115.117333,-115.115333,42.95873,42.96073
ID5270027,JEROME CHEESE COMPANY,"547 W Nez Perce, Jerome, Idaho, 83338",83338,Idaho,Region 10,Non-Transient non-community system,300,,Jerome,5,16,6,-114.526521,42.709572,-114.526531,42.7095,-114.527521,-114.525521,42.708572,42.710572
ID1090189,MUZZY FAST STOP,"2455 E Highway 2, Oldtown, Idaho, 83822",83822,Idaho,Region 10,Transient non-community system,75,,Bonner,3,48,6,-116.989761,48.180367,-116.989751,48.18082,-116.990761,-116.988761,48.179367,48.181367
ID1280226,HENRY POINT HOA INC,"83835, Hayden, Idaho",83835,Idaho,Region 10,Transient non-community system,35,,Kootenai,3,11,7,-116.786487,47.755539,-116.786487,47.755539,-117.298487,-116.274487,47.243539,48.267539
ID7190041,ROD AND GUN CLUB,"83278, Stanley, Idaho",83278,Idaho,Region 10,Transient non-community system,25,,Custer,2,25,7,-114.968081,44.209891,-114.968081,44.209891,-115.566081,-114.370081,43.611891,44.807891
ID2180037,WEIPPE CITY OF,"623 N Main St, Weippe, Idaho, 83553",83553,Idaho,Region 10,Community water system,441,,Clearwater,4,6,12,-115.938252,46.381414,-115.938252,46.381414,-115.948252,-115.928252,46.371414,46.391414
ID5160078,PIT STOP,"232 N Highway 77, Declo, Idaho, 83323",83323,Idaho,Region 10,Transient non-community system,25,,Cassia,3,13,5,-113.62501,42.56271,-113.62501,42.56271,-113.63501,-113.61501,42.55271,42.57271
ID2250032,KOOSKIA WATER DEPT,"83539, Kooskia, Idaho",83539,Idaho,Region 10,Community water system,607,,Idaho,7,8,13,-115.979187,46.142495,-115.979187,46.142495,-116.646187,-115.312187,45.475495,46.809495
ID4080047,TERRACE LAKES WATER COMPANY,"101 Holiday Dr, Garden Valley, Idaho, 83622",83622,Idaho,Region 10,Community water system,475,,Boise,14,86,11,-115.984261,44.151154,-115.984261,44.151154,-115.994261,-115.974261,44.141154,44.161154
ID3140087,OWYHEE VILLAGE SUBD WATER ASSN INC,"5408 War Eagle Rd, Caldwell, Idaho, 83607",83607,Idaho,Region 10,Community water system,200,,Canyon,5,13,10,-116.639524,43.621966,-116.639524,43.621966,-116.649524,-116.629524,43.611966,43.631966
ID1280081,HARDING ACRES TRACTS WATER ASSN INC,"1910 W James Crowe Dr, Hayden, Idaho, 83835",83835,Idaho,Region 10,Community water system,64,,Kootenai,2,16,9,-116.811434,47.74871,-116.811434,47.74871,-116.821434,-116.801434,47.73871,47.75871
ID1280046,CHATEAUX WATER ASSN INC,"1910 W James Crowe Dr, Hayden, Idaho, 83835",83835,Idaho,Region 10,Community water system,275,,Kootenai,4,20,10,-116.811434,47.74871,-116.811434,47.74871,-116.821434,-116.801434,47.73871,47.75871
ID6040006,BENNINGTON WATER SYSTEM,"98 E 1st N, Montpelier, Idaho, 83254",83254,Idaho,Region 10,Community water system,250,,Bear Lake,7,74,11,-111.320087,42.39219,-111.320087,42.39219,-111.330087,-111.310087,42.38219,42.40219
ID6030089,MOOSE MOUNTAIN,"3314 Pole Line Rd, Pocatello, Idaho, 83201",83201,Idaho,Region 10,Community water system,27,,Bannock,4,4,4,-112.46619,42.892826,-112.46619,42.892826,-112.47619,-112.45619,42.882826,42.902826
ID4010036,TERRACE WATER CORP INC,"1741 Gibson Way, Meridian, Idaho, 83642",83642,Idaho,Region 10,Community water system,84,,Ada,3,4,9,-116.390084,43.588852,-116.390331,43.58895,-116.391084,-116.389084,43.587852,43.589852
ID7260035,ROBERTS CITY OF,"83444, Roberts, Idaho",83444,Idaho,Region 10,Community water system,600,,Jefferson,8,42,11,-112.128902,43.71917,-112.128902,43.71917,-112.465902,-111.791902,43.38217,44.05617
ID6060038,LDS JAMESTON CHURCH,"750 W Elva St, Idaho Falls, Idaho, 83402",83402,Idaho,Region 10,Transient non-community system,421,,Bingham,2,5,8,-112.042222,43.504001,-112.042222,43.504001,-112.052222,-112.032222,43.494001,43.514001
ID6060024,LDS GOSHEN CHURCH,"84150, Salt Lake Cty, Utah",84150,Idaho,Region 10,Transient non-community system,423,,Bingham,2,4,9,-111.891216,40.771681,-111.891216,40.771681,-111.894216,-111.888216,40.768681,40.774681
ID1280172,SILVER BEACH RESORT,"83869, Spirit Lake, Idaho",83869,Idaho,Region 10,Transient non-community system,26,,Kootenai,3,3,9,-116.87281,47.966302,-116.87281,47.966302,-117.04181,-116.70381,47.797302,48.135302
ID7190043,SALMON RIVER EMERGENCY CLINIC,"83278, Stanley, Idaho",83278,Idaho,Region 10,Transient non-community system,25,STANLEY,Custer,2,36,6,-114.968081,44.209891,-114.968081,44.209891,-115.566081,-114.370081,43.611891,44.807891
ID3230084,LIVE LOVE LAUGH DAYCARE,"83617, Montour, Idaho",83617,Idaho,Region 10,Non-Transient non-community system,82,,Gem,3,1,2,-116.495614,43.872766,-116.495614,43.872766,-116.718614,-116.272614,43.649766,44.095766
ID4200098,SOUTH FORK SENIOR CENTER,"4359 N Pine Featherville Rd, Mountain Home, Idaho, 83647",83647,Idaho,Region 10,Transient non-community system,25,,Elmore,2,0,5,-115.25923,43.609625,-115.259421,43.60989,-115.26023,-115.25823,43.608625,43.610625
ID4200020,FEATHERVILLE TOWNSITE WATER CORP,"4359 N Pine Featherville Rd, Mountain Home, Idaho, 83647",83647,Idaho,Region 10,Transient non-community system,100,,Elmore,4,58,8,-115.25923,43.609625,-115.259421,43.60989,-115.26023,-115.25823,43.608625,43.610625
ID3140068,MANGUM HEIGHTS SUBD,"402 Mountain View Dr, Nampa, Idaho, 83686",83686,Idaho,Region 10,Community water system,75,,Canyon,2,33,14,-116.568579,43.522847,-116.568541,43.52317,-116.569579,-116.567579,43.521847,43.523847
ID7410039,LINN GUEST RANCH,"1300 E 6000 S, Victor, Idaho, 83455",83455,Idaho,Region 10,Transient non-community system,30,VICTOR,Teton,2,3,4,-111.076562,43.637076,-111.076121,43.63767,-111.077562,-111.075562,43.636076,43.638076
ID1280029,CAMP LUTHERHAVEN,"3258 W Lutherhaven Rd, Coeur D Alene, Idaho, 83814",83814,Idaho,Region 10,Transient non-community system,195,,Kootenai,8,12,9,-116.824423,47.605917,-116.824423,47.605917,-116.834423,-116.814423,47.595917,47.615917
ID2250036,WILDERNESS INN,"8883 Highway 12, Kooskia, Idaho, 83539",83539,Idaho,Region 10,Transient non-community system,80,,Idaho,2,15,9,-115.594292,46.147656,-115.594521,46.14791,-115.595292,-115.593292,46.146656,46.148656
ID6060026,GREENFIELD WATER AND SEWER,"83274, Shelley, Idaho",83274,Idaho,Region 10,Community water system,240,,Bingham,5,38,12,-112.124369,43.378946,-112.124369,43.378946,-112.870369,-111.378369,42.632946,44.124946
ID7100107,WOODLAND HEIGHTS WATER ASSN #1,"2396 S Bellin Rd, Idaho Falls, Idaho, 83402",83402,Idaho,Region 10,Community water system,54,,Bonneville,4,85,9,-112.08311,43.47635,-112.084021,43.47633,-112.08411,-112.08211,43.47535,43.47735
ID1090129,SOURDOUGH POINT,"67 Wild Horse Trl, Sandpoint, Idaho, 83864",83864,Idaho,Region 10,Community water system,135,,Bonner,9,66,12,-116.455231,48.371577,-116.455231,48.3718,-116.456231,-116.454231,48.370577,48.372577
ID3230073,B AND W FUELS INC,"83617, Montour, Idaho",83617,Idaho,Region 10,Transient non-community system,25,,Gem,2,8,6,-116.495614,43.872766,-116.495614,43.872766,-116.718614,-116.272614,43.649766,44.095766
ID6210017,STRAWBERRY MINK CREEK WATER ASSN,"7057 E Mink Creek Rd, Preston, Idaho, 83263",83263,Idaho,Region 10,Community water system,34,,Franklin,3,50,12,-111.705492,42.244058,-111.705492,42.244058,-111.715492,-111.695492,42.234058,42.254058
ID6210002,CLIFTON CITY OF,"83228, Oxford, Idaho",83228,Idaho,Region 10,Community water system,250,,Franklin,5,20,13,-112.002595,42.184226,-112.002595,42.184226,-112.126595,-111.878595,42.060226,42.308226
ID1090118,SAGLE VALLEY WATER DIST,"67 Wild Horse Trl, Sandpoint, Idaho, 83864",83864,Idaho,Region 10,Community water system,290,,Bonner,7,10,7,-116.455231,48.371577,-116.455231,48.3718,-116.456231,-116.454231,48.370577,48.372577
ID1090091,ODEN VIEW ESTATES IMPROVEMENT ASSN,"67 Wild Horse Trl, Sandpoint, Idaho, 83864",83864,Idaho,Region 10,Community water system,55,,Bonner,4,9,9,-116.455231,48.371577,-116.455231,48.3718,-116.456231,-116.454231,48.370577,48.372577
ID1090073,LACLEDE WATER DIST,"67 Wild Horse Trl, Sandpoint, Idaho, 83864",83864,Idaho,Region 10,Community water system,615,,Bonner,4,53,11,-116.455231,48.371577,-116.455231,48.3718,-116.456231,-116.454231,48.370577,48.372577
ID1090065,KANIKSU SHORES ESTATES,"67 Wild Horse Trl, Sandpoint, Idaho, 83864",83864,Idaho,Region 10,Community water system,80,,Bonner,5,26,12,-116.455231,48.371577,-116.455231,48.3718,-116.456231,-116.454231,48.370577,48.372577
ID1090034,TRI PRO CEDAR SAWMILL,"67 Wild Horse Trl, Sandpoint, Idaho, 83864",83864,Idaho,Region 10,Non-Transient non-community system,50,,Bonner,2,4,8,-116.455231,48.371577,-116.455231,48.3718,-116.456231,-116.454231,48.370577,48.372577
ID1090033,DIAMOND BENCHVIEW WATER CORP,"67 Wild Horse Trl, Sandpoint, Idaho, 83864",83864,Idaho,Region 10,Community water system,75,,Bonner,5,20,10,-116.455231,48.371577,-116.455231,48.3718,-116.456231,-116.454231,48.370577,48.372577
ID1090021,COLBURN WATER ASSN,"67 Wild Horse Trl, Sandpoint, Idaho, 83864",83864,Idaho,Region 10,Community water system,290,,Bonner,4,69,8,-116.455231,48.371577,-116.455231,48.3718,-116.456231,-116.454231,48.370577,48.372577
ID1090006,BEYOND HOPE RESORT,"67 Wild Horse Trl, Sandpoint, Idaho, 83864",83864,Idaho,Region 10,Transient non-community system,36,,Bonner,5,9,8,-116.455231,48.371577,-116.455231,48.3718,-116.456231,-116.454231,48.370577,48.372577
ID1090004,BALDY RIDGE ESTATES,"67 Wild Horse Trl, Sandpoint, Idaho, 83864",83864,Idaho,Region 10,Community water system,50,,Bonner,7,14,7,-116.455231,48.371577,-116.455231,48.3718,-116.456231,-116.454231,48.370577,48.372577
ID1090001,ALGOMA ADDITION SUBD,"67 Wild Horse Trl, Sandpoint, Idaho, 83864",83864,Idaho,Region 10,Community water system,68,,Bonner,3,72,7,-116.455231,48.371577,-116.455231,48.3718,-116.456231,-116.454231,48.370577,48.372577
